r3k2r/ppp1nppp/2n5/3q4/3P4/2PB1b2/P4PPP/R1BQR1K1 w kq -,d1a4 f3g2 e1e5 d5d7 d3f5 d7d8 c1a3 e8h8 a3e7 c6e7,-178
r4rk1/ppp1nppp/2n5/7q/3PB3/2P2P2/P4P1P/R1BQR1K1 w - -,a1b1 a8b8 c1f4 e7d5 b1b5 c6e7 c3c4 c7c6 b5a5 b7b6,127
r1bqkb1r/p2n1ppp/2n1p3/1pppP3/5P2/3P1NP1/PPP1Q2P/RNB1KB1R w KQkq -,f1h3 f8e7 e1h1 e8h8 a2a4 b5a4 b1c3 d7b6 g3g4 c8d7,-25
rnbqkb1r/pp3ppp/2pp1n2/4p3/3P4/4P1P1/PPP2PBP/RNBQK1NR w KQkq -,g1e2 h7h5 h2h3 e5e4 d4d5 c8f5 e2d4 f5g6 b1c3 f8e7,12
rqb1kb1r/pp1p1ppp/2n1p3/1Np1P3/6n1/5NP1/PPPPQP1P/R1B1KB1R w KQkq -,d2d3 a7a6 b5d6 f8d6 e5d6 b8d6 f1g2 g4f6 f3d2 d6e7,-64
4k3/1p3p1p/4p3/4n3/PR4p1/4P3/1P3PPP/1r3BK1 w - -,f2f4 g4f3 g2f3 e8d8 b4b7 b1a1 b2b3 e5f3 g1f2 f3h2,198
4k3/1p3p1p/4p3/4n3/PR6/4Pp2/1P4PP/1r3BK1 w - -,g2f3 e8d8 b4b7 b1a1 b2b3 d8c8 b7b4 e5f3 g1f2 f3e5,193
rnbq1rk1/pp2ppb1/5np1/2pp3p/3P1B1P/4PP2/PPPNB1P1/R2QK1NR w KQ -,a2a4 d8b6 d4c5 b6b2 d2b3 b8c6 a1b1 b2a3 e2b5 e7e5,-241
rn1qkb1r/pp2pppp/5n2/3p4/3P4/3Q3P/PPP2PP1/RNB1K1NR w KQkq -,g1f3 e7e6 e1h1 d8c7 c1g5 b8c6 f1c1 f8e7 c2c3 e8h8,-12
8/8/1KQ5/4k3/8/3B4/8/8 w - -,g1f3 e7e6 e1h1 d8c7 c1g5 b8c6 f1c1 f8e7 c2c3 e8h8,Mate
