8/1k1K4/2R5/8/8/8/8/8 w - -,e2e3 c7c5 b1d2 b8c6 c1b2 e7e6 f1e2 f8d6 f3h4 e8h8,Mate
rnbqkb1r/pp1p1pp1/4pn1p/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq -,e1h1 d7d5 d2d4 b8c6 b1c3 d5c4 d4c5 d8d1 f1d1 f8c5,76
r1bq1rk1/ppp1ppbp/2np1np1/8/2BP1P2/4PN2/PPP3PP/RNBQ1RK1 w - -,a2a3 e7e6 c2c3 d6d5 c4d3 c6e7 b1d2 b7b6 e3e4 d5e4,-50
5rk1/pp6/6p1/2Pp3p/5B1q/5K2/PP2Pr2/R1Q1R2B w - -,f3e3 f2f4 e3d3 f4d4 d3c3 d4c4 c3b3 h4h3 h1f3 c4c1,-461
rnb1kb1r/ppppqp1p/5np1/8/8/3P1N2/PPP1BPPP/RNBQK2R w KQkq -,c2c4 f8g7 b1c3 d7d5 c1g5 e7d6 e1h1 e8h8 f1e1 d5c4,63
rn1qkb1r/pp2pppp/8/2pnP3/2B3b1/5N2/PPPP2PP/RNBQK2R w KQkq -,e1h1 e7e6 h2h3 g4h5 b1c3 b8c6 c3d5 e6d5 c4b5 f8e7,-36
rnbqk2r/ppp2pp1/3p1n1p/4p3/1b2P3/2NP1N2/PPP1BPPP/R1BQK2R w KQkq -,c1d2 b4a5 e1h1 e8h8 h2h3 c7c6 f1e1 f8e8 e2f1 b8d7,-34
r2q1rk1/pp2npbp/3pb1p1/2p1p3/3nPP2/2NPB1P1/PPPQN1BP/R4RK1 w - -,a2a4 d8d7 a4a5 a8e8 e3f2 e6g4 e2d4 c5d4 c3e2 e8c8,-71
rnbq1rk1/pppp1ppp/4pb2/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQ -,b1c3 d7d5 d1d2 c7c5 d4c5 d5e4 c3e4 f6b2 a1b1 b2f6,-37
r1bq1rk1/ppp1ppbp/n2p1np1/8/2PPPP2/2N4P/PP4P1/R1BQKBNR w KQ -,e4e5 f6d7 g1f3 c7c5 d4d5 d6e5 f1e2 a6c7 f3e5 d7e5,-63
4k3/8/8/2K2B2/3B4/8/8/8 w - -,e4e5 f6d7 g1f3 c7c5 d4d5 d6e5 f1e2 a6c7 f3e5 d7e5,Mate
r2qkb1r/1ppb1ppp/p1np1n2/4p3/B3P3/P2P1N2/1PP2PPP/RNBQK2R w KQkq -,e1h1 f8e7 h2h3 e8h8 c1e3 d6d5 e4d5 f6d5 a4c6 d7c6,59
r1bqk2r/pp1pbppp/2n1pn2/6B1/2P5/2N5/PP1QPPPP/R3KBNR w KQkq -,a1d1 e8h8 g1f3 d8a5 e2e3 h7h6 g5h4 f8d8 f1d3 g7g5,-12
rnbqkb1r/ppp2pp1/3p1n1p/8/3NP3/2P5/PP3PPP/RNBQKB1R w KQkq -,f1d3 f8e7 e1h1 e8h8 h2h3 f8e8 c1f4 c7c5 d4c2 e7f8,51
rnbqkbnr/pp4pp/4pp2/3pP3/3p4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c3e2 f6e5 f3e5 b8d7 e5d7 c8d7 e2d4 g8f6 c1f4 d8b6,-78
rnbqk1nr/ppp2pbp/3pp1p1/4P3/5P2/5N2/PPPP2PP/RNBQKB1R w KQkq -,d2d4 d6e5 f4e5 g8e7 b1d2 e8h8 d2e4 b8d7 h2h4 c7c5,89
rnbqk2r/pp2npbp/2p1p1p1/1B2P3/3P4/5N2/PPP3PP/RNBQK2R w KQkq -,b5d3 c6c5 b1d2 c5d4 d2e4 e8h8 e1h1 e7f5 c1g5 d8b6,24
rnbq1rk1/pppp1ppp/5n2/2b1p3/2B1P3/3Q4/PPPP1PPP/RNB1K1NR w KQ -,g1f3 c7c6 c4b3 d7d5 b1c3 b7b5 d3e2 b5b4 c3a4 f6e4,-221
r1bqk2r/ppp1bppp/2n2n2/3p4/3P1B2/2P2N2/PP3PPP/RN1QKB1R w KQkq -,f1b5 e8h8 e1h1 e7d6 f4d6 d8d6 b1d2 f8e8 d1b3 c8d7,45
r2qk2r/pp2bppp/2n1bn2/2ppp1B1/8/3P1NP1/PPPNPPBP/R2Q1RK1 w kq -,a2a3 e8h8 e2e4 d5d4 f3e1 f6d7 g5e7 d8e7 d1h5 b7b5,-94
r1bqk2r/ppppnppp/8/2b5/2BpP3/3P4/PPP2PPP/RNBQ1RK1 w kq -,c4f7 e8f7 d1h5 g7g6 h5c5 e7c6 c5c4 f7e8 c2c3 d8f6,587
rnbq1rk1/pp2ppbp/3p1np1/8/2BPP3/2N5/PP2NPPP/R1BQK2R w KQ -,f2f3 a7a6 a2a4 b8c6 e1h1 a8b8 c1e3 c8d7 g1h1 c6a5,84
r1bqkb1r/pppnpppp/2n5/3pP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,c2c3 f7f6 f1b5 e7e6 e5f6 d8f6 e1h1 f8d6 c1g5 f6f5,127
rnbqk2r/ppp2ppp/3b1n2/3pN3/8/2N1P3/PPPP1PPP/R1BQKB1R w KQkq -,e5f3 c7c5 g2g3 e8h8 f1g2 b8c6 e1h1 d5d4 c3b5 d6e7,113
r2qkb1r/pp3ppp/2p1pn2/8/3P2b1/5N2/PPP1BPPP/R1BQ1RK1 w kq -,c2c4 f8d6 f3e5 g4e2 d1e2 e8h8 c1g5 d6e7 a1d1 f6d7,36
r1bqk2r/pppp1ppp/5n2/4p3/1n1PP3/5N2/PPP2PPP/RN1QKB1R w KQkq -,f3e5 d8e7 f2f3 c7c5 c2c3 c5d4 c3d4 e8h8 b1c3 d7d5,166
rn1q1rk1/ppp2ppp/3b1n2/8/6b1/2N1PN2/PPP2PPP/R1BQKB1R w KQ -,h2h3 g4h5 f1e2 b8c6 e1h1 d8e7 f3d4 h5g6 f2f4 a8d8,71
r2q1rk1/ppp2ppp/2nb1n2/8/6b1/2N1PN2/PPP1BPPP/R1BQK2R w KQ -,h2h3 g4h5 e1h1 d8e7 f3h4 e7e5 f2f4 h5e2 d1e2 e5c5,95
r2q1rk1/p3ppbp/1p4p1/n7/1Q1PP3/1b1BBP2/4N1PP/2R2RK1 w - -,d4d5 d8d6 b4d6 e7d6 c1c7 b3a4 e2c3 a4e8 e3f4 a5b3,31
8/8/1k1NK3/3B4/8/8/8/8 w - -,h2h4 d8d6 b4d6 e7d6 h4h5 g6h5 c1c7 d6d5 e4d5 b3d5,Mate
rnbqr1k1/ppp1ppbp/3p1np1/6B1/4P3/2NP1N2/PPPQ1PPP/R3KB1R w KQ -,d3d4 c7c6 h2h4 h7h5 g5h6 b7b5 h6g7 g8g7 a2a3 a7a5,43
r2qk2r/ppp3pp/2npBn2/2b1p3/4P3/3P4/PPP2PPP/RNBQK2R w KQkq -,e1h1 d8e7 e6h3 e8h8 c2c3 e7f7 b1d2 c5b6 a2a4 h7h6,190
r3kb1r/pppnpppp/5n2/q7/3P4/2N5/PPPBNPPP/R2QK2R w KQkq -,e1h1 e7e6 f1e1 e8a8 h2h3 a5h5 d1c1 h5f5 e2g3 f5g6,38
rn2kb1r/pp1qpppp/3p1n2/2p5/8/2P2N2/PP1P1PPP/RNBQR1K1 w kq -,d2d3 e7e6 d3d4 c5d4 c3d4 f8e7 b1c3 b8a6 d4d5 e6e5,-179
r2qkb1r/pp2pppp/2np1n2/2p5/2B1P1b1/2NPB3/PPP2PPP/R2QK1NR w KQkq -,f2f3 g4d7 f3f4 e7e6 g1f3 f8e7 a2a3 d7c8 c4a2 e8h8,23
rnb1kb1r/pp3ppp/2pp1n2/4p3/2B1P3/2N5/PPPP1PPP/R1B1K1NR w KQkq -,c4b3 b8d7 d2d3 b7b5 f2f4 e5f4 g1f3 d7c5 f3d4 c8d7,-32
r1bqk1nr/ppp2pbp/2np2p1/8/3pP3/2PB1N2/PP3PPP/RNBQ1RK1 w kq -,f3d4 c6d4 c3d4 c7c6 d3c2 g8e7 b1c3 d6d5 e4e5 e8h8,63
4k3/4P3/3P1K2/8/8/8/p7/8 w - -,d3b5 d4c3 b1c3 g8e7 c1e3 e8h8 a1c1 a7a6 b5e2 f7f5,Mate
4k3/4P3/3PK3/8/8/8/8/q7 w - -,d3b5 d4c3 b1c3 g8e7 c1e3 e8h8 a1c1 a7a6 b5e2 f7f5,Mate
r1bqk2r/1pp1bppp/p1n1pn2/3p2B1/3P4/2PBPN2/PP3PPP/RN1QK2R w KQkq -,b1d2 f6d7 g5f4 e7d6 d3c2 e6e5 d4e5 d7e5 e1h1 e5g6,81
rn1qkbnr/pbp1pppp/1p6/8/2pP1B2/5N2/PP2PPPP/RN1QKB1R w KQkq -,b1c3 g8f6 e2e3 e7e6 f1c4 f8d6 f3e5 e8h8 e1h1 b8c6,70
r1b1kbnr/ppp2ppp/2n1q3/4p3/2P5/5N2/PP1P1PPP/RNBQKB1R w KQkq -,f3g5 e6g6 d2d3 f8e7 h2h4 h7h6 h4h5 g6d6 g5e4 d6d7,-249
8/8/8/2k5/R7/R3K3/8/8 w - -,f3g5 e6g6 d2d3 f8e7 h2h4 h7h6 h4h5 g6d6 g5e4 d6d7,Mate
rnbqkb1r/pp3ppp/3p1n2/3Pp3/2P5/8/PP3PPP/RNBQKBNR w KQkq -,h2h3 c8f5 b1c3 b8d7 f1d3 f5d3 d1d3 g7g6 g1e2 d7c5,48
r1bqkb1r/pppp2pp/2nn4/1B2P1p1/8/5N2/PPP2PPP/RN1Q1RK1 w kq -,b5a4 d6f7 a4b3 g5g4 b3f7 e8f7 d1d5 f7e8 f3d4 d8e7,-546
r2qk2r/pbp1bppp/1pnp1n2/4p3/2B1P3/2NP1N1P/PPP2PP1/R1BQ1RK1 w kq -,a2a4 e8h8 c3e2 d6d5 e4d5 f6d5 f1e1 d8d7 e2g3 d5f4,82
rn1qk1nr/pbp1ppbp/1p1p2p1/6B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e4 b8d7 f1d3 h7h6 g5e3 e7e5 d4d5 g8e7 f3d2 e8h8,96
rn1qk2r/pp2bppp/2ppbn2/4p3/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R w KQkq -,d3d4 e8h8 f1e2 e5d4 f3d4 c6c5 d4c2 f6e8 e1h1 b8c6,79
r1bq1bnr/pppp2pp/8/8/3kP3/8/PP1P1PPP/RNBQK2R w KQ -,d1b3 d4e4 d2d4 f8b4 b3b4 e4f5 b4b3 f5g6 e1h1 g8f6,267
r3k2r/pppbqppp/2nbpn2/3p4/2PP4/2N1PNB1/PP3PPP/R2QKB1R w KQkq -,f3e5 d5c4 f1c4 d6e5 d4e5 e7b4 e5f6 b4c4 f6g7 h8g8,96
rn1q1rk1/ppp1bppp/3p1n2/8/3PPBb1/2N2N2/PPP1Q1PP/R3KB1R w KQ -,h2h3 g4e6 e1a1 f6h5 f4h2 h5f6 g2g4 d6d5 e4e5 f6d7,155
r1bqk1nr/pp2ppbp/2np2p1/8/2PP4/2N5/PP2NPPP/R1BQKB1R w KQkq -,d4d5 c6e5 e2d4 d8b6 f1e2 c8d7 d4c2 g8h6 e1h1 h6f5,55
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,f3g5 d7d5 c3d5 h7h6 g5f3 f6d5 c4d5 f8d6 d5c6 b7c6,262
r2q1rk1/pppnbppp/4pn2/3p1b2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,d1b3 d5c4 b3b7 c7c5 c1f4 d8c8 b7c8 a8c8 c3b5 f5e4,93
r1bq3r/pppp1kpp/1bn2n2/8/3PP3/5N2/PP3PPP/RNBQK2R w KQ -,b1c3 d7d5 e4e5 f6e4 c3e4 d5e4 f3g5 f7e8 e1h1 c8f5,-484
8/8/8/3K4/3B4/3N4/6k1/8 w - -,d3b4 g2h1 d5c4 h1g2 b4d5 g2f3 d4c5 f3g2 d5e3 g2h3,7575
r2qkbnr/1p1bpppp/p1np4/8/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq -,c1e3 e7e6 f1e2 f8e7 e1h1 g8f6 d4b3 e8h8 a1c1 f8e8,98
rnbqkb1r/pp3ppp/5n2/2pp2B1/3P4/P7/1P2PPPP/RN1QKBNR w KQkq -,d4c5 b8c6 b1c3 f8c5 e2e3 d5d4 e3d4 c6d4 f1b5 d4b5,-41
r1bqkbnr/pp1p1ppp/2n5/2p1p3/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq -,f4e5 d7d6 f1b5 d8c7 b5c6 c7c6 e1h1 c8g4 b1a3 f7f6,95
r1bqkbnr/pp3ppp/2n1p3/2pp4/3P2P1/5N2/PPP1PPBP/RNBQK2R w KQkq -,b1c3 c5d4 f3d4 e6e5 d4b3 d5d4 c3e4 c8g4 c2c3 d4c3,-98
rnbq1rk1/ppppnpbp/6p1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQ -,f1c4 c7c6 c4b3 d7d5 e4d5 e7d5 c3d5 c6d5 e1h1 b8c6,98
rnbqk1nr/pppp1ppp/8/8/2PPp3/2P5/P3PPPP/R1BQKBNR w KQkq -,d1c2 d8e7 g2g4 d7d6 f1g2 c8g4 c2e4 e7e4 g2e4 b8c6,66
rnbqk1nr/ppp2ppp/4p3/3pb3/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq -,b1c3 e5d6 e2e4 d5e4 c3e4 g8f6 e4f6 d8f6 f1d3 f6e7,-869
rnb1k1nr/pp4pp/3q4/4pp2/3p4/4P3/PPP2PPP/R1BQKBNR w KQkq -,f2f4 e5e4 d1d4 d6d4 e3d4 b8c6 c1e3 g8f6 c2c4 f6g4,125
r1bqkb1r/2pp1pp1/p1n2n1p/1p2p1B1/4P3/1B1P1N2/PPP2PPP/RN1QK2R w KQkq -,g5h4 g7g5 h4g3 d7d6 c2c3 f8g7 b1d2 e8h8 h2h3 c8d7,36
r3kb1r/pp2nppp/n1p1p3/3pP3/3P4/2P2N2/PP3PPP/RNB2RK1 w kq -,h2h3 h7h5 c1e3 e7f5 b1d2 f8e7 a2a4 c6c5 d2b3 c5c4,29
rn1qkb1r/p4ppp/2p1pn2/1p6/2pPP1b1/P1N2N2/1P2BPPP/R1BQK2R w KQkq -,c1f4 f8e7 h2h3 g4h5 e1h1 e8h8 f4e3 b8d7 g2g4 h5g6,-88
N2k3r/pb1pppbp/1pn2np1/8/P1q1P3/2N1BP2/1PP3PP/R2QK2R w KQ -,d1d3 c4d3 c2d3 b7a8 c3b5 a7a6 e3b6 d8c8 b5d4 d7d6,-306
8/8/8/8/2K5/5k2/8/5NB1 w - -,f1d2 f3g2 g1d4 g2h1 d4b6 h1g2 c4d5 g2h2 b6e3 h2h1,4937
rnbqkb1r/pp3ppp/2p5/3np3/2B5/P2P4/1PP2PPP/RNBQK1NR w KQkq -,g1f3 f8d6 e1h1 b8d7 f1e1 e8h8 d3d4 e5d4 c4d5 c6d5,47
r1bqk2r/ppp1bppp/3p4/1n1NR3/8/8/PPPP1PPP/R1BQ2K1 w kq -,e5e3 c8e6 d5e7 d8e7 d2d4 c7c6 c2c4 b5c7 f2f4 f7f5,-584
r1bqkb1r/pp2pppp/2np1n2/1Bp5/4P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,b5c6 b7c6 g1f3 e7e5 d2d3 f8e7 e1h1 e8h8 b2b3 f6d7,-31
3N4/k1K5/8/8/8/3B4/8/8 w - -,b5c6 b7c6 g1f3 e7e5 d2d3 f8e7 e1h1 e8h8 b2b3 f6d7,Mate
rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2NB1N1P/PPP2PP1/R1BQ1RK1 w - -,c1g5 c7c6 d1e2 b8a6 d3a6 b7a6 e2e3 d8c7 a1d1 f8e8,144
rnbqkb1r/pppp1pp1/5n1p/1B2p3/4P3/3P4/PPP2PPP/RNBQK1NR w KQkq -,c2c3 c7c6 b5a4 d7d5 b1d2 f8d6 h2h3 e8h8 g1e2 c8e6,-48
8/8/1k6/3BQ3/8/4K3/8/8 w - -,c2c3 c7c6 b5a4 d7d5 b1d2 f8d6 h2h3 e8h8 g1e2 c8e6,Mate
4B3/6Q1/k7/8/8/4K3/8/8 w - -,c2c3 c7c6 b5a4 d7d5 b1d2 f8d6 h2h3 e8h8 g1e2 c8e6,Mate
rnbqkb1r/p4ppp/2p2n2/1p1Pp3/2B5/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,c3b5 c6b5 c4b5 c8d7 b5d7 b8d7 e1h1 d8c7 d2d4 e5e4,-169
8/3BQ3/1k6/8/8/4K3/8/8 w - -,c3b5 c6b5 c4b5 c8d7 b5d7 b8d7 e1h1 d8c7 d2d4 e5e4,Mate
r1bqkb1r/pp1n1pp1/2p1pn1p/3p2B1/2PP4/2N2N1P/PP2PPP1/R2QKB1R w KQkq -,g5f4 d5c4 e2e4 b7b5 f1e2 c8b7 e1h1 f8b4 d1c2 e8h8,-150
1k1r4/ppq2B1p/4Qp2/2p2r2/P4n1P/2B1P3/1P4K1/5R1R w - -,f1f4 f5f4 e3f4 c7f4 e6c4 f4c4 f7c4 a7a6 h1f1 b7b5,782
rnbq1rk1/pp2bppp/4pn2/3p4/2Pp4/P1NBPN2/1P3PPP/R1BQK2R w KQ -,c3b5 d4e3 c1e3 a7a6 b5d4 e7d6 f3d2 b8d7 a1c1 d7c5,-286
r2qk2r/ppp2pp1/2np1n1p/1B2p1B1/1b2P1b1/2NP1N2/PPP2PPP/R2Q1RK1 w kq -,g5f6 g7f6 c3d5 b4a5 h2h3 g4e6 f3h4 a7a6 b5a4 b7b5,238
r4rk1/pp1bppbp/2np1np1/q7/3NP3/1BN1BP2/PPP3PP/R2Q1RK1 w - -,g1h1 c6d4 e3d4 d7c6 d1e1 a5c7 a2a4 f6d7 d4g7 g8g7,35
rnb1kbnr/ppqp1ppp/4p3/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq -,b1c3 g8f6 f1d3 f8e7 g1f3 e8h8 d4d5 e7b4 c1d2 e6d5,85
r2qk2r/ppp1bppp/2np1n2/4p3/2B1PP2/2N2Q2/PPPP2PP/R1B2RK1 w kq -,c3e2 e8h8 c2c3 d8d7 c4b3 d7g4 f3e3 g4h4 d2d3 e5f4,93
rnbqk1nr/ppp1bpp1/3p3p/3Pp3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1d3 g8f6 c2c4 c8g4 h2h3 g4f3 d1f3 f6d7 b1d2 e7g5,82
rnbqkb1r/pp3ppp/5n2/2pp4/8/P3P3/1PQP1PPP/RNB1KBNR w KQkq -,f1e2 b8c6 g1f3 f8d6 b1c3 e8h8 b2b4 c5b4 c3b5 d6e7,-105
r1bqkb1r/pp3ppp/2n2n2/2pp4/8/P3PN2/1PQP1PPP/RNB1KB1R w KQkq -,f1e2 f8d6 d2d4 c5c4 b2b3 b7b5 e1h1 e8h8 a3a4 c6b4,-88
8/8/3B4/5KNk/8/8/8/8 w - -,f1e2 f8d6 d2d4 c5c4 b2b3 b7b5 e1h1 e8h8 a3a4 c6b4,Mate
r1bqk1nr/pp2ppbp/2n3p1/3p4/3P4/2P2N2/PP1N1PPP/R1BQKB1R w KQkq -,f1d3 g8f6 e1h1 e8h8 f1e1 a7a5 d2b3 d8c7 a2a4 b7b6,62
8/4N3/5k2/2Q5/5K2/8/8/8 w - -,d2b3 g8f6 h2h3 e8h8 f1d3 c8f5 d3f5 g6f5 b3c5 f6e4,Mate
r1bq1rk1/pppn1pbp/3p1np1/4p1B1/3P4/4PN2/PPPNBPPP/R2Q1RK1 w - -,a2a4 d8e8 d4e5 d7e5 f3d4 h7h6 g5h4 g6g5 h4g3 e8e7,17
r2qkbnr/ppp2ppp/3p4/4n3/4P3/1Q6/PPP2PPP/RNB1KB1R w KQkq -,f2f4 e5d7 c1e3 g8f6 b1c3 f8e7 e1a1 e8h8 f1e2 d8c8,360
8/6k1/3KB3/6B1/8/8/8/8 w - -,b3b7 c7c6 b1c3 g8f6 f1e2 f6d7 c1e3 a8b8 b7a7 b8b2,Mate
r2qk2r/ppp2ppp/2np1n2/4p3/2B1P1b1/3P1N2/PPPN1PPP/R2Q1RK1 w kq -,c2c3 e8h8 h2h3 g4h5 a2a4 d6d5 c4b5 a7a5 d1b3 d5e4,52
r1bqkb1r/pp2pppp/2n4n/2ppP3/5P2/2PP4/PP4PP/RNBQKBNR w KQkq -,g2g3 c8f5 g1f3 e7e6 f1g2 d5d4 c3d4 f8e7 e1h1 c6d4,-86
rnbqk2r/pp2ppb1/2pp1npp/8/2PP3B/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e3 c8f5 f1d3 f5d3 d1d3 b8d7 e1h1 e8h8 h2h3 a7a6,61
rn1qkbnr/p1p1pppp/1p6/3b4/8/3P1N2/PPP2PPP/RNBQKB1R w KQkq -,b1c3 d5b7 d3d4 g8f6 f1b5 c7c6 b5d3 e7e6 c1f4 f8b4,78
r1bqkb1r/ppp2ppp/2n2n2/1B1p4/3pP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,f3d4 c8d7 e4d5 c6d4 b5d7 d8d7 d1d4 d7g4 d4g4 f6g4,191
r2qkb1r/ppp2ppp/2n2n2/1B1pp3/3PP1b1/2N2N2/PPP2PPP/R1BQK2R w KQkq -,h2h3 g4f3 d1f3 f8b4 e1h1 b4c3 b5c6 b7c6 f3c3 e8h8,151
8/7k/4B2P/6K1/8/8/8/8 w - -,e6f5 h7g8 g5g4 g8h8 f5c2 h8g8 g4h4 g8h8 c2g6 h8g8,18
8/8/8/3k4/8/4K3/8/2B2B2 w - -,g5h5 h7h8 h5g5 h8h7 e6f5 h7g8 f5c2 g8h8 c2b1 h8g8,Mate
rn1qkbnr/pp3ppp/2p5/3ppb2/8/2PP2P1/PP2PPBP/RNBQK1NR w KQkq -,d1b3 d8c7 e2e4 d5e4 d3e4 f5e6 b3c2 b8d7 g1f3 g8f6,-62
rnbqk1nr/pppp1pbp/4p1p1/8/8/2N1PN2/PPPP1PPP/R1BQKB1R w KQkq -,d2d4 g8f6 e3e4 d7d6 d1e2 b8c6 e4e5 f6d7 e5d6 e8h8,65
rnbq1rk1/1pp1b1pp/3p1n2/p3pp2/2P5/2N1P1P1/PP1PNPBP/R1BQ1RK1 w - -,c3d5 c7c6 d5e7 d8e7 b2b3 c8e6 d2d3 e6f7 c1a3 b8a6,28
r2q1rk1/ppp2ppp/2n2n2/1B1pp1B1/1b1PP1b1/2N2N2/PPP2PPP/R2Q1RK1 w - -,g5f6 g7f6 c3d5 c6d4 b5e2 g4f3 e2f3 b4c5 c2c3 d4e6,216
r2qkb1r/p1p2ppp/2p2n2/4p3/4P1b1/3P1N2/PPP3PP/RNBQK2R w KQkq -,e1h1 f8d6 d1e1 e8h8 c1g5 h7h6 g5h4 d6e7 b1d2 f6h5,69
8/8/3k4/8/8/3K1B2/3N4/8 w - -,d3d4 d6e6 f3d5 e6f5 d5e4 f5f6 d4d5 f6f7 d5e5 f7g7,7621
r1bqkbnr/ppp3pp/2n5/1B1ppp2/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,e4d5 a7a6 b5c6 b7c6 f3e5 c6d5 e1h1 d8d6 d2d4 f8e7,600
rnbqkb1r/pp3pp1/2p1pn1p/2Pp4/3P4/4PN2/PP3PPP/RNBQKB1R w KQkq -,b1d2 b7b6 b2b4 a7a5 d1a4 c8b7 a1b1 b8d7 b4a5 a8a5,-39
r1bqkbnr/pp1ppp1p/2n3p1/8/4P3/2NB4/PP3PPP/R1BQK1NR w KQkq -,h2h3 g8f6 g1f3 d7d5 e4e5 f6d7 d3b5 f8g7 c3d5 d7e5,-83
rnbqkb1r/pp2pp2/2p2n1p/3p2p1/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,f4g3 f6e4 b1d2 e4g3 h2g3 f8g7 c3c4 b8d7 c4d5 c6d5,52
rnbqk2r/ppp1bppp/3pp1n1/4P3/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,h2h4 d6e5 h4h5 g6h4 f3e5 h7h6 f1d3 h4f5 c1e3 b8c6,66
rn1qkb1r/pbp2ppp/1p2pn2/3pN3/8/1P2P3/PBPP1PPP/RN1QKB1R w KQkq -,f1e2 b8d7 e1h1 d7e5 b2e5 f8d6 f2f4 e8h8 d1e1 c7c5,-25
r1b2rk1/pppnqppp/3bpn2/3p4/3P4/1P1BPN2/PBP2PPP/RN1Q1RK1 w - -,c2c4 b7b6 b1c3 c7c5 c4d5 e6d5 a2a4 f8e8 a4a5 c8b7,57
8/8/8/1k1NK3/8/8/B7/8 w - -,e5d4 b5c6 a2b3 c6b5 b3c4 b5c6 d4e5 c6c5 c4b3 c5b5,Mate
r1bq1rk1/pp1n1ppp/3bpn2/2pp4/3P4/1P3NP1/PBP1PPBP/RN1Q1RK1 w - -,c2c4 d5c4 b3c4 c5d4 f3d4 d7c5 b1c3 c8d7 a1b1 a8c8,44
rnb1kb1r/pp2pppp/2p5/8/4n3/5N2/PPP2PPP/RNBBK2R w KQkq -,b1d2 e4d6 e1h1 f7f6 f1e1 e7e5 b2b4 b8a6 a2a3 f8e7,-126
r2qnrk1/5pbp/3p2p1/p1pPpP2/1p1nP3/1P1PB1PP/P2QNRB1/1R4K1 w - -,g3g4 d4e2 f2e2 h7h6 e3h6 g7h6 d2h6 d8f6 f5g6 f6g6,126
rn2kb1r/ppp1pppp/5n2/q4b2/8/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,f1g2 b8c6 d2d3 e7e5 e1h1 f8e7 c1d2 f5g4 f3g5 a5b6,117
r1bqkbnr/pp1p1ppp/8/1B6/3pPp2/8/PPPP2PP/RNBQ1RK1 w kq -,d2d3 g7g5 g2g3 a7a6 b5a4 h7h5 a4b3 b7b5 g3f4 g5g4,147
rnbqk2r/ppp1nppp/4p3/3p4/2PP4/5N2/PP1QPPPP/RN2KB1R w KQkq -,b1c3 e8h8 e2e3 b7b6 c4d5 e6d5 f1e2 c8e6 e1h1 b8d7,93
r1bqk2r/pp3ppp/2nbpn2/2p1p3/2B5/2N2N2/PPPP1PPP/R1BQR1K1 w kq -,d2d3 a7a6 c1g5 h7h6 g5h4 b7b5 c4b3 d8c7 a2a4 b5b4,-137
rn1qk2r/ppp2ppp/3b1n2/3p3b/3P4/3B1N1P/PPPN1PP1/R1BQK2R w KQkq -,d1e2 d8e7 e2e7 e8e7 f3h4 h5g6 h4g6 h7g6 d2f3 b8c6,66
r1bqkb1r/ppp1p1pp/2np1n2/5p2/3P1B2/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,b1d2 g7g6 d1c2 f8g7 e2e4 e8h8 e4e5 f6h5 g2g3 h5f4,44
8/8/3Q4/8/2k2K2/8/8/7b w - -,b2b4 h7h6 b4b5 c6a5 h2h4 a7a6 e2e3 a6b5 f1b5 c8d7,Mate
rnbqkbnr/pp1p1pp1/2p1p2p/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,f1d3 d7d5 g1f3 f8b4 e1h1 g8e7 e4e5 c6c5 d4c5 b4c5,138
8/8/8/1k6/3Q4/4K3/6b1/8 w - -,c1e3 d7d5 f1d3 b8d7 a2a3 d5e4 c3e4 d8c7 d1f3 g8f6,Mate
8/8/2b5/1k6/8/2Q1K3/8/8 w - -,c1e3 d7d5 f1d3 b8d7 a2a3 d5e4 c3e4 d8c7 d1f3 g8f6,Mate
r1bq1rk1/ppp1bppp/2np1n2/6B1/3NP3/2N2P2/PPP3PP/R2QKB1R w KQ -,f1b5 c6d4 d1d4 c7c6 b5d3 c6c5 d4e3 h7h6 g5f4 f6h5,-29
8/7b/8/K1Q5/8/1k6/8/8 w - -,f1b5 c6d4 d1d4 c7c6 b5d3 c6c5 d4e3 h7h6 g5f4 f6h5,Mate
