rnb2rk1/ppp2p1p/8/4Q3/2BP2pq/2P2p2/P1P3P1/R1B2RK1 w - -,c1a3 b8d7 e5f4 h4h5 a3f8 d7f8 g2f3 f8e6 f4g4 h5g4,295
r1b2rk1/ppp2p1p/1n6/8/2BP1Qpq/B1P2p2/P1P3P1/R4RK1 w - -,a3f8 b6c4 f1f3 c8f5 f8h6 c4d6 f3h3 h4d8 h3e3 f5g6,345
r4Bk1/ppp2p1p/8/5b2/2nP1Qpq/2P2R2/P1P3P1/R5K1 w - -,f8h6 c4d6 f3h3 h4d8 h3e3 f5g6 a1e1 d6f5 e3e5 f5h6,321
r5k1/ppp2p1p/6bB/8/2nP1Qpq/2P2R2/P1P3P1/R5K1 w - -,f3h3 h4e7 f4g4 a8e8 h3f3 e7e2 g4f4 e2e7 f4g3 c4d6,329
8/8/5Q2/2k1K3/8/8/3r4/8 w - -,e5e4 d2d7 f6e5 c5c6 e5e6 d7d6 e6c4 c6b7 e4e5 d6c6,616
rn1qkb1r/pp3ppp/2p1bp2/8/8/5N1P/PPPPBPP1/R1BQK2R w KQkq -,d2d4 f8d6 c2c4 e8h8 e1h1 f8e8 e2d3 h7h6 c1d2 b8d7,76
rnq1kbnr/pp2pppp/2p5/3p1b2/2P5/1Q3NP1/PP1PPP1P/RNB1KB1R w KQkq -,d2d3 e7e6 b1c3 d5c4 b3c4 g8f6 f1g2 b8d7 f3h4 f5g4,56
rnb2rk1/ppp2p1p/6p1/4b3/4N3/8/PPP2PPP/R1BB1RK1 w - -,f1e1 c8d7 c1g5 e5b2 a1b1 b2g7 b1b7 f8c8 e4f6 g7f6,44
8/8/8/7p/7P/3k3K/8/8 w - -,,0
r1bqk2r/pppp1ppp/2n2n2/8/1NP1p3/4P3/PP1P1PPP/R1BQKB1R w KQkq -,b4d5 d7d6 d2d3 e4d3 f1d3 c6e5 e1h1 e5d3 d1d3 f6d5,80
r1bqk2r/ppp2ppp/2n5/3pp3/N1B1n3/5N2/PPPPQbPP/R1B2K1R w kq -,c4b5 e8h8 d2d3 c6d4 f3d4 f2d4 d3e4 a7a6 b5d3 d5e4,-280
rnbq1rk1/ppp1bppp/5n2/3p4/2PP4/3B1N1P/PP3PP1/RNBQK2R w KQ -,e1h1 d5c4 d3c4 b8d7 f1e1 d7b6 c4b3 b6d5 b1c3 c7c6,51
rn2k2r/ppp2ppp/8/2bqp3/4N1b1/3P1N2/PPP2PPP/R1BQK2R w KQkq -,,0
r1b2Bk1/ppp2p1p/8/8/2nP1Qpq/2P2p2/P1P3P1/R4RK1 w - -,f1f3 c8f5 f8h6 c4d6 f3h3 h4d8 h3g3 f5g6 g3g4 d8e7,418
rnbqkb1r/ppp2ppp/5n2/4p3/4p3/3P3P/PPP1BPP1/RNBQK1NR w KQkq -,b1c3 f8b4 c1d2 b4c3 d2c3 b8c6 d3e4 d8d1 a1d1 f6e4,-277
8/5k2/4R3/5P1P/6K1/8/8/1r6 w - -,h5h6 b1h1 g4f4 h1a1 f4e5 a1a5 e5e4 a5a4 e4f3 a4h4,5
