7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
rnbqkbnr/5ppp/p1p1p3/1p2N3/2p5/6P1/PPQPPPBP/RNB1K2R w KQkq -,b2b3 c4b3 a2b3 c8b7 e1h1 g8f6 f1d1 f8e7 d2d4 e8h8,8
7r/8/3k4/3P4/8/6K1/R7/8 w - -,,0
8/8/2p2pk1/1p6/1Pp1KPP1/7P/8/8 w - -,h3h4 g6h7 f4f5 h7h6 e4e3 h6h7 g4g5 h7g7 g5f6 g7f6,12
r4rk1/pp3p2/2n1p1pp/3q4/3p2n1/1P4P1/PQPN1P1P/BR2R1K1 w - -,f2f3 g4e5 f3f4 e5f3 d2f3 d5f3 c2c3 f8d8 b2f2 f3f2,-133
r4rk1/pp3pp1/1bn1bq1p/3p4/N7/1N4P1/PP2PPBP/R2Q1RK1 w - -,d1d2 a8d8 a1d1 d5d4 b3c5 e6c8 c5d3 f8e8 f1e1 g7g5,-5
r5k1/2R5/p2p2nb/1p1Ppq2/4n1bp/N2N4/PP4QP/1R2B2K w - -,e1h4 g4f3 b1g1 f3g2 g1g2 g8h8 d3e5 g6e5 c7c3 e4c3,-998
r1b3rk/1p2b2p/p3p2B/3pPp1p/1q6/1N1P2Q1/P4PP1/1RR3K1 w - -,g3f4 b4f4 h6f4 e7d8 f4e3 g8g7 a2a4 b7b6 b3d4 c8d7,-22
8/pp3p1p/1r4p1/4k3/4P1P1/5P2/PP1R3P/6K1 w - -,b2b3 e5f4 g1g2 b6c6 d2d7 f7f6 d7b7 c6c2 g2h3 c2a2,17
r1b2rk1/5pbp/1q1p1np1/8/3nPB2/2pP3P/1P2B1PN/1R1Q1R1K w - -,b2c3 b6b1 d1b1 d4e2 f4d6 f6h5 b1e1 a8a2 g2g4 f8d8,-207
3k3r/pp3p2/2p1b1pp/P1P1p2P/4P1P1/2K2PN1/2P5/7R w - -,h5g6 f7g6 c3d2 d8c7 g3f1 h6h5 g4h5 g6h5 h1h4 b7b5,15
rnbqk2r/p3ppbp/2p3p1/1pPpN2n/3P1B2/2N5/PP2PPPP/R2QKB1R w KQkq -,f4e3 e8h8 g2g3 f7f6 e5d3 a7a5 f1g2 e7e5 g2f3 c8f5,-65
r2q1rk1/2pn2pp/1p1ppb2/p4p2/2PPb3/1P3NP1/PB2PPBP/2QR1RK1 w - -,f3e1 d8e8 e1d3 a5a4 c1c2 c7c5 e2e3 e8f7 b3a4 e4g2,15
r1b2rk1/1pqnppbp/3p2p1/pBp4n/P2PP3/2P1BN2/1P1N1PPP/R2Q1RK1 w - -,f1e1 d7b6 h2h3 c8e6 d4d5 e6c8 d2c4 b6c4 b5c4 e7e5,100
r4rk1/p3q1pp/2p2n2/1p1p1bN1/3P4/2nBPP1P/PPQ5/2KR2R1 w - -,c2h2 e7e3 c1c2 c3d1 d3f5 e3f2 h2f2 d1f2 g5e6 f8f7,-512
3qrk2/1pp2pp1/2np4/5rbp/p6P/P1P1B3/1PP1QPP1/2KR3R w - -,d1d3 g5e3 d3e3 f5e5 e3e5 e8e5 e2d1 d8f6 d1d2 f6e7,-517
8/3B1k2/8/8/1Q6/5K2/8/8 w - -,d1d3 g5e3 d3e3 f5e5 e3e5 e8e5 e2d1 d8f6 d1d2 f6e7,Mate
2k3rr/pppq4/2nb4/5pB1/3P1p2/2P4B/PP4P1/RN1Q1RK1 w - -,d1e2 g8g5 f1f3 c8b8 b1d2 c6d8 a1e1 g5g8 e2d3 h8h5,-111
rn3rk1/1p2ppbp/3p2p1/p1pPn3/2q1P3/P1N3PP/1PQ2PB1/R1BR2K1 w - -,f2f4 a5a4 f4e5 g7e5 g2f1 c4b3 c2b3 a4b3 f1c4 b8d7,217
rnbqkbnr/5ppp/p1p1p3/1p2N3/8/1p4P1/P1QPPPBP/RNB1K2R w KQkq -,c2c3 c8b7 a2b3 g8f6 e1h1 f6d5 c3f3 d8f6 f3f6 g7f6,-45
6k1/3q1p1p/p3p1p1/8/4Q3/P3P1P1/5P1P/1r4K1 w - -,,0
r5k1/1p1r1pp1/2b1q2p/p2pPp2/P2P1P2/Q1P4P/3R1BP1/1R4K1 w - -,,0
r1b2rk1/2qnppbp/1p1p2p1/pBp4n/P2PP3/2P1BN2/1P1N1PPP/2RQ1RK1 w - -,f1e1 c8b7 d4d5 b7a6 b5a6 a8a6 d2c4 a6a8 e3g5 a8e8,97
1r4k1/pP3pb1/1nq3pp/4p3/2n1P3/1BN1BQ1P/P4PP1/1R4K1 w - -,e3b6 c4b6 f3f7 g8h8 b1c1 c6b7 f7g6 b7c8 c3e2 c8e8,440
r1b3rk/1p2b2p/p3p2B/3pPp1p/6q1/1N1P3Q/P4PP1/1RR3K1 w - -,g1h2 g4g6 h6f4 e7d8 b3d4 h5h4 h3f3 g6e8 h2h1 g8g4,-78
8/6Np/p7/Pp1nk3/6P1/2n5/5P2/4K3 w - -,f2f4 d5f4 g7f5 f4d5 f5h4 e5f4 g4g5 f4g5 h4f3 g5g4,-715
5b2/7p/1k4p1/1N6/P7/8/5PK1/8 w - -,,0
2k2r1r/ppq2pp1/4pn2/6N1/8/5QPP/PPP2P2/3RR1K1 w - -,f3e3 a7a6 e3a7 c7b8 a7c5 b8c7 c5c7 c8c7 h3h4 f6h7,266
8/pp5p/2p5/4k3/4p2P/2P1K3/PP6/8 w - -,e3d2 e5f4 d2e2 f4g4 e2e3 g4h4 e3f4 h7h5 a2a4 h4h3,-583
8/8/3n1p2/2k2P2/3b1K2/8/8/1Q6 w - -,f4f3 d4e5 f3e3 c5d5 b1h1 d5c5 h1f3 c5b6 e3d3 b6c5,119
8/ppk5/2p5/6p1/7p/1P4PP/P1P4r/1K4R1 w - -,a2a4 h2h3 g3h4 g5h4 g1g7 c7c8 g7h7 a7a5 b1a2 b7b6,-23
r2q1rk1/ppp2pbp/2n1bnp1/1B1p4/3P1B2/2N1PN2/PP3PPP/R2Q1RK1 w - -,b5c6 b7c6 h2h3 f6e4 a1c1 f7f6 d1c2 g6g5 f4h2 e4c3,136
rn1qkb1r/ppp1pppp/8/3p4/5P2/2N1Pb2/PPPPBKnP/R1BQ3R w kq -,h2h4 g2e3 d2e3 f3h1 d1h1 e7e6 e3e4 f8c5 f2f1 c7c6,-450
r4rk1/1bqnppbp/1p1p2p1/pBp4n/P2PP3/2P1BN2/1P1NQPPP/2R2RK1 w - -,h2h3 b7c6 d4d5 c6b5 e2b5 h5f6 f1e1 c7b7 c1d1 f8b8,96
8/pp3p2/1r4pp/4k3/4P1P1/5P2/PP1R1K1P/8 w - -,f2e3 g6g5 b2b3 b6a6 d2d5 e5e6 a2a4 a6c6 e3d3 c6c1,150
4r1k1/2q2ppp/Bp6/4n3/8/1P3QP1/P4P1P/5NK1 w - -,f3e4 c7c6 e4c6 e5c6 a6b5 e8c8 a2a4 c6a5 f1d2 c8c2,-241
4rk2/1pp2pp1/2np4/5rqp/p7/P1P1B3/1PP1QPP1/2KR3R w - -,g2g3 g5g4 e2g4 h5g4 c3c4 f7f6 h1h8 f8f7 h8e8 f7e8,-143
rn1qkbnr/1b3ppp/p1p1p3/1p2N3/8/1P4P1/2QPPPBP/RNB1K2R w KQkq -,e1h1 g8f6 f1d1 f8e7 d2d4 e8h8 b1c3 b8d7 c3e4 f6e4,6
r1bq2nr/1ppkbQ2/p1n2p1p/1B1NpNp1/4P3/8/PPP2PPP/R1B1K2R w KQ -,d5e7 d8e7 b5c6 d7d8 f5e7 g8e7 f7f6 h8g8 c6d5 g8e8,1244
rn1qk2r/1p1n1ppp/4p3/p2pP3/P2P3b/3Q1N2/1P2NPP1/R1B2RK1 w - -,f3h4 d8h4 d3b5 a8a6 b5b7 a6b6 b7c8 h4d8 c8c3 b8c6,149
2r3k1/5pbp/1Qr1p1p1/3p4/q2P1B2/2P2P1P/2R3P1/2R2K2 w - -,b6b7 h7h5 f4e3 g7f6 g2g4 h5h4 f3f4 a4a3 f1e2 c6c7,-155
8/3B4/5k2/8/1Q3K2/8/8/8 w - -,b6b7 h7h5 f4e3 g7f6 g2g4 h5h4 f3f4 a4a3 f1e2 c6c7,Mate
r1b2rk1/5ppp/2p1p3/p3P3/4p1Pn/P5NP/1P3P2/R1B2RK1 w - -,b2b4 c8a6 f1d1 a6d3 c1b2 h7h6 b2c3 f8b8 b4a5 c6c5,-286
8/8/6k1/P3Kp1p/1n3P1P/8/6P1/8 w - -,e5d4 b4c6 d4c4 c6a5 c4c3 g6f7 c3d4 f7e6 d4d3 e6d5,-613
r2q3r/6k1/2bp2p1/p1p1p2P/1p2P3/1P1P1P2/P1PQ4/1K4RR w - -,g1g6 g7f8 h1g1 a8a7 d2g2 a7f7 h5h6 f8e7 g6g7 d8f8,339
r2qk1nr/pp1bbppp/2npp3/1Bp5/P3PP2/2N2N2/1PPP2PP/R1BQK2R w KQkq -,b5c6 d7c6 d2d3 g8f6 e1h1 a7a6 a4a5 e8h8 d1e1 b7b5,-7
r4rk1/p5pp/2p2n2/1p1p1bN1/3P4/2QBqP1P/PP6/2KR2R1 w - -,d1d2 e3g1 d2d1 g1g5 c1b1 f5d7 a2a4 b5a4 d3c2 a8e8,-755
r2q1rk1/2pn2pp/1p1pp3/p2P1p2/2P1b3/1P3NP1/Pb2PPBP/2QR1RK1 w - -,c1d2 b2f6 d5e6 d7c5 f3e1 d8e8 g2e4 c5e4 d2c2 e8e6,-487
5rk1/r1q1nppp/1pn1p3/P2p4/3P1P2/Q1P2NP1/3N1P1P/R1R3K1 w - -,a5b6 c7b6 a3b3 b6b3 d2b3 f8a8 a1a7 a8a7 g1f1 e7f5,69
r1br2k1/p1q2pbp/1pn1p1p1/2p5/2BPPP2/2P1B3/P2QN1PP/2R2RK1 w - -,h2h4 c8b7 h4h5 a8c8 c4b5 c7d6 e4e5 d6e7 h5g6 h7g6,-31
r3nrk1/pp2q1pp/2ppbp1B/8/3Q4/1P3P2/P1P2P1P/4R1RK w - -,d4e4 g8h8 e4e6 e7e6 e1e6 g7h6 e6e7 a8b8 a2a4 f8g8,-632
r2q1rk1/pp1nppbp/2npb1p1/8/2P1P3/2N1BN1P/PP2BPP1/R2Q1RK1 w - -,d1c1 d7e5 f3e5 d6e5 f1d1 c6d4 e2f1 d8d7 b2b3 a8d8,43
r1b2rk1/1p3ppp/2p5/p1Pp2q1/P2Q4/1P2P3/4BPPP/R4RK1 w - -,h2h4 g5g6 f1d1 c8f5 d4f4 f8e8 d1d4 h7h5 a1d1 f5e4,7
7k/pp2rr1p/2b3p1/3pp2N/8/5P2/PP2B1RP/3K2R1 w - -,h5g3 f7f4 g3f1 c6d7 f1e3 e7e8 d1e1 d7e6 e3g4 e6d7,150
rn1qkb1r/1b3ppp/p1p1pn2/1p2N3/8/1P4P1/2QPPPBP/RNB2RK1 w kq -,b1c3 d8d4 e5d3 d4b6 b3b4 b8d7 c1b2 h7h5 h2h4 f8e7,8
r5k1/2R5/p2p2nb/1p1Ppq2/4n1b1/N2N3p/PP4QP/1R2B1K1 w - -,e1f2 h3g2 b1c1 h6c1 c7c1 a8f8 a3b5 a6b5 c1c2 e4g5,-1340
1r4k1/1P3pb1/1pq3pp/4p3/2n1P3/1BN2Q1P/P4PP1/1R4K1 w - -,b3c4 c6c4 b1b6 g7f8 c3d5 c4d4 f3c3 d4c3 d5c3 f8c5,527
1k3r1r/ppq2pp1/4pn2/6N1/8/3R1QPP/PPP2P2/4R1K1 w - -,f3e2 f8c8 d3c3 c7e7 e2e5 b8a8 c3c8 h8c8 e1d1 a7a6,251
r2r2k1/pp3pp1/2n1bq1p/2bp4/8/1N4P1/PP1QPPBP/R4RK1 w - -,a1c1 c5b4 d2f4 f6f4 g3f4 e6g4 f1d1 g4e2 d1d5 b4f8,-532
2rr2k1/1q3pp1/p4n1p/1p2p3/1P1N4/P3P3/4QPPP/2R2RK1 w - -,,0
5k2/8/6PK/5N2/8/8/8/8 w - -,d4f3 f6e4 c1c8 b7c8 e2b2 f7f6 f1c1 c8e6 h2h3 d8d3,Mate
8/3k2p1/3r1p2/3N4/3pP3/3R2P1/r6P/6K1 w - -,d3d4 d7e8 d5c7 e8e7 d4d6 e7d6 c7e8 d6e5 e8g7 e5e4,-231
8/6Np/p7/Pp1nk3/4n1P1/8/3K1P2/8 w - -,d2c2 e4f2 g4g5 f2e4 g7h5 b5b4 h5g7 e4g5 c2b2 g5e4,-868
8/pp3p2/1r5p/4k1p1/4P1P1/5PK1/PP1R3P/8 w - -,d2c2 e5f6 b2b3 b6d6 e4e5 f6e5 c2c7 f7f5 c7c5 e5f6,119
8/8/k1p1p2p/3p4/PK1P1PP1/8/8/8 w - -,d2d7 e5f6 b2b3 b6a6 a2a4 a6b6 d7d3 b6b4 h2h4 f6e6,Mate
7r/ppk2p2/2p1b1pp/P1P1p2P/4P1P1/2K2PN1/2P5/3R4 w - -,d1d6 g6h5 g3h5 b7b6 h5g7 b6c5 d6d1 e6d7 d1h1 h8g8,44
2kr4/ppp1bp1r/2n1qn2/6Bp/1PNpP3/P2P1NP1/2P2PKP/R2QR3 w - -,b4b5 c6b8 h2h3 h7h8 a3a4 f6h7 g5e7 e6e7 d1d2 h8g8,417
rnbqk2r/ppp1ppb1/7p/5p2/2BP4/4PN2/PP3PPP/RN1QK2R w KQkq -,d1e2 c7c5 b1c3 e8h8 a1d1 c5d4 f3d4 d8a5 e1h1 e7e6,78
r2qkbnr/ppp2ppp/3pb3/n3p3/4P3/P4N2/BPPP1PPP/RNBQK2R w KQkq -,b2b4 a5c6 e1h1 g8f6 d2d3 e6a2 a1a2 a7a6 f1e1 g7g6,47
2r3k1/1Q3p1p/2r1p1p1/3p4/q2b1B2/2P2P1P/2R3P1/2R2K2 w - -,c3d4 c6c2 b7c8 c2c8 c1c8 g8g7 f4e5 g7h6 c8g8 a4d1,-17
4rk2/8/R2Nb3/6P1/5K2/1P4Pp/P6P/8 w - -,c3d4 c6c2 b7c8 c2c8 c1c8 g8g7 f4e5 g7h6 c8g8 a4d1,Mate
r4rk1/2qb2p1/1p1b3p/1PpPpp2/4P3/1R1QB3/3N1PPP/2R3K1 w - -,f2f3 f8f6 d2c4 a8f8 c1c2 c7d8 e3f2 f5e4 f3e4 h6h5,71
rnbqk2r/p3ppbp/3p1np1/1ppP4/8/2N2NP1/PPP1PPBP/R1BQK2R w KQkq -,e1h1 b5b4 c3b1 a7a5 a2a3 c8a6 c2c3 e8h8 a3b4 a5b4,-35
r1b1kb1r/pp3ppp/2n5/q3p3/8/4PN2/PPPNB1PP/R2Q1RK1 w kq -,f3g5 f7f5 e2c4 g7g6 g5f7 f8c5 f7h8 c5e3 g1h1 a5d2,204
r1qnkb1r/pp2pppp/8/3P1b2/4nB2/1Q6/PP1N2PP/R3KBNR w KQkq -,f1b5 f5d7 d2e4 d7b5 b3b5 c8d7 b5d7 e8d7 g1f3 a8c8,468
6k1/1r3pb1/1pq3pp/3Np3/2n1P3/1B3Q1P/P4PP1/1R4K1 w - -,b1c1 b6b5 a2a4 c6e8 b3c4 b5c4 c1c4 e8a8 a4a5 a8a6,217
8/6bp/1k4p1/1N6/P4P2/8/6K1/8 w - -,,0
r5k1/pp4pp/3N4/5p2/5Q2/5b2/PPP3PK/4q3 w - -,g2f2 b6a5 f2f3 a5a4 b5d6 g7f6 f3g4 f6e7 d6e4 a4b5,Mate
8/8/3n1p2/5P2/1k1b1K2/8/2Q5/8 w - -,c2c1 b4b5 f4f3 d4e5 f3e3 b5b6 e3d3 b6b5 c1c7 e5g3,112
2r3k1/1Q3p1p/4p1p1/3p4/q2P1B2/5P1P/2r3P1/2R2K2 w - -,,0
r1br4/1pk1n1pp/5p2/pPp1p3/P1P1P3/R2BP3/3N2PP/5RK1 w - -,d2b1 c8e6 d3e2 e7c8 a3a2 c8d6 b1d2 d8d7 g1f2 h7h5,-126
3rbr2/2q1bppk/p3p2p/1pp1P2Q/3p1P2/1P1P1R1R/PBPN2PP/6K1 w - -,f3g3 f8h8 b2c1 f7f5 e5f6 e7f6 h5e2 h8f8 d2f3 d8d5,56
r2q3r/5k2/2bp2R1/p1p1p2P/1p2P3/1P1P1P2/P1PQ4/1K5R w - -,d2g2 f7e8 h5h6 c6b5 g6g7 d8f6 h6h7 a5a4 g7g6 f6f7,464
r2q1rk1/2pn2pp/1p1p4/p2Ppp2/2P1b3/1P3NP1/PQ2PPBP/3R1RK1 w - -,b2c1 d8f6 f3g5 e4g2 g1g2 d7c5 g5h3 a8e8 f2f3 f6f7,-78
1brr3k/p1q2p1p/1p2pp2/5n2/2PP1P2/P6Q/B6P/2BR1R1K w - -,,0
r1b5/1pk1pp1p/1R4p1/p1P5/3r1P2/8/P1PB2PP/1R4K1 w - -,c5c6 b7c6 b6b8 a8b8 d2a5 c7d7 b1b8 d4f4 b8b4 f4f5,-139
rqr5/2bb1pkp/p3p1p1/Pp1pP1P1/1P1P1P2/4B2P/2QNR3/R5K1 w - -,c2a2 c7d8 d2b3 c8c4 b3c5 b8c7 a2d2 d8e7 c5d3 a8c8,-2
rn2r1k1/3n1pbp/p2p2p1/qppP4/N1P5/1P5P/PBQ1BPP1/R3R1K1 w - -,a4c5 g7b2 c2b2 d6c5 g1f1 a5d8 e2f3 d7f6 d5d6 a8a7,-240
r1b2rk1/1p3ppp/2p5/p1Pp4/P4q2/1P2P3/4BPPP/R4RK1 w - -,e2d3 f4b4 d3c2 c8g4 a1c1 g4e6 g2g3 a8e8 f1d1 f7f5,-693
r5k1/7p/1q2b1p1/1Ppp1p2/4pP2/2P1P1P1/1Q2B2P/3R2K1 w - -,c3c4 d5c4 h2h4 e6f7 g1f2 b6a5 b2f6 a5b5 h4h5 g6h5,81
r6r/5k2/p4Ppp/2pbB3/3p4/P7/3K1PPP/1R5R w - -,h2h4 h8e8 f2f4 d5e4 b1b6 e8e6 b6b2 a8c8 h1c1 g6g5,-23
rn1qk2r/1b2bppp/p1p1pn2/1p2N3/8/1PN3P1/2QPPPBP/R1B2RK1 w kq -,f1d1 d8d4 e5d3 b8d7 c1b2 d4b6 c3e4 c6c5 e4f6 g7f6,-10
r2q1rk1/pp2ppbp/2npb1p1/2n5/2P1P3/2N1BN1P/PP2BPP1/2RQ1RK1 w - -,f1e1 a7a5 e2f1 a5a4 f3d4 c6d4 e3d4 g7e5 d1d2 e5d4,44
rnb1kbnr/pp1p1ppp/2p5/4P1B1/3q4/2N2N2/PPP2PPP/R3KB1R w KQkq -,f1d3 d4b4 e1a1 b8a6 a2a3 b4g4 d3f1 g8e7 d1d4 g4e6,-615
r2k1bnr/pp1Bpppp/8/2pPp3/4P3/2P5/PP3PPP/RNBK3R w - -,d7h3 g8f6 f2f3 e7e6 d5e6 f7e6 h3e6 d8c7 c3c4 a8d8,587
8/ppk5/2p5/6p1/5n1p/1PN1r2P/P1P3P1/1K4R1 w - -,a2a4 e3c3 g1e1 f4g2 e1e5 c3h3 a4a5 h3e3 e5g5 e3g3,-522
r1b3k1/pp5p/4p1pq/4N3/1bpPQ3/2N5/Pr4P1/2R1KR2 w - -,c1c2 b2c2 e4c2 h6e3 e1d1 b4c3 e5g4 e3d4 d1c1 d4g4,-633
rnbq1b1r/pppp1kpp/8/4p3/4P1n1/8/PPPP1P1P/RNBQK1NR w KQ -,d1g4 b8c6 b1c3 d7d6 g4g3 c6d4 e1d1 f8e7 h2h4 h8f8,-47
1rb2rk1/p4p1p/2pp1Bp1/4p3/1PpPP3/2N2P1P/PP4RK/R7 w - -,d4e5 d6e5 f6e5 b8b7 e5f6 h7h6 a1d1 g8h7 g2d2 g6g5,541
r5k1/pp4pp/3N4/3b1p2/2Q5/8/PPP3PK/4q3 w - -,d4e5 d6e5 f6e5 b8b7 e5f6 h7h6 a1d1 g8h7 g2d2 g6g5,Mate
2r3k1/5p1p/4p1p1/3p4/q2P1B2/5P1P/6P1/2R2K2 w - -,,0
4n1k1/p3n1pp/1p3p2/2p1p1B1/4P3/2P3PP/PP3PK1/3B4 w - -,d1a4 b6b5 a4b5 e8d6 g5e3 d6b5 e3c5 e7c8 g2f3 b5d6,-207
1k3r1r/1p3pp1/p1q1pn2/6N1/8/1R4PP/PPP1QP2/4R1K1 w - -,h3h4 b8a8 e1d1 c6c7 b3c3 c7b6 a2a3 f6d5 c3b3 b6c7,271
r4rk1/pp3p2/2n1p1pp/7q/2Pp2n1/1P4P1/PQ1N1P1P/BR2R1K1 w - -,d2f3 c6e5 f3e5 g4e5 g1g2 h5f3 g2g1 f3f5 g1g2 a8d8,-188
8/pp3p2/3r3p/4k1p1/4P1P1/1P3PK1/P2R3P/8 w - -,d2d6 e5d6 f3f4 d6e7 h2h4 f7f6 h4g5 f6g5 f4f5 e7f6,481
7r/ppk5/2p1b1pp/P1P1p3/4P1P1/2K2PN1/2P5/3R4 w - -,,0
r3nr1k/pp2q1pp/2ppbp1B/8/4Q3/1P3P2/P1P2P1P/4R1RK w - -,e4e6 e7e6 e1e6 g7h6 e6e7 a8b8 a2a4 f8g8 a4a5 e8g7,-648
r3kbnr/pp1q1ppp/2np4/2p1p3/4P3/3P1NPb/PPP2PBP/RNBQR1K1 w kq -,g2h3 d7h3 b1c3 a8d8 c3d5 f8e7 c2c3 g8f6 d5c7 e8f8,56
r1b4r/1pp1n3/p1nk1N1p/1B2p1p1/4P3/8/PPP2PPP/R1B1K2R w KQ -,b5e2 c6d4 e2d3 h8f8 f6h5 e7g6 f2f3 c8d7 c2c3 d4e6,154
r1bqk1nr/ppp2ppp/8/3n4/2BP4/1Q3N2/PP1N1PPP/R4RK1 w kq -,c4d5 g8f6 d5f7 e8f8 f3e5 g7g6 f7g6 d8e7 g6c2 c8e6,642
2kr3r/ppp1qppp/2b1p3/8/3P4/2P2N2/P1P2PPP/R2Q1RK1 w - -,f3e5 c6d5 d1d3 f7f6 e5c4 b7b6 a2a4 a7a5 f1b1 e7e8,-27
8/ppk5/2p5/6p1/5n1p/1P4rP/P1P3P1/1K1N2R1 w - -,g1h1 c7d6 b1b2 g3g2 d1e3 g2e2 e3c4 d6e6 b2c1 e2g2,-373
3qkb2/r7/1p2bp2/p1pPp1p1/P2nPnP1/1PNPBPN1/3Q1KBr/1R3R2 w - -,f1g1 e6c8 g3f1 h2h8 f1g3 a7h7 g3f5 c8f5 e4f5 h7h2,-111
rn1q1rk1/1b2bppp/p1p1pn2/1p2N3/4N3/1P4P1/2QPPPBP/R1B2RK1 w - -,f1d1 b8d7 e5d7 d8d7 e4c5 e7c5 c2c5 f8e8 c1b2 e6e5,10
2R5/5p1p/4p1pk/3pB3/q2P4/5P1P/6P1/5K2 w - -,,0
r1b2rk1/2qnppbp/1p1p2p1/pBp4n/P2PP3/2P1BN1P/1P1N1PP1/R2Q1RK1 w - -,d4d5 c8a6 b5a6 a8a6 d2c4 c7b7 d1b3 a6a8 f1e1 f8b8,117
8/3k1p2/r5p1/P3R2p/3K3P/6P1/5P2/8 w - -,f2f4 d7c7 f4f5 c7d6 e5b5 d6c7 f5g6 a6g6 b5g5 g6h6,421
3rr1k1/p4pbp/1p4p1/2p5/4pNn1/PP2P1P1/1BP2P1P/3RR1K1 w - -,b2c1 g4e5 g1g2 c5c4 e1h1 g6g5 f4d5 c4b3 c2b3 d8d7,-90
5r1k/2p3p1/1p1p4/3PP2p/8/3n1P2/r2N4/4K3 w - -,b2c1 g4e5 g1g2 c5c4 e1h1 g6g5 f4d5 c4b3 c2b3 d8d7,Mate
r2qr1k1/pp1n1ppp/2pb1n2/4p1Bb/2BPP3/2P2N2/PP4PP/RN2QR1K w - -,b1d2 b7b5 c4b3 h7h6 g5h4 a7a5 a2a4 d8b8 h4f6 d7f6,22
r1b2rk1/1p4pp/2p5/p1Pp1p2/P4P2/1P6/4BPPP/R4RK1 w - -,h2h4 c8d7 b3b4 f8b8 b4b5 c6b5 e2b5 d7b5 a4b5 a5a4,-16
rn3rk1/4ppbp/p2p2p1/1ppPn3/2q1P3/P1N3PP/1PQ2PB1/R1BR2K1 w - -,c1f4 b8d7 g1h1 f8c8 b2b3 c4d4 f4e3 e5f3 e3d4 c5d4,270
r6r/4qk2/2bp2R1/p1p1p2P/1p2PP2/1P1P4/P1PQ4/1K5R w - -,h1g1 e7h4 f4e5 a8f8 d2e3 c6d7 g6d6 h4h3 e3c5 f8c8,461
rn1q1rk1/1b2bppp/p1p1p3/1p1nN3/4N3/1P4P1/1BQPPPBP/R4RK1 w - -,d2d4 d5b4 c2c3 f7f6 e5d3 b4d3 c3d3 f6f5 e4d2 e7d6,14
r4rk1/1bqnppbp/1p1p2p1/pBp4n/P2PP3/2P1BN1P/1P1NQPP1/R4RK1 w - -,a1c1 b7c6 d4d5 c6b5 e2b5 h5f6 e3f4 c7b7 c1d1 b7a6,92
6k1/p3n1pp/1p1n1p2/2p1p3/4P3/2P3PP/PP3PK1/2BB4 w - -,d1c2 e7c6 f2f4 g8f7 g2f3 f7e7 c2a4 b6b5 a4c2 c5c4,20
1Q6/2P5/3K4/8/8/3P1bkp/8/8 w - -,f2f4 d6e4 d1b3 g8f8 b3c2 e4d6 f4e5 f6e5 c2h7 g7g6,Mate
r1bqkb1r/2p2ppp/p1n2n2/1p1pp3/8/1P1BP2P/PBPP1PP1/RN1QK1NR w KQkq -,d3e2 f8d6 d2d3 e8h8 a2a4 c8b7 g1f3 d5d4 e3e4 c6a7,-75
r3kb1r/pp1qnppp/2np4/2p1p3/4P1b1/3P1NP1/PPP2PBP/RNBQR1K1 w kq -,a2a3 f7f6 c2c3 h7h5 b2b4 g4h3 g2h3 d7h3 b1d2 h5h4,27
r1bqk2r/ppp1nppp/8/3n4/2BP4/1Q3N2/PP1N1PPP/R3R1K1 w kq -,c4d5 e8h8 d5f7 f8f7 f3g5 d8d5 e1e7 d5b3 e7e8 f7f8,513
2bqkb2/r7/1p3p2/p1pPp1p1/P2nPnP1/1PNPBPN1/3Q1KBr/1R4R1 w - -,g3f1 h2h8 f1g3 a7h7 g3f5 h7h2 e3f4 g5f4 f5d4 c5d4,-105
r1bq1rk1/p2nppbp/2pp1n1B/1p5p/3PP3/2N2P2/PPPQ2P1/R3KBNR w KQ -,d2g5 f6e8 g5h5 g7d4 g1e2 d4h8 e2g3 f7f5 g3f5 e8f6,321
r1b4r/2p1n3/p1p2N2/2k1p1p1/4P3/8/PPP2PPP/2KR3R w - -,g2g3 e7g6 h2h3 c5b6 f6d7 c8d7 d1d7 a8f8 d7g7 h8h6,-153
r2qr1k1/pp1n1ppp/2pb1n2/6Bb/2BpP3/2P2N2/PP1N2PP/R3QR1K w - -,c3d4 h7h6 g5f6 d7f6 e1h4 h5f3 f1f3 d6b4 e4e5 f6d5,142
7k/pp1r3p/2b3p1/3p4/4pr1P/5PN1/PP2B1R1/3K1R2 w - -,h4h5 e4e3 e2d3 d5d4 h5g6 c6f3 g3e2 h7g6 d1e1 f3e2,213
2r3k1/1p2bppp/1B2bn2/2P1p3/1PP1p3/r7/4NPPP/1R1B1RK1 w - -,b1b3 a3a6 b3c3 f6d7 d1c2 d7b6 c2e4 b6a4 e4b7 a4c3,-257
5r1k/2p3p1/1p1p4/3Pn2p/8/5P2/r2NK3/8 w - -,b1b3 a3a6 b3c3 f6d7 d1c2 d7b6 c2e4 b6a4 e4b7 a4c3,Mate
1QQ5/8/3K4/8/8/3P1bk1/7p/8 w - -,b1b3 a3a6 b3c3 f6d7 d1c2 d7b6 c2e4 b6a4 e4b7 a4c3,Mate
1rr3k1/2qb1ppp/p2bpP2/3pn1PQ/3B3P/P1N5/1PP5/2KR1B1R w - -,f1a6 b8b2 c1b2 d6a3 b2a2 c8a8 h5e2 e5c4 a6c4 d5c4,-225
