5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
r2q1rk1/2p2pp1/Npnbp2p/5b2/2BP4/P3PN2/1P3PPP/2RQ1RK1 w - -,c4d3 f5d3 d1d3 c6e7 a6b4 c7c5 b4a2 d8b8 f1d1 c5d4,108
4rrk1/6b1/p3p3/1p3pp1/2pP1Q2/2P2P1q/PP3P2/1R3RK1 w - -,f4g3 h3g3 f2g3 e6e5 d4e5 g7e5 g1g2 f5f4 g3g4 e5g7,-482
r6q/pp1b1k2/6n1/3pb1Q1/5p1P/N1P5/PP3PP1/R1B3K1 w - -,b2b3 a8g8 h4h5 g6e7 g5h4 h8g7 g2g3 f4g3 c1g5 g7g5,-604
N7/pp4k1/8/P1QBnp2/7p/8/8/4q1K1 w - -,g1h2 e5g4 h2g2 g4e3 g2f3 e1f1 f3e3 f1g1 e3f4 g1c5,-978
r1b2rk1/2q2ppp/p1n1pn2/2bp4/3P4/P4N1P/1P2BPP1/R1BQ1RK1 w - -,d4c5 f6e4 f3g5 f8d8 f1e1 h7h6 g5e4 d5e4 d1c2 c6d4,13
6k1/1pr2pbp/pn1p2p1/3B4/1PP1KP2/P5P1/2R4P/4N3 w - -,e1g2 g8f8 g2e3 b6a4 g3g4 a6a5 g4g5 g7c3 b4a5 c3a5,19
2b4r/p5k1/1p1R4/4p2p/4P3/5PN1/PPP5/2K5 w - -,c1d2 h5h4 g3h1 h4h3 d2e3 g7f7 h1f2 c8e6 d6d1 h8c8,3
2r2rk1/pp1q1pp1/2nb1p1p/8/3P2b1/1QN1PN2/PP2BPPP/R3K2R w KQ -,e1h1 f8e8 f1c1 a7a6 c3d5 c6a5 b3d1 b7b5 c1c8 d7c8,138
r1bq1rk1/1pp1bppp/p1np1n2/4p3/P1B1P3/5N1P/1PPP1PP1/RNBQR1K1 w - -,d2d4 e5d4 f3d4 c6d4 d1d4 f6d7 b1c3 e7f6 d4d2 f8e8,39
R7/8/8/8/8/6p1/1r2k1K1/8 w - -,,0
1k6/8/2P5/1P5p/2N1pp1P/8/4K3/8 w - -,g2g3 b2b4 a8e8 e2d2 e8c8 b4b7 c8h8 d2e3 h8e8 e3d3,Mate
r1b1k2r/1pqn1ppp/p1n1p3/1BbpP3/3N1P2/2N1B3/PPPQ2PP/R3K2R w KQkq -,,0
r4rk1/pp2qpp1/2n1bn1p/2b1p1B1/Q7/2N1PN2/PP2BPPP/R4RK1 w - -,g5f6 e7f6 e2b5 a8c8 f1d1 f8d8 c3e4 d8d1 a1d1 f6e7,37
1b6/1P6/2K5/2B5/8/2k5/8/8 w - -,g5f6 e7f6 e2b5 a8c8 f1d1 f8d8 c3e4 d8d1 a1d1 f6e7,Mate
r1b1kb1r/pp3ppp/1qn1p1n1/4P3/1PPp4/P4N2/1B3PPP/RN1QKB1R w KQkq -,h2h4 h7h5 b1d2 b6c7 d2e4 f8e7 c4c5 e8h8 e4d6 g6e5,75
5k2/1pr2pbp/pn1p2p1/3B4/1PP1KP2/P2N2P1/2R4P/8 w - -,,0
5rk1/p4p1p/4pp2/2p5/2r1PP2/P3R3/2P3PP/5RK1 w - -,f4f5 e6e5 f1d1 c4c2 e3g3 g8h8 d1d6 f8g8 g3g8 h8g8,-28
1k1r4/ppp1nqp1/5p2/2Pr4/4N1P1/3nB2P/PP2QP2/1K1R3R w - -,e4c3 d5d7 d1d2 g7g5 b1a1 e7c6 h1d1 f7h7 e2f3 d3b4,33
2r2rk1/pp1q1pp1/2nbbp1p/8/3P4/1QN1PN2/PP2BPPP/R3K2R w KQ -,d4d5 e6g4 d5c6 c8c6 a1d1 f8c8 f3d4 g4e2 d4e2 c6b6,429
r4r1k/pp2b1pp/4Qn2/6Nq/8/5b2/PP1B1PPP/2RR2K1 w - -,g5f3 e7c5 d1e1 a8e8 e6c4 c5b6 e1e8 f8e8 d2c3 h5f5,137
r1bqk1nr/pp4pp/2nbp3/2pp1p2/3P1B2/2P1PN2/PP2BPPP/RN1QK2R w KQkq -,d4c5 d6c5 c3c4 d5c4 e1h1 g8f6 b1c3 f6h5 e2c4 h5f4,89
5r1k/b1p3pp/p1Qp4/P3pN2/4Pqr1/3pR2P/1PPN1P2/R5K1 w - -,g1h1 f4f2 h3g4 a7e3 a1f1 f2d2 f5e3 f8g8 e3g2 d3c2,62
8/p2K2k1/2pNb3/8/2PP4/1P5R/4r2P/8 w - -,d7e7 e6h3 e7d8 e2b2 d6b7 b2b3 b7a5 b3a3 a5b7 a3a4,-416
r1bqkb1r/pppnnppp/3p4/1B1Pp3/4P3/2N5/PPP2PPP/R1BQK1NR w KQkq -,b5c4 g7g6 h2h4 d7f6 g1e2 f8g7 d1d3 e8h8 c4b3 f6h5,47
6rq/pp1b1k2/6n1/3pb1QP/5p2/N1P5/PP3PP1/R1B3K1 w - -,h5g6 g8g6 g5f4 e5f4 c1f4 g6g2 g1g2 h8h3 g2g1 h3f3,-603
rn2kb1r/pp2nppp/2p1p3/q2pPb2/3P4/3B1N2/PPPN1PPP/R1BQK2R w KQkq -,d3e2 h7h6 c2c3 a5c7 a2a4 b8d7 e1h1 a7a5 d2b3 f5h7,76
2n3k1/3q1pp1/4pn1p/8/3P4/2NQ2NP/5PP1/6K1 w - -,c3e4 f6d5 e4c3 c8e7 d3b5 d7c7 c3d5 e7d5 b5d3 c7c1,-11
5rk1/1b4pp/1B2pn2/p2p4/P7/3B1P2/1P4PP/2R3K1 w - -,c1c7 f8f7 b6a5 e6e5 a5b6 e5e4 f3e4 f7c7 b6c7 d5e4,385
8/2PK4/8/3k4/nP6/8/8/8 w - -,,0
r2q1rk1/ppp2ppp/2pn4/4Nb2/8/1PP2Q2/P1P2PPP/R1B2RK1 w - -,e5d3 f8e8 c3c4 a7a5 c1a3 d8g5 h2h4 g5g6 h4h5 g6g5,-10
2r2rk1/pp1q1pp1/3bbp1p/n2P4/8/1QN1PN2/PP2BPPP/R3K2R w KQ -,d5e6 f7e6 b3c2 b7b5 a2a3 f6f5 a1d1 a7a6 c2b1 d7e7,450
1r3rk1/1p2pp1p/p1q1bbp1/8/PPpP4/4PN2/2QB1PPP/2R2RK1 w - -,e3e4 e6d7 a4a5 b7b5 a5b6 c6b6 h2h3 f8d8 d2c3 e7e6,28
r4rk1/pp3pp1/2n1bq1p/2b1p3/Q7/2N1PN2/PP2BPPP/R4RK1 w - -,e2b5 a8c8 c3e4 f6e7 e4c5 e7c5 a1c1 c5b6 b5c6 b7c6,36
r3k1nr/ppp2ppp/2nb4/4p3/4P1b1/2N2N2/PPP1KPPP/R1B2B1R w kq -,c1e3 g8f6 h2h3 g4h5 g2g4 h5g6 f3d2 c6d4 e2d1 d6c5,-36
r1kn3r/ppp2pbp/4b1p1/4n1N1/2P1P3/2N1B2P/PP2B1P1/R3K2R w KQ -,c4c5 e6c4 e3d4 c4e2 e1e2 h7h6 g5f3 d8c6 d4e5 g7e5,-16
r1b2rk1/pp2qnbp/3p1pp1/2pPn3/2P1PB2/2N4P/PPQ1B1P1/R3NRK1 w - -,g1h2 f6f5 e4f5 c8f5 c2d2 a8e8 e1f3 e5f3 e2f3 g7e5,-80
r1bqkbnr/pp3ppp/4p3/2Ppn3/7P/2N5/PPP2PP1/R1BQKBNR w KQkq -,g1f3 e5f3 d1f3 f8c5 c1e3 c5e3 f2e3 g8e7 e1a1 e7c6,-71
r1bqk2r/pp4pp/2nbpn2/2pp1p2/3P1B2/2P1PN2/PP2BPPP/RN1Q1RK1 w kq -,d4c5 d6c5 c3c4 d5c4 b1c3 d8d1 f1d1 h7h6 e2c4 g7g5,91
8/5K1P/R7/5k2/8/7r/8/8 w - -,f7g8 h3g3 g8f7 g3h3 a6a5 f5g4 f7g6 h3h2 a5g5 g4f3,1157
5rk1/2nb1p1p/2p1p3/1p1pP1Pp/1R6/3PP1N1/r4PB1/4K2R w - -,g3h5 a2a1 e1d2 a1h1 g2h1 c7e8 b4h4 h7h6 f2f4 c6c5,64
r2qk2r/p3bppp/1pn1p3/2PpPn2/3B4/2P2N1P/PP3PP1/R2QKB1R w KQkq -,f1b5 d8c7 d1a4 a8c8 c5b6 a7b6 g2g4 f5h4 f3h4 e7h4,181
8/p5k1/2KN4/8/2PP4/1P5b/4r2P/8 w - -,b3b4 g7f6 b4b5 e2e7 b5b6 a7b6 c6b6 e7h7 d6b7 f6e7,-252
2b4r/p5k1/1p1R4/4p3/4P3/5P1p/PPPK4/7N w - -,,0
N7/pp4k1/8/P1QBnp2/7p/8/4q1K1/8 w - -,g2h1 e5g4 c5c7 g7h6 c7f4 h6g6 d5c4 g4f2 h1g1 f2h3,-536
8/3k4/7R/8/8/N2K4/8/6r1 w - -,a3c2 g1d1 d3c3 d1b1 c2d4 b1f1 c3c2 d7d8 d4c6 d8e8,-8
1k1r4/ppprnqp1/5p2/2P5/6P1/2NnB2P/PP2QP2/1K1R3R w - -,d1d2 f7c4 h1d1 a7a5 h3h4 e7c6 a2a3 a5a4 g4g5 f6f5,34
r1bqkb1r/pp1p1ppp/2n2n2/8/4p3/2N2N2/PPP1PPPP/R1BQKB1R w KQkq -,f3g1 d7d5 e2e3 a7a6 g1e2 f8d6 e2d4 e8h8 c3e2 c8d7,-120
2kr1r2/pb1n1p2/1pp1pn1p/4N1p1/5P2/2NP4/PPP3PP/3RRBK1 w - -,f4g5 h6g5 d3d4 c8c7 f1e2 a7a6 e1f1 d7e5 d4e5 f6d7,14
rnbq1rk1/p1p1bppp/1p2pn2/3p4/3P1P2/2NBPN2/PPP3PP/R1BQK2R w KQ -,d1e2 c7c5 b2b3 b8c6 a2a3 c8b7 c1b2 a7a6 e1h1 c5d4,-32
r1b1k2r/2q2ppp/p3p3/4P3/1Pp1pP2/8/P2QB1PP/R3K2R w KQkq -,a1c1 e8h8 c1c4 c7e7 e1h1 f8d8 d2e3 c8b7 c4c5 a8c8,10
8/8/8/4K3/1r4k1/8/8/8 w - -,a1c1 e8h8 c1c4 c7e7 e1h1 f8d8 d2e3 c8b7 c4c5 a8c8,Mate
6k1/4qpp1/1n2pn1p/8/2QPN3/6NP/5PP1/6K1 w - -,e4f6 e7f6 c4b5 b6d5 b5b8 g8h7 b8b1 g7g6 b1e4 h7g8,-6
8/1p1r4/6kP/6P1/P1bpp3/4K3/1P6/7R w - -,e3f2 e4e3 f2g3 e3e2 g3f4 d4d3 h6h7 d7h7 h1h7 g6h7,-1252
4rrk1/6b1/p3p3/1p3pQ1/2pP4/2P2q2/PP3P2/1R3RK1 w - -,b1e1 g8f7 g5g2 f3g2 g1g2 f8h8 g2f3 h8h3 f3g2 h3h6,-452
8/r4pk1/P1p3pp/4P2P/R5K1/8/8/8 w - -,,0
6k1/4qpp1/4pn1p/2Qn4/3PN3/6NP/5PP1/6K1 w - -,c5c8 g8h7 c8c2 f6e4 g3e4 h7g8 c2c8 e7f8 c8f8 g8f8,-4
r1bq1rk1/pp4pp/2nbpn2/2ppNp2/3P1B2/2P1P3/PP2BPPP/RN1Q1RK1 w - -,e5c6 b7c6 f4d6 d8d6 b1d2 e6e5 d2f3 c5d4 c3d4 e5e4,25
8/p5bk/1p5p/1PpNr1p1/2P4r/4BP1P/PnR1P1K1/2R5 w - -,c2b2 e5d5 b2b3 d5d7 a2a4 h7g6 a4a5 h6h5 e3f2 h4f4,117
5k2/2p4p/p3p1pN/1p2P1P1/2pP3P/P1P2K2/2b5/8 w - -,,0
k7/8/1PP5/7p/2N1pp1P/8/4K3/8 w - -,f3e2 c2f5 e2e3 f5h3 e3d2 a6a5 d2e2 c7c6 e2d2 h3g2,Mate
2b2rk1/2R3pp/1B2pn2/p2p4/P7/3B1P2/1P4PP/6K1 w - -,b6c5 f8d8 c5e7 d8e8 d3b5 c8d7 e7f6 g7f6 b5d7 e8e7,477
2r1k3/4q2p/p7/1pp2p2/3r3P/N2p4/P4P1P/Q1QK1Q2 w - -,c7a7 e6e5 b6a5 c8e6 d3b5 e6f5 a5c7 e5e4 f3e4 f5e4,Mate
r7/1p1n1pkp/2p1b1p1/4p3/p1PrP3/P1N2P2/1P2BKPP/1R1R4 w - -,f2e3 d4d1 e2d1 d7c5 d1e2 f7f6 g2g3 g7f7 h2h4 f7e7,-39
5k2/1pr2pbp/pn4p1/2pB4/1P2KP2/P2N2P1/2R4P/8 w - -,d5a2 c5c4 d3c5 c7e7 e4f3 c4c3 c2c1 g7d4 c5b3 d4f6,-130
3r2k1/1b2qpp1/p2bp3/1p1r3p/3N4/2P2NQP/PP1R1PP1/5RK1 w - -,f3e5 d6e5 g3e3 e7f6 d2e2 e5d4 c3d4 f6d4 e3g3 d8c8,-571
r2qk2r/ppp1bppp/2n5/3np3/6b1/1B1P1N2/PPP2PPP/RNBQ1RK1 w kq -,h2h3 g4h5 g2g4 h5g6 f1e1 e8h8 f3e5 c6e5 e1e5 d5b4,31
8/8/6K1/2k5/6N1/8/2B5/8 w - -,g4f2 c5b5 f2d1 b5c5 g6f5 c5d6 c2b3 d6c6 f5e6 c6c5,9605
r5k1/r1Rbnppp/p3p3/1p6/3PP3/3BKN2/P4PPP/2R5 w - -,h2h4 g8f8 g2g4 f7f6 c7c5 a8c8 c5c8 e7c8 g4g5 h7h6,87
8/p5k1/2KN4/8/1PPP4/7b/7r/8 w - -,c6c5 h3f1 d6b7 g7f6 d4d5 h2c2 b7a5 f6f7 c5b5 f7e7,-267
6k1/5p1p/4p3/p1p3P1/2r1P2P/2r5/2PR1RK1/8 w - -,,0
r1bqrk2/pp2nppp/8/b2p2B1/2B1PQ2/5N2/P4PPP/2R2K1R w - -,g5e7 d8e7 c4d5 c8e6 g2g3 a8d8 f1g2 e6d5 e4d5 d8d5,-196
r2q1rk1/1p3pbp/p1npbnp1/1N6/4P3/3B3P/PP3PP1/RNBQ1RK1 w - -,b1c3 a6b5 d3b5 d6d5 c3d5 f6d5 e4d5 e6d5 c1e3 d5e6,-387
1k1r4/pppr1qp1/2n2p2/2P5/6P1/2NnB2P/PP1RQP2/1K5R w - -,h1d1 b8c8 h3h4 d3e5 d2d7 d8d7 d1d7 f7d7 f2f3 c6d4,53
r1b1k2r/1pqn1ppp/p3p3/2bpP3/3n1P2/2N1B3/PPPQB1PP/R3K2R w KQkq -,,0
r2qkb1r/ppp2pp1/2n2n1p/3pp3/4P1b1/2NPBN2/PPP1BPPP/R2QK2R w KQkq -,c3d5 f6d5 e4d5 d8d5 c2c3 e8a8 e1h1 f8c5 d1b3 d5b3,-14
2r2rk1/pp1q2p1/3bpp1p/n7/8/1QN1PN2/PP2BPPP/R3K2R w KQ -,b3c2 b7b5 c2d1 a7a6 a2a4 b5b4 c3e4 c8c6 e1h1 f8d8,463
8/R6p/6k1/pP3p2/2r5/2N5/3P1K1P/7b w - -,a7a5 c4d4 f2e3 d4h4 a5a1 h1b7 c3e2 h4h3 e3d4 h3h2,47
6k1/5pp1/4pq1p/2Qn4/3P4/6NP/5PP1/6K1 w - -,c5c4 f6d8 c4d3 d8a5 g3f1 a5a1 g2g3 d5e7 d3b5 a1a8,-10
r1b2rk1/1pq1bppp/p2pp3/8/3QPPn1/2N1B1P1/PPP3BP/R4RK1 w - -,g1h1 g4e3 d4e3 b7b5 a2a3 a8b8 e3d2 c8b7 c3d1 b7a8,-71
8/1p1r4/6kP/3b2P1/P2p4/4pK2/1P6/7R w - -,g1h1 g4e3 d4e3 b7b5 a2a3 a8b8 e3d2 c8b7 c3d1 b7a8,Mate
3r2k1/1b3pp1/p2bp3/1p1r3p/3N3q/2P2N1P/PP1R1PP1/5RK1 w - -,c3c4 d5d4 d2d4 h4e7 d4d3 b5c4 d3c3 d6c7 f1c1 b7d5,-663
r1b2rk1/5ppp/p1n1pn2/q1Pp4/8/P4N1P/1P2BPP1/R1BQ1RK1 w - -,b2b4 a5c7 f3d4 c8d7 c1b2 f6e4 d4c6 c7c6 a1c1 f7f6,116
4rrk1/6b1/p3p3/1p3p1q/2pP4/2P3Q1/PP3P2/1R3RK1 w - -,f2f4 f8f6 g1f2 f6g6 f1h1 h5e2 f2e2 g6g3 e2f2 g3d3,-443
4rr1k/pp2b1pp/4Qn2/7q/8/5N2/PP1B1PPP/2RR2K1 w - -,e6e5 h5e5 f3e5 f6d5 c1c2 e8c8 d1c1 c8d8 g2g3 h8g8,155
8/8/6K1/8/1k6/8/2B2N2/8 w - -,f2d1 b4a3 c2b1 a3b3 g6f5 b3a4 f5e6 a4b4 b1a2 b4c5,9605
6k1/5pp1/4p2p/2Qn4/3PN2q/7P/5PP1/6K1 w - -,e4c3 d5f4 c5c8 g8h7 c8b7 f4d3 b7e4 h4e4 c3e4 d3b4,-1
5k2/1pr3bp/pn4p1/2NB1p2/1P2KP2/P5P1/2R4P/8 w - -,e4d3 c7e7 d5b7 g7h8 b7c6 e7e1 a3a4 e1a1 a4a5 a1a3,343
8/p5k1/2KN4/2P5/1P1P4/8/6br/8 w - -,c6c7 g7f6 d6b5 h2h7 c7d6 h7b7 b5a3 b7b4 c5c6 b4d4,-391
2br2k1/2R3pp/4pn2/p1Bp4/P7/3B1P2/1P4PP/6K1 w - -,c5e7 d8e8 d3b5 f6d7 e7g5 h7h6 g5d2 e6e5 d2a5 g8f7,523
N7/pp4k1/8/P1QBnp2/6qp/7K/8/8 w - -,h3h2 g4e2 h2h3 g7g6 c5d4 e5g4 d4f4 e2d3 d5f3 d3c3,-49
r1bqkb1r/pp4pp/2n1ppn1/2P1P3/1P1p4/P4N2/1B2QPPP/RN2KB1R w KQkq -,b1d2 a7a5 b4b5 c6e5 f3e5 g6e5 a1c1 f8e7 e2e4 e5g6,80
rn1q1bnr/ppp2kpp/3pb3/3Q4/4P3/5N2/PPp2PPP/RNB1K2R w KQ -,d5h5 g7g6 h5b5 c2b1q a1b1 f8e7 f3d4 e6c8 b5c4 f7g7,-472
8/8/6K1/8/8/2kN4/2B5/8 w - -,c2b1 c3b3 g6f6 b3a3 f6f5 a3b3 f5e5 b3c3 e5e4 c3c4,9605
b2qr1k1/2p2p1p/6p1/1p1pP3/1b1Pn3/3Q2N1/2B2PPP/2B2RK1 w - -,g3e4 d5e4 d3b5 d8b8 b5c4 e8d8 c1g5 a8d5 c4e2 d8c8,121
r1b2rk1/ppq3pp/2nbpn2/2ppNp2/3P1B2/2P1P3/PP1NBPPP/R2Q1RK1 w - -,d2f3 b7b6 c3c4 c6e7 a1c1 f6e4 e5d3 c8a6 c4d5 a6d3,48
r1b3kr/pppqb1pp/8/3pp1N1/3n4/1Q4N1/PPP2PPP/R1B1K2R w KQ -,b3c3 e7b4 e1h1 b4c3 b2c3 d4c2 a1b1 h7h6 g5h3 d7c6,-586
r2q1rk1/5pbp/p1npbnp1/1p6/4P3/2NB3P/PP3PP1/RNBQ1RK1 w - -,a2a3 c6d4 b1d2 f6d7 d3c2 d4c2 d1c2 d7c5 d2f3 e6b3,-97
8/p5k1/3N3r/1KP5/1P1P4/8/6b1/8 w - -,d6f5 g7h7 f5h6 g2f1 b5c6 f1g2 d4d5 h7g6 c6d6 g6f6,774
5r1k/b1p3pp/p1Qp4/P3pN2/4P1r1/3pR2P/1PPN1q2/R6K w - -,h3g4 a7e3 a1f1 f2d2 f5e3 f8g8 e3g2 d3c2 c6c3 d2c3,55
4rr1k/pp2b1pp/8/7q/4n3/1Q3N2/PP1B1PPP/2RR2K1 w - -,d2e3 b7b6 b3d5 h5d5 d1d5 e7f6 c1c2 e8c8 c2e2 h8g8,155
3b4/8/8/4B3/6K1/7p/6k1/8 w - -,e5d6 d8b6 d6b8 b6g1 b8e5 g1h2 e5d4 h2d6 d4e3 h3h2,-950
3R4/8/8/8/8/6p1/4k1K1/1r6 w - -,,0
r2qrbk1/pb3ppp/1pn2n2/3pN3/3p1P2/2NBP3/PP4PP/2RQBRK1 w - -,e3d4 c6d4 e1h4 a8c8 d3b1 f8c5 g1h1 b7a6 f1e1 d8d6,-58
1rr5/3R1pkp/2p1p1p1/8/8/8/PP3PPP/1KR5 w - -,c1c3 b8b5 c3f3 b5f5 f3f5 g6f5 a2a4 c6c5 d7d3 c8a8,150
r3r1k1/ppp2ppp/2pn1q2/4Nb2/8/1PP5/P1P2PPP/R1BQR1K1 w - -,d1d4 c6c5 d4f4 e8e6 c3c4 f5c2 f4f6 g7f6 e5f3 a7a5,-89
rn1r1k2/pb3pp1/1p2p2Q/q5B1/6R1/3B4/5PPP/3R2K1 w - -,d1d4 c6c5 d4f4 e8e6 c3c4 f5c2 f4f6 g7f6 e5f3 a7a5,Mate
r1br4/1p3kpp/2p1pp2/1n6/3PNP2/4P3/5P1P/1RR2BK1 w - -,f1b5 c6b5 b1b5 f7e7 h2h4 d8d5 b5b6 f6f5 e4g5 h7h6,99
r2q2k1/ppn2ppp/2p2b2/3p1b2/3P1B2/2P2N2/PP1Q1PPP/R4BK1 w - -,f4e5 c7e6 a2a4 a7a5 f1d3 f5d3 d2d3 f6e5 f3e5 e6g5,16
r1b2rk1/ppq3pp/2nbp3/2ppNp2/3P1Bn1/2P1PN2/PP2BPPP/R2Q1RK1 w - -,e5c6 c7c6 f4d6 c6d6 d4c5 d6c5 a1c1 c8d7 c3c4 f8c8,90
k7/8/1PPN4/7p/5p1P/4p3/4K3/8 w - -,e5c6 c7c6 f4d6 c6d6 d4c5 d6c5 a1c1 c8d7 c3c4 f8c8,Mate
8/r4pk1/P1p4p/4P2p/R4K2/8/8/8 w - -,a4a3 g7f8 f4f5 h5h4 f5f6 c6c5 e5e6 f7e6 f6e6 h4h3,-7
4rrk1/6b1/p3p3/1p5q/2pP1p2/2P3Q1/PP3P2/1R2R1K1 w - -,g3h2 h5f5 f2f3 f8f6 e1e4 e8f8 g1f2 f6h6 h2h6 g7h6,-636
8/p5bk/1p5p/1PpN1rp1/2P4r/5P1P/PnR1PBK1/2R5 w - -,f2h4 g5h4 f3f4 b2c4 e2e4 f5d5 e4d5 c4d6 c2e2 d6b5,479
8/8/6K1/8/2k5/3N4/8/1B6 w - -,g6f5 c4d4 f5f4 d4d5 d3f2 d5c4 f4e5 c4c3 f2d3 c3c4,9605
1k1r4/pppr2p1/2n2p2/2P5/2q3P1/2NnB2P/PP1RQP2/1K1R4 w - -,h3h4 a7a5 h4h5 a5a4 a2a3 c6a5 g4g5 a5b3 d2d3 d7d3,31
r1b1k2r/ppp1q1pp/3b1n2/4N1B1/2Qpp3/8/PPPN1PPP/R3K2R w KQkq -,f2f4 d6e5 c4b5 c7c6 b5e5 e4e3 e5e7 e8e7 d2b3 h8d8,-186
5k2/1p2rpbp/pn4p1/2NB4/1P2KP2/P5P1/2R4P/8 w - -,e4f3 b6d5 c2d2 d5c7 d2d8 c7e8 c5d7 f8g8 d7c5 g7b2,-367
r1b1k2r/p1qn1ppp/2p1p3/2bpP3/3N1P2/2N1B3/PPP3PP/R2QK2R w KQkq -,e1h1 c8a6 f1f3 c5e7 f3g3 g7g6 d4f3 c7b7 b2b3 c6c5,-44
rn2kbnr/pppq2pp/4bp2/4p3/3pP3/5NNP/PPPP1PP1/R1BQKB1R w KQkq -,a2a3 g7g6 f1e2 a7a5 b2b3 g8e7 e1h1 h7h5 d2d3 h5h4,-83
r2q1rk1/5pbp/p1np2p1/1p1b4/8/3B3P/PP3PP1/RNBQ1RK1 w - -,a2a4 c6d4 c1e3 b5a4 d1a4 d5c6 a4d1 d8b8 b1d2 b8b2,-126
2b4r/p4k2/1p1R4/4p3/4P3/4KP1p/PPP5/7N w - -,,0
4R3/8/8/8/8/6p1/6K1/1r1k4 w - -,,0
r1bq1rk1/1p2n1bp/2np2p1/p1p1pp2/P3P3/2PP1NP1/1P1N1PBP/R1BQR1K1 w - -,d1b3 g8h8 f3g5 d8d7 e4f5 e7f5 d2c4 a8b8 c4b6 d7e7,127
2rq1rk1/p2nbppp/2p1pn2/1p5b/3P3N/2N1P1P1/PP2QPBP/R1BR2K1 w - -,g2f3 h5f3 h4f3 b5b4 c3a4 d8a5 b2b3 a5b5 d1e1 b5e2,-7
8/7p/4p2R/p1p3P1/2r1P1kP/8/2r2RK1/8 w - -,,0
rnbqk2r/pp2bppp/2p2n2/4p1B1/4B3/2NP4/PPP2PPP/R2QK1NR w KQkq -,d1d2 e8h8 e1a1 b8a6 f2f4 e5f4 g5f4 f6e4 d3e4 d8a5,-43
6k1/5pp1/4p2p/8/3P4/2Q2P1P/6P1/1q4K1 w - -,,0
5r1k/2p3pp/p1Qp4/P3pN2/4P1P1/3pb3/1PPN1q2/R6K w - -,a1f1 f2d2 f5e3 f8g8 e3g2 d3c2 c6c3 d2c3 b2c3 g8b8,66
r1bqkb1r/pp1p1ppp/5n2/8/3np3/2N5/PPP1PPPP/R1BQKB1R w KQkq -,g2g4 d8b6 f1h3 d4b5 c3b5 b6b5 g4g5 f6g8 c2c4 b5a5,-382
r2qk2r/ppp1n1bp/2n2pp1/1B1p4/3P2bB/2N2N2/PPP2PPP/R2Q1RK1 w kq -,h2h3 g4f3 d1f3 e8f7 c3e2 e7f5 b5c6 b7c6 h4g3 h8e8,28
r1br4/1p3kpp/4pp2/1p6/3PNP2/4P3/5P1P/1RR3K1 w - -,b1b5 f7e7 g1g2 h7h6 g2f3 d8d7 b5b6 f6f5 e4d2 a8a2,86
1n1k1b2/r2P2p1/p3P2p/3Q4/p2R4/8/1PP1q1PP/1K6 w - -,d5a5 a7c7 a5c7 d8c7 d7d8q c7b7 d8f8 e2e1 b1a2 e1e6,507
2r2rk1/pp1q1ppb/2nb1p1p/8/3P4/1QN1PN2/PP2BPPP/R3K2R w KQ -,e1h1 c6a5 b3b5 d7d8 e2d3 h7d3 b5d3 a5c4 d3e2 d8a5,132
rnbqkb1r/p4ppp/2pp1n2/1p1Pp3/2B1P3/2N2N1P/PPP2PP1/R1BQK2R w KQkq -,c4b3 b5b4 c3a4 f8e7 c2c3 f6e4 c3b4 e4f6 a2a3 a7a5,24
r1bq1rk1/1p1nbppp/p2ppn2/2p5/4PP2/2NP1NP1/PPP3BP/R1BQ1RK1 w - -,a2a4 a8b8 a4a5 b7b6 a5b6 d8b6 g1h1 c8b7 d1e2 b6c7,50
r2qr1k1/2p1bppp/p1np1n2/1p2p3/3PP1b1/1BP1BN2/PP1N1PPP/R2QR1K1 w - -,h2h3 e5d4 c3d4 g4h5 b3c2 f6d7 a2a3 e7f6 g2g4 h5g6,78
r4rk1/pp2qpp1/2n1b2p/2b1p3/Q3N3/4PN2/PP2BPPP/R4RK1 w - -,e4c5 e7c5 a2a3 c5b6 b2b4 e5e4 f3d2 f7f5 d2c4 e6c4,27
rnb1kbnr/ppp1qppp/3pp3/8/3P1B2/2P1P3/PP3PPP/RN1QKBNR w KQkq -,g1f3 g8f6 c3c4 g7g6 b1c3 f8g7 f1e2 e8h8 h2h3 b7b6,50
3r2k1/1b2bpp1/p3p3/1p1r3p/3N3N/2P4P/PP1R1PP1/5RK1 w - -,h4g6 f7g6 f1e1 e6e5 d2e2 e7f6 d4f3 d5d1 f3e5 g6g5,-454
r1b2rk1/ppq3pp/2n1p3/2Ppbp2/5Bn1/2P1PN2/PP2BPPP/R2Q1RK1 w - -,f3e5 g4e5 b2b4 c7e7 b4b5 g7g5 f4e5 c6e5 d1d4 e5d7,-257
5k2/1p2rpbp/p5p1/2Nn4/1P3P2/P4KP1/2R4P/8 w - -,c2d2 d5c7 d2d8 c7e8 c5d7 f8g8 d7c5 g7b2 c5b7 e7b7,-364
8/7R/4p3/p1p3P1/2r1P1kP/8/5rK1/8 w - -,g2f2 c4e4 g5g6 e4f4 f2e3 f4f8 h4h5 f8g8 g6g7 a5a4,209
6k1/5pp1/1q2p2p/8/3P4/2Q2P1P/5KP1/8 w - -,,0
