3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
8/8/5k2/2R5/3R4/8/3K4/8 w - -,f1e2 e6e5 d4e5 e7e5 d1d8 c6d8 e2f3 a6a5 h1d1 c8e6,Mate
4b3/8/1k1K4/1p6/1P6/8/8/8 w - -,f1e2 e6e5 d4e5 e7e5 d1d8 c6d8 e2f3 a6a5 h1d1 c8e6,Mate
rn2kb1r/1p1b2pp/1q3pn1/pP1pp3/P7/B3PN1P/3P1PP1/RN1QKB1R w KQkq -,d1b3 d7e6 a3f8 h8f8 b1c3 b6d6 f1e2 e8f7 e1h1 f8c8,7
2kr4/ppp3pp/2nb4/7q/8/3P1N1P/PP1B1PP1/R2Q2K1 w - -,d2c3 c6b4 d1a4 b4d3 a4a7 h5b5 a2a4 b5c5 a7a8 c8d7,121
3rr1k1/1p3pbp/p1n3p1/3b4/4N3/P2PB2P/1P1RBPP1/2K4R w - -,e2d1 c6e5 d1c2 d5e4 d3e4 e5c4 d2d8 e8d8 c1b1 g7b2,-21
r4rk1/pppqbpp1/3p3p/3np3/1nPPP3/5N1P/PP3PP1/R1BQ1RK1 w - -,c4d5 f7f5 f1e1 f5e4 e1e4 d7f5 d1e2 b4d5 d4e5 c7c6,9
r1b2r2/5kqB/p3p3/1p1pP1Q1/3P4/2N5/PPP3P1/2K4R w - -,h1f1 f7e8 g5g7 f8f1 c1d2 f1f4 h7g6 e8d8 g6d3 b5b4,878
rn1q1rk1/1bp2ppp/pp1bpn2/3p4/2PP4/P1NBPN2/1P1B1PPP/R2Q1RK1 w - -,d1c2 d5c4 d3c4 b8d7 c4d3 b7f3 g2f3 c7c5 d4c5 d7c5,-25
rn2kn1r/1p1b2pp/1q3p2/pP1pp3/P7/4PN1P/3P1PP1/RN1QKB1R w KQkq -,f1e2 d7e6 d1c1 f8g6 c1a3 d5d4 e1h1 b8d7 f1c1 e8f7,29
1r4k1/5pb1/pB3n1p/6p1/N7/Pp5P/5PP1/1b2R1K1 w - -,e1b1 f6d7 b1b3 g7f8 b3b1 d7b6 b1b6 b8b6 a4b6 f8a3,-304
r1br2k1/1pp1qpp1/p1n4p/4p3/3PN2P/P3Q3/1PP1BPP1/2KR3R w - -,d4e5 e7e5 d1d8 c6d8 e2f3 g8f8 e3d2 d8c6 e4c3 c8e6,82
r1b2rk1/p4ppp/3q4/2p5/3pn3/1P4R1/PBPP1PPP/RN1Q2K1 w - -,g3d3 d6g6 b1a3 h7h5 d1f1 f8e8 a3c4 h5h4 f2f4 a8b8,-127
rn2kn1r/1p4pp/1q2bp2/pP1pp3/P7/1Q2PN1P/3P1PP1/RN2KB1R w KQkq -,b1c3 b6d6 d2d4 e5e4 f3d2 f8d7 f2f3 e4f3 g2f3 e8h8,22
r1b1kr2/6qB/p3p3/1p1pP1Q1/3P4/2N5/PPP3P1/2K2R2 w - -,g5g7 f8f1 c1d2 b5b4 h7g6 e8d8 c3d5 e6d5 g6d3 f1f2,895
3rr2k/2q1bppp/pp3n2/2n1pR2/P3P3/2NB2Q1/1PP3PP/R1B4K w - -,c3d5 c7d6 g3e5 f6e4 e5d6 e7d6 d3c4 d6e5 f5f1 c5a4,-5
8/8/4k3/2R5/5R2/8/3K4/8 w - -,c3d5 c7d6 g3e5 f6e4 e5d6 e7d6 d3c4 d6e5 f5f1 c5a4,Mate
r1b2rk1/p4ppp/6q1/2p5/3pn3/1P1R4/PBPP1PPP/RN1Q2K1 w - -,b1a3 h7h5 a3c4 f8e8 d1f1 h5h4 f2f3 e4d6 c4d6 g6d6,-136
r3kn1r/1p1n2pp/1q2bp2/pP1pp3/P7/Q3PN1P/3P1PP1/RN2KB1R w KQkq -,d2d4 a8c8 f1e2 f8g6 b1c3 b6d8 e1h1 d8e7 b5b6 e8h8,35
8/2k2pp1/1p2p3/1PnrP2p/5P2/2R3PP/P3K3/8 w - -,c3a3 c7b7 g3g4 h5g4 h3g4 d5d4 a3f3 b7c7 g4g5 g7g6,-453
rq2kb1r/1b1n1ppp/ppn1p3/1NppP3/P2P1P2/4BN2/1PPQB1PP/R3K2R w KQkq -,e1h1 a6b5 e2b5 g7g6 c2c3 b8c8 g2g4 c6e7 b2b4 h7h5,-170
2q3k1/5ppp/p3p3/1p6/1b2bB1P/1Pn2NP1/P2QPPB1/6K1 w - -,f3e5 c3d5 d2d4 e4g2 g1g2 b4c5 d4d2 c5d6 e5d3 d6f4,-7
r1bqk1nr/p1p2ppp/1p1b4/2p1p3/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,c3b5 g8e7 c2c3 d8d7 b5d6 c7d6 d2d4 e7g6 f1e1 e8h8,-14
r3kn1r/1p1n2pp/1q2bp2/pP1p4/P2Pp3/Q3PN1P/5PP1/RN2KB1R w KQkq -,f3h2 b6c7 f1e2 d7b6 b1d2 c7e7 e1h1 e7a3 a1a3 e8e7,-25
rn1q1rk1/1bp2ppp/pp1b1n2/3p4/3P4/P1NBPN2/1P1B1PPP/R2Q1RK1 w - -,h2h3 b8d7 d1c2 c7c5 d4c5 b6c5 b2b4 c5c4 d3e2 f8e8,-13
5r1k/1p2q1pp/p1p5/2Pp2P1/1P1NbP2/4P2Q/P4K2/R7 w - -,,0
8/p2r3k/1p3R1b/2p3r1/3p4/6R1/P1P2PK1/8 w - -,f6c6 d7f7 g3g5 h6g5 a2a4 g5d2 g2f1 h7g7 f1e2 d2b4,-509
rnb1k1nr/1p3ppp/p3p3/q1p5/1bPP4/2N1B3/PP3PPP/R2QKBNR w KQkq -,g1e2 c5d4 e3d4 g8f6 a2a3 b4e7 d1a4 b8c6 a4a5 c6a5,7
r2q1rk1/pp1bbppp/4pn2/6B1/3N4/3B4/PPP2PPP/R2QR1K1 w - -,d1f3 d8b6 a1d1 h7h6 g5c1 f8d8 c2c3 a8c8 d3c2 d7b5,40
8/8/1kb5/1p1K4/1P6/8/8/8 w - -,a2a4 h7h6 g5f4 f6d5 f4e5 e7f6 d4f3 d7c6 c2c3 f6e5,Mate
r1bq1rk1/pppp1ppp/2n2n2/3Np3/1bB1P3/1P3N2/P1PP1PPP/R1BQK2R w KQ -,e1h1 f6e4 f1e1 e4f6 d5b4 c6b4 c1a3 c7c5 f3e5 d7d6,30
2r3k1/p2bpp2/1q1p2p1/2rP3p/1p1Q2PP/1P3P2/P1P1N3/1K1R3R w - -,e2g3 c5c2 d4b6 a7b6 g4h5 g6h5 h1g1 g8f8 d1d4 b6b5,-170
r5k1/pp1q2pp/2n2n2/1N6/1b4b1/3PQ2P/PPPB2P1/R3K2R w KQ -,e1h1 a8e8 e3f4 b4c5 g1h1 g4h3 f4c4 g8h8 a1e1 e8e1,-163
r1b2rk1/ppq1bppp/2n2n2/1BppN3/8/1P6/PBPP1PPP/RN1QR1K1 w - -,e5c6 b7c6 b2e5 e7d6 e5d6 c7d6 b5e2 f8e8 d2d3 f6g4,-15
3Q4/5pn1/6k1/5r1p/7P/5p2/5K2/8 w - -,d8c8 f5f4 c8d8 f7f6 d8c8 f4h4 f2f3 h4g4 c8c6 g4d4,-15
r2q1rk1/pp3ppp/2n5/2p1p1b1/2B3b1/P2PPN2/1PPN2PP/R2Q1RK1 w - -,d1e1 g5h6 h2h3 g4d7 d2e4 d8e7 f3h2 a8d8 h2g4 d7g4,20
2K5/2P5/3k4/8/5r2/8/8/4R3 w - -,e1c1 d6e5 c8b7 f4f7 c1e1 e5d4 b7b8 f7c7 b8c7 d4d3,9605
r1bqk2r/pp3ppp/2p4n/3pP3/5P2/2Nn1N2/PPPQ2PP/2KR2R1 w kq -,d2d3 e8h8 f3d4 f8e8 d1e1 f7f6 e5e6 c6c5 e6e7 e8e7,54
r2qr1k1/3bppPp/p2p1n1Q/8/1p2P1P1/5P2/PPP5/2KR1B1R w - -,d2d3 e8h8 f3d4 f8e8 d1e1 f7f6 e5e6 c6c5 e6e7 e8e7,Mate
8/8/3k4/2R5/4R3/8/3K4/8 w - -,d2d3 e8h8 f3d4 f8e8 d1e1 f7f6 e5e6 c6c5 e6e7 e8e7,Mate
r1b3k1/p4p1p/1pn1p1p1/q1p5/8/1PPRPNP1/PR3PBP/6K1 w - -,d3d6 c8a6 d6c6 a5c3 b2b1 a6d3 b1d1 d3e2 d1b1 a8d8,-362
1r4k1/3n1pb1/pB5p/6p1/N7/Pp5P/5PP1/1R4K1 w - -,b6e3 b3b2 g1f1 b8b3 g2g3 g8h7 e3a7 a6a5 a7e3 f7f5,-357
1k6/2R5/1K6/8/1P6/8/8/1r6 w - -,,0
r2q1rk1/1bpn1ppp/pp1b1n2/3p4/3P4/P1NBPN2/1P1B1PPP/2RQ1RK1 w - -,d2e1 d8e7 b2b4 b6b5 f3d2 d7b6 d2b3 b6c4 b3c5 c7c6,-35
r1bq1rk1/pppp1ppp/2n5/3Np3/1bB1n3/1P3N2/P1PP1PPP/R1BQ1RK1 w - -,f1e1 e4f6 d5b4 c6b4 c1a3 c7c5 f3e5 d7d6 c2c3 b4d5,39
4b3/8/1k6/1p2K3/1P6/8/8/8 w - -,f1e1 e4f6 d5b4 c6b4 c1a3 c7c5 f3e5 d7d6 c2c3 b4d5,Mate
r1b2rk1/p1qnbppp/1p2p3/4p3/3P4/2PB1N2/P2BQPPP/R3R1K1 w - -,e2e4 d7f6 e4e5 c7e5 f3e5 e7a3 a1b1 c8b7 b1b3 a3d6,28
8/p7/1p4kb/2p5/3p4/2P1rRPK/P7/8 w - -,f3f2 d4d3 f2d2 g6f5 d2d1 f5e4 h3h4 e3e2 h4h5 h6g7,-1000
r1bqk2r/p1p2ppp/1p1b1n2/2p1p3/4P3/1PN2N2/P1PP1PPP/R1BQ1RK1 w kq -,d2d3 f6g8 f3d2 g8e7 d2c4 e8h8 d1e1 e7g6 c4d6 c7d6,11
r4r2/1p1qn1bk/2np3p/pNpbp3/P2P1p2/2P1BNPP/1P2QPB1/R3R1K1 w - -,e3c1 c5d4 g3f4 f8f6 c3d4 f6g6 a1a3 g7f6 f3g5 h6g5,-122
r2qr1k1/4ppPp/p2p1n1Q/5bP1/1p2P3/5P2/PPP5/2KR1B1R w - -,e3c1 c5d4 g3f4 f8f6 c3d4 f6g6 a1a3 g7f6 f3g5 h6g5,Mate
4b3/1k6/3K4/1p6/1P6/8/8/8 w - -,e3c1 c5d4 g3f4 f8f6 c3d4 f6g6 a1a3 g7f6 f3g5 h6g5,Mate
rnb1k1nr/pp2ppbp/2p3p1/8/3qPP2/4N3/PPP3PP/R1BQKBNR w KQkq -,f1d3 b8a6 g1f3 d4d8 a2a4 a6c5 a1a3 c5d3 a3d3 d8c7,61
r1bq1rk1/pppp1ppp/2n2n2/3Np3/1bB5/1P3N2/P1PP1PPP/R1BQR1K1 w - -,d5b4 c6b4 c1a3 c7c5 f3e5 d7d6 c2c3 b4d5 e5f3 d8a5,35
2r3k1/p1qbpp2/3p2p1/2rP3p/1p1Q2PP/1P3P2/P1PRN3/1K5R w - -,c2c4 b4c3 d2c2 c7b7 e2f4 c5b5 b1a1 h5g4 h4h5 b5b4,-127
8/b2k1p1p/p3p1p1/1p1n4/8/1P2PB2/PB3PPP/6K1 w - -,g1f1 a7c5 a2a3 f7f5 h2h3 d5b6 e3e4 a6a5 e4f5 e6f5,5
r2qk2r/pp3ppp/2p4n/3pPb2/5P2/2NQ1N2/PPP3PP/2KR2R1 w kq -,d3e2 f5g4 h2h3 g4f3 e2f3 d8c7 g1e1 e8a8 g2g4 h8e8,124
5r1k/1p1q2pp/p1p5/2Pp2P1/1P1NbP2/4P2Q/P4K2/6R1 w - -,h3d7 e4d3 d7b7 a6a5 b4a5 f8g8 b7c6 d3c4 c6e6 c4d3,1138
1rbq1rk1/3nbppp/2n1p3/2ppP3/1p1P1P2/5NP1/1PP1N1BP/R1BQ1R1K w - -,c1e3 c8b7 h2h4 b8a8 a1a8 d8a8 h4h5 f8e8 h1h2 h7h6,3
8/5pp1/4knp1/4B3/B6P/PN2P3/5PP1/1b4K1 w - -,e5c3 b1f5 b3d4 e6e7 c3b4 e7d8 a4b3 f5e6 b3c2 f6d5,645
4b3/2k5/8/1pK5/1P6/8/8/8 w - -,e5a1 f6e4 a4b5 e6e7 b3d4 e7f8 a3a4 e4d6 b5f1 d6f5,Mate
r2q1rk1/pp1b2pp/2n2b2/3p1p2/3P4/5N2/PPN2PPP/R1BQ1RK1 w - -,,0
kB6/3n1R2/8/8/KN6/8/7B/8 w - -,c1f4 g7g5 f4d6 f8e8 c2b4 g5g4 b4d5 f6g7 d6c7 d8c8,Mate
r1bq1rk1/pppp1ppp/5n2/4p3/1nB5/1P3N2/P1PP1PPP/R1BQR1K1 w - -,c1a3 c7c5 f3e5 d7d6 c2c3 b4d5 e5f3 c8g4 h2h3 g4h5,42
r4rk1/1ppqbpp1/3p3p/p2np3/1nPPP3/5N1P/PP1B1PP1/R2Q1RK1 w - -,c4d5 f7f5 d2b4 a5b4 f1e1 e5d4 f3d4 e7f6 d4e6 f6b2,15
8/3k4/8/8/4R3/2R5/3K4/8 w - -,c4d5 f7f5 d2b4 a5b4 f1e1 e5d4 f3d4 e7f6 d4e6 f6b2,Mate
2r4r/1p3kpp/1q2bnn1/pP1p1p2/P2Pp3/Q1N1P2P/3NBPP1/2R2RK1 w - -,d2b3 h8e8 b3c5 f7g8 a3a2 e6f7 a2d2 g6h4 c1c2 g7g5,21
1k6/8/1K6/8/1PR5/8/8/7r w - -,,0
r6r/pp2p1bk/2p1qp1p/5R2/3P1BQ1/4P2R/1P4PP/6K1 w - -,b6a5 b8b7 c4g4 h1h7 g4g8 h7f7 g8g6 f7f5 b4b5 f5f7,Mate
r1b2rk1/p1q1bppp/2p2n2/1Bpp4/8/1P6/PBPP1PPP/RN1QR1K1 w - -,b2e5 e7d6 e5d6 c7d6 b5e2 f8e8 d2d3 f6g4 e2g4 c8g4,-16
r1bq1rk1/pp1p1ppp/5n2/2p1p3/1nB5/BP3N2/P1PP1PPP/R2QR1K1 w - -,f3e5 d7d6 c2c3 b4d5 e5f3 d8a5 a3b2 c8g4 c4f1 f8e8,39
1r4k1/5pb1/pn5p/6p1/N7/PR5P/5PP1/6K1 w - -,b3b6 b8b6 a4b6 g7f8 a3a4 f7f5 b6d5 g8f7 f2f4 f8d6,-38
4b3/3k4/8/1p1K4/1P6/8/8/8 w - -,b3b6 b8b6 a4b6 g7f8 a3a4 f7f5 b6d5 g8f7 f2f4 f8d6,Mate
5rk1/pppr2pp/6b1/2P1B3/2p5/6Q1/PPq2PPP/R3R1K1 w - -,c5c6 b7c6 e5c3 c2d3 f2f3 d3d6 g3g4 h7h6 g4c4 g6f7,111
r1b2rk1/ppq1ppbp/2np1np1/8/3NP3/2N1BP2/PPPQB1PP/R3K2R w KQ -,g2g4 c6d4 e3d4 e7e5 d4e3 c8e6 c3b5 c7c6 b5a7 a8a7,67
2r1r3/1p3kpp/1q2bnn1/pP1p1p2/P2Pp3/QNN1P2P/4BPP1/2R2RK1 w - -,b3c5 f7g8 f2f4 e4f3 e2f3 g6h4 a3b2 e6f7 b2f2 h4f3,32
r2qk2r/pp3ppp/2p4n/3pP3/5Pb1/2N2N2/PPPQ2PP/2KR2R1 w kq -,g1f1 d8a5 h2h3 g4f3 f1f3 e8a8 g2g4 h8e8 d2d4 h6g8,83
8/8/4k3/8/3R4/2R5/3K4/8 w - -,g1f1 d8a5 h2h3 g4f3 f1f3 e8a8 g2g4 h8e8 d2d4 h6g8,Mate
r1bq1rk1/pp3ppp/3p1n2/2p1N3/1nB5/BP6/P1PP1PPP/R2QR1K1 w - -,c2c3 b4d5 e5f3 c8g4 h2h3 g4h5 c4f1 f8e8 e1e8 d8e8,33
4r3/1p3qk1/p1b1p1r1/3p1P2/PR5P/2PBQ3/2PK4/8 w - -,f5g6 d5d4 e3d4 f7f6 d4f6 g7f6 b4f4 f6g7 f4f7 g7g8,596
2r3k1/2q1pp2/3p2p1/p1rP1b1P/1p1Q3P/1P3P2/P1PRN3/1KR5 w - -,b1b2 f5c2 h5h6 f7f6 d4e3 c2f5 c1c5 d6c5 h4h5 a5a4,-62
8/R4p2/P7/4k2p/2K4P/8/r4P2/8 w - -,a7e7 e5f6 e7a7 f6e5 c4b5 a2b2 b5c5 b2c2 c5b4 c2a2,8
r1b2rk1/p1q2ppp/2pb1n2/1BppB3/8/1P6/P1PP1PPP/RN1QR1K1 w - -,e5d6 c7d6 b5e2 f8e8 d2d3 f6g4 e2g4 c8g4 d1d2 d6g6,-15
2r1r1k1/1p4pp/1q2bnn1/pPNp1p2/P2Pp3/Q1N1P2P/4BPP1/2R2RK1 w - -,f2f4 e4f3 e2f3 e6f7 a3a2 g6h4 a2f2 h4f3 f2f3 c8c7,26
1r3bk1/3n1p2/pB5p/6p1/N7/PR5P/5PP1/6K1 w - -,b3b1 d7b6 b1b6 b8b6 a4b6 f8a3 b6a4 g8g7 g1f1 g7f6,-387
r1bq1rk1/pp3ppp/3p1n2/2pnN3/2B5/BPP5/P2P1PPP/R2QR1K1 w - -,e5f3 c8g4 h2h3 g4h5 c4f1 f8e8 e1e8 d8e8 g2g4 h5g6,41
1k6/8/6r1/KP6/2R5/8/8/8 w - -,,0
r3kb1r/5ppp/p3p3/1pn5/8/3p1P1P/PPn1BP2/1RB2RK1 w kq -,e2d1 a8c8 f3f4 f8e7 d1f3 f7f5 b2b4 c5e4 f1d1 e4c3,-640
r1b2rk1/p4ppp/2pq1n2/1Bpp4/8/1P6/P1PP1PPP/RN1QR1K1 w - -,b5e2 f8e8 d2d3 f6g4 e2g4 c8g4 d1d2 d6g6 g1h1 e8e1,-21
r1b2rk1/ppq2pbp/2np1np1/4p3/3NP3/2N1BP2/PPPQB1PP/2KR3R w - -,d4c6 c7c6 e2b5 c6c7 d2d6 c7d6 d1d6 c8e6 b5a4 f6e8,282
3r1k2/8/3rqpp1/1Qp1P3/8/1P4P1/P2R2KP/8 w - -,d2d6 d8d6 b5b8 f8f7 b8d6 e6g4 e5e6 g4e6 d6e6 f7e6,671
8/8/8/5k2/3R4/4R3/3K4/8 w - -,d2d6 d8d6 b5b8 f8f7 b8d6 e6g4 e5e6 g4e6 d6e6 f7e6,Mate
1q3rk1/r3npbp/3p2p1/Q1p1p3/1P2P3/P2P1PP1/bR1BN1BP/5RK1 w - -,b2a2 e7c6 a5a7 b8a7 b4c5 d6c5 e2c3 c5c4 f1f2 c4d3,-154
rnbqk2r/p4ppp/5n2/1p2B3/1bpP4/1P2P3/5PPP/RN1QKBNR w KQkq -,b1d2 c4c3 f1b5 c8d7 b5c4 c3d2 e1f1 e8h8 g1f3 f6e4,-418
r2q1rk1/2pb2b1/np1p2pp/3Ppp2/1PP1P3/2N1B3/2QN1PPP/1R3RK1 w - -,f2f3 f5f4 e3f2 g6g5 b1b2 g5g4 f1a1 g4g3 h2g3 d8g5,100
r1b5/ppp2Q1p/2np4/2b1p1k1/2B1P3/8/PPPP1qPP/R1BK2NR w - -,f2f4 e5f4 f1f4 g6g5 f4f1 f5f4 e3f2 g5g4 c2d3 d8g5,Mate
rn1qkb1r/ppp1p2p/6p1/8/6Q1/2N5/PPPP1PPP/R1B1K2R w KQ -,g4b4 d8c8 b4d4 h8g8 d4c4 g8h8 d2d4 b8c6 c1e3 f8g7,331
4b3/4k3/8/1p2K3/1P6/8/8/8 w - -,b2b3 d8d7 g4d7 e8d7 c1b2 f8g7 e1a1 h8f8 f2f3 b7b6,Mate
2r1r1k1/1p4pp/1q2bn2/pPNp1p2/P2Pp2n/2N1P2P/Q3BPP1/2R2RK1 w - -,a2d2 e6f7 g2g3 h4f3 e2f3 e4f3 d2d1 f7h5 c5d3 g7g5,17
rnbqkb1r/pp2p2p/2pp1np1/1N3p2/3P1B2/5N2/PPP1PPPP/R2QKB1R w KQkq -,b5c3 d8b6 a1b1 c8e6 e2e3 e6f7 f1d3 f6h5 e1h1 f8g7,-5
r3k2r/ppq2ppp/2p4n/3pP3/5Pb1/2N2N2/PPPQ2PP/2KR1R2 w kq -,h2h3 g4f3 f1f3 h6f5 g2g4 f5e7 d2f2 c7b6 f2g3 e8a8,98
8/2k2pp1/1p2p3/1Pn1P3/3r1PP1/2R5/P3K3/8 w - -,a2a4 d4a4 e2f3 c7d7 c3c2 d7e7 f3g3 a4a5 c2b2 c5d7,-513
2krr3/pp3ppp/8/1NP5/5n2/3K1PP1/PP5P/1R5R w - -,d3c4 f4e6 b5d6 d8d6 c5d6 c8d7 b1d1 h7h5 h1e1 g7g6,382
4b3/8/5k2/1p1K4/1P6/8/8/8 w - -,d3c4 f4e6 b5d6 d8d6 c5d6 c8d7 b1d1 h7h5 h1e1 g7g6,Mate
rnbqk1nr/ppp5/3bpp2/1N1p2pp/3P4/6B1/PPP1PPPP/R2QKBNR w KQkq -,b5d6 c7d6 h2h4 g5g4 e2e3 e6e5 f1d3 c8e6 g1e2 g8e7,78
r4r2/1p1qn1bk/2np3p/pNpbpp2/P7/2PPBNPP/1P2QPB1/R3R1K1 w - -,a1c1 a8e8 g1h2 d5b3 d3d4 e5e4 f3d2 b3a4 d4c5 d6c5,-74
rn1qk2r/p4ppp/4bn2/1p2B3/1bpP4/1P2P3/4KPPP/RN1Q1BNR w kq -,e5f6 d8f6 f2f3 c4b3 e2f2 e8h8 b1d2 b4d2 d1d2 f8c8,-313
rnbqk1nr/pp6/3ppp2/1N1p2pp/3P4/8/PPP1PPPP/R2QKBNR w KQkq -,h2h4 g5g4 e2e3 a7a6 b5c3 f6f5 g2g3 g8f6 f1g2 b8c6,43
r3kb1r/1bqn1ppp/ppn1p3/2ppP3/P2P1P2/2N1BN2/1PPQB1PP/R3K2R w KQkq -,c3a2 c5d4 f3d4 c6a5 b2b3 f8e7 e1h1 e8h8 a1b1 d7c5,20
2r1r1k1/1p4pp/1q2bnn1/pPNp4/P2Ppp2/2N1P2P/Q3BPP1/2R2RK1 w - -,e3f4 g6f4 a2d2 g7g5 e2d1 e6f5 c3e2 f6h5 c1c3 f4e2,19
1k6/8/5r2/KP6/7R/8/8/8 w - -,,0
r3k2r/ppq2ppp/2p4n/3pP3/5P2/2N2b1P/PPPQ2P1/2KR1R2 w kq -,f1f3 h6f5 g2g4 f5e7 d2f2 c7b6 f2e1 b6c7 c3e2 e8a8,88
1r4k1/3n1p2/pB5p/6p1/N2b4/PR5P/5PP1/6K1 w - -,b3d3 d4b6 d3d7 b6a5 g2g4 b8b3 a4c5 b3h3 d7d6 h3a3,-4
4b3/8/3K4/1p3k2/1P6/8/8/8 w - -,b3d3 d4b6 d3d7 b6a5 g2g4 b8b3 a4c5 b3h3 d7d6 h3a3,Mate
2r3k1/2q1p3/3p2p1/p1rP1b2/1p1Q3P/1P3P2/P1PRN3/1KR5 w - -,d4b2 c7b7 b2d4 b7c7 h4h5 e7e5 d5e6 f5c2 b1b2 c2f5,35
rn1q2k1/ppp1prbp/3p2p1/6N1/3P4/5b2/PPP2PPP/R1BQ1RK1 w - -,g5f7 f3d1 f7d8 d1c2 d8e6 b8c6 f1e1 g7h8 e6c7 a8c8,186
r1b5/ppp3Qp/2np4/2b1p2k/2B1P3/8/PPPP1qPP/R1BK2NR w - -,g5f7 f3d1 f7d8 d1c2 d8e6 b8c6 f1e1 g7h8 e6c7 a8c8,Mate
4b3/8/8/1p1K4/1P3k2/8/8/8 w - -,g5f7 f3d1 f7d8 d1c2 d8e6 b8c6 f1e1 g7h8 e6c7 a8c8,Mate
rnbq1rk1/p1pp1ppp/1p2p3/8/2PPn3/P5Q1/1P2PPPP/R1B1KBNR w KQ -,g3f4 d7d5 c4d5 e6d5 e2e3 c7c5 f1d3 c8a6 d3a6 b8a6,-30
r4rk1/1ppqbpp1/n2p3p/p2np3/2PPP3/P4N1P/1P1B1PP1/R2Q1RK1 w - -,c4d5 f7f5 f1e1 f5e4 e1e4 e7f6 d4e5 d6e5 d2c3 d7f5,18
r1bq1rk1/pp2npp1/1npb3p/8/3PN3/1B3N2/PP3PPP/R1BQ1RK1 w - -,c1d2 b6d5 f1e1 c8e6 e4c5 d6c5 d4c5 e7g6 f3d4 d8f6,21
4b3/8/8/1p6/1P1K4/5k2/8/8 w - -,c1d2 b6d5 f1e1 c8e6 e4c5 d6c5 d4c5 e7g6 f3d4 d8f6,Mate
8/R4p2/P7/4k2p/7P/1K6/5r2/8 w - -,a7a8 f2f3 b3b4 f3f4 b4b5 e5f5 a6a7 f4e4 a8c8 e4h4,3417
r1b5/ppp4Q/2np4/2b1p1k1/2B1P3/8/PPPP1qPP/R1BK2NR w - -,a7d7 f2f1 d7d2 f1g1 a6a7 g1g8 d2a2 g8a8 b3c4 e5f4,Mate
r1b2rk1/pp3pbp/2qp1np1/4p3/4P3/2N1BP2/PPPQB1PP/2KR3R w - -,e2b5 c6c7 d2d6 c7d6 d1d6 c8e6 b5a4 f6e8 d6d2 b7b6,288
2Q5/5ppk/7p/3p4/P2P4/3KP3/8/3q4 w - -,e2b5 c6c7 d2d6 c7d6 d1d6 c8e6 b5a4 f6e8 d6d2 b7b6,Mate
r1bq1rk1/pp2npp1/2pb3p/3n4/3PN3/1B3N2/PP1B1PPP/R2Q1RK1 w - -,f1e1 f8e8 h2h3 c8e6 e4c5 d6c5 d4c5 e7g6 f3d4 g6f8,27
r4rk1/p1q2ppp/2pbbn2/2ppN3/8/1P1P3P/PBP2PP1/RN1QR1K1 w - -,e5f3 f6d7 c2c4 h7h6 c4d5 c6d5 d3d4 c5c4 b3c4 d5c4,-28
rn1qkb1r/pb3ppp/2p2n2/4p3/8/N7/PPPP1PPP/R1BQKBNR w KQkq -,a3c4 f8d6 d2d3 c6c5 g1f3 e8h8 f1e2 b8c6 e1h1 h7h6,84
2kr3r/ppq2ppp/2p4n/3pP3/5P2/2N2R1P/PPPQ2P1/2KR4 w - -,c3b5 c7b6 b5d6 d8d6 e5d6 h6f5 d2c3 c8d7 g2g4 f5d6,275
4b3/8/8/1p6/1P6/8/3K4/5k2 w - -,c3b5 c7b6 b5d6 d8d6 e5d6 h6f5 d2c3 c8d7 g2g4 f5d6,Mate
r2q1r1k/pp3ppp/2nb4/2p1p1N1/2B5/P2PP1Q1/1PP3PP/R4RK1 w - -,g5f7 f8f7 f1f7 d6f8 a1f1 d8d6 g3g4 h7h6 g4e4 c6a5,607
2q3k1/5ppp/p3p3/8/1p2bB1P/bPn2NP1/P2QPPB1/6K1 w - -,g1h2 h7h6 f3e5 c8c5 d2d8 c5f8 d8f8 g8f8 g2e4 c3e4,17
rn1qk2r/pb3ppp/2pb1n2/4p3/2P5/N7/PP1P1PPP/R1BQKBNR w KQkq -,f1e2 e8h8 d2d3 d8e7 g1h3 b8a6 a3c2 a8d8 e1h1 b7c8,-51
2q5/p1kr1n1R/1p3B2/2p2pp1/2P2p2/1P1P1Q2/P5P1/2K5 w - -,f3e2 c7b8 e2h5 c8c7 a2a3 b8c8 h5f3 c8b8 f3e2 c7c6,47
r2qk1nr/pbpp1ppp/3b4/8/4P3/2p2N2/PP3PPP/RNBQK2R w KQkq -,e1h1 g8e7 b1c3 e8h8 d1c2 d6b4 c1d2 d7d6 a1d1 b4a5,37
1r1q1rk1/pb2bppp/2n5/2p1p3/8/P1N3PP/1PP1NPB1/R2QR1K1 w - -,c3d5 f8e8 c2c3 e7f8 b2b4 c5b4 a3b4 a7a5 a1b1 a5b4,-25
8/2k2pp1/1p2p3/1Pn1P3/1r3PP1/2R1K3/P7/8 w - -,c3c2 b4b5 e3f3 b5a5 f4f5 a5a4 f3g3 c7c6 c2h2 c5e4,-514
