r1b2rk1/pp2npbp/1q2p1p1/2p5/3n1B2/1N1P1NP1/PPP2PBP/R2QR1K1 w - -,f3d2 e7d5 d2c4 b6c6 d1d2 h7h5 c2c3 d4b3 a2b3 f8d8,191
rnbqkb1r/5ppp/p3pn2/1pp5/3P4/3BPN2/PP3PPP/RNBQ1RK1 w kq -,a2a4 b5b4 b1d2 c8b7 d1e2 b8d7 a4a5 f8e7 d2c4 e8h8,65
rnbqkb1r/pp3ppp/5n2/2pp4/8/2NP2P1/PPP2P1P/R1BQKBNR w KQkq -,c1d2 c8g4 f1e2 g4e6 e2f3 b8c6 d2g5 d8a5 g5d2 a5a6,-44
rnbqkbnr/pp2p1pp/8/3p1p2/3P4/4P3/PP3PPP/RNBQKBNR w KQkq -,b2b4 e7e6 b4b5 a7a6 g1f3 g8f6 b5a6 b7a6 f1e2 b8c6,39
8/8/8/Q7/8/1k2K3/8/8 w - -,c1d2 e7e6 g1f3 c8d7 f3e5 g8f6 f1e2 f8d6 e1h1 e8h8,Mate
rnbqkb1r/pp2p1pp/5n2/3p1p2/3P4/2N1P3/PP3PPP/R1BQKBNR w KQkq -,g1f3 e7e6 f1e2 b8c6 f3e5 c8d7 c1d2 f8e7 e1h1 e8h8,20
rnbqk2r/ppp1bppp/3p4/7n/2BPPp2/2N2N2/PPP3PP/R1BQK2R w KQkq -,c3e2 e8h8 e2f4 h5f4 c1f4 c8e6 c4e6 f7e6 f4g3 c7c5,79
r2qkbnr/pp3ppp/2n1p3/1Bpp1b2/3P1B2/4PN2/PPP2PPP/RN1QK2R w KQkq -,e1h1 a8c8 c2c4 g8f6 c4d5 e6d5 b1c3 a7a6 b5c6 b7c6,98
rnbq1rk1/ppp1bppp/3p4/7n/2BPPp2/2N2N2/PPP3PP/R1BQ1RK1 w - -,f3e1 h5f6 c1f4 c8e6 c4e6 f7e6 d1e2 b8c6 e1f3 d8d7,93
r1bqk2r/ppp2pbp/2np1np1/4p3/2B1P3/P1N2N2/1PPP1PPP/R1BQ1RK1 w kq -,d2d3 e8h8 h2h3 a7a6 c1e3 h7h6 a3a4 g8h7 a4a5 d8e7,26
r1bqk2r/ppp2ppp/2n2n2/2bpp3/4P3/1PN2N1P/P1PP1PP1/R1BQKB1R w KQkq -,c1b2 d5e4 f3g5 d8d4 d1e2 h7h6 c3a4 d4f2 e2f2 c5f2,-161
r1bqk1nr/pppp1ppp/6n1/8/3QP3/2N5/PPP2PPP/R1B1KB1R w KQkq -,d4g7 d7d6 c1e3 d8f6 g7f6 g8f6 e3d4 e8e7 d4f6 e7f6,544
r1b2rk1/pp3ppp/2p1pn2/q2p4/1bPP4/2N1P3/PPQN1PPP/R3KB1R w KQ -,a2a3 b4e7 f1d3 a5c7 e1h1 g7g6 a1c1 d5c4 d2c4 c6c5,10
rnbqkbnr/1pp1pppp/p7/8/2B5/4P3/PP1P1PPP/RNBQK1NR w KQkq -,g1f3 e7e6 e1h1 g8f6 d2d4 c7c5 b2b3 c5d4 f3d4 f8d6,48
r2q1rk1/p2bbppp/8/4p1N1/6n1/3P1Q2/PPP2PPP/RNB1K2R w KQ -,g5h7 g8h7 e1h1 f7f5 h2h3 g4h6 c2c4 a8c8 b1c3 d7c6,-272
r1bqkb1r/pp1n1ppp/2n1p3/1NppP3/3P2Q1/8/PPP2PPP/R1B1KBNR w KQkq -,g4g3 c5d4 g1f3 a7a6 b5d4 d7e5 f3e5 c6d4 f1d3 f7f6,-160
rn1qk1nr/ppp1b2p/3pp3/6p1/3PPp2/5N2/PPP3PP/RNBQ1RK1 w kq -,c2c4 e6e5 b1c3 b8d7 c4c5 g8h6 c5d6 c7d6 d1b3 h6f7,-34
rnb1k1nr/pp1p1ppp/1q6/2b5/3NP3/8/PP3PPP/RNBQKB1R w KQkq -,d4b3 c5f2 e1e2 d7d5 h2h3 d5e4 b1c3 g8e7 c1f4 e8h8,-433
rnbqk1nr/pp1pppbp/6p1/2p5/5P2/2P2N2/PP1PP1PP/RNBQKB1R w KQkq -,d2d4 d7d5 d4c5 g8f6 g2g3 e8h8 f1g2 b8c6 e1h1 b7b6,-25
8/8/8/4K3/8/2Q5/4k3/8 w - -,d2d4 d7d5 d4c5 g8f6 g2g3 e8h8 f1g2 b8c6 e1h1 b7b6,Mate
rnbq1rk1/ppp2ppp/3bpn2/3p4/3P4/2P2NP1/PP2PPBP/RNBQK2R w KQ -,b2b3 c7c5 e1h1 b8c6 c1a3 c5d4 a3d6 d8d6 c3d4 b7b6,-33
r1b2rk1/pp2npbp/1q2p1p1/2p1N3/5B2/1n1P2P1/PPP2PBP/R2QR1K1 w - -,a1b1 b3a5 a2a3 a5c6 b2b4 c6e5 f4e5 g7e5 e1e5 a8b8,-660
8/4kB2/8/1Q6/8/4K3/8/8 w - -,a1b1 b3a5 a2a3 a5c6 b2b4 c6e5 f4e5 g7e5 e1e5 a8b8,Mate
8/5k2/8/5P2/4K3/8/8/8 w - -,,0
8/8/8/2k5/4K3/8/8/1R6 w - -,e4d3 f7g8 d3e4 g8g7 e4e5 g7f7 e5f4 f7f8 f5f6 f8f7,Mate
r1bq1rk1/ppp1npbp/2np2p1/4p3/2P5/2N2NP1/PP1PPPBP/1RBQ1RK1 w - -,b2b4 c6d4 d2d3 c8g4 f3d2 d8c8 a2a4 a7a6 f1e1 g4h3,61
r1bqkbnr/pp3pp1/2n1p2p/3pP3/3p4/2P1BN2/PP3PPP/RN1QKB1R w KQkq -,e3f4 d8b6 d1b3 f8c5 f1d3 g8e7 e1h1 g7g5 f4g3 e7f5,-172
1r3rk1/p4ppp/Q1nqpn2/3p4/3P4/2PB1N2/PP3PPP/R3K2R w KQ -,h2h3 b8b6 a6a3 d6a3 b2a3 c6a5 e1h1 f8c8 f1c1 g8f8,-52
r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/2P1P3/5N2/PP1P1PPP/RNBQK2R w KQkq -,d1e2 c6d4 f3d4 c5d4 e1h1 c7c6 b5a4 d7d6 d2d3 c8g4,-82
r1bqk2r/pppp1ppp/5n2/1Bb1p3/2PnP3/3P1N2/PP3PPP/RNBQK2R w KQkq -,b1d2 d4b5 c4b5 d7d6 a1b1 d6d5 e1h1 e8h8 b2b4 c5d6,-58
r1bqkb1r/pppn1ppp/5n2/4p3/4P3/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,a2a4 f8c5 f1c4 e8h8 d1e2 f8e8 d2d3 c7c6 c1e3 c5e3,43
rn1qkb1r/p2ppppp/b4n2/2pP4/2P5/8/P3PPPP/RNBQKBNR w KQkq -,b1d2 g7g6 d1a4 f8g7 a1b1 a6c8 e2e4 e8h8 f1d3 d7d6,55
rnbqkb1r/pppp1ppp/8/1N6/3pn3/8/PPP2PPP/R1BQKBNR w KQkq -,a2a3 f8c5 d1g4 e8h8 c1h6 g7g6 g4f4 f8e8 e1a1 d7d5,-200
1R6/P5k1/8/2P5/8/8/r1K5/8 w - -,c2b3 a2a7 c5c6 g7f6 b3b4 a7e7 b4b5 e7e5 b5b6 e5e6,5553
r1b2rk1/1p2np1p/3Bpbp1/pqp5/2N5/1P1P2P1/1PP2PBP/R2QR1K1 w - -,d1f3 e7d5 d6f8 g8f8 c4e5 b5b6 c2c4 f6e5 e1e5 d5b4,655
r1bqkbnr/pp1ppppp/2n5/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -,d2d3 g8f6 e2e4 g7g6 g2g3 d7d6 f1g2 a8b8 b1c3 a7a6,-52
rnbqk2r/pppp1ppp/5n2/3p4/1bP5/2N5/PP2PPPP/R1BQKBNR w KQkq -,d1a4 b8a6 e2e3 f6e4 a4c2 d8f6 g1f3 e4c3 a2a3 c3e4,-289
r2q1rk1/p2bbppp/8/4p1N1/6n1/5Q2/PPPP1PPP/RNB2RK1 w - -,d2d4 e7g5 h2h3 g5c1 f1c1 g4h6 d4e5 d8b6 c2c4 b6b2,-433
5r1k/1Q2Np1p/8/2R3p1/8/8/5PPP/6K1 w - -,d2d4 e7g5 h2h3 g5c1 f1c1 g4h6 d4e5 d8b6 c2c4 b6b2,Mate
r1b2r2/1p2npkp/3Bpbp1/pqp5/2N5/1P1P1QP1/1PP2PBP/R3R1K1 w - -,d2d4 e7g5 h2h3 g5c1 f1c1 g4h6 d4e5 d8b6 c2c4 b6b2,Mate
rnbqk2r/pp2bppp/5n2/3p4/3N4/6P1/PP2PPBP/RNBQK2R w KQkq -,c1e3 c8e6 e1h1 e8h8 b1c3 d8d7 d1b3 b8c6 a1c1 a8d8,95
r1bqkbnr/1p2pp1p/p1np2p1/1Bp5/4PP2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,b5c6 b7c6 e1h1 f8g7 h2h3 a6a5 d2d3 g8f6 c3a4 c5c4,99
r1bqkb1r/pp1npppp/2p2n2/8/3PN3/3Q4/PPP2PPP/R1B1KBNR w KQkq -,e4f6 e7f6 g1f3 f8d6 d3e4 e8f8 f1d3 h7h5 e1h1 g7g6,43
