4rrk1/5ppp/p1p5/1p6/3P1bb1/1BP4q/PPQN1P1P/R1B2RK1 w - -,a2a3 b4a6 a1b1 b8b1 h1b1 a6c5 b1b8 g8f7 e6c5 e7c5,Mate
2k1r2r/ppp3p1/2np4/6q1/2NP3p/2P1bR2/PP4P1/R4Q1K w - -,a1e1 e3d4 e1e8 h8e8 c3d4 c6d4 f3c3 c8b8 c3e3 e8c8,-442
8/p2R1pp1/2p3k1/8/8/6PP/q7/5RK1 w - -,,0
8/4k1pp/R7/2P5/p3K3/8/6rP/8 w - -,,0
2K5/8/p7/7B/1k6/n1p1b3/7P/5R2 w - -,h5e2 a6a5 e2d1 a5a4 h2h4 c3c2 d1c2 a3c2 f1b1 b4c3,-287
8/6k1/2R4p/K7/1PP3p1/8/5r2/8 w - -,,0
2r3k1/5pp1/1Br1p2p/2Pnq3/8/3Q2P1/P3PP1P/2RR2K1 w - -,b6a5 c6c5 c1c5 c8c5 a5e1 d5c3 d1d2 c5d5 d3c4 d5c5,92
2r1brk1/p2nq1pp/2pnp3/2NpNp2/3P4/1P2PPP1/P2Q2BP/2R2RK1 w - -,c5d7 e8d7 d2a5 d6f7 e5d3 e6e5 a5a7 c8a8 a7c5 e7e8,146
3rb1k1/1p2qppp/pQ2p3/8/4P3/2P5/1P2BPPP/R5K1 w - -,g1f1 h7h6 g2g3 d8d6 b6b4 f7f6 a1d1 d6d1 e2d1 e7b4,-13
8/4p3/4K2p/4P2k/8/3P4/6R1/1q5r w - -,g1f1 h7h6 g2g3 d8d6 b6b4 f7f6 a1d1 d6d1 e2d1 e7b4,Mate
8/5R2/1p2r1k1/2p3p1/2P5/5K1P/1P6/8 w - -,,0
r1b1kbnr/pp2p2p/2q3p1/1Npp1pQ1/5P2/2N1B3/PPP1P1PP/R3KB1R w KQkq -,e1a1 e7e6 e3f2 f8e7 g5g3 a7a6 e2e4 d5e4 b5a3 c6c7,184
6k1/5pp1/2p1b2p/3pP3/1p1Pn3/PN2RN1P/2r2PP1/6K1 w - -,,0
8/1p2qp1k/4p1p1/r3nn1r/2BQNP1p/7P/6P1/2R1R1K1 w - -,d4d1 e5c6 c4e2 h5h6 e2f3 h7g7 e4g5 h6h8 f3c6 b7c6,-157
r2q3k/p3bQ1p/2b4B/2p1P2N/2pp4/2P5/P1P2r1P/R4R1K w - -,d4d1 e5c6 c4e2 h5h6 e2f3 h7g7 e4g5 h6h8 f3c6 b7c6,Mate
rnbqk1nr/pp3pbp/6p1/3pp3/3N4/2N3P1/PPP1PPBP/R1BQK2R w KQkq -,c3d5 e5d4 c1f4 b8a6 e1h1 c8e6 c2c4 g8e7 d1a4 e6d7,-167
2k4r/ppp3p1/2n5/3p1R2/3P4/2P1r1qp/PP4P1/R4Q1K w - -,f5f8 h8f8 f1f8 c6d8 f8f5 d8e6 f5h3 g3h3 g2h3 e3h3,-586
8/2p3kp/p1Bp1bp1/1p2r3/8/7P/PPP1rPP1/R4RK1 w - -,c6f3 e2c2 b2b4 e5e7 f1e1 e7e1 a1e1 c2a2 e1c1 f6d8,-285
7k/p2r1ppp/1pQ2q2/2pB4/2P1P3/3R2Pb/5P1P/6K1 w - -,c6a4 g7g6 a4a3 h8g8 d3d2 h7h5 f2f4 a7a5 g1f2 f6d8,-120
8/6k1/2R4p/KP6/2P5/6p1/5r2/8 w - -,c4c5 g3g2 c6c7 f2f7 b5b6 g2g1q a5a6 f7c7 b6c7 g1c5,-966
2r1r1k1/p2bq1pp/2pnp3/3pNp2/1Q1P4/1P2PPP1/P5BP/2R2RK1 w - -,e3e4 d6f7 b4e7 e8e7 e4f5 e6f5 f3f4 f7d8 g1f2 c8b8,128
5k2/5p2/6p1/P6p/2N5/2K2PP1/7r/8 w - -,c4d2 h2e2 d2e4 f8e7 a5a6 e2a2 e4c5 e7d6 c3b3 a2e2,-389
r2q1rk1/pp1b1pp1/5n1p/2P5/5N2/3BPP2/PPQ3PP/3R1RK1 w - -,e3e4 d7c6 f4d5 b7b6 d5f6 d8f6 c5b6 f8c8 b6a7 a8a7,315
r1bqk2r/4npb1/1pn1p1pp/p1pp4/P3P3/2PP1NP1/1P1N1PBP/R1BQR1K1 w kq -,e4d5 e7d5 d2b3 a8a7 d3d4 a7d7 d1e2 c5d4 f3d4 c6d4,8
4k3/6pp/5p2/2p1p3/p1P1n3/P5P1/1B2PP1P/6K1 w - -,b2c1 e8d7 g1g2 e4d6 g2f3 d7c6 f3e3 d6c4 e3d3 c4d6,-282
r2q1rk1/pp2ppbp/5np1/1P1n4/2BP4/2P1p1BP/1P1N1PP1/R2QK2R w KQ -,d2b1 f6e4 e1h1 e3f2 g3f2 e4f2 f1f2 d5e3 d1e2 e3c4,-100
2rq1rk1/pp1n1ppp/2n1p3/2ppP3/5P2/1P2P3/PBPNQ1PP/R4RK1 w - -,c2c4 d8e7 a1c1 g8h8 e2f3 f7f6 c4d5 e6d5 f3d5 c8d8,81
8/p5p1/2pR1pk1/8/8/6PP/q7/5RK1 w - -,,0
r1bk1b2/p1pq3r/p2p1p2/N2PpN2/P1Q1PpP1/2R2P1p/1PP4P/5RK1 w - -,g1f2 d8e8 f2e2 e8f7 c4c7 f7g6 c7c4 d7e8 a5c6 h7b7,296
r4rk1/pp3ppp/2n3b1/6Q1/1q1p4/5NPP/P3PPB1/2R2RK1 w - -,f3h4 b4b2 f1d1 b2e2 h4g6 h7g6 g2c6 b7c6 g5d2 e2e6,-17
r4rk1/qb2ppbp/1n1p2p1/2pP4/4P1n1/1PN2NP1/P1QB1PBP/1R3RK1 w - -,f1c1 g4e5 f3e5 g7e5 a2a4 b7a6 d2e3 f8b8 a4a5 b6d7,144
r3k2r/1pp1bpp1/p1nqb2p/3p4/3P1P1P/2N1Q3/PPP2P2/2KR1BNR w kq -,,0
3q1rk1/4nppp/pr6/1p1b1P2/4B3/2P2Q2/PPN4P/R4RK1 w - -,f1e1 d5e4 e1e4 b6d6 e4d4 d6d4 c2d4 e7d5 a1e1 h7h6,-131
r2q3k/p3br1p/2b4B/2p1P2N/2pp4/2P5/P1P4P/R4RK1 w - -,f1f7 d8d5 g1f1 d5f7 h5f4 f7f5 h2h4 e7h4 a1e1 a8g8,Mate
1r1q1rk1/Q5pp/8/2bbpp2/3p4/3P2P1/PPRNPP1P/R5K1 w - -,a7c5 f5f4 a1c1 f4g3 h2g3 b8b6 d2e4 h7h5 c5a5 d5e4,124
r3r1k1/3R1ppp/6b1/2p5/8/6QP/PP3PP1/6K1 w - -,a2a3 h7h6 g3c3 e8c8 d7b7 g6e4 b7b6 c5c4 c3b4 e4c6,328
5k2/5p2/6p1/P6p/2N5/1K3PP1/4r3/8 w - -,f3f4 f8e7 b3b4 e7d8 b4c5 d8c7 a5a6 e2a2 c5b5 a2g2,-444
1r2n1k1/2q2rp1/pbNp4/1p1Qp3/8/P3B3/1PP2P2/1K4RR w - -,e3g5 c7c6 d5c6 d6d5 c6e6 e8d6 e6d6 b8f8 d6b6 b5b4,935
1k1n4/ppp3p1/8/3p4/3P4/2P4r/PP6/R6K w - -,h1g2 h3h6 g2f2 b8c8 a1g1 h6h2 f2e3 d8e6 b2b3 b7b5,-569
r1bqk2r/1pp1nppp/p1n5/1N1p4/1b1P4/2PB1N2/PP3PPP/R1BQK2R w KQkq -,c3b4 a6b5 c1d2 e8h8 e1h1 c8g4 d2c3 d8d6 d3b5 c6b4,36
2rqr1k1/pp3pbp/2p3p1/1P3b2/P1BPp3/B3P3/5PPP/R2Q1RK1 w - -,b5c6 b7c6 a1b1 c8c7 d1b3 c7d7 f1c1 h7h5 b3c3 f5e6,125
r1bq1rk1/2ppnpbp/p1P3p1/8/p3P3/5N2/PP3PPP/RNBQ1RK1 w - -,d1a4 e7c6 b1c3 c6e5 f3e5 g7e5 c1h6 d8h4 f2f4 h4h6,28
8/p5p1/2R2pk1/8/8/6PP/3q4/5RK1 w - -,,0
r4rk1/q3ppbp/bn1p2p1/2pP4/P3P1n1/1PN2NP1/2QB1PBP/1R3RK1 w - -,f1c1 f8c8 h2h3 g4e5 f3e1 c5c4 b3b4 e5d3 a4a5 b6d7,142
r4b2/1k1q1p2/2Np4/p1nP4/5r2/8/PPP3QP/1K1RR3 w - -,e1f1 d7g4 g2g4 f4g4 d1d4 f7f5 c6a5 a8a5 d4g4 f5g4,-77
rnbqk1nr/pp3pbp/6p1/4p3/3p4/1NN3P1/PPP1PPBP/R1BQK2R w KQkq -,c3b1 b8c6 e1h1 g8f6 c2c3 e8h8 c3d4 e5d4 g2c6 b7c6,-34
r2qkb1r/pbp1nppp/1pn5/3p4/4P3/2N2NP1/PP1P1PBP/R1BQK2R w KQkq -,e4d5 e7d5 e1h1 f8e7 c3d5 d8d5 d2d4 d5d7 f3e5 c6e5,65
r6k/p3bR1p/2b4B/2pqP2N/2pp4/2P5/P1P4P/R5K1 w - -,e4d5 e7d5 e1h1 f8e7 c3d5 d8d5 d2d4 d5d7 f3e5 c6e5,Mate
2rq1rk1/Q3b1pp/8/2Nbpp2/3p4/3P2P1/PPRNPP1P/R5K1 w - -,a1c1 c8a8 a7d7 a8a2 b2b3 a2c2 c1c2 e7d6 d7b5 d8b8,94
8/6p1/5pk1/p7/2R5/6PP/3q4/5RK1 w - -,,0
r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/2P1P3/P4QP1/1P1P1P1P/RNB1KBNR w KQkq -,f3d1 f6e4 f1g2 e4f6 b1c3 d7d6 g1e2 f8e7 d2d3 c8e6,-115
5k2/5p2/P2N4/8/1K6/5P1p/4r3/8 w - -,d6b5 h3h2 a6a7 e2e8 b5c7 e8d8 a7a8q d8a8 c7a8 h2h1q,-744
2r2rk1/p4p2/3bq2p/1P1Q2p1/4p1b1/4B1PP/4PPB1/R4RK1 w - -,f1d1 g4h3 d5d6 c8b8 a1b1 f8d8 d6c6 a7a5 d1d8 b8d8,479
r3r1k1/5ppp/6b1/2p5/8/6QP/PP1R1PP1/6K1 w - -,b2b3 e8c8 g3f3 h7h6 g1h2 g8h7 f3g4 c5c4 b3c4 c8c5,305
1qrr2k1/pb1n1ppp/1p2p3/3pP3/1b6/1P2PNP1/PB1R1PBP/1Q3RK1 w - -,d2d4 b4c3 b2c3 c8c3 f1d1 d7e5 f3e5 b8e5 e3e4 g7g6,-86
r2q1rk1/5p2/4b1Pp/4p1b1/pp1pP3/5PN1/PPP4Q/1K1R1B1R w - -,f1h3 e6a2 b1a2 d8b6 a2b1 b4b3 g3f5 a4a3 c2b3 b6b3,-47
r1b1kb1r/pp2pppp/2n2n2/3q4/Q7/4BN2/PP3PPP/RN2KB1R w KQkq -,a2a3 c8d7 b1c3 d5f5 a4b3 c6a5 b3d1 f6g4 e3d4 e7e5,-39
2kn4/ppp3p1/7r/3p4/3P4/2P5/PP4K1/4R3 w - -,e1e5 h6g6 g2h3 d8e6 h3h4 c7c6 a2a4 c8d7 a4a5 g6g1,-573
r1b1kb1r/pppn1ppp/2n5/3qp1B1/8/2PP1N2/PP3PPP/RN1QKB1R w KQkq -,f1e2 h7h6 g5e3 f8d6 b1d2 e8h8 e1h1 d7f6 d2c4 c6e7,1
8/6p1/5pk1/p7/2R5/6PP/5R2/4q1K1 w - -,,0
r2q1rk1/ppp1bppp/3pb3/4P3/3Q1Bn1/2N5/PPP2PPP/2KR1B1R w - -,h2h3 g4e5 f4e5 d6e5 d4e5 e7d6 e5e3 d8h4 g2g3 h4b4,-38
r3k1nr/1bqp1ppp/p3p3/1pb5/3NPP2/2NBQ3/PPP3PP/2KR3R w kq -,h1f1 g8e7 c3e2 c7b6 c2c3 a6a5 e3g3 e8h8 d4b5 a5a4,-77
2kn4/ppp1R1p1/6r1/3p4/3P4/2P5/PP4K1/8 w - -,g2f3 g6f6 f3g4 d8e6 e7e8 c8d7 e8b8 f6g6 g4f3 e6d8,-618
r1bqk2r/1pp1nppp/2n5/1p1p4/1P1P4/3B1N2/PP3PPP/R1BQK2R w KQkq -,c1d2 d8d6 e1h1 e8h8 a2a3 c8g4 d2c3 e7f5 d1d2 f7f6,39
r4rk1/pp3ppp/2n5/6Q1/1q1p4/5bPP/P3PPB1/2R2RK1 w - -,g2f3 b4a3 c1b1 h7h6 g5f4 a3e7 b1b5 a8d8 f1b1 d8d7,-1
r2r4/pp3kpp/2p1pp1b/8/2PP4/1P1R1NP1/P1K2P1P/4R3 w - -,h2h4 a7a5 a2a4 d8d7 e1e4 d7d6 g3g4 g7g6 g4g5 f6f5,21
r1bqkb1r/pp2pppp/2n2n2/8/Q7/2N1BN2/PP3PPP/R3KB1R w KQkq -,a1d1 c8d7 f1b5 e7e6 e1h1 f8e7 b5c6 b7c6 f3e5 f6d5,20
8/3k2pp/5p2/2p1p3/p1P1n3/P5P1/4PP1P/2B3K1 w - -,g1f1 e4d6 e2e4 d6c4 f1e2 c4d6 e2d3 c5c4 d3c3 d6e4,-334
2rqr1k1/p4pbp/2p3p1/5b2/P1BPp3/B3P3/5PPP/R2Q1RK1 w - -,a1b1 c8c7 d1b3 c7d7 f1c1 h7h5 b3c3 f5e6 h2h3 e6d5,122
r5k1/p3bRBp/2b5/2pqP2N/2pp4/2P5/P1P4P/R5K1 w - -,a3c5 c8c7 d1b3 h7h5 f1c1 h5h4 h2h3 d8g5 g1h1 g7f8,Mate
r2q1rk1/ppp2ppp/3Pbb2/8/3Q1Bn1/2N5/PPP2PPP/2KR1B1R w - -,d4d2 f6c3 b2c3 c7d6 f4d6 d8b6 c3c4 b6f2 d6f8 a8f8,19
2k5/ppp1R1p1/2n3r1/3p4/3P4/2P2K2/PP6/8 w - -,e7e1 g6f6 f3g4 c8d7 a2a4 c6e7 a4a5 f6f2 e1g1 a7a6,-585
8/6p1/5pk1/p7/2R5/6PP/5R2/3q2K1 w - -,,0
r1bq1rk1/1pp1nppp/2n5/1B1p4/1P1P4/5N2/PP3PPP/R1BQK2R w KQ -,a2a3 c6b4 c1d2 b4c6 e1h1 c8g4 d2c3 d8d6 h2h3 g4h5,41
8/4k3/8/2K5/8/p3B3/P1p5/8 w - -,b5e2 c6b4 c1d2 b4c6 e1h1 f8e8 d2c3 e7g6 e2b5 e8e4,Mate
r4rk1/pp3ppp/2n5/6Q1/1R1p4/6PP/P3PP2/5bK1 w - -,b4b2 f1h3 g3g4 d4d3 e2d3 a8d8 f2f3 d8d3 g5f5 d3d1,-459
8/6p1/5pk1/8/p1R5/6PP/5R1K/3q4 w - -,f2a2 a4a3 c4c3 d1b1 c3a3 g6h7 a2d2 b1e1 a3d3 e1e4,7
3k4/8/1K6/8/8/p3B3/P1p5/8 w - -,f2a2 a4a3 c4c3 d1b1 c3a3 g6h7 a2d2 b1e1 a3d3 e1e4,Mate
1r4k1/p2br1pp/2p1p3/3pPp2/3P4/1P2P1P1/P1R3BP/5RK1 w - -,c2c5 g7g5 h2h4 g8g7 g2f3 g7h6 g1f2 d7e8 f3e2 e7g7,87
r5r1/1b2q1bk/n1p1p2p/ppPpPp2/3B1P2/PP1BPN1P/5QRK/6R1 w - -,f3h4 a6c5 d3f5 e6f5 h4f5 e7f8 f5g7 c5e4 f2h4 c6c5,626
r3kb1r/ppp2ppp/2n2n2/3qp1B1/8/2Pb1N2/PP1N1PPP/R2QKB1R w KQkq -,g5f6 g7f6 f1d3 d5d3 d1e2 e8a8 e2d3 d8d3 e1a1 f6f5,-77
r1b1kbnr/pp2p2p/2q3p1/1Np2p2/3p1P2/2N1B1Q1/PPP1P1PP/R3KB1R w KQkq -,b5d4 c5d4 e3d4 g8f6 e2e3 a7a6 f1e2 f8g7 e2f3 c6c7,212
r1b1kb2/p1pq3r/p1Np1p2/3PpN2/P1Q1PpP1/2R2P1p/1PP4P/5RK1 w - -,g1f2 e8f7 f2e2 f7g8 f1g1 d7e8 e2d2 f8h6 d2c1 h6g5,280
r1bq1rk1/1ppn2bp/2np4/1p2ppp1/P2P4/2P1PN1P/4BPPB/RN1Q1RK1 w - -,a4a5 a8a5 a1a5 c6a5 e2b5 e5e4 f3d2 d6d5 b5e2 d7b6,-81
rnbqkb1r/5ppp/p3pn2/1p2N3/2pP4/6P1/1P2PPBP/RNBQK2R w KQkq -,g2a8 f8b4 c1d2 b4d2 d1d2 f6d5 e1h1 e8h8 b1c3 f7f6,452
2K5/8/6B1/p7/1k6/n1p1b3/7P/5R2 w - -,f1a1 c3c2 g6c2 a3c2 a1a2 c2d4 a2b2 d4b3 h2h4 a5a4,-280
3qrrk1/ppp3pn/2np4/4p1p1/4P3/1PNPPN2/1PP3Q1/2K3RR w - -,g2h2 f8f3 h2h7 g8f8 h7h8 f8e7 h8g7 f3f7 c3d5 e7d7,585
r1r3k1/q3pp1p/bn1p2p1/2pPb3/P3P2P/1PN3P1/2QB1PB1/1RR3K1 w - -,d2g5 b6d7 h4h5 d7f6 h5h6 a7d7 c2d1 c8b8 b3b4 b8b4,135
r2q1rk1/ppp2ppp/3Pb3/8/5Bn1/2b5/PPPQ1PPP/2KR1B1R w - -,b2c3 c7d6 f4d6 d8b6 c3c4 b6f2 d6f8 a8f8 f1e2 g4e3,30
r3kb1r/1b1p1ppN/p1n1p3/1p1nP3/3P3q/3B4/PP3PPP/RNBQ1RK1 w kq -,c1g5 h4d4 h7f8 e8f8 f1e1 c6e5 d3f1 d4b2 b1d2 f7f6,-262
r1b2r1k/1ppp1p2/pbn1p1B1/4Pnq1/2PP4/2N2Q2/PP3PPP/R1B1K2R w KQ -,c1g5 f7g6 g5f6 h8g8 f3g4 c6e7 g4h3 b6a5 g2g4 f5g7,697
8/6p1/5pk1/8/2R5/p5PP/R6K/3q4 w - -,c4c3 d1b1 c3a3 g6h7 a2f2 b1c1 a3a4 c1e3 f2c2 e3b3,8
3qrrk1/ppp3p1/2np4/4p1n1/4P3/1PNPP3/1PP3Q1/2K3RR w - -,h1h5 g5e6 g2h3 f8f2 c3d5 g8f7 h5f5 f2f5 h3f5 f7g8,403
2rr4/1p2b1kp/p2p2p1/3Ppqp1/P1P2n2/4B2P/1P3P1Q/R2R1BK1 w - -,a1c1 e5e4 h2g3 e7f6 g3g4 f6e5 g4f5 g6f5 b2b4 g7f6,-187
r1b2r1k/1ppp4/pbn1p1p1/4PnB1/2PP4/2N2Q2/PP3PPP/R3K2R w KQ -,g5f6 h8g8 f3g4 c6e7 g4h3 b6a5 g2g4 f5g7 f6e7 f8f7,694
r4rk1/pp3ppp/8/6Q1/1n1p4/6PP/P3PPb1/5RK1 w - -,g1g2 b4a2 f1d1 a8d8 g5c5 a2c3 d1d4 d8c8 c5b4 c3e2,115
2K5/8/6B1/8/pk5P/n1p1b3/8/5R2 w - -,h4h5 c3c2 g6c2 a3c2 f1b1 b4c4 b1b8 a4a3 b8a8 c4b3,-278
8/8/1K6/8/8/Pk6/2p5/2B5 w - -,c8d7 c3c2 g6c2 a3c2 f1f8 a4a3 f8a8 b4b3 h4h5 a3a2,Mate
r1r3k1/5ppp/6b1/2p5/8/P5QP/1P1R1PP1/6K1 w - -,d2d7 c8b8 g3e5 c5c4 d7c7 b8e8 e5d4 h7h6 d4c4 a8d8,355
r1bqkb1r/ppp2ppp/6n1/4p3/3nB2N/2N3P1/PP1PPP1P/R1BQK2R w KQkq -,h4g6 h7g6 e2e3 d4e6 e4g2 c7c6 d2d3 f8e7 e1h1 e6g5,-36
2r1r1k1/p4pbp/2p3p1/5bq1/P1BPp3/B3P3/5PPP/1R1Q1RK1 w - -,b1b7 f5e6 c4e6 e8e6 b7a7 g7f8 a3f8 g8f8 h2h3 f8g7,250
2r2rk1/1p1q1p1p/p2pbPp1/b3p3/n3P2P/7B/PPP1QP2/1KBR2NR w - -,h3e6 d7e6 h4h5 a5d8 e2d2 d8f6 h5g6 h7g6 g1h3 c8c6,58
1n1q1rk1/1b3pp1/1rp1pn1p/pp6/PbpPP3/2N2NPP/1PQB1PB1/R4RK1 w - -,d2f4 b4e7 f1d1 b5b4 c3b1 b4b3 c2c1 f6e4 f3e5 e4d6,-44
8/r7/8/5k1p/3Q2bP/6P1/5K2/8 w - -,d4a7 f5e5 f2e3 e5d6 a7b6 d6d7 b6c5 d7e6 c5c7 e6d5,20000
3qrrk1/ppp3p1/2npn3/4p2R/4P3/1PNPP3/1PP3Q1/2K3R1 w - -,c3d5 f8f6 g2h3 g8f7 d5f6 d8f6 h5f5 e8f8 f5f6 g7f6,398
5k2/ppp3p1/3n2K1/8/2PP4/8/P7/8 w - -,c4c5 d6e4 g6f5 e4c3 f5g6 c3e2 c5c6 b7b6 g6f5 e2d4,-672
2K5/8/6B1/7P/pk6/n3b3/2p5/5R2 w - -,h5h6 c2c1q f1c1 e3c1 h6h7 c1b2 c8d7 a3c4 d7e7 a4a3,-607
5k2/ppp3p1/6K1/1nP5/3P4/8/P7/8 w - -,d4d5 b7b6 d5d6 b5d6 c5d6 c7d6 g6f5 f8f7 f5e4 f7e6,-753
r3r1k1/1pN2ppp/p1n2q2/2p2b2/3p1B2/2P2B2/PP1Q1PPP/R5K1 w - -,c7a8 e8a8 f3c6 b7c6 a1e1 d4d3 c3c4 h7h5 f4e5 f6h4,-51
r7/4P1k1/8/2K5/8/8/8/5R2 w - -,f1a1 a8a1 e7e8q a1c1 c5d5 c1d1 d5c4 d1f1 c4d3 f1f8,458
1r1q1rk1/4nppp/p7/1p1pPb2/5P2/2PB4/PPN4P/R2Q1RK1 w - -,c2d4 f5e4 f4f5 b5b4 d3e4 d5e4 d1g4 b4c3 b2c3 d8d5,75
r1r3k1/5ppp/6b1/8/2p4P/P5Q1/1P1R1PP1/6K1 w - -,g3c3 g6d3 d2d1 h7h6 d1e1 c8c7 c3b4 c4c3 b2c3 a8c8,281
r2q1rk1/pp1n1ppp/2pb1n2/3p4/3P2P1/2NN1Q1P/PPPB1P2/R4RK1 w - -,,0
1R6/6k1/r6p/5p2/5P2/7P/4P1K1/8 w - -,b8b7 g7g6 b7b3 a6a1 g2f3 g6g7 b3b5 g7g6 b5b6 g6g7,12
2n5/5kpp/p3Np2/1p6/1P2p3/P5P1/4PPKP/8 w - -,e6c7 c8d6 c7a6 f7e6 a6c5 e6d5 h2h4 d5d4 g3g4 e4e3,22
3qr1k1/ppp3p1/2npnr2/4p2R/4P3/1PNPP2Q/1PP5/2K3R1 w - -,c3d5 g8f7 d5f6 d8f6 h5f5 e8f8 f5f6 g7f6 h3h7 f7e8,428
r3kb1r/1b1p1ppN/p1n1p3/1p1nP1B1/3q4/3B4/PP3PPP/RN1Q1RK1 w kq -,h7f8 e8f8 f1e1 d4b2 b1d2 c6e5 d3f1 f7f6 a1b1 b2a2,-257
2K5/8/8/7P/pk6/4b3/2n5/5R2 w - -,c8d7 a4a3 f1b1 b4c4 b1b8 a3a2 b8a8 a2a1q a8a1 c2a1,-276
Qn3rk1/p4ppp/4pn2/3pNb2/3P4/2P5/Pq3PPP/RN2KB1R w KQ -,f2f3 b2a1 e1f2 a1b1 a8a7 b1c1 g2g3 c1c3 f1e2 b8c6,-392
r1bqk2r/ppp2ppp/2n4n/4P3/1bPpP3/3P1N2/PP4PP/RNBQKB1R w KQkq -,b1d2 h6g4 a2a3 g4e3 d1a4 b4e7 b2b4 e8h8 b4b5 c6b8,-128
4b1k1/p1r3pp/1rp1p3/2RpPp2/3P4/1P2P1P1/P6P/2R2BK1 w - -,h2h4 g7g6 c5a5 c7g7 g1f2 h7h5 c1c3 g8h7 a2a3 h7h6,121
1nbq1rk1/5pp1/1rp1pn1p/pp6/PbpPPB2/2N2NP1/1PQ2PBP/R4RK1 w - -,h2h3 c8a6 f3e5 d8c8 f1d1 b8d7 e5d7 f6d7 e4e5 b4c3,-24
5k2/p1p3p1/1p4K1/1nPP4/8/8/P7/8 w - -,d5d6 b5d6 c5b6 c7b6 g6h5 f8f7 h5g5 f7e6 g5g6 d6b5,-866
3rr1k1/p4pbp/2pB2p1/5bq1/P1BPp3/4P3/5PPP/1R1Q1RK1 w - -,b1b7 f5e6 c4e6 e8e6 d6c5 a7a5 d1b3 g7f8 c5f8 g8f8,183
8/5Kp1/2k3N1/2N5/8/8/8/8 w - -,c5e6 c6d5 e6g5 d5d6 f7e8 d6c5 e8e7 c5d5 e7d7 d5c4,66
r2q1rk1/ppp2ppp/2npbn2/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQR1K1 w - -,d2d3 d8d7 a2a3 a7a5 e2e3 e6g4 d1c2 d7f5 f3h4 f5d7,16
r4rk1/p1p1qppn/2p3bp/1p6/4P1P1/1P1P1N1P/PBP2P2/R2QR1K1 w - -,d1d2 e7d6 d2c3 f7f6 f3h4 b5b4 c3d4 g6f7 d4d6 c7d6,312
rn1qkb1r/pp2pp1p/2bp1np1/2p5/4P3/2PP1N2/PPQ1BPPP/RNB1K2R w KQkq -,c1e3 f8g7 b1d2 b8d7 d3d4 c5d4 c3d4 a8c8 c2b1 e8h8,35
8/Q7/5k2/7p/6bP/6P1/5K2/8 w - -,a7c5 f6e6 c5c6 e6e7 c6d5 e7f8 d5c5 f8g8 f2e3 g8f7,20000
4bk2/p1r3pp/1rp1p3/2RpPp2/3P4/1P2P1P1/P4K1P/2R2B2 w - -,h2h4 h7h6 f1d3 b6b8 f2f3 e8h5 f3g2 h5e8 d3e2 g7g5,132
r1bq1rk1/1ppn2b1/p1np4/4p2p/PP1P2p1/R1P1P3/3NBPPB/1N1Q1RK1 w - -,d2c4 d8g5 b4b5 c6e7 b5a6 a8a6 b1d2 g8h8 d4e5 d6d5,-18
r1bqk2r/ppp2ppp/2n5/4P3/1bPpP1n1/3P1N2/PP1N2PP/R1BQKB1R w KQkq -,a2a3 g4e3 d1a4 b4e7 b2b4 e8h8 b4b5 c6b8 a1a2 c7c5,-142
3qr3/ppp2kp1/2npnr2/3Np2R/4P3/1P1PP2Q/1PP5/2K3R1 w - -,d5f6 d8f6 h5f5 e8f8 f5f6 g7f6 h3h7 f7e8 g1g8 f8g8,417
Qn3rk1/p4ppp/4pn2/3pNb2/3P4/2PB4/P4PPP/RNq1K2R w KQ -,e1e2 c1h1 d3f5 e6f5 a8b7 f6e4 f2f3 h1g2 e2e3 g2g1,-372
r1b1k2r/ppp2ppp/2n5/2Pq4/2p1n3/5N2/PP3PPP/RNB2RK1 w kq -,b1c3 e4c3 b2c3 d5f5 f1e1 c8e6 c1e3 e8h8 f3d4 f5g6,-752
r4rk1/pp3ppp/2n5/6Q1/3p4/6Pb/PR2PP2/6K1 w - -,g3g4 d4d3 e2d3 a8d8 b2b7 c6d4 g5h5 d4f3 g1h1 h3f1,-459
1nbq1rk1/5pp1/1rp1p2p/pp6/PbpPP1n1/2N1BNP1/1PQ2PBP/R4RK1 w - -,e3d2 g4f6 d2e3 b8d7 h2h3 c8b7 f1d1 d8b8 f3e5 b7a6,-11
1rr3k1/q3pp1p/bn1p2p1/2pPb1B1/P3P2P/1PN3P1/2Q2PB1/1RR3K1 w - -,g5e3 a7b7 c3a2 b6d7 c2d1 e5f6 b3b4 c5b4 b1b4 c8c1,141
8/2R5/6kp/KP6/2P5/6p1/5r2/8 w - -,c7c8 g3g2 c8g8 g6f7 g8g3 h6h5 b5b6 h5h4 g3g4 h4h3,-597
rnbqkbnr/ppp2p1p/3pp1p1/8/8/4P1P1/PPPP1PBP/RNBQK1NR w KQkq -,c2c4 f8g7 d2d4 g8e7 g1e2 e8h8 b1c3 c7c5 e1h1 b8c6,37
8/r3rk2/1R1Rp1p1/1p1p1p1p/1PpP1P1P/2P1P3/1K3P2/8 w - -,b6b5 e7e8 b5a5 a7a5 b4a5 e8a8 a5a6 a8b8 b2a3 f7e7,474
5k2/p5p1/1p1p2K1/1nP5/8/8/P7/8 w - -,c5d6 b5d6 g6h5 f8f7 h5g5 f7e6 g5g6 d6b5 g6g5 e6d5,-954
