8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
2r1r2k/ppqnp1bp/2p1Q1p1/3np3/4N3/7P/PPP1BPPB/R4RK1 w - -,a1d1 d5f4 h2f4 d7f8 f4e5 c7e5 e6e5 g7e5 c2c3 c8d8,71
r5k1/2r1pp2/p2p2p1/3P4/2P1Q2P/2p1B3/q5P1/5RK1 w - -,h4h5 a2c4 e4f3 f7f5 e3f4 c3c2 f3g3 c4d4 g1h1 d4f6,-394
6N1/5k2/8/2Q5/8/3K4/8/8 w - -,h4h5 a2c4 e4f3 f7f5 e3f4 c3c2 f3g3 c4d4 g1h1 d4f6,Mate
rnbqk1nr/pp3ppp/8/3p4/1b1Pp3/2N2PP1/PP2P2P/R1BQKBNR w KQkq -,f3e4 d5e4 g1h3 g8f6 f1g2 b8c6 c1g5 d8a5 g5f6 b4c3,-18
r1b2k2/pp3p1p/3P2p1/8/3n1P2/2q5/P1PnB1PP/R2Q1RK1 w - -,a2a4 c8f5 a4a5 a8e8 e2d3 d2f1 d1f1 f5d3 c2d3 d4f5,-505
rn1qkb1r/pp2pppb/2pn3p/3p2PP/8/1P1PPN2/PBP2P2/RN1QKB1R w KQkq -,g5h6 d6f5 h6g7 f8g7 b2g7 f5g7 h5h6 g7f5 d1d2 b8d7,142
r2q1rk1/1pp2pp1/4p2p/p4b2/Q1PP4/P3PNb1/n1R1BPPP/3R2K1 w - -,h2g3 f5c2 a4c2 a2b4 a3b4 a5b4 c4c5 b7b6 c5b6 c7b6,255
r2qk2r/ppp2ppp/2np1n2/2b1p3/2b1P3/3PBN1P/PPP2PP1/RN1Q1RK1 w kq -,d3c4 f6e4 d1d3 c5e3 d3e3 f7f5 b1c3 e4c3 e3c3 d8f6,-142
1r1q1rk1/5pp1/3b1n1p/p2p1P2/2p3P1/2PQ3P/PP1N1P2/1RB1R1K1 w - -,d3e2 f8e8 e2d1 e8e1 d1e1 h6h5 e1e2 d8d7 d2f1 f6e4,-81
2Q3N1/8/6k1/8/8/3K4/8/8 w - -,d3e2 f8e8 e2d1 e8e1 d1e1 h6h5 e1e2 d8d7 d2f1 f6e4,Mate
r2q2k1/1p1bbr1p/p1n3pP/2Np1n2/3P1N2/3QBP2/PP4P1/R4RK1 w - -,e3f2 b7b6 f4e6 d7e6 c5e6 d8d7 f1e1 f5h6 a1c1 f7f6,-373
8/4n1pk/1r2p2p/1p2P3/3pP3/3P3P/4N1P1/2R3K1 w - -,e2d4 b5b4 d4b3 e7g6 d3d4 g6f4 c1c2 b6a6 c2b2 a6a3,84
6N1/5k2/2Q5/8/8/3K4/8/8 w - -,g1f1 e7c6 c1c5 h7g6 f1f2 b5b4 e2c1 g6g5 f2g3 g5h5,Mate
r2qk2r/ppp2pp1/2n1pn1p/3p1b2/1bPP4/2N1PN1P/PP1B1PP1/R2QKB1R w KQkq -,a2a3 b4e7 f1e2 e8h8 e1h1 a7a6 a1c1 f8e8 b2b4 d5c4,43
3b1rk1/pp4rp/2p1R1N1/3p4/1q1P2Q1/6P1/1PP2PPK/4R3 w - -,c2c3 b4b6 g4h5 h7g6 e6g6 d8f6 g6h6 g7f7 e1e6 b6d8,284
2r5/4r3/2N1pkp1/pp1n1p1p/2PP1P1P/PPK3P1/8/3RR3 w - -,,0
r2qk2r/pp1bbppp/2n1pn2/1Bpp4/4P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq -,,0
2r5/1q2ppkp/p5p1/3p4/8/1PnQ1P2/P2R2PP/5RK1 w - -,g1h1 b7a7 f1c1 c3e2 c1e1 e2c3 g2g3 f7f6 g3g4 a6a5,82
r2q1rk1/ppp1bppp/2n1bn2/3pp3/2P5/1Q1P2PN/PP1NPPBP/R1B1K2R w KQ -,e1h1 h7h6 g1h1 a7a5 c4d5 f6d5 b3d1 d8d7 h3g1 f8d8,-158
r1bq1rk1/pp2ppbp/2p2np1/4n3/2B5/2N2N1P/PPP2PP1/R1BQ1RK1 w - -,f3e5 f6d5 f2f4 c8f5 d1e2 d5c3 b2c3 d8a5 c4b3 a5c3,653
r2q1rk1/pbpp1ppp/1p3n2/8/1b2P3/2N5/PPPBBPPP/R2QK2R w KQ -,f2f3 d7d5 e4d5 b4c3 d2c3 f6d5 d1d2 d5c3 d2c3 f8e8,-63
r2q1rk1/ppp1ppbp/2np1np1/8/2PPP1b1/3B1N2/PP3PPP/RNBQ1RK1 w - -,d4d5 c6e5 d3e2 g4f3 g2f3 e5d7 g1h1 e7e5 c1g5 a7a5,-43
r1bq1rk1/pp3ppp/2pbpn2/4N3/2BPQ3/8/PPP2PPP/R1B2RK1 w - -,e4e2 d8c7 f1e1 f6d5 c1d2 c6c5 d4c5 d6c5 c4d3 b7b6,47
8/2p1p2p/4P3/5k2/1P3b1K/5P1R/3r4/5b2 w - -,e4f3 d8c7 c1f4 c6c5 c2c3 b7b6 c4d3 c8b7 f3h3 b7e4,Mate
r2q1rk1/1ppb1ppp/p1Bp4/8/4P3/5N2/PP1p1KPP/R1BQ4 w - -,c6b7 d2c1r d1c1 a8b8 b7a6 d8f6 f2g1 d6d5 a6d3 d5e4,-424
8/3k1p1r/p3p1p1/2p1PnPr/1pPp2RP/qP5R/P1P2B2/1Q4K1 w - -,g1g2 h7h8 b1a1 d7e8 g2f3 e8f8 g4g1 a3a5 g1h1 a5c7,-173
8/2p1p2p/4P3/1b3k2/1P3b1K/5P1R/6r1/8 w - -,g1g2 h7h8 b1a1 d7e8 g2f3 e8f8 g4g1 a3a5 g1h1 a5c7,Mate
r2q2k1/3bbr1p/ppn3pP/2Np1n2/3P1N2/3Q1P2/PP3BP1/R4RK1 w - -,f4e6 d7e6 c5e6 d8d7 f1e1 f5h6 a1c1 f7f6 e6g5 b6b5,-391
2r1r2k/pp2p1bp/2p2np1/3nN3/8/5B1P/PPP2PPB/3R1RK1 w - -,g2g4 h8g8 c2c4 d5b6 g4g5 f6h5 f3g4 g7e5 g4e6 g8f8,232
r1bq1rk1/pp4pp/2pbp3/3nNp2/2BPQ3/8/PPP2PPP/R1B2RK1 w - -,e5c6 b7c6 e4d3 a7a5 f1e1 g8h8 c1d2 h7h6 d3e2 a8a7,-433
3kbb2/1rq3p1/p2p2Qp/5P2/2pN4/4B3/PPP5/2KN4 w - -,d4e6 d8e7 e3g5 h6g5 g6g5 e7d7 e6c7 b7c7 g5g2 c7c5,474
r1bq1rk1/2p1n1bp/p2p2p1/np2pp2/4P3/2PP1N2/PPBN1PPP/R1BQR1K1 w - -,e4f5 e7f5 d2e4 d6d5 c1g5 d8d7 e4c5 d7d6 b2b4 a5b7,48
r1b1kb1r/ppp1qp1p/2n3p1/3np3/4P3/1Q3N2/PPPP1PPP/RNB1K2R w KQkq -,e4d5 c6d4 f3d4 e5d4 e1d1 e7h4 b3b5 e8d8 f2f3 f8d6,-29
r2q1rk1/ppp2ppp/2nbp3/8/3P2b1/2n1PNB1/PP2BPPP/R2QK2R w KQ -,d1c2 c3e2 c2e2 d6b4 e1f1 b4e7 e2b5 a8b8 f3e5 h7h5,-516
4bb2/1rq1k1p1/p2pN1Qp/5P2/2p5/4B3/PPP5/2KN4 w - -,e3g5 h6g5 g6g5 e7f7 e6c7 b7c7 g5g6 f7e7 g6e6 e7d8,482
8/2K5/N7/8/8/7B/3k4/8 w - -,c7c6 d2c2 h3f5 c2d2 c6c5 d2c3 c5d5 c3b3 d5c6 b3b2,208
2r1r1k1/pp2p1bp/1np2np1/4N3/2P5/1P3B1P/P4PPB/3R1RK1 w - -,a2a4 a7a5 h2f4 c8d8 f4d2 d8a8 d2e3 b6c8 e5d7 c8d6,197
8/2K1q3/8/1Q6/8/8/p7/k7 w - -,,0
2rr2k1/pp1np1bp/1np3p1/4N1P1/2P5/1P3B1P/P4P1B/3R1RK1 w - -,e5d7 b6d7 f3g4 d7c5 g4c8 d8c8 f1e1 g7f8 b3b4 c5a4,417
r2q1rk1/1b2bppp/1pp1pn2/pPPpn3/3P1B2/P1NBP3/5PPP/R2QK2R w KQ -,c3a4 e5d3 d1d3 b6c5 b5b6 c5d4 e3d4 b7a6 d3c2 e6e5,-813
8/3k1p1r/4p1p1/p1p1PnPr/1pPpR2P/qP5R/P1P2B2/1Q4K1 w - -,g1h2 d7c7 e4f4 a5a4 b3a4 a3a4 a2a3 b4a3 h3b3 a4a7,-181
r1bq1rk1/pp1n1ppp/4pn2/2bp4/2P5/5NP1/PPQ1PPBP/RNB2RK1 w - -,c4d5 e6d5 b1c3 d7b6 c3b5 c5e7 c1f4 c8d7 f3d4 a7a6,66
8/2b2kp1/7p/p7/7P/1PB2K2/6P1/8 w - -,h4h5 f7f8 f3e4 c7d8 e4d5 d8b6 d5c6 b6d8 g2g4 f8f7,481
r2q1rk1/1b1nbppp/1pp1p3/pPPpP3/5B2/P1NBP3/5PPP/R2QK2R w KQ -,d1c2 b6c5 d3h7 g8h8 h7d3 c5c4 d3e2 d7c5 a1b1 c6b5,-270
2r3k1/pp1rp1bp/1np3p1/6P1/2P5/1P3B1P/P4P1B/3R1RK1 w - -,d1d7 b6d7 f3g4 d7b6 g4c8 b6c8 f1d1 g8f7 d1d8 c8b6,521
2K5/8/4q3/1Q6/8/8/p7/k7 w - -,,0
r2qr1k1/pbpp1ppp/1p3n2/8/1b2P3/2NB4/PPPB1PPP/R2QK2R w KQ -,e1h1 b4c3 d2c3 f6e4 d3e4 e8e4 f1e1 d8g5 e1e4 b7e4,-81
8/3k1p1r/4p1p1/2p1PnPr/ppPpR2P/qP5R/P1P2BK1/1Q6 w - -,e4f4 d7e7 b1d1 a4b3 a2b3 a3a6 d1e2 h7h8 e2f3 e7f8,-197
r2q1rk1/ppp1bppp/2n2n2/3pp1N1/2P3b1/1Q1P2P1/PP1NPPBP/R1B1K2R w KQ -,d2f3 e5e4 f3g1 d5c4 b3c4 e4d3 g2c6 b7c6 e2d3 g4f5,-269
1r4k1/3nq1p1/8/4p3/2P1Q3/7P/5PP1/3R2K1 w - -,e4d5 e7f7 d5f7 g8f7 d1d7 f7f6 d7d1 f6e7 d1c1 e7d6,353
8/5pkp/p1r2qp1/4p3/1P1p1n2/1Q3P1P/P2R2P1/R6K w - -,,0
r1q3k1/3bbr1p/ppn1N1pP/2Np1n2/3P4/3Q1P2/PP3BP1/R4RK1 w - -,c5d7 c8d7 f1e1 f5h6 d3b3 e7b4 e1e3 h6f5 e3e2 a8e8,-383
4rb2/1rqb1k2/p2p1nRp/5P2/2pN3R/8/PPP3Q1/2KN4 w - -,g6f6 f7f6 g2g6 f6e7 h4e4 e7d8 e4e8 d7e8 d4e6 d8d7,509
1r3k2/3nq1p1/8/3Qp3/2P5/7P/5PP1/3R2K1 w - -,d5d7 e7d7 d1d7 b8b2 d7d5 b2e2 c4c5 e5e4 d5e5 g7g6,414
7r/3k1p2/4p1p1/2p1PnPr/ppPpR2P/qP5R/P1P2B1K/1Q6 w - -,b3a4 a3a4 a2a3 h8c8 e4f4 d7e8 b1b3 a4a5 h2g2 a5a8,-178
r1b1kb1r/ppp1qp1p/6p1/3Pp3/3n4/1Q3N2/PPPP1PPP/RNB1K2R w KQkq -,f3d4 e5d4 e1d1 e7h4 b3b5 e8d8 f2f3 f8d6 b5f1 h8e8,-30
8/8/8/1KNk1B2/8/8/8/8 w - -,f5e4 d5d4 b5b4 d4e5 b4c4 e5f6 c4d5 f6e7 d5e5 e7f7,202
1r3k2/3q2p1/8/4p3/2P5/7P/5PP1/3R2K1 w - -,d1c1 d7d4 c4c5 b8b2 c1f1 d4c5 g2g3 f8g8 h3h4 c5c4,-1093
3k4/8/1pb1pN1p/3pPp2/1K1P1P2/P7/7P/8 w - -,a3a4 c6a8 a4a5 b6a5 b4a5 a8c6 f6g8 d8e8 a5b6 c6a4,683
QR6/8/8/4k3/2P5/8/1K6/8 w - -,b4b3 c6b5 b3b4 b5a6 f6g8 d8e8 a3a4 e8f8 g8f6 f8e7,Mate
r4rk1/1b1nbppp/1qp1p3/pP1pP3/5B2/P1NBP3/5PPP/R2QK2R w KQ -,a1b1 d7c5 e1h1 c5d3 d1d3 c6b5 c3b5 b7a6 e3e4 d5e4,-196
4r1k1/pp1rp1bp/1np3p1/6P1/2P5/1P3B1P/P4P1B/4RRK1 w - -,f3g4 d7d2 g4e6 g8h8 h2f4 d2d4 f4e3 d4d3 g1g2 g7c3,175
r2q1rk1/1bp1n1bp/p2p2p1/np2pp2/P3P3/2PP1N2/1PBN1PPP/R1BQR1K1 w - -,b2b4 f5e4 d2e4 b7e4 d3e4 a5c4 c2b3 g8h8 d1d3 d8d7,209
8/2K5/8/1p2k3/1P6/8/8/8 w - -,b2b4 f5e4 d2e4 b7e4 d3e4 a5c4 c2b3 g8h8 d1d3 d8d7,Mate
8/8/8/2N1k3/1K2B3/8/8/8 w - -,b4c4 e5f6 c4d4 f6f7 d4e5 f7g7 c5e6 g7f7 e4f5 f7e7,193
8/p5pp/8/2pk4/1P6/P2K2P1/7P/8 w - -,d3c2 c5b4 a3b4 d5c4 g3g4 c4b4 g4g5 h7h5 g5h6 g7h6,-453
8/4k3/1pb1pN1p/3pPp2/PK1P1P2/8/7P/8 w - -,a4a5 b6a5 b4a5 e7f8 a5b6 c6a4 b6c5 f8e7 f6g8 e7f8,746
r5k1/3qbr1p/ppn1N1pP/3p1n2/3P4/3Q1P2/PP3BP1/R4RK1 w - -,a1e1 f5h6 e1e2 c6d8 e6d8 e7d8 f1e1 d8c7 e2c2 h6f5,-393
4rr1k/p2b1p1p/1p4p1/n2Pq1QN/2p1P3/2P5/P1B3PP/3R1RK1 w - -,g5f4 g6h5 f4h4 f7f5 f1f3 f5e4 c2e4 f8f3 e4f3 e5e7,-319
2r2k2/3R2p1/8/4p3/2P5/7P/5PP1/6K1 w - -,d7d5 c8c4 d5e5 f8f7 g1h2 c4b4 e5e3 f7f6 h2g3 f6f5,501
8/p5pp/2k5/2p5/1P6/P1K3P1/7P/8 w - -,,0
r1b1kb1r/ppp1qp1p/6p1/3P4/3p4/1Q6/PPPP1PPP/RNB1K2R w KQkq -,e1d1 e7h4 b3b5 e8d8 f2f3 f8d6 b5f1 b7b6 d2d3 h8e8,-19
r1bq1rk1/pp3ppp/2pbp3/3nN3/2BP3Q/8/PPP2PPP/R1B2RK1 w - -,h4h5 d8c7 f1e1 c6c5 d4c5 c7c5 c4d3 d5f6 h5e2 f8d8,44
2r2k2/6p1/8/3R4/2P1p3/7P/5PP1/6K1 w - -,d5d4 e4e3 f2e3 f8f7 g1f2 f7f6 h3h4 c8c5 f2e2 f6e6,605
r7/3k1p2/4p1p1/2p1PnPr/ppPpR2P/qP5R/P1P4K/1Q2B3 w - -,e1f2 d7c7 e4e2 a8d8 e2e1 a4b3 a2b3 d8h8 e1e4 a3a7,-187
QR6/8/8/8/2P2k2/2K5/8/8 w - -,e1f2 d7c7 e4e2 a8d8 e2e1 a4b3 a2b3 d8h8 e1e4 a3a7,Mate
5r1k/p2b1p1p/1p4p1/n2Pr2N/2p1P3/2P5/P1B3PP/3R1RK1 w - -,h5f6 d7c8 f1f4 h8g7 g1f2 f8h8 h2h4 h7h5 d1f1 e5e7,141
r2qr1k1/pbpp1p1p/1p3np1/8/1b2P3/2NB4/PPPB1PPP/R2Q1RK1 w - -,f1e1 d7d5 e4d5 e8e1 d1e1 d8d6 c3e4 f6e4 d2b4 d6d5,29
r2q1rk1/1bp1n1bp/p1np2p1/1p2pp2/PP2P3/2PP1N2/2BN1PPP/R1BQR1K1 w - -,c2b3 g8h8 f3g5 d8d7 g5f7 f8f7 b3f7 a8f8 f7b3 h7h6,216
r1q2rk1/p2nbpp1/bp2p2p/3nP1B1/2B1Q3/1P3N2/P2N1PPP/R4RK1 w - -,g5f4 d7c5 e4d4 f8d8 f4e3 f7f5 f1c1 c8b7 c4a6 c5a6,-119
r7/3k1p2/4p1p1/2p1PnPr/1pPpR2P/qp3R2/P1P4K/1Q2B3 w - -,a2b3 d7c7 e1f2 a3a6 f3f4 a6c6 e4e1 h5h8 e1f1 c7b6,-213
8/8/8/2k5/1p6/PP6/1K6/8 w - -,a3a4 c5d5 b2c2 d5d4 c2d2 d4e4 d2e2 e4d4 e2f3 d4d5,20
r2k1b1r/p1p2pp1/2p2P1p/5b2/2p5/8/PPP2PPP/RNB2RK1 w - -,,0
r1q2rk1/p2nnpp1/bp2p2p/4P3/2B1Q3/1P3N2/P2N1PPP/R4RK1 w - -,c4a6 c8a6 d2c4 a8d8 c4d6 d7c5 e4g4 e7g6 f1d1 d8d7,-22
Q3R3/8/8/8/2P3k1/2K5/8/8 w - -,c4a6 c8a6 d2c4 a8d8 c4d6 d7c5 e4g4 e7g6 f1d1 d8d7,Mate
8/8/1N6/8/1K2B3/8/k7/8 w - -,c4a6 c8a6 d2c4 a8d8 c4d6 d7c5 e4g4 e7g6 f1d1 d8d7,Mate
r1k2b1r/p1p2pp1/2p2P1p/5b2/2p5/8/PPP2PPP/RNBR2K1 w - -,,0
r2q1rk1/ppp1bppp/5n2/3pp1N1/1nP3b1/1Q1PP1P1/PP1N1PBP/R1B1K2R w KQ -,h2h3 d5c4 d3c4 b4d3 e1f1 g4h5 b3c2 h5g6 g5e4 f6h5,-262
r1bq1rk1/pp3ppp/2pbpn2/4N2Q/2BP4/8/PPP2PPP/R1B2RK1 w - -,h5h3 d8c7 f1e1 f6d5 c4d3 f7f5 d3c4 c6c5 e5f3 c5d4,89
1r6/3k1p2/4p1p1/2p1PnPr/1pPpR2P/qP3R2/2P4K/1Q2B3 w - -,e4g4 b8a8 e1f2 h5h8 g4g1 a3a7 f3f4 d7c7 h2h3 a7b7,-220
8/8/4N1K1/4k3/8/8/B7/8 w - -,e6c5 e5d4 c5a4 d4d3 g6f5 d3d4 f5e6 d4e3 e6d5 e3d3,156
8/5pkp/p4qp1/4p3/PP1p4/1Qr1nP1P/3R2P1/R6K w - -,b3b1 f6d6 b4b5 a6b5 a4b5 e3c4 d2d3 c4a3 b1f1 a3b5,-7
r1b1k2r/ppp1qpbp/6p1/3P4/3p4/1Q6/PPPP1PPP/RNBK3R w kq -,h1e1 g7e5 h2h3 e7g5 b3f3 e8h8 d2d3 g5e7 b2b3 f8e8,154
r4rk1/3bbpp1/p2p3p/3P4/5pP1/2B4P/PPP3B1/2KR3R w - -,d1d3 f7f5 g2f3 g8f7 c3a5 e7f6 c2c4 g7g5 b2b3 f6e5,-36
r5k1/7p/p1p5/1p1n2p1/3P2r1/1BP3bq/PP1N2R1/R1BQ2K1 w - -,b3d5 c6d5 d1g4 h3g4 d2f1 g4d1 g2g3 h7h6 g3g2 a8f8,-369
8/5K2/4N3/8/4k3/8/B7/8 w - -,e6c5 e4d4 c5a4 d4d3 f7f6 d3c2 f6f5 c2c1 f5e5 c1c2,158
r1b1k2r/4pp1p/p1p3p1/q1pP4/4P3/5N2/P2b1PPP/1R1Q1RK1 w kq -,e4e5 d2h6 e5e6 f7e6 d5c6 e8h8 f1e1 c5c4 e1e5 a5c7,-346
4R3/8/6k1/8/2P5/2K2Q2/8/8 w - -,e4e5 d2h6 e5e6 f7e6 d5c6 e8h8 f1e1 c5c4 e1e5 a5c7,Mate
r1bq1rk1/pp2bppp/4pn2/3p4/1PP1n3/5NP1/P1Q1PPBP/RNB2RK1 w - -,b1d2 e7b4 d2e4 f6e4 c1b2 d8c7 a1c1 f8d8 c2d3 c7b6,-20
r2q1rk1/1bp1n1bp/p1n3p1/1p1ppp2/PP2P3/1BPP1N2/3N1PPP/R1BQR1K1 w - -,e4d5 e7d5 d2e4 g8h8 e4c5 d5c3 d1d2 c6d4 f3d4 d8d4,244
r1q2rk1/pb1nnpp1/1p2p2p/4P3/2B1Q3/1P3N2/P2N1PPP/2R2RK1 w - -,e4h4 c8d8 f1e1 e7g6 h4g3 d7c5 c1d1 a8c8 c4f1 c8c7,-27
r1r3k1/1b1nbppp/1qp1pn2/pP1p4/3P1B2/P1NBPN2/5PPP/R2Q1RK1 w - -,f3d2 c6b5 c3b5 b7a6 a3a4 e7b4 h2h3 b6d8 d1e2 a6b5,-41
rnbqk1nr/1p3ppp/p1pb4/3p4/3P1B2/2N2N2/PPQ1PPPP/R3KB1R w KQkq -,c3d5 c6d5 f4d6 b8c6 d6a3 c8g4 e2e3 g4f3 g2f3 d8f6,168
r1b2rk1/ppq2ppp/2pbpn2/4N3/2BP4/7Q/PPP2PPP/R1B2RK1 w - -,f1e1 f6d5 c4d3 f7f5 e5f3 b7b6 e1e2 h7h6 c1d2 c6c5,80
2Q5/8/7p/3b3k/7P/7K/5P1B/6n1 w - -,,0
2r5/4r3/2N2kp1/pp1p1p1p/3P1P1P/PPK3P1/8/3RR3 w - -,,0
r1bqk2r/1p1pnpbp/p1n3p1/1Bp1p3/4P3/2PPBN2/PP3PPP/RN1Q1RK1 w kq -,b5c6 e7c6 e3c5 d7d6 c5e3 e8h8 b1d2 f7f5 d2c4 f5f4,86
1r6/4kp2/4p1p1/2p1PnPr/1pPpR2P/qP3R2/2P4K/3QB3 w - -,f3f1 h5h8 e4f4 e7f8 e1g3 f8g7 d1d3 a3a7 f4f2 a7e7,-213
r2q1rk1/1bp3bp/p1n3p1/1p1npp2/PP6/1BPP1N2/3N1PPP/R1BQR1K1 w - -,d2e4 g8h8 e4c5 a8b8 c5e6 d8d6 b3d5 d6d5 e6f8 b8f8,252
2r5/5kp1/8/2PR4/4p3/7P/5PP1/6K1 w - -,g1h2 f7e6 d5g5 c8a8 h2g3 e6f6 h3h4 a8a2 g3f4 a2e2,633
4n3/5p2/7p/1p3Np1/4N1P1/3k1P2/7P/5K2 w - -,f5h6 f7f6 h6f5 b5b4 f1e1 b4b3 e4f2 d3c2 f5e3 c2c3,323
8/2b2k2/7p/p7/7P/1P3K2/3B4/8 w - -,d2h6 f7g6 h6f4 c7d8 f4g5 d8b6 f3g4 g6h7 h4h5 b6g1,612
r2qr1k1/pbp2p1p/1p1p1np1/8/1b2P3/2NB4/PPPB1PPP/R2QR1K1 w - -,d2g5 e8e5 f2f4 e5a5 d1f3 h7h6 g5h4 a5h5 h4f2 d8d7,56
r2q1rk1/pb1nnpp1/1p2p2p/4P3/2B3Q1/1P3N2/P2N1PPP/2R2RK1 w - -,f1d1 a8c8 d2e4 e7g6 e4d6 b7f3 g4f3 g6e5 f3f4 c8c6,-33
1r6/4kp2/4p1p1/2p1PnPr/2PpR2P/qPp2R2/7K/3QB3 w - -,d1d3 b8b3 e4e2 b3b2 h2g1 a3a8 f3f4 h5h8 e2b2 c3b2,-535
2r5/1q3pkp/p5p1/3pp3/8/1PnQ1P2/P2R2PP/5R1K w - -,f3f4 e5e4 d3d4 f7f6 g2g4 b7b5 d4a7 g7g8 f1c1 c8e8,114
2r5/6p1/4k3/2PR4/4p3/7P/5PPK/8 w - -,d5g5 c8a8 h2g3 a8a1 g3f4 e6f6 h3h4 a1e1 g2g3 g7g6,631
8/5p2/2n4p/1p3Np1/4N1P1/3k1P2/5K1P/8 w - -,f5h6 c6e5 e4g5 e5d7 h6f7 b5b4 g5e4 b4b3 f2e1 b3b2,371
rnbq1k1r/ppp3bp/3p1n2/3PppBQ/2P5/2N5/PP3PPP/R3KBNR w KQ -,h5d1 d8e8 f2f3 b8a6 f1d3 e8h5 h2h4 f5f4 d1d2 a6c5,50
8/4kp2/4p1p1/2p1PnPr/2PpR2P/qrB2R2/7K/3Q4 w - -,c3d4 b3f3 d4c5 a3c5 d1f3 e7f8 h2h3 c5c6 e4f4 c6f3,-679
8/5p2/2n4p/1p3Np1/4N1P1/5P2/2k4P/5K2 w - -,f5h6 c6d8 f1e2 b5b4 h6f5 d8e6 f5e3 c2c1 e2d3 b4b3,355
2r5/6p1/5k2/2P3R1/4p3/7P/5PPK/8 w - -,h3h4 e4e3 f2e3 c8c7 h2g3 f6e6 g3f4 c7f7 f4e4 f7a7,645
8/4kp2/4p1p1/2p1PnPr/1BPpR2P/q4R2/1r5K/3Q4 w - -,h2g1 a3b4 f3f1 b4a3 d1f3 a3f3 f1f3 f5h4 f3g3 h4f5,-915
8/2b2k2/7p/p7/7P/1PB2K2/8/8 w - -,h4h5 f7e6 f3e4 e6f7 c3d2 f7g7 e4d5 c7b6 d5c6 b6d8,608
8/4kp2/4p1p1/2p1PnPr/2PpR2P/q4R2/3r3K/3Q4 w - -,f3e4 f7g6 c3d2 c7d8 e4e5 h6h5 d2e1 d8c7 e5e6 c7d8,Mate
r4rk1/2R4R/1n2N1pp/8/8/p6P/5PPK/1q6 w - -,f3e4 f7g6 c3d2 c7d8 e4e5 h6h5 d2e1 d8c7 e5e6 c7d8,Mate
r1bq1rk1/1p2bppp/4pn2/p2p4/1PP1n3/P4NP1/2Q1PPBP/RNB2RK1 w - -,c1b2 a5b4 c4d5 e6d5 a3b4 a8a1 b2a1 e7b4 b1d2 d8e7,-23
r4rk1/3nbppp/1qb1pn2/p2p4/3P1B2/2NBPN2/P4PPP/R2QK2R w KQ -,f3e5 d7e5 f4e5 a5a4 a1b1 b6a5 e1h1 f8c8 c3b5 f6e4,-75
8/4kp2/4p1p1/2p1PnPr/2PpR2P/5q2/3Q3K/8 w - -,f3e5 d7e5 f4e5 a5a4 a1b1 b6a5 e1h1 f8c8 c3b5 f6e4,Mate
8/5p2/2n4p/1p3Np1/4N1P1/3k1P2/7P/4K3 w - -,f5h6 d3e3 e4g5 f7f6 h6f5 e3f4 g5e4 f4f3 e4f6 c6e5,349
r1bq1rk1/1p2bppp/4pn2/3p4/1pP1n3/P4NP1/1BQ1PPBP/RN3RK1 w - -,c4d5 e6d5 a3b4 a8a1 b2a1 e7b4 b1d2 d8a5 d2e4 d5e4,-11
1K6/4q3/8/1Q6/8/8/p7/k7 w - -,,0
6k1/pp5p/2p3p1/4r1P1/2P2R1P/1P3K2/P4P2/8 w - -,f4e4 e5a5 a2a4 g8f7 f3g4 a5a6 g4f4 a6b6 e4e3 b6b4,278
r2q1r1k/1bp3bp/p1n3p1/1p1npp2/PP2N3/1BPP1N2/5PPP/R1BQR1K1 w - -,e4c5 a8b8 c5e6 d8d6 b3d5 d6d5 e6f8 b8f8 c1b2 d5g8,262
8/8/8/2N5/K3B3/8/8/k7 w - -,e4c5 a8b8 c5e6 d8d6 b3d5 d6d5 e6f8 b8f8 c1b2 d5g8,Mate
r4rk1/1p2bpp1/1qp1pn1p/p3N3/3P4/2PQ2B1/PP3PPP/R4RK1 w - -,b2b3 a8d8 d3f3 d8d5 f1e1 f8d8 e5c4 b6a6 g3e5 a5a4,7
r5k1/2r1pp2/p2p2p1/1q1P4/1p2Q3/1Pb1B3/P5PP/2R2RK1 w - -,h2h3 a8e8 f1f3 e7e6 c1d1 e6d5 e4d5 b5d5 d1d5 c7c6,-123
6k1/4R2p/6p1/pp3rP1/7P/1P2K3/P4P2/8 w - -,f2f4 f5c5 e7a7 b5b4 e3f3 c5d5 f3g3 d5c5 g3g4 h7h5,385
r4rk1/1b3p1p/p4p2/1pb4N/4P3/6q1/PP3PPP/R2R2K1 w - -,h5g3 f8d8 a1c1 c5b6 g1f1 d8d1 c1d1 a8d8 d1d8 b6d8,-421
r4rk1/3n1ppp/1qb1p3/p2p4/1b1PnB2/2NBPN2/P4PPP/1R1Q1RK1 w - -,c3e4 d5e4 a2a3 e4d3 a3b4 a5a4 f3e1 a4a3 e1d3 f8c8,-161
rnb1kbnr/1p3pp1/2p2q1p/p3p3/2B1P3/2N2N1P/PPP2PP1/R1BQK2R w KQkq -,c1e3 b8d7 d1d3 g8e7 e1a1 e7g6 d1d2 f8e7 c3b5 e8h8,60
