3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
4r1k1/p4p1p/3p1bp1/8/q1pPp3/2P2N1P/3Q1PP1/4R1K1 w - -,f3h4 f6h4 d2f4 h4d8 f4d6 a4b5 d6c5 b5d7 e1b1 e4e3,-534
rnbqk2r/p2nppb1/2p3p1/1p1pN2p/3P1B1P/2N1P3/PPP1BPP1/R2QK2R w KQkq -,e5d3 a7a5 a1c1 b8a6 a2a3 a6c7 e2f3 c7e6 f4g3 e8h8,27
4r1k1/pp1q2pp/1b3p2/3p1b2/1B1P4/P4N1P/1P1Q1PP1/2R3K1 w - -,b4a5 b6a5 d2a5 b7b6 a5c3 d7b5 c3d2 f5e4 f3h2 b5d3,12
r1b1kb1r/pp2pppp/1qn5/3p4/3NnB2/1PP1P3/P4PPP/RN1QKB1R w KQkq -,d4c6 b7c6 b1d2 e4c3 d1c2 c3b5 a2a4 b5c7 a4a5 b6b7,-25
r4r1k/ppp1qp1p/5npQ/4p3/4P3/3PB3/PPP3PP/R4RK1 w - -,h6g5 f6g8 g5e7 g8e7 e3h6 h8g8 h6f8 a8f8 a1d1 f8d8,304
2r1k3/R4b1p/1pp2pp1/4p3/P3P3/4B3/1PP2PPP/6K1 w - -,e3b6 c6c5 a4a5 f6f5 f2f3 f5e4 f3e4 c5c4 b6c7 g6g5,496
2rb1rk1/1p1qnppp/p2pb3/3Np3/P1B1P3/4B3/1PP2PPP/R2Q1RK1 w - -,d5e7 d8e7 c4e6 f7e6 d1d3 d7c6 c2c3 f8d8 f1e1 d6d5,6
rn1qkbnr/pp2pppp/3pb3/2p5/4P3/1PP5/P2P1PPP/RNBQKBNR w KQkq -,d2d4 c5d4 c3d4 d6d5 b1c3 d5e4 d4d5 e6f5 g2g4 f5g6,23
r4rk1/pQ3ppp/4p3/8/3n4/P3qB1P/6P1/2R2R1K w - -,b7c7 d4f3 f1f3 e3b6 f3c3 b6a6 c7c6 a6c6 c3c6 a7a5,-223
4r1k1/p4p1p/5bp1/3p4/q1pPp3/2P4P/3Q1PPN/4R1K1 w - -,g2g4 a4d7 g4g5 f6d8 h2g4 g8g7 d2f4 d7f5 f4f5 g6f5,-265
1r3k2/5p2/2B2p1p/4pP2/1p1b2PP/8/1PP1KP2/R7 w - -,c6d5 b8c8 d5b3 c8c7 a1a4 d4b2 a4b4 f8g7 b4b8 b2d4,65
3R4/R5pk/1r3pp1/6P1/3P4/7P/pr3PK1/8 w - -,h3h4 b6b8 d8b8 b2b8 a7a2 h7g8 g2f3 b8b5 f3f4 b5f5,30
r1b1r1k1/1pp2pp1/p5qp/2bP4/8/3Q2NP/PPP1K1PN/R4R2 w - -,e2d1 g6b6 d3b3 b6d6 h2g4 c8g4 h3g4 a8d8 c2c4 e8e3,-382
rnbqk2r/4ppb1/2p3p1/pp1pn2p/3P1B1P/2N1PP2/PPPQB1P1/R3K2R w KQkq -,f4e5 g7e5 d4e5 c8e6 f3f4 b8d7 e2f3 d8b6 c3e2 e6g4,-17
6k1/2q4p/3p4/2pP1b2/1pPbN1p1/rP6/2Q2NP1/3R2K1 w - -,e4f6 d4f6 c2f5 f6d4 d1d4 c5d4 f5g4 g8h8 g4d4 c7g7,-2
4r1k1/p4pbp/6p1/3p4/q1pPp1N1/2P4P/3Q1PP1/4R1K1 w - -,d2c1 h7h5 g4e3 g7h6 c1a1 a4d7 e1b1 h6e3 f2e3 d7c7,-293
r1bq1rk1/pp3ppp/8/1Q6/3p4/2N1b3/PPP3PP/R4R1K w - -,c3e4 c8e6 e4g3 d8d5 b5d3 f7f5 c2c3 f5f4 c3d4 g8h8,-577
2rq1rk1/1p3pbp/p1npb1p1/4p3/2P1P3/2N1BP2/PPNQn1PP/R2R2K1 w - -,g1h1 e2c3 d2c3 d8e7 e3b6 f7f5 b2b3 f8f7 c3d2 f5e4,-513
2rb1rk1/1p1qnppp/p2p4/3bp3/P3P3/1B2B3/1PP2PPP/R2Q1RK1 w - -,b3d5 e7d5 d1d5 c8c2 b2b4 h7h6 f1d1 c2b2 d5e5 b2b4,-18
6k1/2q4p/3p1b2/2pP1b2/1pP3p1/rP6/2Q2NP1/3R2K1 w - -,c2f5 f6d4 d1d4 c5d4 f5g4 g8h8 g4d4 c7g7 d4f4 a3b3,-5
r1bqk1nr/pp3ppp/2n1p3/3P4/1bBP4/8/PP3PPP/RNBQK1NR w KQkq -,e1e2 e6d5 c4b3 d8b6 c1e3 g8f6 e2f1 e8h8 h2h3 f8e8,-134
r1bqk1nr/ppp1b1pp/2np4/4p3/8/4PNB1/PPP2PPP/RN1QKB1R w KQkq -,c2c4 g8f6 a2a3 c8f5 b1c3 e8h8 f1e2 g8h8 e1h1 a7a5,39
r2q1rk1/1p3ppp/p3b3/3N4/3p4/1Q2b3/PPP3PP/R4R1K w - -,d5e7 d8e7 b3d3 e7g5 f1f3 a8d8 a1e1 g5h6 h2h3 e3g5,-715
1r1R4/R5pk/5pp1/6P1/3P3P/8/pr3PK1/8 w - -,d8b8 b2b8 a7a2 h7g8 g2f3 b8b5 f3f4 b5f5 f4g4 f5b5,31
4r1k1/pp1q2pp/1b3p2/3p4/1B1Pb3/P4N1P/1P1Q1PP1/4R1K1 w - -,,0
4r1k1/p2q2bp/6p1/3p1p2/2pPp3/2P1N2P/1Q3PP1/4R1K1 w - -,e1a1 f5f4 e3g4 h7h5 g4e5 g7e5 d4e5 e4e3 b2b4 e8e5,-329
2rb1rk1/1p1q1ppp/p2p4/3np3/P3P3/4B3/1PP2PPP/R2Q1RK1 w - -,d1d5 c8c2 b2b4 h7h6 f1d1 c2b2 d5e5 d8f6 d1d6 f6e5,-19
r5k1/pp3pp1/1bpp3p/4n3/1P2N2q/PQ5P/1B3PP1/3R2K1 w - -,e4d6 h4f2 g1h1 e5g6 d6e4 f2e3 b3e3 b6e3 d1d7 e3f4,-255
r2q1rk1/1p3ppp/p7/3b4/2Pp4/1Q2b3/PP4PP/R4R1K w - -,a1e1 d5c6 b3d1 d8g5 f1f3 c6f3 d1f3 d4d3 f3b7 d3d2,-819
rnb1k2r/2q1pp2/2p3p1/pp1pP2p/7P/2N1PP2/PPPQB1P1/R3K2R w KQkq -,d2d4 b8d7 f3f4 c7a7 e2f3 d7c5 c3e2 c8f5 e1h1 e7e6,-33
1r6/R5pk/5pp1/6P1/3P3P/8/p4PK1/8 w - -,a7a2 h7g8 g2f3 b8b5 f3f4 b5f5 f4g4 f5b5 f2f4 b5b4,22
r1bqkbnr/pp4pp/3p2n1/1Pp1pp1Q/4PP2/P7/1BPP2PP/RN2KBNR w KQkq -,g1h3 g8f6 h5g5 f5e4 f4e5 g6e5 b2e5 d6e5 g5e5 f8e7,-131
2r3k1/pp1q2pp/1b3p2/3p4/1B1Pb3/P6P/1P1Q1PPN/4R1K1 w - -,b4c3 c8c6 h2f1 b6c7 d2d1 h7h6 h3h4 c7d6 h4h5 d6c7,-19
3b1rk1/1p1q1ppp/p2p4/3Qp3/P3P3/4B3/1Pr2PPP/R4RK1 w - -,b2b4 h7h6 f1d1 c2b2 d5e5 d8f6 d1d6 f6e5 d6d7 b2b4,-16
4r1k1/p2q2bp/6p1/3p4/2pPpp2/2P1N2P/1Q3PP1/1R4K1 w - -,b2e2 f4e3 f2e3 e8a8 e2f2 a7a5 f2g3 a5a4 g3b8 a8b8,-520
r1bq1rk1/4ppbp/2p2np1/6B1/pn6/2NP1Q2/BPP1NPPP/R3K2R w KQ -,a2b1 b4d5 e1h1 c8g4 f3g3 g4e2 c3e2 d8b6 c2c4 f6h5,-107
rnbqnrk1/pp1pbppp/4p3/2p1P3/2P5/2NP1N2/PP3PPP/R1BQKB1R w KQ -,c1f4 d7d6 d3d4 c5d4 f3d4 d6e5 f4e5 c8d7 f1d3 b8c6,-10
6q1/8/8/8/8/7Q/5k2/7K w - -,h3h4 g8g3 h4g3 f2g3 h1g1 g3f3 g1f1 f3e3 f1e1 e3d3,Mate
6k1/5pp1/8/7p/5P1P/8/6P1/4R1K1 w - -,g1f2 f7f6 f2e3 g8f7 e3e4 f7e6 e1b1 g7g6 b1b6 e6d7,854
1r4k1/6p1/5pp1/6P1/3P3P/8/R4PK1/8 w - -,g2f3 b8b5 f3f4 b5f5 f4g4 f5b5 a2c2 g8f7 c2c7 f7f8,21
1r3rk1/5ppp/p7/1p1q4/P2p4/3Qb3/1P4PP/R4R1K w - -,f1f5 d5c4 d3e4 b5a4 f5e5 c4e2 a1c1 b8b2 e5e8 e3c1,-606
r1bqk2r/ppp1nppp/3p1n2/3Pp3/2P1P3/2P2N2/P1Q2PPP/R1B1KB1R w KQkq -,c4c5 e8h8 c5d6 c7d6 f3d2 b7b6 a2a4 f6d7 c1a3 d7c5,23
r2k3r/p1pq1ppp/4b3/3pN3/3P4/B7/P4PPP/4R1K1 w - -,e5d7 d8d7 h2h3 a8e8 f2f4 e6f5 e1e5 f5e4 g2g4 d7c6,-607
rnbqnrk1/pp2bppp/3pp3/2p1P3/2P1N3/3P1N2/PP3PPP/R1BQKB1R w KQ -,e5d6 e8d6 f1e2 b8c6 e1h1 d6f5 f1e1 b7b6 e4g3 c8b7,-89
3r4/5pk1/5p1p/4pP2/1p1b2PP/1B6/1PP1KP2/R7 w - -,a1a4 d4c5 a4a5 d8c8 a5b5 c8c7 h4h5 c5d4 b5b4 d4b2,107
r1b1k2r/2q1pp2/n1p3p1/pp1pP2p/5P1P/2N1P3/PPPQB1P1/R3K2R w KQkq -,e2f3 a6c5 c3e2 c8f5 e1h1 e7e6 e2d4 e8h8 d2e1 g8h7,-32
r4r1k/pppN1p1p/2n3bQ/2bpp3/2B1P2P/3P1N2/PPP2PP1/R3K2R w KQ -,e2f3 a6c5 c3e2 c8f5 e1h1 e7e6 e2d4 e8h8 d2e1 g8h7,Mate
2rb1rk1/1p1qn1pp/p2p4/3Ppp2/P7/1B2B3/1PP2PPP/R2Q1RK1 w - -,f2f3 d8a5 g1h1 a5b4 f3f4 e5f4 f1f4 b4c5 e3c5 c8c5,-31
4r1k1/p2q2bp/6p1/3p4/2pP1p2/2P1p2P/1QN2PP1/1R4K1 w - -,f2f3 g7f6 c2e1 f6h4 b2e2 a7a5 g2g4 a5a4 e1c2 g8g7,-437
3r2k1/6p1/2p1p2p/p3q2n/P1PpP3/1P1Q1R1P/6P1/5RK1 w - -,d3d2 g8h7 f1d1 h5f6 b3b4 a5b4 d2b4 c6c5 b4d2 f6d7,155
8/5ppk/8/4R2p/5P1P/8/6P1/6K1 w - -,g1f2 h7g6 f2f3 f7f6 e5a5 g6f7 f3e4 f7e6 a5a6 e6f7,1018
4r3/6k1/4pp1p/4P3/1P6/R3P1K1/6PP/8 w - -,a3b3 e8b8 b4b5 b8b6 g3f4 h6h5 f4e4 f6e5 e4e5 g7f8,604
rnb1kb1r/ppp2ppp/3q1n2/3p2B1/3P4/5N2/PP2PPPP/RN1QKB1R w KQkq -,b1c3 f6e4 g5h4 c7c6 e2e3 f8e7 d1c2 e7h4 f3h4 e4c3,22
r4rk1/5pp1/1np3p1/pp6/P2P2P1/1BP2K1P/5P2/R4R2 w - -,f1e1 f8c8 e1e5 g8f8 f3e2 b6d7 e5g5 c8b8 e2d3 b5b4,22
6k1/pp1q2pp/1b3p2/3p4/1B1Pb3/P6P/1P1Q1PPN/2r3K1 w - -,d2c1 b6d4 c1d2 d4b6 b4a5 b6a5 d2a5 d5d4 h2f1 b7b6,-182
4rbk1/ppqr1ppp/2p5/8/2N3n1/1P3QP1/PBP2PKP/4R3 w - -,e1b1 g4h6 b2c1 f7f5 c1h6 g7h6 f3f5 f8g7 f5g4 c7d8,-587
r3r1k1/p4pp1/2p5/2Q3q1/3Bp1b1/1P6/P3NP1p/R3R1K1 w - -,e1b1 g4h6 b2c1 f7f5 c1h6 g7h6 f3f5 f8g7 f5g4 c7d8,Mate
r3k2r/1p1bnn1p/1q3p2/pNbpp3/P2N4/2P5/1PB2PPP/R1BQR1K1 w kq -,c1d2 d7b5 a4b5 e5d4 b2b4 d4d3 b4c5 d3c2 d1f3 b6c5,-118
r4rk1/pp3pp1/2p2n2/2q1n3/P3P1p1/2N2PP1/BP2Q2P/R4R1K w - -,a2f7 f8f7 f3f4 e5f3 e4e5 f6d5 f1d1 d5c3 b2c3 a8f8,-275
r3r1k1/p4pp1/2p5/2Q5/3Bp1bq/1P6/P3NP1K/R3R3 w - -,a2f7 f8f7 f3f4 e5f3 e4e5 f6d5 f1d1 d5c3 b2c3 a8f8,Mate
8/5pp1/6k1/7R/5P1P/8/6P1/6K1 w - -,h5a5 g6f6 g1h2 f6e7 h2g3 e7e6 g3g4 e6e7 a5a6 g7g6,1064
r3k2r/4pp2/n1p3p1/pp1pPb1p/3P1P1P/2N2B2/PPP3P1/R3K2R w KQkq -,e1d2 e8d7 a2a3 d7c7 g2g3 c7b6 a1c1 a5a4 f3e2 a6c7,-10
6k1/p2q2b1/6pp/3p4/2pP1p2/2P4P/1QN3P1/4K3 w - -,e1d1 f4f3 g2f3 d7h3 c2e1 h3d7 d1e2 g8h7 e1g2 a7a5,-308
2rb1rk1/1p1qn1pp/p2p4/3P1p2/P4p2/1B2B3/1PP3PP/R2Q1RK1 w - -,e3f4 e7g6 f4c1 d8b6 g1h1 f5f4 a4a5 b6e3 c1e3 f4e3,-53
r3k2r/5p2/n1p1p1p1/pp1pPb1p/3P1P1P/2N2B2/PPPK2P1/R6R w kq -,f3e2 e8e7 h1c1 a6b8 b2b3 b8d7 a2a3 h8c8 d2e3 a8b8,-9
rnb1kb1r/pp3ppp/2pq1n2/3p2B1/3P4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e3 h7h6 g5f4 d6e6 f1d3 f8d6 e1h1 e8h8 d1c2 a7a5,68
6k1/p2q2bp/6p1/3p4/2pP1p2/2P4P/1QN2KP1/4r3 w - -,b2a3 e1e8 a3c1 d7e6 f2g1 e6e2 h3h4 f4f3 c1f1 e2c2,-802
6q1/8/8/8/8/7Q/5k1K/8 w - -,h3h4 f2e2 h4e7 e2d2 e7d6 d2c2 d6c5 c2b3 c5e3 b3b2,Mate
8/6p1/6k1/R4p2/5P1P/8/6P1/6K1 w - -,h3h4 f2e2 h4e7 e2d2 e7d6 d2c2 d6c5 c2b3 c5e3 b3b2,Mate
2rb1rk1/1p1q2pp/p2p2n1/3P1p2/P4B2/1B6/1PP3PP/R2Q1RK1 w - -,f4c1 d8b6 g1h1 f5f4 a4a5 b6e3 c1e3 f4e3 f1e1 d7e7,-52
8/pp2r1p1/2p1k1p1/2P1P3/1P1R4/P5P1/6P1/5K2 w - -,,0
r1bqk2r/pppnnppp/3p4/3Pp3/2P1P3/2PB1N2/P1Q2PPP/R1B1K2R w KQkq -,e1h1 b7b6 c1a3 e8h8 g2g3 d7c5 a3c5 b6c5 f3h4 c8h3,-28
8/3r1pk1/5p1p/4pP2/1p1b2PP/1B6/RPP1KP2/8 w - -,h4h5 d7a7 a2a7 d4a7 c2c3 b4c3 b2c3 g7f8 f2f3 f8e7,94
r1r5/4kp2/n1p1p1p1/pp1pPb1p/3P1P1P/P1N5/1PPKB1P1/R6R w - -,h1c1 a6b8 g2g3 b8d7 b2b3 a8b8 a1a2 c8c7 c1a1 c7a7,-9
2q2rk1/4p1b1/p2p2Pp/1p1P3Q/2p1P3/5RP1/P3K3/3N4 w - -,h5h1 c8g4 d1e3 g4g6 e3f5 g8h7 h1h4 g7f6 h4h2 b5b4,-332
2kr1bnr/ppp2ppp/2n5/q4b2/2P1p3/2NP1N2/PP2BPPP/R1BQ1RK1 w - -,f3d2 e4d3 e2f3 a5a6 c3b5 f5e6 b2b3 g8f6 a1b1 a6b6,-86
6k1/pp1q2pp/5p2/3p4/1B1bb3/P6P/1P3PPN/2Q3K1 w - -,c1d2 d4b6 b4a5 b6c5 a5b4 c5b4 d2b4 d5d4 f2f3 e4g6,-176
r3k2r/1p1bnn1p/1q3p2/pNbp4/P2p4/2P2Q2/1PB2PPP/R1B1R1K1 w kq -,f3e2 d4c3 b2c3 e8a8 a1b1 h8e8 b5d4 e7g6 c1e3 b6c7,-224
2rb1rk1/1p1q2pp/p2p4/3Pnp2/P7/1B6/1PPB2PP/R2Q1RK1 w - -,a4a5 e5c4 b3c4 c8c4 d2c3 c4e4 d1d2 d7c8 f1f3 c8c4,-32
rr6/4kp2/n1p1p1p1/p2pPb1p/N2P1P1P/Pp6/1PPKB1P1/RR6 w - -,e2d3 c6c5 a4c5 a6c5 d4c5 e7d7 c2c3 f5d3 d2d3 b8b5,-17
r1bqk2r/p1pnnppp/1p1p4/3Pp3/2P1P3/2PBBN2/P1Q2PPP/R3K2R w KQkq -,e1h1 e8h8 g2g3 d7c5 e3c5 b6c5 c2d2 g8h8 f3h4 e7g8,-39
r1b2r1k/pp4qB/2n2pP1/3Np3/3pnP2/6Q1/PPP3P1/2KR3R w - -,g3f3 c8e6 h1h5 e4g5 f3g3 d4d3 f4g5 c6d4 d5c3 d4e2,136
R7/6p1/8/5p1k/5P1P/8/6P1/6K1 w - -,g3f3 c8e6 h1h5 e4g5 f3g3 d4d3 f4g5 c6d4 d5c3 d4e2,Mate
rr6/4kp2/n1p1p1p1/p2pPb1p/N2P1P1P/P2B4/1PpK2P1/RR6 w - -,d3c2 f5c2 d2c2 b8b5 b2b3 a8c8 c2b2 c6c5 d4c5 a6c5,-4
8/p7/5kp1/5r1p/8/4Q1P1/1q5P/3R3K w - -,,0
8/p5k1/3R2p1/5r1p/8/4Q1P1/1q5P/7K w - -,,0
r2R1R2/pq2k1pp/np6/4P3/2p1P2P/2B3P1/PP6/6K1 w - -,,0
6k1/p2q2b1/6pp/3p4/2pP1p2/2P4P/1Q3KP1/4N3 w - -,f2f1 g7f6 e1f3 g6g5 h3h4 g5h4 b2b8 g8g7 b8f4 h4h3,-224
7R/6p1/6k1/5p2/5P1P/8/6P1/6K1 w - -,f2f1 g7f6 e1f3 g6g5 h3h4 g5h4 b2b8 g8g7 b8f4 h4h3,Mate
r4r1k/pp4qB/2n1bpP1/3Np3/3pnP2/5Q2/PPP3P1/2KR3R w - -,h1h5 e4g5 f3g3 g5h7 d1h1 e6g8 h5h7 g8h7 h1h7 g7h7,150
4b1k1/2q5/3p1b1p/2pP1pp1/1pP2P2/rP1N3P/2QN2P1/3R2K1 w - -,d1e1 c7f7 g2g3 e8d7 g1g2 f7g7 f4g5 h6g5 d3f2 g5g4,-102
1Q6/p2q2bk/6pp/3p4/2pP1p2/2P4P/5KP1/4N3 w - -,e1f3 d7a4 b8f4 a7a5 f4f7 a4c2 f2g3 c2c3 f7d5 c3d3,-278
r1b1kb1r/pp1n1ppp/2pq1n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1d3 h7h6 g5f4 d6e6 d1c2 f8d6 e1a1 d6f4 e3f4 e8h8,70
8/p5bk/6pp/3p1q2/2pP1Q2/2P4P/5KP1/4N3 w - -,f2f3 f5b1 f3e2 a7a5 h3h4 b1b2 f4d2 b2d2 e2d2 h6h5,-310
r7/4kp2/n1p1p1p1/p2pPb1p/N2P1P1P/Pr1B4/1PpK2P1/R1R5 w - -,,0
r4r1k/pp4qB/2n1bpP1/3Np1nR/3p1P2/5Q2/PPP3P1/2KR4 w - -,f3g3 g5h7 d1h1 e6g8 h5h7 g8h7 h1h7 g7h7 g6h7 f8f7,158
8/p5bk/7p/3p1p2/2pP4/2P4P/5KP1/4N3 w - -,f2e3 a7a5 e1f3 a5a4 e3d2 f5f4 f3h4 g7f6 h4f3 h7g6,-332
6r1/4kp2/n1p1p3/p2pPp1p/N2P1P1P/Pr6/1PRK2P1/R7 w - -,a1g1 a6c7 a4c5 b3g3 a3a4 g3g2 g1g2 g8g2 d2d3 g2g4,-43
8/6p1/R1p5/2P5/1r6/1k4P1/4K1P1/8 w - -,a6c6 b3c4 e2f3 c4d5 c6g6 d5c5 g6g7 c5d6 g7f7 d6e6,408
rn1q1rk1/pp2ppb1/2p3p1/2PN2p1/2BP2b1/5N2/PP3PPP/R2QR1K1 w - -,d5e7 g8h8 h2h3 b8d7 h3g4 g7f6 e7g6 f7g6 d1c2 h8g7,495
8/6bk/7p/p2p1p2/2pP4/2P4P/2N2KP1/8 w - -,f2g3 h6h5 c2e3 a5a4 e3c2 h7g6 g3f4 g6f6 c2b4 g7f8,-395
6k1/pp4pp/2q2p2/3p4/1B1bb3/P6P/1P3PP1/2Q2NK1 w - -,c1d2 d4e5 f2f3 e4g6 f3f4 e5c7 b4c3 c6d6 g2g3 d6e6,-215
6r1/3k1p2/n1p1p3/p2pPp1p/N2P1P1P/Pr6/1PRK2P1/6R1 w - -,,0
8/6bk/7p/3p1p2/p1pP4/2P1N2P/5KP1/8 w - -,f2f3 a4a3 e3c2 a3a2 f3f4 h7g6 c2a1 g6f6 f4f3 g7f8,-556
r7/1pn2Pk1/2p5/8/2B5/8/PP3P2/R5K1 w - -,a1d1 b7b5 c4b3 c7a6 d1d3 a8f8 a2a3 a6c5 d3g3 g7f6,341
6R1/5kp1/8/5p2/5P1P/8/6P1/6K1 w - -,a1d1 b7b5 c4b3 c7a6 d1d3 a8f8 a2a3 a6c5 d3g3 g7f6,Mate
8/p4pk1/4p1pp/4qn2/5P2/PB4PP/1P3P2/6K1 w - -,b3c2 e5e1 g1g2 f5e3 f2e3 e1e2 g2g1 e2e3 g1g2 e3e2,-589
2kr1bnr/ppp2Npp/2n5/q4b2/2P5/2N5/PP2pPPP/R1BQ1RK1 w - -,d1e1 e2f1r e1f1 g8f6 f7d8 c6d8 c1f4 f8c5 a1d1 f5d7,-535
r3k2r/1p1bnn1p/1q3p2/1Nbp4/Pp1p4/2P2Q2/2B2PPP/R1B1R1K1 w kq -,c3b4 c5b4 c1a3 b4c5 a3c5 b6c5 c2d3 c5b6 f3d5 d7b5,-177
8/3k1p2/n1p1p3/p2pPp1p/N2P1P1P/PrR3r1/1P1K2P1/6R1 w - -,c3g3 b3g3 a4c3 c6c5 c3e2 g3b3 d2c2 b3e3 c2d2 c5d4,-124
7R/5k2/6p1/5p2/5P1P/8/6P1/6K1 w - -,c3g3 b3g3 a4c3 c6c5 c3e2 g3b3 d2c2 b3e3 c2d2 c5d4,Mate
8/2kb3p/6pP/1p1p1pP1/1P1P3K/8/5P2/3B4 w - -,h4g3 c7c6 g3f4 c6d6 d1c2 d7e6 c2d3 e6d7 f2f3 d6e7,694
2r5/pprkp2p/3p1bp1/8/1B6/8/PP2RPPP/4R1K1 w - -,g1f1 c7c1 b2b3 c1e1 f1e1 c8c1 e1d2 f6g5 d2d3 c1d1,-296
5b2/7k/7p/3N1p2/p1pP4/2P4P/5KP1/8 w - -,g2g4 a4a3 g4f5 a3a2 d5f6 h7g7 f6e4 a2a1q h3h4 a1c1,-589
8/1r3pk1/5p1p/4pP2/Rp1b2PP/1B6/1PP1KP2/8 w - -,b3d5 b7d7 d5c6 d7d6 c6b7 d4b2 a4b4 b2c1 b7e4 d6d2,84
rn1q1rk1/pp2ppb1/6pp/2Pp2B1/2BP2b1/5N2/PP3PPP/R2QR1K1 w - -,g5e7 d8d7 e7f8 g8f8 c4b3 b8c6 h2h3 g4f5 b3a4 d7c7,342
8/3k1p2/n1p1p3/p2pPp1p/N2P1P1P/P1r3r1/1PK3P1/6R1 w - -,b2c3 d7c7 a4c5 a6c5 d4c5 a5a4 c2d2 c7c8 d2c2 c8b7,-135
r1bq1r1k/ppp1b1pp/2np1n2/4p3/8/2P1PNB1/PP1NBPPP/R2QK2R w KQ -,h2h3 c8f5 e1h1 a7a5 f3h4 f5e6 h4f3 d8e8 d1c2 f6d7,-39
r3k2r/1p1bnn1p/1q3p2/1N1p4/Pb1p4/5Q2/2B2PPP/R1B1R1K1 w kq -,a1b1 b4e1 c1a3 d7b5 b1e1 f7e5 f3h5 e8d8 a3e7 d8e7,-401
rnbq1r1k/ppp3bp/3ppnp1/5p2/2BP1B2/P3PN1P/1PP2PP1/RN1Q1RK1 w - -,c4e2 b8c6 f4h2 f6e4 b1d2 e4d2 d1d2 g6g5 a1d1 d8e7,1
r1b1kb1r/1p3ppp/p1n1pn2/q7/8/2P1BN2/PP2BPPP/RN1QK2R w KQkq -,e1h1 a5c7 c3c4 f6g4 e3d2 f8d6 h2h3 g4h2 f3h2 d6h2,-2
5b2/7k/7p/5p2/2pP4/p1P1N2P/5KP1/8 w - -,f2g3 h6h5 e3c2 h7g6 g3f4 f8d6 f4f3 a3a2 h3h4 d6a3,-548
r4rk1/pppb1ppp/1qn5/8/3pN3/P4N1P/1PP2PP1/1R1QR1K1 w - -,,0
2kr1bnr/ppp2ppp/2n5/q4bN1/2P5/2Np4/PP2BPPP/R1BQ1RK1 w - -,e2h5 g8h6 h5f7 c6d4 c1e3 d4c2 f7e6 c8b8 c3d5 c2e3,-91
rn3rk1/p1q2p2/2pb3p/1p6/3P2PN/2P4P/P1b2P2/R2QR1K1 w - -,d1c2 b8d7 h4f5 d6f4 g4g5 f4g5 h3h4 g5f4 e1e7 g8h8,-175
8/3k1p2/n3p3/p1ppPp1p/N2P1P1P/P1P3r1/2K3P1/6R1 w - -,g1b1 g3g2 c2d3 c5c4 d3e3 g2a2 b1b5 a6c7 b5a5 d7c6,-204
8/6k1/6pR/5p2/5P1P/8/6P1/6K1 w - -,h6g6 g7g6 g1f2 g6f6 f2f3 f6e7 g2g4 e7d7 g4f5 d7c6,1700
r1bq1r1k/ppp3bp/2nppnp1/5p2/2BP1B2/P1N1PN1P/1PP2PP1/R2Q1RK1 w - -,f4h2 d8e7 f1e1 e6e5 d4e5 c6e5 f3e5 d6e5 c3d5 e7c5,-9
8/5p2/n1k1p3/p1PpPp1p/N4P1P/P1P3r1/2K3P1/6R1 w - -,g1b1 g3g2 c2d3 a6c5 a4c5 c6c5 b1b8 g2g3 d3c2 g3f3,-277
r1bq1rk1/p2n1pbp/5npB/1pppp3/3PP2P/3B1P2/PPPQN1P1/2KR2NR w - -,d4c5 d7c5 h4h5 d5e4 h6g7 g8g7 h5h6 g7g8 d3b5 d8d2,-36
rn1qk1nr/ppp2ppp/4p3/8/3Pp1b1/2B2N2/PPP2PPP/R2QKB1R w KQkq -,h2h3 g4h5 g2g4 e4f3 d4d5 g8f6 g4h5 d8d5 d1d5 f6d5,-40
r1b1k2r/1p2bppp/p1n1p3/q2n2B1/8/2P2N2/PP1NBPPP/R2QK2R w KQkq -,,0
5b2/7k/7p/5p2/2pP4/2P4P/p1N2KP1/8 w - -,f2f3 h7g6 c2a1 g6f6 f3g3 f8d6 g3f3 d6a3 d4d5 a3c5,-611
8/6k1/8/5p1p/5P1P/8/6P1/6K1 w - -,g1f2 g7f7 f2e3 f7e6 e3d4 e6d6 g2g3 d6e6 d4c5 e6f7,1012
8/8/4B3/5K2/5B2/8/6k1/8 w - -,g1f2 g7f7 f2e3 f7e6 e3d4 e6d6 g2g3 d6e6 d4c5 e6f7,Mate
rn3rk1/pp1qBpb1/6pp/2Pp4/2BP2b1/5N2/PP3PPP/R2QR1K1 w - -,e7f8 g8f8 c4b3 b8c6 h2h3 g4f5 b3a4 a7a5 a4c6 b7c6,341
6k1/2q2b1p/3p1b2/2pP1pp1/1pP2P2/rP1N3P/2QN2P1/3R2K1 w - -,d1e1 f6c3 f4g5 c7d8 h3h4 d8a8 d3f2 f7g6 e1e2 c3e5,-69
r3kbnr/ppp2ppp/2n1b3/4P3/8/2P2N2/PP3PPP/RNBqKB1R w KQkq -,e1d1 e8a8 b1d2 g8h6 h2h3 f8c5 d1e1 e6d5 b2b4 c5b6,-2
