3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
r2qkb1r/pp3ppp/2n1p3/2ppPn2/5P2/2N2b1P/PPPPB1P1/R1BQ1RK1 w kq -,e2f3 h7h5 d2d3 d8b6 g1h2 g7g6 c1d2 c6d4 a1b1 b6a6,-81
N1b4r/p4kbp/2p3p1/8/5B2/3n4/P4PPP/1R3RK1 w - -,f4e3 c6c5 a8c7 h8d8 c7b5 c5c4 b5a7 c8f5 a7c6 d8d7,154
rnbqr1k1/pp3p1p/2p2ppQ/8/6P1/2N2P2/PPP5/R3KBNR w KQ -,g1e2 d8d6 h6h7 g8f8 h7h6 f8e7 c3e4 d6d5 a1d1 d5e5,553
rn1q1rk1/pbp1bppp/1p2p3/3n4/3P1N2/P1N1P3/1P1B1PPP/R2QKB1R w KQ -,f4h5 b8d7 c3d5 b7d5 f1a6 e7d6 e1h1 d8h4 h5f4 d6f4,-43
8/5p2/3p2p1/3P1k1p/r4P2/3R1KPP/8/8 w - -,d3c3 a4d4 g3g4 f5f6 f3g3 d4d5 c3e3 d5d4 e3b3 d4c4,-39
r2qkbnr/1p2pp1p/p1np2p1/8/3PP3/5b2/PP3PPP/RNBQRBK1 w kq -,g2f3 e7e5 d4d5 c6d4 c1e3 f8g7 f3f4 g8h6 f4e5 d6e5,69
8/2p4p/2k3p1/p1p1B3/5PP1/2P1R1KP/P1br4/8 w - -,g3h4 a5a4 h4g5 c6b5 e5f6 d2f2 a2a3 h7h6 g5h6 f2f4,11
8/8/8/8/8/8/2bQ4/1k2K3 w - -,c3c4 d2d3 g3f2 a5a4 a2a3 d3b3 f2e2 b3b1 e2f2 b1b3,Mate
rnbqkb1r/3n1p2/p7/1p2pp2/3PP2p/3B1P2/PP4PP/RNBQ1RK1 w kq -,f1f2 b8c6 e4f5 c6d4 c1e3 d7c5 d3e4 c5e4 f3e4 c8b7,-272
r5k1/5pp1/2n2qp1/3Q4/5P2/1N5P/rP2R3/1K1R4 w - -,d5g5 a2a7 g5f6 g7f6 d1d6 a8b8 b3c5 c6b4 e2e4 f6f5,-17
8/2p4p/2k3p1/p1p1B3/5PPK/2P1R2P/P2r4/1b6 w - -,a2a3 c6b5 h4g5 b5a4 e5c7 d2d7 c7b6 a4a3 e3e1 b1c2,41
5rk1/pp3ppp/4p3/8/2n5/2P2PPb/PP3B1P/RB4K1 w - -,b1c2 f8d8 b2b3 c4d2 g1h1 h3f1 f2d4 e6e5 d4a7 f1e2,12
8/5p2/3p1kp1/3P3p/1r3PP1/3R2KP/8/8 w - -,g3f3 g6g5 f4g5 f6g5 d3c3 h5g4 h3g4 b4d4 c3c6 d4d5,-16
8/8/8/2K5/8/8/3pk3/3R4 w - -,,0
8/3k4/7B/6R1/4BK2/2P5/P1P3PP/8 w - -,d1d2 e2d2 c5b5 d2e2 b5a5 e2f3 a5b6 f3f4 b6c5 f4g4,Mate
r4rk1/1ppq1pp1/p1np1nQp/4p3/4P2P/1BNPP3/PPP3P1/2KR1R2 w - -,f1f6 c6a5 b3d5 c7c6 f6f7 f8f7 d5e6 d7e7 d1f1 a8f8,512
8/1p2k3/2p3pp/p2pK3/P2P3P/3B4/1PPn2P1/8 w - -,b2b3 b7b6 d3g6 d2f1 e5f4 b6b5 g6d3 b5a4 b3a4 f1d2,358
r3k2r/1q2bp2/p1p1p3/1p2P3/PP1Pb2p/4B1p1/1R2BPPP/R4QK1 w kq -,f2g3 h4g3 h2g3 h8g8 f1f2 e4d5 e2f3 b5a4 a1a4 b7b5,96
rnb1r1k1/pp1q1p1p/2p2ppQ/8/6P1/2N2P2/PPP1N3/R3KB1R w KQ -,c3e4 e8e4 f3e4 d7g4 h6h7 g8f8 e1a1 b8d7 h7h6 f8e7,642
