4Q3/5ppk/7p/1R6/2p3bP/P3BB1q/P4P1K/8 w - -,d1c1 d5c4 b3c4 c5d4 f3d4 e8h8 f1e2 d8c7 b2a3 b4a3,Mate
r2qn1k1/ppp2ppp/4b3/3pQ3/5B2/2P5/P1P2PPP/R4BK1 w - -,h2h3 d8d6 e5d4 d6b6 d4b4 e6f5 b4b3 e8f6 a1e1 f5e6,-42
3k1b1r/pp3pp1/2n2n1p/2p1pqB1/Q1P5/2N2N1P/PP3PP1/5RK1 w - -,g5f6 f5f6 c3b5 d8c8 b5a7 c6a7 a4a7 f8d6 f3h2 d6c7,91
3r3k/pn4pp/8/3R4/P1PP4/8/5PPP/6K1 w - -,g1f1 d8d5 c4d5 h8g8 f1e2 b7d6 e2d2 g8f7 d2c3 f7e7,-220
1q2rk2/1b2bP1p/pp3np1/n5B1/7P/PBNr1N2/1P3PP1/3RR1K1 w - -,g1f1 d8d5 c4d5 h8g8 f1e2 b7d6 e2d2 g8f7 d2c3 f7e7,Mate
8/8/r4pkb/p2R4/Pp1P2P1/8/KPP5/5R2 w - -,d5b5 h6f8 g4g5 f8e7 g5f6 e7f6 d4d5 f6e5 a2b3 a6a7,592
r1bq1rk1/ppp2ppp/2n1pn2/8/1bpP4/4PNP1/PP1B1PBP/RN1QK2R w KQ -,e1h1 b4d6 d1c2 e6e5 d4e5 c6e5 f3e5 d6e5 b1a3 c4c3,23
r5k1/pp4bp/4p1p1/1Nq5/3p4/1Q2n1PB/PP2P2P/R5K1 w - -,a1b1 g8h8 b5a3 c5h5 b3e6 a8f8 b1e1 h5a5 e1a1 a5c5,-263
r2q1rk1/pb2bpp1/4p1np/4P1NQ/2pp1P2/3B4/PPP3PP/R1B2RK1 w - -,g5f7 f8f7 d3g6 f7f8 h5g4 b7d5 c1d2 d8b6 g1h1 b6c6,83
r2q1rk1/1b1nbpp1/p3pn1p/8/N2P3B/3B1N2/1P2QPPP/R4RK1 w - -,f1d1 f6h5 h4e7 d8e7 e2e3 h5f6 f3e5 d7e5 d4e5 f6d5,-7
N1bk1br1/p2p1ppp/1p6/4N3/8/3P4/PP3PPP/n1BK3R w - -,h1e1 d8e7 e5c6 e7f6 c6a7 f8c5 c1e3 c5e3 e1e3 c8b7,414
4r2r/pp1k1p1b/2pn4/5P1p/1P1PpKpP/2NB4/P5P1/R6R w - -,c3e4 d6e4 d3e4 d7e7 a1d1 e8d8 d4d5 c6d5 e4d5 e7f6,121
2r3k1/p4p1p/3q2p1/2pPr3/5B2/5Q1P/P4PP1/3R2K1 w - -,f3g3 c8e8 g1h2 g8g7 g3c3 d6f6 f4e5 f6e5 c3e5 e8e5,7
