6k1/p6p/6p1/4bp2/1P2p1bP/P3P3/5PP1/2r2NK1 b - -,g6g5 f8g8 g5h4 g8a8 b5b4 e4e5 f4f3 e5d5 h4g3 a8a3,Mate
4R3/3qP1kp/p5p1/1p6/2p5/8/6PP/7K b - -,c5d4 e3d4 c6d4 f3d4 g7d4 c2c3 d4g7 d2e4 g8f6 e4f6,Mate
2n1r1k1/3Q2bp/p2p1pp1/1p1P1P2/4PBP1/3B4/3R2KP/q7 b - -,g7f8 d7e8 g6g5 f4g5 f6g5 e8c8 b5b4 f5f6 a1c3 c8c3,597
8/p5p1/4k3/2p3bb/P3P3/1PPPP1P1/3K4/8 b - -,e6e5 g3g4 h5g4 b3b4 c5b4 c3b4 g4d7 b4b5 g5d8 d2e2,-683
r4rk1/ppqnbppp/4pn2/2Pp4/3P2b1/1P1B1N2/PBQN1PPP/R4RK1 b - -,b7b6 b3b4 b6c5 d4c5 e6e5 d3a6 c7c6 a6e2 a7a5 a2a3,61
r4rk1/pn1qbppp/1p1p1n2/3Pp3/1P2P3/2N1BN1P/P4PP1/R2QR1K1 b - -,f8c8 d1d3 e7d8 e1c1 a7a6 f3d2 g8f8 a2a3 f6h5 c1c2,136
3r3k/1R4pp/p7/3P4/8/P4n2/6PP/7K b - -,f3e5 h2h3 e5c4 a3a4 h7h6 b7b4 c4e3 b4b6 a6a5 b6b3,-397
r2qk2r/ppp2ppp/2npbn2/2N1p3/4P3/3P2P1/PPP2PBP/R1BQK1NR b KQkq -,d6c5 b2b3 a7a5 g1e2 a5a4 a1b1 e8h8 e1h1 d8d7 c1g5,3
5rk1/2r1ppbp/p2p2p1/1q4B1/1p2P3/1B3P1P/PPPQ2P1/1R5K b - -,f8c8 g5e3 e7e6 a2a4 b4a3 b2a3 d6d5 a3a4 b5c6 e4d5,-235
6k1/3K4/4Q3/8/8/8/8/6r1 b - -,f8c8 g5e3 e7e6 a2a4 b4a3 b2a3 d6d5 a3a4 b5c6 e4d5,Mate
r1b1kbnr/p1q2ppp/4p3/2ppP3/5B2/2PB4/PP3PPP/RN1QK2R b KQkq -,g8e7 c3c4 g7g5 f4g3 d5c4 d3e4 c8b7 b1c3 a8d8 d1a4,-14
r3r1k1/1p1nqppp/p1p5/3pNb2/PP1PB3/2N1P3/2Q2PPP/1R3RK1 b - -,d5e4 e5d7 e7d7 c3e2 f5g4 h2h3 g4e2 c2e2 h7h6 f1c1,53
r1b1r1k1/pp2pp1p/nq3bp1/3P4/3P4/2N2P2/PP1QN1PP/2KR1B1R b - -,e8d8 e2f4 a6b4 a2a3 a7a5 g2g4 b6c7 c1b1 f6g5 d5d6,-65
r2qkbnr/1bpB1ppp/pp6/3p4/8/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,d8d7 d1e2 g8e7 d3d4 f7f6 h2h4 a6a5 c1f4 b7a6 e2d2,-65
r2q1rk1/pp1n1ppp/2pb1n2/3p2B1/3P1PP1/2NP3P/PP1QN3/2KR3R b - -,a7a5 f4f5 f8e8 g5f4 d6b4 h1f1 b7b5 c1b1 d8b6 g4g5,-44
1q3rk1/p3bppp/b2ppn2/2p5/3nPP2/P1NPB1P1/2P1N1BP/3Q1RK1 b - -,d4e2 c3e2 d6d5 e4d5 f6d5 e3f2 d5f6 h2h3 c5c4 e2d4,-78
r4n1k/4q1rp/p3p1NR/1p1pPpN1/2pP3Q/P7/1PP2PP1/2K4R b - -,f8g6 h6h7 g7h7 h4h7 e7h7 h1h7 h8g8 h7b7 g6f8 c1d2,Mate
8/4K3/7p/7P/8/4k3/8/8 b - -,,0
rn1qk2r/ppp1n1p1/3b2Np/3p4/8/3P4/PPP1QPPP/RNB2RK1 b kq -,h8g8 f1e1 d8d7 b1c3 b8c6 c3d5 e8d8 g6e7 c6e7 d5e7,385
r2qkbnr/1bpn1ppp/pp6/3p4/B7/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,c7c5 a4b3 g8f6 e1h1 f8e7 c3e2 e8h8 c2c3 d5d4 c3d4,-22
1r1r2k1/pp3pb1/4b1pp/4p3/4P3/3B3P/PPPN1PP1/R2R2K1 b - -,b8c8 a2a4 g7f8 d2f3 f7f6 a4a5 g8f7 g1f1 h6h5 f1e2,52
8/3K4/7k/8/5Q2/8/8/6r1 b - -,b8c8 a2a4 g7f8 d2f3 f7f6 a4a5 g8f7 g1f1 h6h5 f1e2,Mate
1q3rk1/p3bppp/b2ppn2/2p5/4PP2/P1NPB1P1/2P1Q1BP/5RK1 b - -,b8b2 c3d1 b2a3 e3f2 f6d7 d1e3 a3a4 e4e5 d6e5 f4f5,-66
8/p4nkp/3r2p1/2R1pp2/8/1N1P1P2/P3K1PP/8 b - -,d6b6 c5a5 a7a6 h2h4 f5f4 d3d4 e5d4 e2d3 f7d8 b3d4,35
2kr4/pp3p2/4pp1b/2p2B1p/3n1P2/P1N3P1/1PP4P/1K1R3R b - -,d4f5 c3e4 h6g7 d1d8 c8d8 e4c5 f5d6 h1d1 d8c7 a3a4,360
r4rk1/1n1qbppp/1p1p1n2/p2Pp3/1P2P3/P1N1BN1P/5PP1/R2QR1K1 b - -,f8c8 d1d3 e7d8 f3d2 h7h6 a1c1 a5b4 a3b4 a8a3 c1c2,166
8/8/8/Pk6/1P1R4/6P1/2P2P1K/8 b - -,f8c8 d1d3 e7d8 f3d2 h7h6 a1c1 a5b4 a3b4 a8a3 c1c2,Mate
r4k2/5pp1/4p3/1p1pPP1P/2p5/2P1P3/6R1/R5K1 b - -,a8d8 f5f6 b5b4 c3b4 c4c3 f6g7 f8g8 h5h6 g8h7 g1f2,9605
1r1b2k1/5ppp/4p3/3p4/p1pP1P2/PQP4P/1P4P1/1RR3K1 b - -,b8b3 f4f5 e6f5 c1e1 g8f8 e1e5 g7g6 e5d5 d8e7 d5a5,172
rn1q4/pppk2pQ/3b3p/3p4/8/3P4/PPP2PPP/RNB2RK1 b - -,d8f6 b1c3 c7c6 d3d4 b8a6 c1d2 f6d4 h7f5 d7d8 a1d1,637
1r1r2k1/p4pb1/4b1pp/1p2p3/4P3/1P1B3P/P1PN1PP1/R2R2K1 b - -,e6d7 a2a4 b5a4 b3a4 b8b4 a4a5 d7b5 d3b5 b4b5 a5a6,49
r2qkbnr/1bp2ppp/p3p3/n7/PppPPN2/4BN2/1PQ2PPP/R3KB1R b KQkq -,g8f6 f1c4 b7e4 c4d3 e4f3 g2f3 c7c6 h2h4 f8d6 h4h5,-117
r2q1rk1/1p2pp1p/p2p2p1/8/2P1P1P1/N1P1B3/P4P1P/3RRBK1 b - -,d8a5 a3c2 a5c3 c2d4 f8c8 h2h3 c3a5 d1d2 c8c7 g1g2,85
8/ppp5/1b1p4/5k2/2P1P2P/1P4K1/P7/8 b - -,f5e4 g3g2 b6e3 g2f1 c7c6 f1e1 d6d5 e1e2 d5d4 a2a3,-726
2r3k1/2r1ppbp/q2p2p1/p7/Pp2P3/1B2BP1P/1PP2QP1/1R5K b - -,e7e6 f3f4 a6c6 f4f5 c6e4 f5e6 f7e6 f2f4 e4f4 e3f4,-243
r4rk1/1n1qbppp/1p1p1n2/P2Pp3/4P3/2NQ1N1P/P4PP1/R1B1R1K1 b - -,b7c5 d3e2 a8a5 c1d2 d7b7 d2g5 f8a8 e1b1 b7a6 e2a6,8
5rk1/1p2bpp1/p3bn1p/4B3/4B2P/2Q2P2/1PPK2P1/q2R3R b - -,a1d1 d2d1 f8c8 e5f6 e7f6 c3b4 a6a5 b4b7 a5a4 c2c3,458
1Q4k1/5p2/1B4p1/8/P4P2/6Pp/1b1ppP1P/1R4K1 b - -,a1d1 d2d1 f8c8 e5f6 e7f6 c3b4 a6a5 b4b7 a5a4 c2c3,Mate
r4rk1/pp1q1pp1/4bb1p/2Pp4/3P4/2N3P1/PP3PBP/R2QR1K1 b - -,b7b6 b2b4 f8c8 d1d2 a7a5 a2a3 f6g5 f2f4 a5b4 a3b4,135
4qrk1/QR2b2p/6p1/8/2P5/2N3Pb/1PB3NP/6K1 b - -,b7b6 b2b4 f8c8 d1d2 a7a5 a2a3 f6g5 f2f4 a5b4 a3b4,Mate
r1bq1rk1/pp3ppp/1bp3n1/4p3/4P3/1BP2N1P/PP3PP1/R1BQR1K1 b - -,,0
r2qk2r/1pp2ppp/p1n1p3/3nP3/1bQP4/P1N2N2/1P3PPP/R1BR2K1 b kq -,b4e7 c1e3 d8d7 a1c1 h7h6 c4e2 d5c3 c1c3 e8h8 e2d2,25
1k1Q1b2/1q3pp1/p7/4PP2/8/P1R5/1PP4r/2K5 b - -,b8a7 c3c7 h2h1 c1d2 h1h2 d2e1 h2h1 e1f2 f8c5 f2e2,Mate
8/8/2k5/P7/1PPR4/6P1/5P1K/8 b - -,b8a7 c3c7 h2h1 c1d2 h1h2 d2e1 h2h1 e1f2 f8c5 f2e2,Mate
3r2k1/1p2bpp1/p3bn1p/4B3/7P/2QB1P2/1PPK2P1/q2R3R b - -,a1d1 h1d1 f6d5 c3d4 d5f6 e5f6 e7f6 d4b4 a6a5 b4b7,454
8/8/4K2p/7P/8/3k4/8/8 b - -,,0
r2qkb1r/1bp2ppp/p3pn2/n3P3/PppP1N2/4BN2/1PQ2PPP/R3KB1R b KQkq -,f6d5 f4d5 e6d5 f1e2 b4b3 c2d2 a5c6 e1h1 f8b4 d2d1,-222
rnbqk1nr/pp1ppp1p/2p3p1/8/2PP4/2P2N2/P3PPPP/R1BQKB1R b KQkq -,f7f5 h2h4 g8f6 h4h5 g6h5 c4c5 d7d6 c5d6 e7d6 c1f4,148
2r3k1/3rppbp/q2p2p1/p4P2/Pp2P2P/1B2B3/1PP2QP1/1R5K b - -,g6f5 h4h5 c8f8 h5h6 g7f6 e4f5 d6d5 f2f3 f8d8 g2g4,-158
r2q1rk1/pbpn1ppp/1p1ppn2/8/2PP4/2B1PN2/PPQ1BPPP/R4RK1 b - -,a7a5 e2d3 c7c5 e3e4 c5d4 f3d4 d7c5 f1e1 f6g4 f2f3,53
r5k1/1p3ppp/r2bpn2/Pp1pNb2/1PpP4/2P1P3/3NBPPP/R4RK1 b - -,b7b6 a1a2 b6a5 f1a1 a5a4 g2g4 d6e5 g4f5 e5b8 f5e6,-148
r2q1rk1/ppp2pp1/2npbn1p/2b1N3/N3P3/3P2P1/PPP2PBP/R1BQ1RK1 b - -,c6e5 d3d4 e6g4 f2f3 e5f3 g2f3 g4f3 f1f3 c5b6 d1d3,-118
8/ppp5/1b1p4/7P/2P1k3/1P4K1/P7/8 b - -,c7c6 h5h6 b6d4 h6h7 d6d5 c4d5 c6d5 a2a3 d4h8 g3g2,-785
rn2k2r/4bp1p/bq2p1p1/pp1pP3/3P1P2/3BBN2/PP2Q1PP/2R2RK1 b kq -,b8c6 g2g4 c6b4 d3b1 b4a2 b1a2 b5b4 e2g2 b4b3 a2b1,56
r4rk1/1p2pp1p/p2p2p1/q7/2P1P1P1/2P1B3/P1N2P1P/3RRBK1 b - -,a5c3 c2d4 f8c8 h2h3 c3a5 d1d2 b7b5 c4b5 a6b5 d4b5,76
rnbqk2r/pp3ppp/2p1pn2/2bp4/6P1/3P1N1P/PPP1PPB1/RNBQ1RK1 b kq -,b8d7 b1c3 d8c7 f1e1 e8h8 g4g5 f6h5 e2e4 h5f4 c1f4,9
8/1k6/3R4/P7/1PP5/6P1/5P1K/8 b - -,b8d7 b1c3 d8c7 f1e1 e8h8 g4g5 f6h5 e2e4 h5f4 c1f4,Mate
3Q1b2/kqR2pp1/p7/4PP2/8/P7/1PP4r/2K5 b - -,h2h8 d8d7 b7c7 d7c7 a7a8 c7f7 h8h1 c1d2 h1h8 e5e6,833
r2r2k1/2p2ppp/2p2q2/p7/Pn1B2b1/1P1B4/2PQ1PPP/R2NR1K1 b - -,f6d4 d1e3 g4e6 d2c1 b4d3 c2d3 e6b3 c1c6 d4d7 c6c3,-28
r1b2rk1/pp2ppbp/2n3p1/8/2BPP3/q3B1N1/P4PPP/2RQ1K1R b - -,g7d4 e3h6 f8d8 c4d5 d4g7 h6g7 g8g7 d1e1 c6e5 h2h3,-244
1r1r1bk1/p4p2/4b1pp/1p2p3/P3P3/1P1B3P/2PN1PP1/R2R2K1 b - -,a7a6 d2f3 f7f6 a4b5 a6b5 a1a6 g8f7 g1f1 f8c5 f1e2,94
1Q6/5p1k/6p1/8/P4P2/6Pp/1b2pP1P/1R1qB1K1 b - -,a7a6 d2f3 f7f6 a4b5 a6b5 a1a6 g8f7 g1f1 f8c5 f1e2,Mate
1k1r4/1pp3pp/p1n4r/2Nb1p2/PP1P4/2Q1PB2/5KPq/1RB2R2 b - -,d5f3 f2f3 h6g6 c3b2 g6g3 f3e2 g3g2 e2d3 g2b2 b1b2,-566
2kr4/pp3p2/5p1b/2p2p1p/N2n1P2/P5P1/1PP4P/1K1R3R b - -,h6f8 a4c3 c8c7 h1e1 b7b5 c3e2 a7a5 e2d4 c5d4 c2c3,349
2r3k1/3rpp1p/q2p1bP1/p7/Pp2P2P/1B2B3/1PP2QP1/1R5K b - -,h7g6 h4h5 d6d5 e4d5 f6e5 h1g1 g8g7 g2g4 d7d6 h5h6,-74
r4qk1/2QR4/p2p2n1/1p1Pp3/4n1Pp/N2Nb3/PP2B1KP/3RBr2 b - -,h7g6 h4h5 d6d5 e4d5 f6e5 h1g1 g8g7 g2g4 d7d6 h5h6,Mate
3b2k1/5ppp/4p3/3p4/p1pP1P2/PrP4P/1P4P1/1R3RK1 b - -,g7g6 g2g4 d8h4 f4f5 e6f5 g4f5 g8g7 f1f3 g6g5 f3e3,103
8/8/8/8/6k1/3K3Q/8/8 b - -,,0
r3k2r/4bp1p/bqn1p1p1/pp1pP3/3P1PP1/3BBN2/PP2Q2P/2R2RK1 b kq -,c6b4 d3b1 b4a2 b1a2 b5b4 e2f2 a6f1 c1f1 h7h5 f4f5,45
8/k7/pp3N2/2b5/6p1/6Np/1K5P/8 b - -,c5d4 b2c2 d4f6 g3e4 f6e5 e4f2 e5h2 c2d3 a6a5 f2e4,-777
r1bq1rk1/pp3ppp/1bp2nn1/4p3/4P3/1BP2NNP/PP3PP1/R1BQR1K1 b - -,h7h6 d1c2 a7a5 g3f5 d8c7 c1e3 b6e3 f5e3 f8e8 a2a4,20
rnb1k1nr/pp1ppp1p/2p3p1/q7/2PP4/2P2N2/P1Q1PPPP/R1B1KB1R b KQkq -,f7f6 c4c5 b7b6 c1d2 b6c5 e2e4 d7d6 f1e2 b8d7 e1h1,161
8/2k5/3R4/P1P5/1P6/6P1/5P1K/8 b - -,f7f6 c4c5 b7b6 c1d2 b6c5 e2e4 d7d6 f1e2 b8d7 e1h1,Mate
8/4K3/4RP1k/8/8/8/8/r7 b - -,h6g5 f6f7 a1a7 e7f8 g5f5 e6e2 a7a1 e2g2 a1a8 f8g7,556
b2rr1k1/2b2pp1/1q3nnp/pp1pp3/1PpPP3/P1P1BPP1/2Q1NNBP/3R1RK1 b - -,a8b7 d4e5 b6e3 e5f6 d5e4 f3e4 a5b4 a3b4 c7b6 g1h1,-118
2r3k1/3rpp2/q2p1bp1/p7/Pp2P2P/1B2B1Q1/1PP3P1/1R5K b - -,g8g7 e3h6 g7h6 b3f7 g6g5 g3g4 h6g7 g4h5 c8h8 h5g6,-179
rnbq1rk1/pp3ppp/2p1pn2/2bp4/6P1/P2P1N1P/1PP1PPB1/RNBQ1RK1 b - -,c5d6 c2c4 d6c7 f1e1 e6e5 c4d5 c6d5 c1g5 c8e6 b1c3,-3
r2r2k1/2p2ppB/2p5/p7/Pn1q2b1/1P6/2PQ1PPP/R2NR1K1 b - -,g8h7 d2d4 d8d4 d1e3 d4e4 e3g4 e4g4 a1c1 g4f4 g2g3,-315
1r1r1bk1/p4p2/6pp/4p3/PpN1P3/1P5P/2P2PP1/R2R2K1 b - -,f7f6 d1d5 d8d5 e4d5 g8f7 g1f1 b8c8 a1c1 h6h5 f1e2,135
r1bq1rk1/pp2ppb1/2np1npp/2p5/4P3/2NPB1P1/PPP1NPBP/R2Q1RK1 b - -,e7e6 h2h3 a8b8 d1d2 g8h7 f2f4 b7b6 g3g4 b6b5 e4e5,21
r5k1/1pp3np/3p4/p2Pp3/2P1P2q/4b2B/PP2K3/R2Q3R b - -,h4g3 d1e1 g3g5 e2d3 e3d4 e1d2 g5g3 d3c2 a8f8 a1f1,150
rnbq1rk1/ppp1npbp/4p1p1/3p4/1P1P1P2/2PBPN2/P5PP/RNBQK2R b KQ -,a7a5 b4b5 c7c5 a2a4 b7b6 c1a3 b8d7 d1e2 c8b7 b1d2,24
r5k1/5ppp/rp1bpn2/Pp1pNb2/1PpP4/2P1P3/R2NBPPP/5RK1 b - -,b6a5 f1a1 a5a4 g2g4 d6e5 g4f5 e5b8 f5e6 a6e6 g1g2,-144
3Q4/3P1k1p/p4pp1/1p3P2/4P3/3Bq3/5b1P/5K2 b - -,f2h4 f5g6 h7g6 d8e8 f7g7 e8e7 g7h6 e7f8 h6g5 f8f6,-243
r2qk2r/1pp2ppp/p1n1p3/3NP3/1bQP4/5N2/PP3PPP/R1BR2K1 b kq -,b4d2 d5c7 d8c7 c1d2 e8h8 d4d5 e6d5 c4d5 a8d8 d5e4,518
3Q1b2/kqR2pp1/p7/4PP2/8/P7/1PPK4/7r b - -,f8b4 a3b4 h1h2 d2d3 h2h7 c7b7 a7b7 d8d5 b7b8 d5f7,887
r1bq1rk1/ppp2ppp/2n4B/2bpP3/3p4/1B3N1P/PPP2PP1/RN1Q1RK1 b - -,c6e5 f3e5 g7h6 c2c3 d4c3 b1c3 c7c6 d1d3 d8f6 b3c2,327
r3k2r/4bp1p/bq2p1p1/pp1pP3/1n1P1PP1/4BN2/PP2Q2P/1BR2RK1 b kq -,b4a2 b1a2 b5b4 e2f2 a6f1 c1f1 h7h5 f4f5 h5g4 f5e6,38
r1bqk2r/pppp1pp1/6np/n2P4/4P2P/2P2N2/P3BPP1/R1BQK2R b KQkq -,b7b6 h4h5 g6e7 h1h3 d7d6 h3g3 h8g8 e1f1 a5b7 d1d4,239
qr4k1/r5pp/2b1pn2/1pPp1p2/1Q1P4/P1N1PP2/3B2PP/RR4K1 b - -,b8b7 b4b2 c6e8 b2c1 g7g5 d2e1 f6h5 b1b4 h7h6 c1b2,208
2q1nrk1/1p1Bppbp/pB4p1/n2Nr3/1NP5/1P6/P5PP/R2Q1RK1 b - -,c8b8 d7e8 e5h5 d5e7 g8h8 g2g3 b8e8 e7d5 a5c6 b4c6,460
r2q1rk1/ppp2pp1/2npbn1p/2N1p3/4P3/3P1NP1/PPP2PBP/R1BQ1RK1 b - -,d6c5 b2b3 d8d6 c1b2 c6d4 h2h3 b7b6 f3d2 d6d7 g1h2,52
rnbq1b2/pp1k2B1/4p1Q1/2pp4/8/2p5/PPP3PP/R3KBNR b KQ -,c3b2 g7b2 d8a5 e1d1 b8c6 g6f7 f8e7 g1f3 d7d6 f1e2,421
2r5/3rppk1/q2p1bp1/p6P/Pp2P3/1B2B1Q1/1PP3P1/1R5K b - -,a6e2 g3f3 e2f3 g2f3 g6h5 b1g1 g7h8 f3f4 e7e6 g1g2,-327
r4rk1/1p2pp1p/p2p2p1/8/2PNP1P1/2q1B3/P4P1P/3RRBK1 b - -,f8c8 h2h3 c3a5 d1d2 b7b5 c4b5 a6b5 d4b5 c8c5 b5d4,69
rnbq1k1r/ppp1bP2/8/3p2pp/3N1B2/2N3PP/PPP2K2/R2Q1B1R b - -,g5f4 f2g2 b8c6 f1b5 h8h6 d4f3 c8f5 d1d5 d8d5 c3d5,10
r5k1/5ppp/r2bpn2/Pp1pNb2/2pP4/2P1P3/R2NBPPP/5RK1 b - -,a6a5 a2a5 a8a5 g2g4 d6e5 g4f5 e5c7 f5e6 f7e6 d2b1,-355
r1b1kbnr/p1q2ppp/4p3/2ppP3/2P2B2/3B4/PP3PPP/RN1QK2R b KQkq -,d5d4 e1h1 f7f5 b2b4 c5b4 a2a3 b4b3 b1d2 b3b2 a1a2,-1
5rk1/3p4/pp2p2p/4P3/4N3/4K3/bP5P/8 b - -,a2d5 e4f2 f8f2 e3f2 g8g7 f2g3 g7g6 g3h4 a6a5 h4g4,-783
5rk1/p2nbppp/bqnpp3/2p5/4PP2/P1NPB1PP/2P1N1B1/3Q1RK1 b - -,e7f6 d1b1 c6d4 b1b6 d7b6 f1c1 f8b8 g1f2 d4e2 c3e2,-76
4r2k/3qP2p/p5p1/1p6/2p5/8/6PP/4R2K b - -,e7f6 d1b1 c6d4 b1b6 d7b6 f1c1 f8b8 g1f2 d4e2 c3e2,Mate
2k5/8/3R4/PPP5/8/6P1/5P1K/8 b - -,e7f6 d1b1 c6d4 b1b6 d7b6 f1c1 f8b8 g1f2 d4e2 c3e2,Mate
r2r4/2p2ppk/2p5/p7/Pn1Q2b1/1P6/2P2PPP/R2NR1K1 b - -,d8d4 d1e3 d4e4 e3g4 e4g4 a1c1 a8d8 h2h3 g4g6 e1e4,-337
rnbqk2r/ppp1bp2/4P3/3p2pp/3N1Bn1/2N3PP/PPP2P2/R2QKB1R b KQkq -,g5f4 h3g4 f4g3 e6f7 e8f8 d1e2 e7g5 h1h5 h8h5 g4h5,73
r3k2r/4bp1p/bq2p1p1/pp1pP3/3P1PP1/4BN2/BP2Q2P/2R2RK1 b kq -,b5b4 e2f2 a6f1 c1f1 h7h5 f4f5 h5g4 f5e6 f7e6 f3g5,46
6k1/5pp1/3p3p/2p1p2b/2N1PQ2/3P3P/r1P2PP1/2R3K1 b - -,h5g6 f4g4 a2a8 g4d7 g8h7 c1b1 h7h8 c4d6 a8g8 d7e7,729
4qrk1/1R5p/6p1/2Q5/2P5/2N3Pb/1PB3NP/6K1 b - -,h5g6 f4g4 a2a8 g4d7 g8h7 c1b1 h7h8 c4d6 a8g8 d7e7,Mate
r2q1rk1/ppp2pp1/2n1bn1p/2p1p3/4P3/3PBNP1/PPP2PBP/R2Q1RK1 b - -,b7b6 h2h3 d8d7 g1h2 a8d8 b2b3 f6h7 d1e2 f7f5 e4f5,2
3b1k2/5ppp/4p3/3p1P2/p1pP4/PrP4P/1P4P1/1R3RK1 b - -,f8e7 f1e1 d8a5 e1e3 g7g6 f5e6 f7e6 g1f2 b3b8 g2g4,153
1r1r1bk1/p7/5ppp/4p3/Pp2P3/1P2N2P/2P2PP1/R2R2K1 b - -,f8c5 d1d8 b8d8 a1d1 c5d4 g2g3 g8f7 g1g2 h6h5 e3c4,113
r3k2r/4bp1p/bq2p1p1/p2pP3/1p1P1PP1/4BN2/BP3Q1P/2R2RK1 b kq -,a6f1 c1f1 h7h5 f4f5 h5g4 f5e6 f7e6 f3g5 h8f8 g5f7,21
rnbq1b2/pp1k4/4p1Q1/2pp4/8/8/PBP3PP/R3KBNR b KQ -,d8a5 e1d1 b8c6 g6f7 f8e7 g1f3 c5c4 b2f6 a5a3 h2h4,428
6k1/3p4/pp2pP1p/3b4/8/4K3/1P5P/8 b - -,g8f7 e3f4 f7f6 f4e3 e6e5 e3d3 a6a5 d3c2 f6f5 c2c3,-1021
r3r1k1/1p1q1ppp/p1p5/3p1b2/PP1PN3/3BP3/2Q2PPP/1R3RK1 b - -,d5e4 d3c4 h7h6 f1c1 f5e6 c2e2 e8d8 h2h3 g8h7 c4e6,83
4nrk1/1p1q1pbp/p3p1p1/B2N3r/2P2N2/1P6/P5PP/R2Q1RK1 b - -,h5f5 a5b4 e6d5 b4f8 g8f8 a1c1 d5d4 f4d5 e8d6 d1d3,164
8/8/P2p4/8/2P2k1P/6pK/4Bb2/8 b - -,f4f5 h3g2 f5e4 e2g4 e4e5 g2f3 e5f6 g4d7 f6g6 d7e8,657
8/k7/pp3N2/8/3b2p1/6Np/K6P/8 b - -,d4f6 g3f1 f6e5 f1e3 e5h2 e3g4 h2c7 a2b2 h3h2 g4f2,-867
5rk1/p2n1ppp/bqnppb2/2p5/4PPP1/P1NPB2P/2P1N1B1/3Q1RK1 b - -,f8c8 g1h1 h7h6 g4g5 f6d4 e2d4 c5d4 e3g1 h6g5 f4f5,-82
2r5/3rppk1/3p1bpP/p7/Pp2P3/1B2B1Q1/1PP1q1P1/1R5K b - -,g7h7 g3f4 d7c7 f4f3 c7c2 b3c2 c8c2 b2b3 e2d3 e3b6,-335
rnb1kb1r/pp3ppp/1q2pn2/3p4/2P5/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,f6e4 d1d4 b8c6 d4b6 a7b6 c4d5 c6b4 f3d4 e6d5 a2a3,-30
q4rk1/pbrnbppp/1p2pn2/2pP4/3P4/1P1BPN2/PB1NQPPP/2RR2K1 b - -,f8c8 d5e6 f7e6 d4c5 c7c5 d3c4 d7f8 h2h3 h7h6 b3b4,240
2rr2k1/2p2pp1/p1P4p/8/8/7P/QP3PP1/3R2K1 b - -,,0
r3k2r/4bp1p/1q2p1p1/p2pP3/1p1P1PP1/4BN2/BP5P/2R2QK1 b kq -,h7h5 g4h5 h8h5 f1g2 a5a4 f4f5 h5f5 a2b1 e8d7 b1f5,14
r2q1rk1/5pbp/b5p1/n2P4/1Rp5/8/P1B1NPPP/2BQ1RK1 b - -,c4c3 c2d3 d8d5 d3a6 d5d1 f1d1 a8a6 b4a4 a6a8 g2g3,-14
3r2k1/p7/5ppp/2b1p3/Pp2P3/1P2N2P/2P2PP1/3R2K1 b - -,d8f8 d1d7 c5e3 f2e3 f8f7 d7d8 f7f8 d8d6 g6g5 d6c6,209
r1r2nk1/p4p1p/1pb1p1pQ/4N3/Pq6/1P1B1RRP/2P2PP1/6K1 b - -,b4e1 g1h2 e1e5 f3f4 c8c7 d3a6 c6b7 g3e3 e5g7 h6g7,-390
2r5/3rpB1k/3p1bpP/p7/Pp2P3/4B1Q1/1PP1q1P1/1R5K b - -,e2h5 g3h3 h5h3 g2h3 c8c2 b2b3 d7c7 b1g1 c2e2 f7g6,-368
8/1k6/P2R4/1PP5/8/6P1/5P1K/8 b - -,e2h5 g3h3 h5h3 g2h3 c8c2 b2b3 d7c7 b1g1 c2e2 f7g6,Mate
r3r1k1/1p1q1ppp/p1p5/3p4/PP1PB3/4P3/2Q2PPP/1R3RK1 b - -,d5e4 c2e2 e8e6 f1c1 h7h6 c1c5 e6g6 g2g3 g6e6 e2c2,82
8/5K2/4RP1k/8/8/8/8/r7 b - -,a1a7 f7f8 a7a8 e6e8 a8a7 f6f7 h6g6 e8e6 g6f5 e6e7,20000
rnb1k2r/pp1ppp1p/2p2npB/q7/2PP4/2P2N2/P1Q1PPPP/R3KB1R b KQkq -,a5h5 h6g7 h8g8 g7f6 e7f6 c4c5 b7b6 e2e4 b6c5 f1e2,129
8/k7/pp3b2/8/4N1p1/7p/K6P/8 b - -,f6e5 e4f2 e5h2 f2g4 h2c7 a2b2 h3h2 g4h2 c7h2 b2c2,-921
r2qkb1r/1bp2ppp/p3pn2/n7/PppPPN2/4B3/1PQN1PPP/R3KB1R b KQkq -,c7c5 d4d5 g7g5 f4h3 e6d5 e4d5 c4c3 d2c4 f8g7 e3c5,-175
r1r3k1/1p2pp1p/p2p2p1/8/2PNP1P1/2q1B2P/P4P2/3RRBK1 b - -,c3a5 d1d2 b7b5 c4b5 a6b5 d4b5 a5b4 a2a3 b4e4 d2d4,86
8/4r2N/p3p3/1p1pPp1k/2pP1P2/P4KR1/1PP3P1/8 b - -,h5h6 h7f8 e7f7 g3g6 h6h5 g6g5 h5h6 f8e6 f7e7 g2g4,728
r3k2r/1pp2ppp/p1n1p3/3QP3/1b1P4/5N2/PP3PPP/R1BR2K1 b kq -,h7h6 d5e4 e8a8 c1e3 b4a5 g1h1 c6e7 e3d2 a5b6 a1c1,721
3b4/4kppp/4P3/3p4/p1pP4/PrP4P/1P4P1/1R3RK1 b - -,f7e6 f1e1 d8a5 e1e3 a5c7 e3e2 c7g3 b1f1 h7h5 f1f5,196
