4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
r1b1k1nr/pppp1p1p/5qp1/8/2P5/2P3P1/P1Q1PP1P/R1B1KB1R b KQkq -,f6c6 e2e4 b7b6 f1g2 c6c4 e4e5 a8b8 c1e3 c8b7 g2b7,-3
7r/R3bk2/3p4/P2Pp1pP/1P2P3/2rp1B1P/5P2/1R4K1 b - -,h8b8 g1g2 d3d2 b1d1 c3c2 h5h6 b8b4 h6h7 b4b8 f3g4,549
2r1r1k1/pp1N2p1/5p2/3p3P/3Pb2q/8/PPPR4/2K1R1Q1 b - -,e4f5 e1f1 f5d7 c1b1 e8e7 d2h2 h4g4 h2g2 g4e4 h5h6,-446
8/1p6/1kp5/8/2P3p1/1P1K4/PP6/8 b - -,,0
rnbqk2r/ppppppbp/6pn/8/2P5/3P2P1/PP2PPBP/RNBQK1NR b KQkq -,c7c5 b1c3 b8c6 e2e3 e8h8 g1e2 h6f5 a1b1 a8b8 e1h1,31
rn1k3r/p5Rp/1qp1Q3/3p4/1P6/8/P1P2PPP/4R1K1 b - -,c7c5 b1c3 b8c6 e2e3 e8h8 g1e2 h6f5 a1b1 a8b8 e1h1,Mate
r1b1k2r/5ppp/2nqpn2/pp1p4/2pPP3/P1P2N2/1PBN1PPP/R2Q1RK1 b kq -,d5e4 d2e4 f6e4 c2e4 e8h8 a3a4 f7f5 e4c6 d6c6 f1e1,72
8/1p4k1/p1b1R3/r7/1K6/8/8/8 b - -,g7f7 e6h6 a5e5 b4c4 f7e7 c4c3 a6a5 h6g6 e7d7 c3d4,-582
8/4k3/2p1b3/1p6/6p1/2b3P1/6K1/R7 b - -,a5f5 b4a3 g7f7 e6h6 f5e5 a3b2 f7e7 b2a3 e7d7 h6g6,Mate
5r2/1ppR4/pb3k1p/6p1/2B1PpN1/P1P4P/5rP1/6K1 b - -,f6g6 g4f2 f4f3 g2g3 b6c5 e4e5 g6f5 d7c7 c5a3 e5e6,425
8/7p/3kb2P/1p1p2Pp/1P1P4/6K1/5P2/8 b - -,e6f7 g3f3 d6e6 f3g3 e6f5 g3f3 h5h4 f3g2 f5g5 f2f3,-665
r2r2k1/1p1B1p1p/6p1/p1nR4/P7/R6P/1P3PP1/6K1 b - -,b7b6 d7c6 d8d5 c6d5 a8d8 d5c4 d8d4 b2b3 d4d1 g1h2,-80
8/5R2/kp6/6K1/P5p1/2N3P1/3r4/8 b - -,d2d3 c3e4 d3a3 f7f4 a6a7 g5g4 a3a4 g4h5 a4a3 g3g4,485
rb1qk2r/5ppp/p1p1pn2/1pPpP3/8/1P2P2P/PB2NPP1/R2Q1RK1 b kq -,f6d7 f2f4 a6a5 a2a3 d8e7 e2d4 d7c5 d1c2 a8a6 b3b4,129
8/8/8/6p1/3B1pkp/8/6K1/8 b - -,f4f3 g2f2 h4h3 d4e5 g4f5 e5h2 f5e4 h2c7 g5g4 c7h2,-20
8/1p4k1/p1bR4/5r2/1K6/8/8/8 b - -,a6a5 b4a3 g7f7 a3b3 f7e7 d6g6 e7d7 b3b2 d7c7 b2c3,-611
8/1R5p/2B3pk/5p2/8/1bP3P1/1r3PKP/8 b - -,h6g5 c3c4 b2c2 b7b3 c2c4 b3b6 g5h6 h2h4 c4d4 b6b7,475
8/8/8/p7/8/7k/4N1p1/4K3 b - -,h3h4 e1f2 g2g1q e2g1 h4g5 g1e2 g5f6 f2e3 f6e5 e2c3,8
8/4k3/2p1b3/1p6/6p1/6P1/8/b4K2 b - -,g2g1q e2g1 h3g3 g1e2 g3f3 e1d2 f3e4 d2c3 e4e3 e2c1,Mate
3r1n1k/1p2bppp/8/q1B1p2b/P1B1P3/5P2/1PP1NQPP/R6K b - -,d8e8 c4b5 e7c5 f2c5 e8d8 b2b4 a5a8 c5e5 h5g6 b5d3,463
r2q2r1/pp1nnpbk/3p2pp/1NpPp3/2P1P2N/8/PP2QPPP/R1B2RK1 b - -,a7a6 b5c3 e7d5 c3d5 d8h4 a1b1 b7b5 b2b4 g8b8 e2f3,7
8/1p6/1kp5/8/2P5/1P2K1p1/PP6/8 b - -,,0
rn1qkb1r/ppp1pppp/1n6/5b2/2B5/2N2N2/PPPPQPPP/R1B1K2R b KQkq -,c7c6 c4b3 e7e6 a2a4 f8e7 a4a5 b6d5 e1h1 e8h8 d2d3,34
r1r3k1/1R1n1ppp/p1pqpn2/8/2QPP3/3B1N2/P4PPP/2R3K1 b - -,c6c5 c4c2 h7h6 b7b3 d6f8 b3c3 c8c6 f3d2 a8c8 g2g3,96
2r4r/pp2nkp1/5n1p/q1p1Q3/3p1P1B/2PP3P/PP2N1P1/R3K2R b KQ -,e7g6 h4f6 g6e5 f6e5 d4c3 e2c3 h8d8 e1h1 d8d3 c3e4,-293
8/6N1/3k3p/8/1K1PpPp1/4Pn2/7P/8 b - -,,0
r1b1kbnr/pp1n1pp1/2pp1q1p/4P3/4P3/2N1BN2/PPP1BPPP/R2Q1RK1 b kq -,d6e5 f3d2 f8d6 f2f4 f6e7 d2c4 d6c7 a2a4 g8f6 f4f5,74
2bk2nr/3p2pp/1p3P2/8/4P3/8/2PK1PPP/5B1R b - -,g8f6 f1d3 h8e8 h1e1 d7d6 f2f3 f6d7 h2h4 c8b7 e1g1,-356
r2qr1k1/pp1n1ppp/3b1p2/2p2B1b/2PP4/4BN1P/PP3PP1/R2QR1K1 b - -,d6f8 d4c5 d7c5 b2b4 c5e6 c4c5 d8c7 f5e4 a8d8 d1b3,58
rn1q1rk1/4bppp/5n2/pp4N1/3P2b1/5P2/PPP3PP/RNBQR1K1 b - -,g4f5 b1c3 b5b4 c3b5 d8d7 a2a4 b4a3 c2c4 e7b4 e1e3,-342
r3k2r/p1p1bp1p/2pqbnpB/4p3/4P3/2NP1Q1P/PPP2PP1/R3K1NR b KQkq -,f6d7 h6d2 a7a5 g1e2 a5a4 f3g3 d6c5 e1h1 a4a3 b2b3,131
7r/R3bk2/3p4/P2Pp1pP/1P2P3/2r2B1P/3p1P2/3R2K1 b - -,h8f8 g1g2 f7g8 f3g4 e7d8 d1d2 c3b3 d2a2 f8f4 h5h6,571
8/4k3/2p1b3/8/1p4p1/6P1/8/b3K3 b - -,h8f8 g1g2 f7g8 f3g4 e7d8 d1d2 c3b3 d2a2 f8f4 h5h6,Mate
8/5b1p/3k3P/1p1p2Pp/1P1P1P2/6K1/8/8 b - -,h8f8 g1g2 f7g8 f3g4 e7d8 d1d2 c3b3 d2a2 f8f4 h5h6,Mate
1K6/2Pq4/p7/1p6/1P6/P5k1/8/8 b - -,d7d6 b8b7 d6e7 b7b8 e7e5 b8b7 e5e4 b7b8 e4f4 b8b7,-6
rnb1k1nr/pp1pppbp/2p3p1/q7/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,c6c5 e2e3 d7d6 d1d2 g8f6 h2h3 e8h8 f1e2 c5d4 e3d4,86
1n1r2k1/1r2qppp/1p2p3/p1pnN3/2NP4/Q5P1/PP2PP1P/2RR2K1 b - -,f7f6 e5f3 b8c6 d4c5 e7c5 a3d3 b7b8 a2a3 h7h6 d3e4,88
8/1p6/1kp5/8/2P5/1P6/PP3Kp1/8 b - -,,0
r4rk1/1ppbq1pp/3p1p2/p1nPpP2/2P1P3/1PR3P1/P2NQ1BP/5RK1 b - -,c7c6 e2e3 b7b5 c4b5 c6b5 f1c1 f8c8 h2h4 e7d8 g1h2,-3
2R5/p7/1b2B1pk/3P4/4P2P/6K1/P4r2/8 b - -,f2e2 g3f4 e2d2 e6g4 h6g7 f4e5 d2a2 d5d6 a2a5 e5e6,374
8/5K2/8/8/8/3Rk3/8/8 b - -,,0
r2qr1k1/pp1n1ppp/3b1p2/5B1b/2PQ4/4BN1P/PP3PP1/R3R1K1 b - -,d7f8 g2g4 h5g6 e1d1 g6f5 g4f5 d6c7 d4d8 e8d8 d1d8,101
rb1qk2r/3n1ppp/p1p1p3/1pPpP3/5P2/1P2P2P/PB2N1P1/R2Q1RK1 b kq -,d8c8 b3b4 a6a5 a2a3 e8h8 e2d4 f8e8 d1g4 a8a7 f1f3,140
8/1p4k1/p1b2r2/8/1K1R4/8/8/8 b - -,g7f7 d4d1 f6f5 d1e1 a6a5 b4c4 f7f6 e1e3 f5e5 e3g3,-633
3b1rk1/1p1r3p/3pp1p1/p4q2/2PB1P2/PP4P1/4Q1KP/3R4 b - -,e6e5 d4f2 d7f7 d1d5 g6g5 d5d6 g5f4 g3f4 f5f4 f2g3,-534
4r2k/1pp3pp/4br2/p3R3/2P2p2/1P6/P4PBP/3R2K1 b - -,h8g8 g2b7 g8f8 b7c6 e6d7 e5e8 d7e8 c6e8 f8e8 g1g2,18
5rk1/5ppp/3bp3/8/1n1Q4/3qRN1P/1P3PP1/2B3K1 b - -,d3d4 f3d4 f8d8 e3c3 d6e5 c1e3 h7h5 c3c4 d8b8 e3c1,-16
rnbq1rk1/ppppppbp/6pn/8/2P5/3PP1P1/PP3PBP/RNBQK1NR b KQ -,c7c6 b1c3 e7e5 g1e2 a7a5 a1b1 d7d6 e1h1 b8d7 h2h3,24
rnbk3r/pppp1q1p/5p2/3N2p1/3QP1n1/6B1/PPP1BPPP/R4RK1 b - -,d7d6 d5c7 f7c7 g3d6 c7g7 d6b8 d8e8 b8d6 h7h5 d4d5,549
5r2/1ppR4/pb4kp/6p1/2B1Pp2/P1P4P/5NP1/6K1 b - -,a6a5 e4e5 b6c5 d7c7 c5a3 c7b7 a5a4 g1f1 f8c8 c4d3,482
r3k2r/1p1qbppp/p1n1pn2/2pP4/P1B5/2N1P3/1P3PPP/R1BQ1RK1 b kq -,c6d8 e3e4 e6d5 e4d5 e8h8 h2h3 e7d6 c1g5 d6e5 d1f3,151
r1bq2nr/ppppk1pp/8/2b1Q3/3pP3/8/PPPP1PPP/RNB2RK1 b - -,e7f7 e5h5 f7e7 h5c5 d7d6 c5d4 g8f6 d2d3 h7h6 f2f3,367
r4rk1/1p1bq1pp/2pp1p2/p1nPpP2/2P1P2P/1PR3P1/P2NQ1B1/5RK1 b - -,b7b5 d5c6 b5b4 c6d7 b4c3 d2b1 c3c2 e2c2 e7d7 b1c3,-28
r2r2k1/1p1n1p1p/6p1/p2R4/P7/3R3P/1P3PP1/6K1 b - -,,0
5k2/5p2/7p/p1pp3P/P6r/1P2K1R1/8/8 b - -,h4h5 g3g2 h5e5 e3f4 f7f6 g2g6 f8f7 g6h6 f7e6 h6h8,-502
rnbqkbnr/p1pppp2/7p/1p4p1/4P3/3P1N1P/PPP2PP1/RNBQKB1R b KQkq -,c8b7 d3d4 b7e4 f1b5 b8c6 c1e3 g8f6 b1c3 e4f3 d1f3,97
r1b1k2r/5ppp/2nqpn2/pp6/2pPB3/P1P2N2/1P1N1PPP/R2Q1RK1 b kq -,f6e4 d2e4 d6d5 f1e1 e8h8 a3a4 b5b4 d1e2 h7h6 e2f1,14
rnbqkb1r/pp2p1pp/2p2n2/3p4/4P3/1BN5/PPP2PPP/R1BQK1NR b KQkq -,e7e6 g1f3 f8e7 e1h1 e8h8 d1e2 b8d7 f1e1 d7c5 e4d5,46
4r1k1/5p1p/3rn1p1/1p6/1P4P1/2p1RP2/B6P/2R3K1 b - -,d6d2 a2b3 g8g7 h2h4 e8d8 g1f1 d2h2 f1g1 h2b2 e3c3,-147
r3r1k1/1p1q1pbp/1nnpp1p1/p5B1/P1PP4/1PNQ1N2/4RPPP/4R1K1 b - -,e6e5 d4e5 c6e5 f3e5 d6e5 d3c2 d7c6 e2d2 g7f8 e1d1,130
8/1p6/2p5/2k5/2P5/1P6/PP4K1/8 b - -,,0
7r/R3bk2/3p4/P2Pp1pP/1P2P3/5r1P/3R1P2/6K1 b - -,f3b3 a7b7 h8h5 d2c2 f7f6 c2c7 h5h7 a5a6 b3h3 a6a7,240
r1b1r1k1/pp3ppp/1qn5/3Q4/1P6/1N3P2/PP2B1PP/R1B1K2R b KQ -,c6b4 d5a5 b4c2 e1f1 b6a5 b3a5 c2a1 f1f2 e8d8 e2d1,-242
2bk3r/3p2pp/1p3n2/8/4P3/3B4/2PK1PPP/7R b - -,c8b7 h1e1 d7d6 h2h4 h8e8 f2f3 f6d7 e1f1 d8c7 d2c3,-361
rb1qk2r/5ppp/p1p1p3/1pnpP3/5P2/1P2P2P/PBQ1N1P1/R4RK1 b kq -,c5d7 c2c6 b8a7 b2d4 e8h8 a1c1 f8e8 d4a7 a8a7 e2d4,168
4q1k1/1pnrr2p/pP1p1p2/P1p1pPp1/2P1P3/3PB2P/1R4P1/1R1Q2K1 b - -,d6d5 b6c7 d5c4 d1a4 c4d3 b2b7 e8c8 b7b8 d7c7 a4c4,865
rnb1k2r/ppp2ppp/4p3/3pP3/3P4/q1PB4/P1PQ1PPP/R3K1NR b KQkq -,b8d7 g1h3 c7c5 h3f4 h7h6 h2h4 b7b6 h1h3 c8a6 d3a6,17
r2Qr1k1/pp3ppp/5p2/4bB1b/2P5/4B2P/PP3PP1/R3R1K1 b - -,e5h2 g1h2 e8d8 g2g4 h5g6 a1d1 h7h5 b2b3 h5g4 h3g4,533
2kr3r/1p2q3/1Qp1b1np/N5p1/1p1NP3/7P/P1P3P1/2KR2R1 b - -,d8d6 d4c6 d6c6 a5c6 e7c7 b6c7 c8c7 c6b4 g6f4 d1d2,676
3r2k1/2Rq2pp/p7/P2P1p2/2Q1pPr1/8/6PP/5R1K b - -,g8f8 c7d7 d8d7 c4c6 d7d8 c6c7 d8a8 d5d6 g7g6 c7e7,1051
rnbqkbnr/p1pppp2/7p/1p4p1/8/N2P1N1P/PPP1PPP1/R1BQKB1R b KQkq -,a7a6 c2c4 b5c4 a3c4 e7e6 c1d2 f8g7 g2g3 g8e7 f1g2,62
r3k2r/1p1qbppp/p1n2n2/2pN4/P1B5/4P3/1P3PPP/R1BQ1RK1 b kq -,a8b8 d5f6 e7f6 d1d7 e8d7 c4f7 b7b5 f2f4 c6b4 a4b5,89
8/6N1/3k3p/5P2/1K1Pp1p1/4P3/7n/8 b - -,g4g3 f5f6 g3g2 g7e8 d6d7 f6f7 d7e7 e8d6 g2g1q b4b5,-721
2r2r2/1ppR1pkn/p1n3p1/4P2p/2P4P/2N2P2/PP2B1P1/2K3NR b - -,a6a5 e5e6 c8e8 d7f7 f8f7 e6f7 g7f7 g1h3 h7f8 h1d1,570
8/4k3/2p1b3/8/6p1/1p4P1/8/b2K4 b - -,a6a5 e5e6 c8e8 d7f7 f8f7 e6f7 g7f7 g1h3 h7f8 h1d1,Mate
8/1p6/p1b2rk1/2K5/3R4/8/8/8 b - -,g6f7 d4h4 a6a5 h4h7 f7e6 h7g7 f6f5 c5c4 e6d6 g7g6,-634
rr2b1k1/1p2q1pp/2Pp1p2/p1n1pP2/P1P1P2P/1PR3P1/3NQ1B1/5RK1 b - -,b7c6 g3g4 b8b7 c3g3 a8b8 e2d1 h7h6 f1f2 e8f7 g2f1,-18
5k2/5p2/7p/p1pp3r/P7/1P1K2R1/8/8 b - -,h5g5 g3h3 h6h5 b3b4 c5b4 d3d4 f8g7 d4c5 g7g6 h3h2,-584
7r/R3bk2/3p4/P2Pp1pP/1P2P3/7r/3R1P2/5K2 b - -,,0
rnbq1rk1/pppp1pbp/4p1pn/8/2P5/2NPP1P1/PP3PBP/R1BQK1NR b KQ -,c7c6 g1e2 d7d5 b2b3 b7b6 e1h1 c8b7 c1a3 f8e8 a1c1,28
r2r2k1/pp3ppp/5p2/4b2b/2P1B3/4B2P/PP3PP1/R3R1K1 b - -,d8e8 e4b7 a8b8 b7c6 e8c8 c6b5 e5b2 a1b1 b2e5 a2a4,98
5rk1/5ppp/3bp3/8/1n1Q4/3q1N1P/1P3PP1/2B1R1K1 b - -,d3d4 f3d4 d6c5 d4b3 b4d3 e1e2 c5a7 c1e3 a7e3 e2e3,-34
8/4k3/2p1b3/8/6p1/6P1/1pK5/b7 b - -,d3d4 f3d4 d6c5 d4b3 b4d3 e1e2 c5a7 c1e3 a7e3 e2e3,Mate
3rr1k1/ppq1ppb1/5np1/2p1p1B1/4P2Q/2PP3P/PP2B1P1/R4RK1 b - -,d8d7 b2b3 d7d6 g5e3 b7b6 g2g4 e8f8 a1c1 c7c6 h4g3,42
2r2k2/pp3r2/5Np1/4n1P1/1p2P3/5P2/P5K1/2RR4 b - -,c8a8 f3f4 e5c6 d1d6 f8e7 c1d1 a8c8 e4e5 a7a5 f6d5,361
8/1p6/p1b2r2/2K3k1/1R6/8/8/8 b - -,f6f5 c5b6 g5f6 b4h4 f5b5 b6c7 b5d5 h4e4 a6a5 e4e1,-637
8/8/8/6p1/3B2kp/5p2/5K2/8 b - -,h4h3 d4e5 g4f5 e5h2 g5g4 h2g3 f5f6 g3h2 f6e6 h2f4,-20
2r2r2/1pp2pkn/p5p1/4n2p/2P4P/2N2P2/PP2B1P1/2KR2NR b - -,h7f6 g1h3 f8e8 h1e1 c7c6 e2f1 e5d7 e1e8 c8e8 h3f4,467
8/6k1/3QP3/8/2p5/1q6/1P6/1K6 b - -,b3d3 d6d3 c4d3 b1c1 g7f6 e6e7 f6e7 c1d2 e7e6 d2d3,7
rn1qr1k1/ppp2ppp/8/3P4/5Pb1/2P5/P1PQNKPP/R4B1R b - -,b8d7 e2g3 d7f6 h2h3 g4e6 c3c4 c7c6 f1d3 c6d5 c4d5,-85
r7/p2Rppk1/P2p1bpp/3P4/8/3r1P2/6KP/8 b - -,d8h4 e2g3 b8d7 f1d3 d7f6 h1e1 g4d7 f2g1 f6d5 d3e4,Mate
2rr2k1/pp3ppp/5p2/2P1b2b/4B3/4B2P/PP3PP1/R3R1K1 b - -,b7b6 e4f5 c8a8 c5c6 g7g5 a1c1 h5g6 c6c7 g6f5 c7d8r,164
8/p7/1bR1B1pk/3P4/4PK1P/8/P2r4/8 b - -,b6g1 e6f5 h6h5 c6g6 g1h2 f4e3 d2d1 f5g4 h5g6 g4d1,441
8/5PN1/3k3p/8/1K1Pp3/4P3/6pn/8 b - -,d6e7 g7f5 e7f7 d4d5 g2g1q d5d6 f7e6 f5d4 e6d6 d4c2,-964
8/1p6/p1bK4/5rk1/1R6/8/8/8 b - -,g5f6 b4b1 a6a5 b1e1 f5d5 d6c7 d5e5 e1d1 f6f5 d1g1,-664
r3k2r/1b3ppp/2nqpn2/pp6/P1pPB3/2P2N2/1P1N1PPP/R2Q1RK1 b kq -,b5b4 d2c4 d6e7 e4c6 b7c6 c4e5 c6b7 c3c4 a8d8 d1d3,129
8/4k3/2p5/5b2/6p1/6P1/1p1K4/b7 b - -,b5b4 d2c4 d6e7 e4c6 b7c6 c4e5 c6b7 c3c4 a8d8 d1d3,Mate
rnbqkbnr/p1pppp2/7p/1N4p1/1p6/3P1N1P/PPP1PPP1/R1BQKB1R b KQkq -,d7d6 a2a3 c8d7 c2c4 c7c6 b5d4 c6c5 d4b3 a7a5 a3b4,28
rnbqkb1r/pp3ppp/2p1pn2/8/4N3/2P5/PP1PQPPP/RNB1KB1R b KQkq -,f8e7 e4f6 e7f6 d2d3 e8h8 c1e3 e6e5 b1d2 b8a6 g2g3,-30
3r2k1/ppr2ppp/5p2/2P1b2b/4BP2/4B2P/PP4P1/R3R1K1 b - -,e5d4 e3d4 d8d4 g2g4 h5g4 h3g4 c7c5 a1d1 d4d1 e1d1,327
4rk2/pp1b1pp1/2p1n2p/1P1pP3/5P2/2NB2P1/P1P2K1P/R7 b - -,g7g5 c3e2 c6b5 h2h4 g5f4 g3f4 e6c5 a1g1 c5d3 c2d3,-2
rq4r1/pp1nnpbk/3p2pp/1NpPp3/2P1P2N/8/PP2QPPP/1RB2RK1 b - -,a7a6 b5c3 b7b5 e2f3 d7f6 g2g4 b8c8 h2h3 a8b8 h4g2,66
r4rk1/bp3pp1/p1pP4/P2n4/1P1Np3/B3PqPP/7K/1R1Q1R2 b - -,d5c3 d1e1 f3f1 e1f1 c3b1 f1b1 a7d4 e3d4 e4e3 b4b5,342
5k2/5p2/7p/p1pp2r1/P7/1P1K3R/8/8 b - -,h6h5 h3h1 f8e7 h1c1 e7d6 c1h1 f7f6 d3d2 d5d4 d2e2,-602
2k3r1/1p1q3p/p1n1pb1p/3p3P/8/P2B1NP1/1PP1QP2/2KR4 b - -,c8b8 c2c3 d7e7 d3c2 g8d8 c1b1 e6e5 f3h2 e5e4 h2g4,30
8/1p6/p1bK4/1r4k1/2R5/8/8/8 b - -,g5f6 d6c7 b5d5 c4c3 f6e5 c7b6 e5d4 c3c1 a6a5 b6a7,-681
8/4K3/8/7R/1k6/6R1/8/8 b - -,a6a5 c4c3 g5f6 c3e3 b5d5 d6c7 d5e5 e3b3 f6f5 b3c3,Mate
4r1k1/p1p2rpp/1p1p1n1q/2P1pp2/Q2Pb3/2P1P2P/P3RPPB/4NRK1 b - -,f7e7 f2f3 e4d5 d4e5 d6e5 e3e4 d5f7 e1d3 f5e4 f3e4,-35
2rr2k1/1p3pp1/p3Pb2/7p/P1n5/2B2N2/1PP1RKPP/R7 b - -,f7e6 c3f6 g7f6 e2e6 c4b2 e6f6 c8c2 f2g3 d8f8 f6d6,17
r2qkb1r/pppb1ppp/2np4/4p3/1P4n1/2PP1NP1/P3PPBP/RNBQ1RK1 b kq -,a7a6 a2a4 f8e7 c1a3 e8h8 c3c4 a6a5 b4b5 c6b4 h2h3,66
8/6k1/4P3/8/8/1P1p4/8/1K6 b - -,,0
r2q1rk1/pp3ppp/2nbpn2/2pp4/3P1Pb1/BPPBPN2/P5PP/RN1Q1RK1 b - -,d8e7 h2h3 g4h5 b1d2 c5d4 a3d6 e7d6 c3d4 a8c8 a1c1,-93
3k3r/1b1p2pp/1p3n2/8/4P3/3B4/2PK1PPP/4R3 b - -,d8c7 f2f3 d7d6 h2h4 h8e8 g2g4 f6d7 e1a1 h7h6 d3b5,-369
r1bqk2r/ppppnp1p/6p1/6B1/2P5/2P3P1/P3PP1P/R2QKB1R b KQkq -,e8h8 f1g2 d7d6 h2h4 f7f6 g5f4 e7c6 c4c5 d6c5 d1b3,71
rn1q1rk1/4bppp/5n2/pp3bN1/3P2P1/5P2/PPP4P/RNBQR1K1 b - -,f5c8 b1c3 b5b4 c3e4 b8c6 c2c3 f6e4 g5e4 e7h4 e4g3,-393
rn1qkbnr/pp3ppp/8/3pP3/2pP1Bb1/2N2N2/PPP3PP/R2QKB1R b KQkq -,g8e7 f1e2 e7g6 f4g3 b8c6 e1h1 f8b4 a2a3 b4e7 d1d2,79
rq4r1/1p1nnpbk/p2p2pp/2pPp3/2P1P2N/2N5/PP2QPPP/1RB2RK1 b - -,b7b5 b2b4 c5b4 b1b4 g8c8 e2f3 d7f6 c4b5 a6b5 c3b5,69
8/1pK5/p1b5/3r2k1/2R5/8/8/8 b - -,g5f5 c4c1 f5e5 c1e1 e5d4 e1d1 d4c3 d1c1 c3b2 c1g1,-689
6k1/5p1p/1p4p1/p1n5/P1B5/R6P/1P3PPK/3r4 b - -,d1c1 c4d5 c1d1 d5c4 d1d4 b2b3 d4d2 h2g3 d2c2 c4d5,-75
8/1R5p/2B3p1/5pk1/8/1bP3PK/1r3P1P/8 b - -,b2b1 c6d5 b3a2 f2f4 g5h6 b7b1 a2b1 h3g2 b1d3 g2f3,474
8/p7/2R3pk/3P1B2/4PK1P/8/P2r4/6b1 b - -,g1d4 c6g6 h6h5 d5d6 d2d1 g6e6 d1f1 f4g3 f1g1 g3f3,523
8/4P3/5k2/8/8/1P1p4/8/1K6 b - -,,0
rnbq1rk1/ppp1bppp/4pn2/3pP3/3P3P/2NB1N2/PPPBQPP1/2KR3R b - -,f6h5 d3h7 g8h7 f3g5 e7g5 h4g5 g7g6 h1h5 h7g7 h5h6,534
2kr3r/1p2q3/1QN1b2p/N5p1/1p2Pn2/7P/P1P3P1/2KR2R1 b - -,e7d7 c6a7 c8b8 d1d7 d8d7 a7b5 b8c8 c1b2 e6d5 e4d5,1369
8/7p/6bP/1p1p2P1/1P1P1k1K/8/8/8 b - -,e7d7 c6a7 c8b8 d1d7 d8d7 a7b5 b8c8 c1b2 e6d5 e4d5,Mate
r3k2r/1b3ppp/2nqp3/pp6/P1pPN3/2P2N2/1P3PPP/R2Q1RK1 b kq -,d6d5 e4c5 c6a7 a4b5 a7b5 c5b7 d5b7 f3e5 b5d6 d1a4,159
2r3k1/5pp1/1p2p2p/3nP3/q2P4/1Q3N1P/5PPK/1R6 b - -,a4a6 h2g1 c8c3 b3d1 a6a8 g1h2 a8a2 h2g3 c3c8 d1b3,-147
8/1p1r4/pKb5/6k1/2R5/8/8/8 b - -,d7d5 b6c7 a6a5 c4c2 g5f5 c2e2 d5e5 e2c2 a5a4 c7d6,-689
5rk1/5ppp/3bp3/8/1n1N4/7P/1P3PP1/2B1R1K1 b - -,d6c5 d4b3 b4d3 e1e2 c5a7 c1e3 a7e3 e2e3 f8d8 e3e2,-41
r3r1k1/7p/pn1p1p1b/q1pP2pn/Pp2P1NB/5P2/1P1QB1PP/R4R1K b - -,a8a7 g4h6 g8h8 h4f2 h5f4 f2g3 f4e2 d2e2 b6d5 e2d2,598
4r2k/1p4pp/2p1br2/R7/2P2p2/1P6/P4PBP/3R2K1 b - -,f4f3 g2f1 h8g8 a5e5 g8f7 h2h3 e6f5 e5e8 f7e8 g1h2,14
rnbqkbnr/p1p1pp2/3p3p/1N4p1/1p6/P2P1N1P/1PP1PPP1/R1BQKB1R b KQkq -,c8d7 c2c4 c7c6 b5d4 c6c5 d4b3 a7a5 a3b4 c5b4 b3d4,36
rr2b1k1/1p2q1pp/2pp1p2/p1nPpP2/P1P1P1PP/1PR5/3NQ1B1/5RK1 b - -,b7b5 a4b5 c6b5 f1b1 b5c4 d2c4 a5a4 b3b4 c5b3 e2e3,-191
rnbqkb1r/pp3ppp/2p1p3/8/4Q3/2P5/PP1P1PPP/RNB1KB1R b KQkq -,d8g5 f1c4 g5g6 e4g6 h7g6 d2d4 b8d7 e1h1 d7b6 c4b3,26
2rr2k1/1p3Pp1/p7/7p/P1n5/2b2N2/1PP1RKPP/R7 b - -,g8f8 b2c3 f8f7 a1b1 b7b6 h2h4 d8f8 e2e4 f7g8 b1d1,34
5k2/5p2/8/p1pp2rp/P7/1P2K2R/8/8 b - -,f8e7 h3h1 e7d6 e3d3 f7f6 h1h2 f6f5 d3e3 d6e5 e3f3,-628
r2nqr2/2pbppk1/p2p2p1/1p5n/2PPPP1P/2N5/PP1QB3/2KR2NR b - -,f8g8 e2h5 g6h5 f4f5 g7h7 g1f3 f7f6 f3g5 h7h8 h1g1,259
8/8/8/1Q6/3k4/3n2K1/8/8 b - -,d3c5 b5b4 d4d5 g3f3 c5e6 b4d2 d5e5 f3e3 e6g5 d2d4,9605
4K3/8/8/8/6R1/4k2R/8/8 b - -,d3c5 b5b4 d4d5 g3f3 c5e6 b4d2 d5e5 f3e3 e6g5 d2d4,Mate
3r2k1/3q2pp/p2P4/P1R2p2/2Q1pPr1/8/6PP/5R1K b - -,g8f8 c5c7 d7e8 f1d1 g4h4 c4c3 h4h2 h1h2 e8h5 c3h3,Mate
8/4k3/8/8/1P6/3p4/8/1K6 b - -,,0
8/R3k3/8/5K2/5P2/8/8/1r6 b - -,,0
1NK5/3P4/3q4/1k6/8/8/8/8 b - -,,0
5rk1/5ppp/3bp3/8/3N4/3n3P/1P3PP1/2BR2K1 b - -,d3c1 d1c1 d6e5 d4f3 e5b2 c1c6 f8b8 c6a6 g8f8 g2g3,-42
8/4k3/8/8/1P6/8/2Kp4/8 b - -,,0
3r1n1k/4bppp/1Bp5/q3p2b/P1B1P3/5P2/1PP1NQPP/R6K b - -,d8d4 b6a5 d4c4 f2a7 e7c5 a5b6 c5b6 a7b6 c4c2 a4a5,729
