r1bqk1nr/pppp1ppp/2n5/2bNp2Q/2B1P3/8/PPPP1PPP/R1B1K1NR b KQkq -,g8f6 d5f6 d8f6 g1f3 h7h6 c2c3 c5e7 f3g1 a7a6 a2a4,-28
r4bnr/ppqBkppp/4p3/3pNb2/6P1/Q7/PPPP1P1P/RNB1K2R b KQ -,c7c5 a3c5 e7f6 c5c7 g8h6 g4f5 h6f5 e5g4 f6g6 h1g1,Mate
r1bqk2r/ppp2ppp/2nbpn2/3p4/3P4/PP2PN1P/2P2PP1/RNBQKB1R b KQkq -,c6e7 c2c4 b7b6 d1c2 c7c5 c4d5 e6d5 f1b5 c8d7 b5d7,24
r1bqkbnr/ppp1pppp/2n5/3pP3/8/P7/1PPP1PPP/RNBQKBNR b KQkq -,c6e5 d2d4 e5d7 c2c4 g8f6 g1f3 g7g6 b1c3 f8g7 f1e2,-94
r3k2r/3qbppp/pn1N4/4p3/1p4P1/5P2/PPPQ3P/2KR1B1R b kq -,e8f8 d2e3 d7c7 e3e5 a8d8 d6c4 d8d1 c1d1 c7e5 c4e5,59
5rk1/4qpbp/1p2r3/pNp1n1p1/2Pp2P1/3P3P/PP1BPR1Q/5RK1 b - -,h7h6 g1h1 a5a4 f2g2 f8e8 h3h4 g5h4 g4g5 e5g6 g5h6,-258
r2qk2r/ppp2ppp/2bp1n2/6B1/3QP3/2N5/PPP2PPP/R4RK1 b kq -,d8e7 c3d5 c6d5 e4d5 e8h8 f1e1 e7d8 g1f1 a8c8 e1e3,141
r1bq1rkQ/ppp3p1/3p4/3n1p2/8/3B3R/PP3PPP/R5K1 b - -,,0
8/8/8/8/B7/k1N5/2K5/8 b - -,a3b4 c2d3 b4c5 a4b3 c5b4 b3c4 b4c5 c3e4 c5b6 d3d4,175
Q5k1/3q1p1p/1pr3pb/3n4/P2P2P1/4P2P/4NP2/2R3K1 b - -,d7c8 a8c8 c6c8 c1c8 g8g7 e2c3 d5e3 g1h1 e3g4 h3g4,600
r2qnrk1/3nbppp/p2p4/3Pp1P1/1p5P/1N2BP2/PPPQ4/2KR1B1R b - -,a6a5 d2g2 a5a4 b3d2 d7b6 f3f4 e5f4 e3d4 b6d7 g2e4,76
