6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
r2b1r2/2p3k1/3p1Np1/3Pp1P1/1pq1P3/p1N4R/3Q4/K2R4 b - -,d8f6 g5f6 f8f6 d2h6 g7f7 h6h7 f7f8 h7h8 f8e7 h8a8,440
2rr2k1/p4ppp/8/4p1q1/3P4/P3nP2/1P1RN1PP/4Q1RK b - -,,0
8/8/1P6/p1K2p2/P4PpP/8/7k/8 b - -,g4g3 b6b7 g3g2 c5d6 g2g1q b7b8q g1d1 d6e7 d1g4 b8e5,4
5B2/5K2/2k3p1/BpP3Pb/pP3B1P/P3B3/8/8 b - -,h5f3 f7g6 c6d7 g6h6 d7e6 g5g6 e6f6 e3d4 f6f5 f8d6,1725
r3k2r/pp1n1pp1/2p1p1p1/8/3P3q/2P1P1Q1/PP3KPP/R4B1R b kq -,h4e4 f2g1 e8a8 h2h3 d7f6 g3f3 e4f5 f1c4 h8h4 a1f1,-69
4r1k1/pp4pp/8/3p4/3PQ1n1/2P1p3/PP2R2P/6RK b - -,d5e4 g1g4 h7h6 g4g1 e8e6 e2e3 a7a5 e3e1 e6b6 e1e4,600
7r/1kp3R1/p7/Bp6/7p/1P6/1PP2PPP/5K2 b - -,b7c6 g7c7 c6d6 c7a7 d6c5 h2h3 h8h6 a7e7 c5c6 e7e1,676
1k4rr/pppqbp1p/4p3/2P1Pb2/1P1P2p1/P3Q3/3NN1PP/R4RK1 b - -,e7g5 e3c3 g8d8 d2c4 h7h5 a1d1 f5e4 c4e3 a7a6 f1f2,-89
2r2rk1/1p2q1bp/p2ppnp1/4P3/1P2P3/2BP4/P3N1PP/R3QR1K b - -,f6h5 e5d6 f8f1 e1f1 e7d6 c3g7 g8g7 f1b1 h5f6 h2h3,19
rnbqk2r/ppp2ppp/8/3N4/1b6/5Q2/PPPP1PPP/R1B1K1NR b KQkq -,b4d6 b2b3 d6e5 c2c3 c8e6 d5f4 e5f4 f3f4 d8d3 g1e2,76
2r3k1/R2R1p2/p5r1/1p2p3/n7/2P2P2/3B2P1/6K1 b - -,g6f6 d7e7 c8d8 d2e3 a4c3 e7e5 d8d1 g1h2 c3d5 e3g5,-16
r1b2rk1/1pp1qppp/p4n2/b1p5/4PP2/P1NPBB2/1PP3PP/1R1Q1RK1 b - -,f8d8 e3f2 c5c4 f2h4 e7c5 g1h1 a5c3 b2c3 c4d3 c2d3,271
8/8/1p6/1k6/6K1/2p2N2/8/8 b - -,,0
r2qkb1r/ppp1pppp/5n2/3p1b2/1n1P1B2/2N1P3/PPP1QPPP/2KR1BNR b kq -,c7c6 g1f3 f6e4 c3e4 b4a2 c1b1 a2b4 e4c3 f5c2 b1c1,-21
r1br2k1/pp1nppbp/1q4p1/2pP4/4PB2/2N2N1P/PP2QPP1/R4RK1 b - -,b6b4 f4c7 d8f8 a2a3 b4b3 a1b1 g7c3 b2c3 b3c3 f1c1,175
rn1qkb1r/ppp3pp/2b1p3/5p2/3Pp2P/2P1P2N/PPQN2P1/2KR1B1R b kq -,b8d7 c2b3 d8f6 h3g5 f8d6 f1c4 d7b6 c4b5 c6b5 b3b5,3
r1bq2k1/1p2n1bp/p3p1p1/4R1B1/3p4/1QNB1P2/PP3P1P/R5K1 b - -,d8d6 c3e4 d6e5 g5e7 e5d5 d3c4 d5d7 e7h4 b7b5 c4d3,464
1nbb3k/5rpp/p4n2/8/8/B1P2N2/P4PPP/3RR1K1 b - -,d8b6 f3e5 f7b7 c3c4 b6a5 e1e3 a5c7 e3b3 b7b3 a2b3,163
2rr2k1/p4ppp/8/4p1q1/2nP4/P4P2/1PR1N1PP/4Q1RK b - -,,0
r3k2r/pp1n1pp1/2p1p1p1/8/3P4/2P1P1K1/PP4PP/R4B1R b kq -,f7f5 f1d3 d7f6 h1e1 g6g5 e3e4 f5f4 g3f3 e6e5 h2h3,-36
r1b2k1r/pp2bppp/1q2p3/2npP3/6Q1/P2BBN2/1P3PPP/R4RK1 b - -,h7h5 g4d4 c8d7 d3c2 c5e4 d4d1 b6c7 a1c1 d7c6 b2b4,38
8/8/2R2p2/4p3/4P1p1/2k3P1/p3KP2/2r5 b - -,c3b2 c6b6 b2a1 e2d3 c1b1 b6f6 a1b2 f6b6 b2c1 b6c6,-876
r4rk1/pp2pq1p/3p1bp1/2nP4/6b1/2B1RNP1/PP3PBP/R3Q1K1 b - -,f6c3 e1c3 g4f3 g2f3 c5d7 a1f1 d7e5 f3e2 f7d5 f1d1,74
2r5/1kp4R/p7/Bp6/7p/1P6/1PP2PPP/5K2 b - -,c8g8 h7c7 b7a8 c7h7 g8g4 g2g3 h4g3 h2g3 g4e4 a5d2,723
8/6p1/6kp/5R2/5P2/6K1/6P1/8 b - -,,0
2K2b1Q/3p4/BBk5/8/8/8/8/8 b - -,g6f5 g3f3 h6h5 f3g3 g7g6 g3h4 f5f4 g2g4 f4e3 g4h5,Mate
r1bq2k1/1p2n2p/p3p1p1/4b1B1/3pN3/1Q1B1P2/PP3P1P/R5K1 b - -,d8d7 g5f6 d7c7 f6e5 c7e5 b3b6 e7c6 a1c1 e5f4 c1c6,13
6k1/pp4pp/8/3p4/3Pr1n1/2P1p1R1/PP2R2P/7K b - -,h7h5 h2h3 g4f2 h1g2 f2d1 g2f1 e4h4 f1e1 d1f2 g3e3,348
r4r2/bpp1qpk1/p1n1bn1p/4p1p1/4P2P/1BP3B1/PP1NQPPN/R3K2R b KQ -,f8h8 e1a1 a8d8 c1b1 e6b3 a2b3 e7e6 b3b4 g7g6 h2f3,8
8/5p2/6p1/4n3/2p1P3/k3N2P/3r4/2R3K1 b - -,a3b4 g1f1 b4b3 c1a1 b3c3 e3d5 c3d4 a1a5 d2h2 a5a8,-472
5k2/1pr2pp1/p6p/4Pp2/5P2/8/PP1R1P1P/5RK1 b - -,g7g5 g1h1 g5f4 f2f3 f8e7 f1g1 h6h5 e5e6 e7e6 h1g2,580
r1bq2k1/3nb2Q/p1p1p3/3p4/3P1r2/2NB4/PPR2PPP/5RK1 b - -,g8f8 h7h6 f8e8 h6f4 d7f6 c3a4 d8d6 f4d6 e7d6 c2c6,553
r4rk1/pp2pq1p/3p2p1/2nP4/6b1/2Q1RNP1/PP3PBP/R5K1 b - -,g4f3 g2f3 c5d7 a1f1 d7e5 f3e2 f7d5 f1d1 d5c6 c3b3,72
8/3rkppp/2p1p3/Nb6/1n5P/1P2P1P1/5P2/2R2BK1 b - -,d7a7 a5c4 a7a2 g3g4 b4c2 f1d3 a2a1 c1a1 c2a1 b3b4,-4
r2qkb1r/pppn2pp/2b1p3/5p2/3Pp2P/1QP1P2N/PP1N2P1/2KR1B1R b kq -,d8e7 h3f4 d7b6 b3e6 g7g6 g2g4 e7e6 f4e6 b6d5 f1c4,6
8/8/1p6/8/2k3K1/2p5/8/4N3 b - -,,0
2kr1b1r/pp1npQp1/2pq2p1/6Pn/3P4/2N4P/PPP2PB1/R1B1K2R b KQ -,d6d4 f7g6 h5f4 c1f4 d4f4 e1h1 e7e6 a1d1 f4f5 g6f5,108
r2qr1k1/ppp1bppp/3pb3/2n5/3N4/2P1B2P/PPPQ1PP1/1K1R1B1R b - -,e6d7 g2g4 c5e4 d2d3 e7g5 f1g2 e4c5 e3g5 d8g5 d3d2,-27
r2r4/1p1n1pkp/2q1p1p1/3n4/8/1BPN4/PP2QPPP/3R1RK1 b - -,h7h6 f1e1 d5f6 d3e5 d7e5 e2e5 b7b6 e5e3 f6g4 e3e2,146
rnbq1k1r/ppp3pp/8/2bBN2Q/4n3/8/PPPP1PPP/R1B1K2R b KQ -,d8f6 d5e4 c5f2 e1e2 g7g6 h5h6 f8e8 e5f3 f2d4 c2c3,320
r2q1rk1/ppp1nppp/2B1p3/4P1B1/8/2Q4P/PP3PP1/R3K2R b KQ -,b7c6 c3c5 f7f6 e5f6 g7f6 g5h6 f8e8 c5c3 e7f5 h6e3,49
rnb1kb1r/pp1npp1p/6p1/1NP5/2P5/5N2/PP3PPP/R1BK1B1R b kq -,d7c5 b5c7 e8d8 c7a8 f8g7 f3g5 h8f8 g5h7 f8e8 f1e2,325
r3kb1r/pppnq1pp/2b1p3/5p2/3PpN1P/1QP1P3/PP1N2P1/2KR1B1R b kq -,d7b6 b3e6 g7g6 g2g4 e7e6 f4e6 b6d5 f1c4 d5e3 e6c7,7
2Q5/8/6p1/8/6k1/4q2p/8/3K4 b - -,d7b6 b3e6 g7g6 g2g4 e7e6 f4e6 b6d5 f1c4 d5e3 e6c7,Mate
rn1q1rk1/p4ppp/4pn2/2pP4/8/P1R1PN2/1P1B1PPP/3Q1K1R b - -,d8d5 c3c1 b8d7 d2c3 d5b7 f1e2 f8c8 d1a4 d7b6 a4b5,-52
r4rk1/pp2pq1p/3p2p1/2nP4/8/2Q1RBP1/PP3P1P/R5K1 b - -,c5d7 a1f1 d7e5 f3e2 f7d5 f1d1 d5c6 c3b3 g8g7 f2f4,71
4rk1r/p2R1p2/1p3R1p/5Np1/6P1/8/2K2P2/2n5 b - -,h8h7 c2c1 b6b5 d7a7 h6h5 g4h5 h7h5 f6f7 f8g8 f5d6,320
8/1P6/8/p1K2p2/P4P1P/6p1/7k/8 b - -,,0
8/8/8/1p6/2k5/2p2K2/8/4N3 b - -,b5b4 f3e2 b4b3 e2d1 c4b5 e1d3 b5a5 d3e1 a5a6 d1c1,-24
8/5k2/5Q2/6K1/4N3/8/8/8 b - -,c4b3 f3e2 c3c2 e2d2 c2c1q d2c1 b3c3 e1c2 c3d3 c2e1,Mate
r4rk1/1pq2ppp/p1n1p3/3pP3/5Q2/6P1/PP3P1P/1BRR2K1 b - -,c7e5 f4d2 g7g6 g1g2 a8d8 h2h4 h7h5 b1d3 d8d6 b2b4,-278
r1bq1rk1/1pp3bp/n2p3B/p1nPpp2/2P5/2N2N1P/PP1QBPP1/R3K2R b KQ -,f5f4 h6g7 g8g7 g2g4 d8e7 e1a1 a6b4 c1b1 c8d7 f3e1,-132
2r2rk1/1p2q1bp/p2pp1p1/4P3/1P2P1n1/2BP2Q1/P3N1PP/R4R1K b - -,g4e5 a2a4 f8f1 a1f1 c8f8 f1f8 e7f8 e2g1 f8e8 a4a5,-19
2K2b2/3p4/BBk2Q2/8/8/8/8/8 b - -,e7g5 c3d4 h7h5 h2h3 g5d2 f1e1 g4e5 a1d1 d2h6 d4e3,Mate
r1bq1rk1/1pp2ppp/p1np1n2/8/1b2P3/2N3Q1/PPPBNPPP/2KR1B1R b - -,b7b5 d2g5 b4c5 e2f4 b5b4 g5f6 d8f6 c3d5 f6h6 d5c7,87
8/1p1k3p/8/8/4pP2/RP6/P2K1P1P/7r b - -,d7c6 a3a5 b7b5 f4f5 h1f1 d2e2 f1c1 f5f6 c1c3 a5a7,358
r2r4/1p3pkp/2q1pnp1/3n4/8/1BPN4/PP2QPPP/3RR1K1 b - -,h7h5 h2h3 d5b6 d3e5 c6c7 d1d8 a8d8 e1d1 d8a8 e5f3,146
r4rk1/1bpq1p1p/p2p2pQ/3P3P/1p1P3R/3R1N2/PPP3P1/2K5 b - -,b7d5 f3g5 f7f6 g5h3 d7g7 h5g6 h7g6 d3g3 g7h6 h4h6,-26
r1b1kb1r/pp1npp1p/n5p1/1NP5/1PP5/5N2/P4PPP/R1BK1B1R b kq -,d7f6 a2a3 f8g7 f1d3 f6g4 a1a2 c8e6 d1e2 e8a8 c1f4,222
8/8/8/8/1pk5/2p5/4K3/4N3 b - -,,0
rnbq1k1r/ppp3pp/8/3BN2Q/4n3/8/PPPPKbPP/R1B4R b - -,d8f6 d5e4 g7g6 h5h6 f8e8 e5f3 f2c5 d2d4 c5f8 h6f4,364
3r1r2/bpp1qpk1/p1n1bn1p/4p1p1/4P2P/1BP3B1/PP1NQPPN/2KR3R b - -,f8h8 c1b1 e6b3 a2b3 e7e6 b1c2 g7g6 b3b4 f6h5 h2g4,24
8/pNp1n1kp/6p1/3qp3/1b6/5B2/PPb2PPP/5RK1 b - -,e5e4 f3e2 d5b7 b2b3 b7d5 a2a3 b4d6 f1e1 d5d2 g1f1,-980
b2rr1k1/1qbn3p/pp1pp3/3N1pPN/2P2P2/1P2B3/P4Q1P/2RR2K1 b - -,c7b8 f2b2 d7e5 f4e5 d6e5 d5f6 g8h8 h5g3 e8f8 d1d8,160
6k1/p3qpp1/1p3r1p/2bB3Q/8/1P2P1P1/P4PKP/5R2 b - -,g7g5 h5g4 g8f8 d5c4 f6g6 g4c8 f8g7 c8f5 g6f6 f5g4,91
6k1/pp4pp/8/3p4/3Pr3/2P1p1R1/PP2Rn1P/6K1 b - -,e4h4 g3e3 f2h3 g1f1 h3f4 e2f2 g8f7 e3e5 f7g6 e5e7,361
r4rk1/p4pbp/1np1pnp1/3qN3/3P4/1Q4P1/PBR1PPBP/5RK1 b - -,d5a5 b2a3 f8c8 e5c6 c8c6 c2c6 a8d8 e2e3 f6g4 c6c5,471
1Q1k4/3p2b1/4b1P1/6K1/8/8/8/8 b - -,d8e7 b8b7 e6a2 g5h5 a2e6 b7b4 e7e8 b4c5 e6b3 c5c8,165
4r3/2bk3p/1p1p1pp1/3N4/r2PP3/2P3BP/5PP1/4R1K1 b - -,c7d8 e1b1 e8e4 d5b6 d8b6 b1b6 a4a1 g1h2 e4e1 g3d6,-100
rn3rk1/p4ppp/3qPn2/2p5/8/P1R1PN2/1P1B1PPP/3Q1K1R b - -,d6e6 c3c5 b8d7 c5c2 f8c8 h2h4 f6e4 d2e1 c8c2 d1c2,128
r3k2r/pp1n1pp1/2pb2p1/4p3/2BP3q/2P1PQN1/PP3KPP/R6R b kq -,e8a8 f2g1 d6c7 a1c1 c8b8 g3f1 f7f5 g2g3 h4f6 f1d2,-247
r1b1kb1r/pp1p1ppp/1q2p3/3n4/3p4/1P2P1B1/P1PN1PPP/R2QKBNR b KQkq -,d4e3 f2e3 d5e3 g3f2 f8c5 f2e3 c5e3 d2c4 b6b4 e1e2,34
r1bq1r2/1pp3kp/n2p4/p1nPp3/2P2p2/2N2N1P/PP1QBPP1/R4RK1 b - -,d8f6 g1h2 c8d7 e2d3 g7h8 f1g1 f8g8 d3e4 f6h6 a1e1,-189
3r1rk1/p4ppp/2P5/8/1PPn4/P5P1/3N1PKP/R4R2 b - -,d4c6 d2f3 f7f6 f1d1 a7a6 c4c5 g8f7 f3d2 f7e6 d2c4,405
r1b2qk1/1p2n2p/p3p1p1/4b1B1/3pN3/1Q1B1P2/PP3P1P/2R3K1 b - -,,0
r2q1rk1/p1p1nppp/2p1p3/4P1B1/8/2Q4P/PP3PP1/R4RK1 b - -,,0
r6r/p1p3k1/1p1p1q2/n4p2/2PPpPp1/P1Q1P1P1/1P3KB1/R6R b - -,c7c5 a1d1 h8h1 g2h1 a5c6 d4c5 f6c3 b2c3 d6c5 d1d7,-63
2kr1b1r/pppnq1pp/2b1N3/5p2/3Pp2P/1QP1P3/PP1N2P1/2KR1B1R b - -,d8e8 e6f4 d7b6 d2c4 e7f6 a2a4 f8d6 g2g3 b6c4 f1c4,39
r2q1rk1/pp2Qppp/3p4/2nP4/2B2Bb1/2P2N2/P4PPP/R3R1K1 b - -,d8e7 e1e7 g4f3 g2f3 f8d8 c4f1 a7a6 a1e1 h7h6 f4e3,481
rn1q1rk1/pp1bp1bp/2pp1np1/3P1p2/2P5/2N2NP1/PP2PPBP/R1BQR1K1 b - -,c6d5 c3d5 b8c6 d5f6 f8f6 b2b3 e7e5 c1g5 e5e4 f3d2,71
r4rk1/pp3ppp/2p5/2np4/8/1P2PQ1P/P1qN1PP1/R2R2K1 b - -,c5e6 f3g4 a7a5 g4h4 f8e8 d2f3 c2b2 a2a4 h7h6 a1b1,-145
rn1qk2r/ppp1nppp/2b1p3/8/3PN3/2PB4/PP3PPP/R2QK1NR b KQkq -,f7f5 e4c5 c6g2 d1h5 g7g6 h5e2 g2h1 f2f3 b8c6 d3c4,-239
r4rk1/pp1b2bp/6p1/1Bp4n/7q/2N2N2/PP1K2PP/R1BQ3R b - -,h4g4 b5d7 g4g2 d2d3 f8f3 d3c4 h5f4 h1e1 a8d8 a1b1,-275
6k1/1R4b1/8/p4KB1/PP5P/3r4/8/8 b - -,d3d1 b4b5 d1d5 f5g6 d5d6 g6h5 d6d4 b7a7 d4e4 a7a5,680
8/6p1/7p/5k2/5P2/5K2/6P1/8 b - -,,0
2k1rb1r/pppnq1pp/2b5/5p2/3PpN1P/1QP1P3/PP1N2P1/2KR1B1R b - -,d7b6 d2c4 e7f6 a2a4 b6c4 f1c4 c6d7 a4a5 a7a6 c4d5,43
r1b1r3/1pp3k1/5n2/pP2q1N1/2Pn1pP1/2QPpB2/P3P1KN/2R1R3 b - -,e5g5 e1h1 e8h8 g2f1 g5h4 c3e1 h4h3 f3g2 c8g4 b5b6,-726
Nn1k4/pp2b2p/8/8/3P1B2/2P1R1P1/PP3P2/5K2 b - -,b8c6 d4d5 d8d7 d5c6 b7c6 e3e1 e7d8 f1g2 h7h6 g2f3,898
1kr5/2p5/p7/Bp6/7R/1P6/1PP2PPP/5K2 b - -,b5b4 h4b4 b8a8 b4e4 c8h8 h2h3 a8b7 e4e7 h8c8 a5c3,752
r2r4/1p3pk1/2q1pnp1/3n3p/8/1BPN3P/PP2QPP1/3RR1K1 b - -,b7b5 d3e5 c6b6 e2f3 b6b7 d1d4 b7c7 f3e2 c7b6 a2a3,159
8/4kpp1/2B2n2/p6p/Pr1pp3/6PP/1P1RKP2/8 b - -,e7d6 c6b5 f6d5 f2f3 f7f5 e2d1 d4d3 f3e4 f5e4 b5d3,-484
rn1q1rk1/pp1bp1bp/3p1np1/3P1p2/8/2N2NP1/PP2PPBP/R1BQR1K1 b - -,b8a6 c1e3 a6c5 e3c5 d6c5 f3e5 f6g4 e5g4 f5g4 d1b3,49
r1b2qk1/1p5p/p3p1p1/3nb1B1/2RpN3/1Q1B1P2/PP3P1P/6K1 b - -,f8f3 c4c5 e5g7 g5d2 h7h6 e4g3 c8d7 d3g6 f3b3 a2b3,-146
2kr3r/pp1n1Bp1/2pb2p1/4p3/3P3q/2P1PQN1/PP3KPP/R6R b - -,e5e4 f3e4 d6g3 f2f3 h4f6 f3g3 f6f7 e4g4 g6g5 h1f1,-351
r1b2r2/1pp3kp/n2p2q1/p1nPp3/2P2pB1/2N4P/PP1Q1PPN/R4RK1 b - -,c8g4 h2g4 h7h5 g4h2 e5e4 g1h1 c5d3 g2g3 a6c5 g3f4,-226
rnbq1k1r/ppp4p/6pQ/3BN3/4n3/8/PPPPKbPP/R1B4R b - -,f8e7 h6g7 e7d6 e5f7 d6d5 g7e5 d5c6 f7d8 h8d8 e5e4,598
r2qr1k1/ppp2ppp/3pnb2/8/7P/2P1B3/PPPQ1PP1/1K1R1B1R b - -,f6e7 g2g4 c7c6 c3c4 e6c5 g4g5 c5e4 d2d3 e7f8 f1g2,151
rnbqk1nr/1p2bppp/p2pp3/8/4P3/1NPB4/PP3PPP/RNBQ1RK1 b kq -,b8d7 c3c4 b7b6 c1e3 g8f6 f2f4 d7c5 b3c5 b6c5 b1c3,42
8/pNp1n1kp/6p1/3q4/1b2p3/8/PPb1BPPP/5RK1 b - -,d5b7 f1c1 c2a4 g2g3 b7b6 g1f1 a4c6 a2a3 b4c5 c1c2,-1376
r2q1rk1/pp2Qppp/3p4/2nP4/2B2B2/2P2P2/P4P1P/R3R1K1 b - -,d8e7 e1e7 f8d8 c4f1 h7h6 e7c7 g7g5 f4g3 b7b6 c7c6,484
r1b1k2r/pp1nppbp/n5p1/1NP5/1PP5/5N2/P4PPP/1RBK1B1R b kq -,d7c5 b4c5 c8f5 b1b3 a8d8 d1e1 f5c2 c1b2 d8d1 e1e2,159
r1bq1rk1/p1p2ppp/2p2n2/2bPp3/8/2PP1N2/PP3PPP/RNBQ1RK1 b - -,e5e4 d3e4 f6e4 b1d2 c6d5 d2e4 d5e4 d1d8 f8d8 f3d4,-15
rn3rk1/p5pp/3qpn2/2p5/8/P1R1PN2/1P1BQPPP/5K1R b - -,b8c6 d2e1 c6e5 f3e5 d6e5 c3c2 a8b8 f1g1 b8b6 e1a5,92
2r2k1r/p2R1p2/1p3R1p/5Np1/6P1/8/5P2/2nK4 b - -,h8h7 f6c6 c8e8 d1c1 h6h5 g4h5 h7h5 f5h6 f8g7 d7f7,360
8/7K/8/7P/8/8/1n3k2/8 b - -,b2d3 h5h6 d3c5 h7g6 c5e6 g6f6 e6f8 f6f7 f8h7 f7g6,15
2qr1rk1/pp1n1pb1/3Pp1pp/8/P1N1NB2/1P1Q2PP/5PK1/3R4 b - -,a7a6 a4a5 f7f5 e4d2 c8c6 d3f3 d8c8 f4e3 e6e5 h3h4,-184
8/5p2/6p1/3Nn3/2p1P3/k6P/3r4/1R4K1 b - -,d2b2 b1c1 b2b3 c1a1 a3b2 a1a5 e5f3 g1f2 c4c3 d5c3,-422
6k1/pp4pp/8/3p4/3Pr3/2P1p1R1/PP2R2P/3n1K2 b - -,e4e6 f1e1 d1f2 g3e3 f2e4 c3c4 e6c6 b2b3 b7b5 c4c5,357
rq3rk1/5ppp/3N4/2Q4P/1p4P1/3bP3/PP4P1/R1B1K2R b KQ -,f8d8 d6f5 d3f5 e1h1 f5e6 h5h6 d8d5 c5e7 b8d6 e7d6,47
rn1qkb1r/ppp2ppp/2b1p3/3n4/3Pp2P/2P1B3/PPQN1PP1/2KR1BNR b kq -,f8e7 g1h3 e7h4 c3c4 d5e3 f2e3 h4g5 c1b1 g5e3 d4d5,-64
2K5/3p4/BBkb4/8/8/8/1Q6/8 b - -,f7f5 g1h3 b8d7 e3g5 f8e7 c3c4 d5b4 c2b3 a7a5 a2a3,Mate
2kr3r/1p1q1pp1/p1p1b2p/2bNp3/1PBpP3/P1PQ4/5PPP/R4RK1 b - -,c5a7 b4b5 c6d5 e4d5 e6f5 d3g3 a6b5 c4b3 d4c3 g3c3,-434
8/8/1p6/2p5/2k3KN/8/8/8 b - -,b6b5 g4f4 c4d3 h4g6 b5b4 g6e5 d3c3 e5f3 b4b3 f4e3,-790
r1b2qk1/1p5p/p3p1p1/2Rnb1B1/3pN3/1Q1B1P2/PP3P1P/6K1 b - -,,0
rn1q1rk1/pb2bppp/1pp2n2/3pPN2/8/6P1/PP3PBP/RNBQ1RK1 b - -,b7a6 f5e7 d8e7 e5f6 e7f6 f1e1 b8d7 c1d2 a8e8 e1e8,226
rnbqk2r/ppp4p/6pQ/4N3/4B3/8/PPPPKbPP/R1B4R b - -,h8f8 h6h7 d8f6 h7g6 f6g6 e4g6 e8e7 d2d3 f2d4 c1g5,437
8/7K/7P/8/8/3n4/5k2/8 b - -,d3c5 h7g6 c5e6 g6f5 e6f8 f5f4 f8h7 f4g4 h7f8 g4f5,1
rn1qk2r/ppp1n1pp/2b1p3/5pN1/3P4/2PB4/PP3PPP/R2QK1NR b KQkq -,c6g2 d1e2 g2h1 f2f3 b8c6 e2e6 h8f8 g5h7 f8h8 d3c4,-214
r1bqk2r/1p1nppbp/p1pp1np1/8/2PPP3/2N1BP1N/PP1Q2PP/R3KB1R b KQkq -,a8b8 h3f2 b7b5 f1e2 e8h8 e1h1 d7b6 b2b3 b5b4 c3d1,74
2kr3r/pp1n1Bp1/2pb2p1/8/3PQ2q/2P1P1N1/PP3KPP/R6R b - -,d6g3 f2f3 d8f8 e4e6 g3c7 f3e2 h4h5 e2d3 f8f7 e6f7,-505
2rr2k1/p4ppp/8/6q1/2np4/PP3P2/2R1N1PP/4Q1RK b - -,,0
2r2k2/5pp1/pR1n1n1p/3p4/2pP4/2N1P3/P1B2PPP/6K1 b - -,f8e7 b6a6 c8b8 c3a4 d6b5 g1f1 f6e8 a6b6 b8b6 a4b6,147
r3rnk1/p1q2p1p/1p1p1n2/2p3p1/2PPp3/BQP1P1PP/P2RNPK1/3R4 b - -,h7h5 e2g1 f8g6 a3b2 c7c8 d1f1 c8e6 a2a4 a8b8 g2h2,-156
r4rk1/pp1B2bp/6p1/2p4n/6q1/2N2N2/PP1K2PP/R1BQ3R b - -,g4g2 d2d3 f8f3 d3c4 h5f4 h1e1 f3d3 c1f4 d3d1 a1d1,-329
6Q1/4K3/8/4k3/1r6/8/8/8 b - -,,0
r4rk1/p2n2pp/3qpn2/2p5/8/P2RPN2/1P1BQPPP/5K1R b - -,d6b6 d2c3 f6d5 h2h4 a8b8 h4h5 h7h6 h1h4 d5c3 b2c3,66
r3k2r/p4p2/p1R2q1p/4Nbp1/3P4/P3P3/1P3PPP/3Q1RK1 b kq -,f5e6 f2f4 e8h8 f4f5 f6g7 f5e6 f7e6 f1f8 a8f8 h2h3,586
8/1B1k4/6p1/pp2p3/8/2P5/P1PB2PP/5K2 b - -,d7e7 b7e4 e7f7 f1e2 f7f6 e2f3 f6g7 d2c1 g7f7 e4d3,1231
8/8/8/1pp5/2k3K1/5N2/8/8 b - -,b5b4 g4f4 c4d3 f3e1 d3e2 e1g2 b4b3 f4e5 b3b2 e5d6,-893
4r1k1/5pp1/3bqn2/pN1pp3/P5Pp/1P2P2P/5P1K/B1RQ4 b - -,d6b8 a1c3 d5d4 c3a5 e5e4 h2h1 e6e5 a5c7 b8c7 b5c7,-80
r1bq1rk1/3nb2p/p1p1p3/3pBpp1/3P4/2NBP3/PPR2PPP/3Q1RK1 b - -,d7e5 d4e5 c6c5 b2b3 c8d7 d1h5 g8h8 g2g4 d7e8 h5h6,-60
8/3r1p1k/1p4p1/p1bBP1qp/2Q2PP1/1P5P/P3R1K1/8 b - -,g5d8 e2d2 d8h4 c4e2 h7g7 e2f3 d7c7 d2d1 c5a3 d5c4,53
3r1rk1/p4ppp/2P5/8/1PP5/P5P1/2nN1PKP/3R1R2 b - -,d8d4 b4b5 g7g5 a3a4 g5g4 c6c7 d4d7 c4c5 d7c7 d2b3,496
8/8/6KP/2n5/8/8/5k2/8 b - -,c5e6 g6f6 e6f8 f6f7 f8h7 f7g7 h7g5 g7f6 g5h7 f6f5,1
rnb1kb1r/pp1n1ppp/1q2p3/3pP3/3P4/3B1N2/PP1N1PPP/R1BQK2R b KQkq -,f8e7 e1h1 a7a5 a2a4 b8c6 d2b3 c6b4 d3b5 e8h8 h2h4,60
r1bq1rk1/p1p2ppp/2P5/2b5/4n3/2P2N2/PP3PPP/RNBQ1RK1 b - -,c5f2 g1h1 c8a6 b1d2 a6f1 d1f1 f7f5 d2b3 d8d6 f1c4,-430
1Q6/8/8/p1K2p2/P4P1P/8/6pk/8 b - -,,0
r1b2rk1/pp1nppbp/n5p1/1NP5/1PP5/5N2/PB3PPP/1R1K1B1R b - -,d7f6 b2f6 g7f6 f1d3 c8e6 h1e1 f8d8 d1c2 d8d7 e1e6,150
4r1k1/pp4pp/4q3/3p4/3P2n1/2P1p2P/PP2R1Q1/5R1K b - -,g4f6 f1f3 b7b5 h1g1 e6c6 f3e3 f6e4 g2g4 b5b4 c3b4,189
2kr1b1r/ppp1pppp/1qn2n2/PN6/3P4/5b2/1PPBBPPP/R2QK2R b KQ -,b6b5 g2f3 b5d5 a5a6 b7b6 c2c3 e7e5 d1a4 e5d4 e1a1,-443
2Rr2k1/p4ppp/8/6q1/3p4/nP3P2/4N1PP/4Q1RK b - -,,0
rnb1k2r/ppp1q2p/6pQ/4N3/4B3/8/PPPP1KPP/R1B4R b - -,c8e6 h1e1 e7c5 h6e3 c5e3 f2e3 b8d7 d2d4 h8f8 e5f3,591
r3kb1r/1pqb1p2/p1nppp1p/3N1N2/5P2/8/PPP3PP/2KRQB1R b kq -,e8a8 d5c7 e6f5 c7d5 d7e6 f1e2 e6d5 d1d5 h6h5 c1b1,579
