8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
r1bqk2r/pppnppbp/3p1np1/8/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,c7c6 d2d4 d7b6 b2b3 d6d5 c4d5 f6d5 c3d5 b6d5 c1b2,92
r1bqk1nr/1p1p1ppp/p1n1p3/8/1b1NP3/2N1BP2/PPP3PP/R2QKB1R b KQkq -,c6e5 d1d2 d8c7 a2a3 b4c3 d2c3 c7c3 b2c3 g8e7 d4b3,94
r1bqkb1r/ppp2ppp/2n2n2/1B1pQ3/4P3/8/PPPP1PPP/RNB1K1NR b KQkq -,e8d7 e4d5 f8d6 e5d4 h8e8 g1e2 e8e4 d4d3 d7e7 d5c6,502
rnbq1rk1/ppp2pbp/3p1np1/4p3/2B1PP2/2NP1N2/PPP3PP/R1BQ1RK1 b - -,c7c6 f4e5 d6e5 a2a4 b8a6 g1h1 f6e8 c1g5 d8d6 d1e1,118
r1b1kbnr/ppqppppp/2n5/2p5/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq -,d7d6 d2d4 e7e5 c3b5 c7b8 d4d5 a7a6 d5c6 a6b5 c4b5,86
rnbqkbnr/ppp3pp/3p4/4pp2/4P3/6P1/PPPPNPBP/RNBQK2R b KQkq -,f5e4 g2e4 g8f6 e4g2 f8e7 d2d4 e8h8 c2c4 c7c5 d4c5,4
rnbqkb1r/ppp2ppp/5n2/3Pp3/8/3P4/PPP1NPPP/RNBQKB1R b KQkq -,f6d5 e2c3 b8c6 f1e2 c6d4 e1h1 c8e6 f1e1 d5b4 b1a3,-79
r3kb1r/pppq1ppp/2n1bn2/3pp1N1/8/3P2P1/PPPNPPBP/R1BQ1RK1 b kq -,f8c5 g5e6 d7e6 c2c4 d5c4 d2c4 e8h8 c1g5 e5e4 g5f6,77
r2qkb1r/pp1npppp/2p2n2/3p1b2/3P1B1N/2P1P3/PP3PPP/RN1QKB1R b KQkq -,f5e6 h2h3 d8b6 b2b3 f6e4 h4f3 e6f5 f1d3 e7e6 f3e5,28
rnbqkb1r/ppp1pppp/3p4/3nP3/2BP4/5N2/PPP3PP/RNBQK2R b KQkq -,c7c6 e1h1 c8g4 h2h3 g4h5 g2g4 h5g6 e5e6 f7e6 b1c3,116
rnbq1rk1/pp2ppbp/2pp1np1/8/2BPP3/1PN2N2/P1P2PPP/R1BQ1RK1 b - -,f6e4 c3e4 d6d5 f1e1 d5c4 b3c4 b8d7 a1b1 h7h6 h2h3,47
rnbqk2r/ppppbppp/4pn2/8/3P4/2P2NP1/PP2PPBP/RNBQK2R b KQkq -,h7h6 c3c4 d7d5 e1h1 e8h8 d1c2 b8d7 f1d1 a7a5 b2b3,53
rn2kb1r/pp2pppp/1qp2n2/3p4/3P1Bb1/1P2PN1P/P1P2PP1/RN1QKB1R b KQkq -,b6a5 d1d2 a5d2 b1d2 g4f3 d2f3 e7e6 a2a3 b8d7 c2c4,65
rnbqk2r/ppp2pp1/4pn1p/3p4/3P1P2/2PB1N2/PP3PPP/RN1QK2R b KQkq -,b8d7 e1h1 e8h8 b1d2 c7c5 d1e2 c5c4 d3c2 b7b5 f3e5,65
rnbqkb1r/pppppppp/8/8/2B1n3/5Q2/PPPP1PPP/RNB1K1NR b KQkq -,d7d5 c4b3 e4f6 d2d4 c8g4 f3e3 e7e6 g1e2 g4f5 b1c3,-296
rnbqkb1r/pp1ppp1p/5np1/8/3PP3/5N2/PP3PPP/RNBQKB1R b KQkq -,a7a6 b1c3 d7d6 h2h3 f8g7 f1d3 e8h8 e1h1 b8c6 d4d5,129
rnb2bnr/ppppkB1p/8/4N3/4P1Qq/6p1/PPPP3P/RNB1K2R b KQ -,f8g7 g4h4 g7f6 h4h5 b8c6 e5c6 d7c6 e4e5 g3g2 h1g1,1454
rnb2bnr/ppppkB1p/8/8/4P1N1/6p1/PPPP3P/RNB1K2R b KQ -,g3g2 h1g1 e7f7 b1c3 d7d6 g4e3 g8e7 g1g2 h8g8 g2f2,-478
rnb1kb1r/pp2pppp/2p2n2/8/4P3/6P1/PPP2PBP/RNBK2NR b kq -,e7e5 f2f3 f8c5 b1d2 e8h8 d2c4 f6d7 c1e3 b8a6 e3c5,-41
2r2r1k/1pN2pbp/p4pp1/qb6/4Q3/1B6/PP3PPP/2RR2K1 b - -,c8c7 e4e1 a5e1 d1e1 c7c1 e1c1 f6f5 g2g3 g7b2 c1c7,-636
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2P5/3P1NP1/PP1NPP1P/R1BQKB1R b KQkq -,d7d5 c4d5 f6d5 a2a3 a7a5 f1g2 c8e6 d2e4 c5e7 e1h1,-20
4Q3/8/4b3/8/4k3/2K5/8/8 b - -,e4d5 c3d3 d5e5 d3e3 e5d5 e8d8 d5e5 d8e7 e5d5 e3f4,6171
2b5/8/1kQ5/8/3K4/8/8/8 b - -,b6c6 d4c4 c8a6 c4c3 c6c5 c3d2 c5c4 d2e1 c4b3 e1d1,-11
r1bqk2r/ppp2ppp/2n2n2/2bPp3/8/2N1PNP1/PP1P1P1P/R1BQKB1R b KQkq -,c6b8 f3e5 f6d5 f1g2 c7c6 e1h1 c5b6 d2d4 e8h8 c3d5,419
r1bqkb1r/pp2nppp/2n5/1BppN3/8/2N5/PPPP1PPP/R1BQK2R b KQkq -,a7a6 b5c6 e7c6 e5c6 b7c6 d2d4 f8d6 d4c5 d6c5 e1h1,-78
r2qkbnr/ppp2ppp/2n1p3/3p4/3P4/2N1PQ1P/PPP2PP1/R1B1KB1R b KQkq -,h7h5 f1b5 d8f6 c1d2 f6f3 b5c6 b7c6 g2f3 g8f6 e1e2,58
8/nk6/1Q6/2K5/8/8/8/8 b - -,h7h5 f1b5 d8f6 c1d2 f6f3 b5c6 b7c6 g2f3 g8f6 e1e2,Mate
k7/n7/1Q1K4/8/8/8/8/8 b - -,,0
1kn5/8/Q1K5/8/8/8/8/8 b - -,a7c8 d6c5 c8b6 c5b6 a8b8 b6c6 b8c8 c6d5 c8d7 d5e5,Mate
r1bqkb1r/pp3ppp/2n1p3/2ppPn2/3P2P1/2P2N1P/PP3P2/RNBQKB1R b KQkq -,c5d4 g4f5 d4c3 b1c3 d5d4 c3b5 f8c5 c1d2 e6f5 a1c1,377
3K4/1pP4b/8/8/8/5k2/8/8 b - -,c5d4 g4f5 d4c3 b1c3 d5d4 c3b5 f8c5 c1d2 e6f5 a1c1,Mate
4k3/2p2pB1/p6p/6p1/8/1P3P2/P1P3PP/1K6 b - -,e8e7 b1b2 h6h5 b2a3 e7e6 a3b4 e6f5 b4a5 f5f4 a5a6,763
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/3PP3/2N2N1P/PPP1BPP1/R1BQK2R b KQkq -,h7h6 e1h1 f8e7 a2a4 e8h8 a4a5 f8e8 c1e3 e5d4 d1d4,60
rnbqkb1r/pp2pppp/5n2/2pp4/3PP3/2N5/PPP1NPPP/R1BQKB1R b KQkq -,b8c6 e4d5 f6d5 d4c5 d5c3 d1d8 e8d8 e2c3 c8f5 c1e3,107
rn1qkb1r/1p3ppp/p2pbn2/3Np3/4P3/1N3P2/PPP3PP/R1BQKB1R b KQkq -,h7h6 c2c4 f6d5 c4d5 e6d7 b3d2 b7b5 a2a4 b5a4 b2b3,71
rnbqk2r/ppp1bppp/5n2/3Pp1B1/8/2NP4/PPP2PPP/R2QKBNR b KQkq -,e8h8 g5f6 e7f6 g2g3 g7g6 f1g2 f6g7 g1e2 h7h5 d1d2,67
r1bqk1nr/ppp2pp1/1Bnp3p/4p3/2B1P3/3P1N2/PPP2PPP/RN1Q1RK1 b kq -,a7b6 a2a4 g8f6 f1e1 c8g4 b1d2 f6h7 h2h3 g4h5 d1c1,-7
rnbq1rk1/ppp1bppp/5n2/3p4/3P1B2/2N2N2/PPPQ1PPP/R3KB1R b KQ -,e7b4 f1d3 f8e8 f4e3 f6e4 d3e4 d5e4 f3g1 b8d7 a2a3,-89
rnbqkb1r/pp3ppp/2p2n2/3pp3/4P3/2NB1P2/PPPP2PP/R1BQK1NR b KQkq -,f8c5 g1e2 a7a6 e2g3 h7h5 h2h4 c5a7 b2b3 b8d7 d1e2,-273
6kb/1p1b3p/2pp2p1/p7/2P3Pq/1P1PQK2/P1N3RP/1R6 b - -,h7h5 g4h5 h4h5 f3f2 h8f6 f2g1 g8g7 g2g3 h5c5 e3c5,875
rn2kb1r/pp2pppp/2p2n2/8/4PPb1/3B1N2/PPP3PP/RNBK3R b kq -,b8d7 d1e1 g4f3 g2f3 f6h5 b1c3 g7g6 e1f2 e8a8 c3e2,-43
8/5r2/1K1k4/8/3Q4/8/8/8 b - -,d6e6 d4c4 e6e7 c4d5 e7f6 b6c5 f6g6 d5e6 f7f6 e6g4,234
8/2K5/8/8/3Q4/8/2k5/8 b - -,d6e6 d4c4 e6e7 c4d5 e7f6 b6c5 f6g6 d5e6 f7f6 e6g4,Mate
r2qkb1r/pppb1ppp/2np1n2/3Pp3/Q3P3/2P2N2/PP3PPP/RNB1KB1R b KQkq -,a7a6 d5c6 d7c6 a4d1 f6e4 b1d2 e4d2 c1d2 f8e7 f1c4,233
8/2K5/8/2Q5/8/1k6/8/8 b - -,a7a6 d5c6 d7c6 a4d1 f6e4 b1d2 e4d2 c1d2 f8e7 f1c4,Mate
8/2K5/8/8/8/2Q5/8/k7 b - -,a7a6 d5c6 d7c6 a4d1 f6e4 b1d2 e4d2 c1d2 f8e7 f1c4,Mate
rnbqkb1r/pp4pp/4pn2/2pp1p2/5P2/3P1NP1/PPP1P1BP/RNBQ1RK1 b kq -,g7g6 e2e4 f5e4 d3e4 f6e4 f3e5 e4d6 c2c4 d5d4 b1d2,78
rnbqk1nr/ppp2pbp/3Pp1p1/8/2BP4/8/PPP2PPP/RNBQK1NR b KQkq -,c7d6 g1f3 g8e7 e1h1 e8h8 c2c3 b8c6 b1a3 a7a6 a3c2,-33
rnbq1rk1/ppppppbp/6p1/8/4n3/1PP2NP1/P2PPPBP/RNBQ1RK1 b - -,d7d5 d1c2 e4d6 d2d3 e7e5 e2e4 c7c6 a2a4 f7f5 b1d2,-13
rn1qkbnr/ppp2pp1/4p2p/3pPb2/3P4/5N1P/PPP2PP1/RNBQKB1R b KQkq -,c7c5 c1e3 d8b6 c2c4 b8c6 c4d5 e6d5 b1d2 c5c4 f1c4,-26
r2qkbnr/ppp2pp1/2n1p2p/1B1pPb2/3P4/5N1P/PPP2PP1/RNBQK2R b KQkq -,g8e7 c2c3 a7a6 b5a4 b7b5 a4c2 f5c2 d1c2 e7c8 e1h1,65
7Q/8/6k1/3K4/4r3/8/8/8 b - -,e4f4 h8h3 g6g5 d5e5 f4g4 h3h7 g4g3 h7e4 g3g4 e4e2,741
rnbqk1nr/pp1p1pbp/2p1p1p1/4P3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,g8e7 c1f4 d7d6 e5d6 e7f5 h2h4 h7h6 b1d2 f5d6 f1d3,201
rn1qk2r/pp2bppp/2p1pn2/3p1b2/5P2/1P2PN2/PBPPB1PP/RN1QK2R b KQkq -,h7h6 e1h1 e8h8 c2c4 b8d7 d2d3 e7c5 d1d2 f5g6 b1c3,-48
8/5r2/8/8/4K1k1/8/4Q3/8 b - -,g4g5 e2b5 g5g4 b5e5 f7f2 e5g7 g4h5 g7g3 f2f6 e4e5,5532
rnbqkbnr/pp3ppp/8/2pPp3/8/2NP4/PPP2PPP/R1BQKBNR b KQkq -,g8f6 g1f3 f6d5 f3e5 d5c3 b2c3 f8e7 f1e2 d8c7 e5c4,91
rnbqkbnr/1ppp1pp1/4p3/p6p/3PPP2/5N2/PPP3PP/RNBQKB1R b KQkq -,g8f6 e4e5 f6e4 f1b5 c7c6 b5d3 d7d5 c2c4 f8b4 b1d2,97
8/8/8/2k5/8/5K2/3Q4/8 b - -,g8f6 e4e5 f6e4 f1b5 c7c6 b5d3 d7d5 c2c4 f8b4 b1d2,Mate
r1bqk2r/ppp2ppp/2n5/2bnp3/2B5/2P2N2/PP1PQPPP/RNB2RK1 b kq -,c5e7 f3e5 d5f4 e2e4 c6e5 e4e5 f4g6 e5g7 c8e6 d2d3,187
rn1qkb1r/ppp2ppp/3p1n2/4p1B1/4P1b1/2NP1P2/PPP3PP/R2QKBNR b KQkq -,g4c8 d3d4 f8e7 d4e5 d6e5 d1d8 e7d8 f1c4 b8d7 a2a4,35
rn1qkb1r/ppp2ppp/3p1n2/8/2BQP3/5P2/PPP2P1P/RNB2RK1 b kq -,h7h6 b1c3 b8c6 c4b5 d8d7 d4a4 a7a6 c3d5 f8e7 b5c6,51
r1bqkb1r/pppppppp/2n5/8/2BPn3/5N2/PPP2PPP/RNBQK2R b KQkq -,d7d5 c4b5 c8d7 e1h1 e7e6 b5d3 f8d6 c2c4 c6b4 c4c5,-137
1k6/8/1K2N3/1B6/8/8/8/8 b - -,c6b4 e1h1 d7d5 c4b3 g7g6 f1e1 c7c6 d1e2 f8g7 c2c4,Mate
8/3K4/8/8/4Q3/8/3k4/8 b - -,c6b4 e1h1 d7d5 c4b3 g7g6 f1e1 c7c6 d1e2 f8g7 c2c4,Mate
r1bqkbnr/pp2pp1p/2np2p1/8/3NP2P/2N5/PPP2PP1/R1BQKB1R b KQkq -,c8d7 h4h5 g6h5 c1e3 g8f6 f2f3 f8g7 d1d2 a7a6 e1a1,99
8/8/8/8/7p/6k1/8/7K b - -,,0
r1bqk2r/ppp2ppp/2np1n2/4p3/1bB1P3/2NPBN2/PPP2PPP/R2Q1RK1 b kq -,b4a5 c3d5 h7h6 c2c3 a5b6 a2a4 b6e3 f2e3 e8h8 d3d4,64
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/4P3/2NPBN1P/PPP1BPP1/R2QK2R b KQ -,b7b6 e1h1 c8b7 e3c5 b6c5 c3d5 d7d6 d5e3 c6d4 f3d4,-55
r1b1kb1r/pp1ppppp/2n2n2/q1pP4/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,c6b4 c1d2 d7d6 a2a3 b4a6 e4e5 d6e5 f3e5 g7g6 f1b5,556
rnbqkbnr/pppp1ppp/8/8/3Pp3/2P5/PPQ1PPPP/RNB1KBNR b KQkq -,d8e7 c1f4 d7d5 e2e3 c8e6 c3c4 d5c4 a2a3 b8c6 f1c4,98
r1bqkb1r/ppp1pppp/2n5/1B1p4/3Pn3/5N2/PPP2PPP/RNBQK2R b KQkq -,d8d6 e1h1 c8g4 h2h3 g4f3 d1f3 a7a6 c1f4 d6f6 b5c6,-144
8/k1N5/3B4/1K6/8/8/8/8 b - -,a7b7 c7d5 b7a7 b5c6 a7a8 d5b6 a8a7 d6g3 a7a6 b6d5,9605
rnbqkbnr/pp1ppppp/8/8/2pP4/2P1P3/PP3PPP/RNBQKBNR b KQkq -,a7a6 f1c4 d7d5 c4d3 b8c6 g1f3 c8g4 h2h3 g4f3 d1f3,245
rn1qkbnr/ppp1pppp/8/3p1bP1/8/8/PPPPPPBP/RNBQK1NR b KQkq -,e7e5 b1c3 g8e7 d2d3 b8c6 e2e4 f5e6 e4d5 e7d5 g1e2,-90
rn1qkbnr/pbppp1pp/1p6/5p2/4P3/3P2P1/PPP2PBP/RNBQK1NR b KQkq -,g7g6 g1h3 e7e6 e1h1 g8e7 b1c3 f8g7 d3d4 e8h8 h3f4,116
r1bqk2r/ppp2ppp/2n2B2/3p4/Qb1P4/2N5/PP2PPPP/R3KBNR b KQkq -,d8d6 f6g7 h8g8 g7e5 d6d7 e5g3 c6d4 a4d7 c8d7 e1a1,758
rnb1kbnr/ppp1pppp/8/6q1/4B3/2NP4/PPP2P1P/R1BQK1NR b KQkq -,g5a5 c1d2 c7c6 h2h4 h7h5 d1e2 a5c7 d3d4 g7g6 g1h3,-70
r1bqkbnr/ppp1n1pp/3p1p2/3Pp3/4P3/2P2N2/PP2BPPP/RNBQK2R b KQkq -,c7c6 c3c4 f6f5 b1c3 g8f6 e4f5 e7f5 h2h3 c6c5 f3g5,107
rnbqkb1r/pppp1ppp/5n2/8/3Pp3/2N3P1/PPP1PPBP/R1BQK1NR b KQkq -,c7c6 c3e4 f6e4 g2e4 d7d5 e4g2 f8d6 g1f3 e8h8 e1h1,152
rnbqkb1r/ppp2ppp/5n2/3p4/3Pp3/1PN1PP2/P1P3PP/R1BQKBNR b KQkq -,h7h5 g1e2 c8f5 d1d2 c7c6 c1b2 a7a5 f3e4 f5e4 e2f4,-89
8/3P2k1/4K3/8/5R2/3r4/8/8 b - -,c8f5 g1e2 h7h5 c1b2 b8d7 d1d2 c7c6 e1a1 f8b4 a2a3,Mate
r2r1qk1/pb6/1p2pQ2/n2P2R1/2P5/8/P4PPP/3R2K1 b - -,c8f5 g1e2 h7h5 c1b2 b8d7 d1d2 c7c6 e1a1 f8b4 a2a3,Mate
rnbq1rk1/pp1pppbp/5np1/2p5/2B1P3/2N2N1P/PPPP1PP1/R1BQ1RK1 b - -,f6e4 c4f7 f8f7 c3e4 b7b6 d2d4 c5d4 f3d4 c8b7 f1e1,-71
rnbqkb1r/ppp2ppp/4pn2/8/2pPP3/2N5/PPQ2PPP/R1B1KBNR b KQkq -,b8c6 g1f3 c6d4 f3d4 d8d4 c1e3 d4e5 a1d1 c8d7 f1c4,-96
rnbqk2r/ppp1ppbp/5np1/8/2PP4/3B1N2/PP3PPP/RNBQ1RK1 b kq -,b8c6 d4d5 c6b8 b1c3 e8h8 d3c2 c7c6 c1g5 c6d5 c4d5,102
rn1qkbnr/ppp2ppp/8/4pb2/2BP4/1Q2P3/PP3PPP/RNB1K1NR b KQkq -,g8f6 c4f7 e8e7 g1f3 b8c6 f7c4 d8d6 d4e5 c6e5 f3e5,475
rnbqk1nr/pp2ppbp/3p2p1/8/3BPP2/5N2/PPP3PP/RN1QKB1R b KQkq -,e7e5 f4e5 d6e5 d4e5 d8d1 e1d1 g8f6 f1c4 e8h8 b1d2,138
2k5/Pn6/8/8/8/8/7K/8 b - -,e7e5 f4e5 d6e5 d4e5 d8d1 e1d1 g8f6 f1c4 e8h8 b1d2,Mate
rnbqk2r/ppp1ppbp/5np1/3p4/8/2PP1NP1/PP2PPBP/RNBQK2R b KQkq -,c7c5 c1f4 h7h6 e1h1 e8h8 d3d4 b8c6 d4c5 f6e4 f3d4,-33
r1bqkb1r/pp2ppp1/2np1n1p/2p5/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,e7e6 c4b3 f8e7 f1e1 b7b5 d3d4 e8h8 b3c2 c5d4 c3d4,53
r1bqkbnr/2pp1ppp/p1n1p3/1p6/4P3/1B3N2/PPPP1PPP/RNBQ1RK1 b kq -,f8e7 c2c3 d7d5 e4d5 e6d5 d2d4 g8f6 f3e5 c8b7 f1e1,102
rnb1k1nr/pppp1ppp/5q2/4p3/1b1PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,e5d4 c3b4 d7d5 d1d4 f6d4 f3d4 d5e4 b1c3 b8c6 d4c6,542
rnb1k1nr/pppp1ppp/3b1q2/4p1B1/3PP3/2P2N2/PP3PPP/RN1QKB1R b KQkq -,f6g6 f1d3 g8f6 e1h1 e8h8 b1d2 b8c6 d2c4 h7h6 g5h4,234
rn1qk1nr/pp1Bbppp/3p4/2p5/4P3/5N2/PPP2PPP/RNBQK2R b KQkq -,e8d7 d1d3 b8c6 b1c3 c6b4 d3e2 d7e8 c1f4 g7g5 f4g3,316
r1b1k2r/ppppnpp1/2n2q1p/2bNp3/2B1P3/3P1N2/PPP2PPP/R1BQ1RK1 b kq -,d7d6 d5f6 g7f6 c2c3 c8e6 b2b4 c5b6 a2a4 a7a6 a4a5,869
rnbqkb1r/pp3ppp/3ppn2/2p3B1/3PP3/2N2N2/PPP2PPP/R2QKB1R b KQkq -,c8d7 d4c5 d8a5 g5f6 g7f6 c5d6 a5b6 d1d3 b6d6 f1e2,156
rnbqk1nr/pppp1ppp/8/2b1p1B1/4P3/3P4/PPP2PPP/RN1QKBNR b KQkq -,d8g5 g1f3 g5e7 g2g3 d7d6 f1g2 g8f6 c2c3 c5b6 e1h1,-491
r1bqk1nr/1ppp1pp1/p1n4p/2b1p3/1PB1P3/P2P1N2/2P2PPP/RNBQK2R b KQkq -,c5f8 d3d4 e5d4 f3d4 a6a5 e1h1 a5b4 d4c6 b7c6 c1b2,103
r2qkbnr/ppp1p1pp/2n2p2/3pPb2/3P1P2/P7/1PP3PP/RNBQKBNR b KQkq -,a7a6 g1f3 e7e6 f1e2 g8h6 e1h1 f8e7 c2c3 e8h8 b1d2,82
r2qkbnr/ppp1p1pp/2n5/3pPb2/3P4/P7/1PP3PP/RNBQKBNR b KQkq -,a7a6 c2c3 e7e6 g1f3 f8e7 f1d3 f5d3 d1d3 c6a5 d3c2,150
r1bqk2r/pp1p1pbp/2n1pnp1/2p5/2PP4/2N1PNP1/PP3PBP/R1BQK2R b KQkq -,d7d6 b2b3 e8h8 e1h1 d8e7 c1b2 f8d8 d1e2 a8b8 d4c5,52
r1bqkb1r/ppp2ppp/3p1n2/8/3QP3/2N3P1/PPP2P1P/R1B1KB1R b KQkq -,c8g4 f1g2 f8e7 c1f4 e8h8 f2f3 g4e6 e1a1 f6d7 c3d5,94
rnbqnrk1/ppppppbp/6p1/6B1/2PPP3/2N2N2/PP3PPP/R2QKB1R b KQ -,d7d6 h2h3 b8c6 d4d5 c6e5 f3e5 d6e5 f2f3 h7h6 g5h4,148
rnbqkb1r/ppp2ppp/5N2/4p3/3pP3/5N2/PPPP1PPP/R1BQKB1R b KQkq -,e8e7 f6d5 e7e8 f3e5 f8d6 e5d3 c7c6 d5f4 b8d7 b2b3,642
rnb1kbnr/ppp2ppp/4q3/4p3/8/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq -,f8e7 d2d4 e5d4 f3d4 e6b6 f1g2 g8f6 e1h1 e8h8 c3a4,127
3r1n1R/pp6/2p1Pk1p/3p1P2/8/8/PPPK4/8 b - -,f8e6 h8h6 f6f5 h6h7 e6c5 c2c4 f5g6 h7e7 d5c4 d2c3,-561
r1b1kb1r/p1q2ppp/2p2n2/n3p1N1/B7/5Q2/PPPP1PPP/RNB1K2R b KQkq -,f8d6 b1c3 e8h8 d2d3 c8g4 f3e3 f6d5 e3g3 g4d7 g5e4,145
8/3k4/3Q4/7R/8/4K3/8/8 b - -,f8d6 b1c3 e8h8 d2d3 c8g4 f3e3 f6d5 e3g3 g4d7 g5e4,Mate
r1bqkb1r/pppp2pp/2n1pn2/5p2/3P1B2/2P1P3/PP1N1PPP/R2QKBNR b KQkq -,a7a6 f1e2 d7d6 f4g3 g7g5 e2h5 e8d7 h5e2 b7b6 g1f3,51
r1b1k2r/ppp2ppp/2n2n2/2bqp3/8/3P1N1P/PPP1BPP1/RNBQ1RK1 b kq -,a7a5 b1c3 d5d7 c1e3 d7e7 d3d4 e5d4 f3d4 c6d4 e3d4,16
3b1rk1/p1q2p1p/bp2p2N/5nNp/2P5/8/PB3PPP/1BR3K1 b - -,a7a5 b1c3 d5d7 c1e3 d7e7 d3d4 e5d4 f3d4 c6d4 e3d4,Mate
rnbq1rk1/ppp1bpp1/4pn1p/3p4/3P1B1P/3BPN2/PPPN1PP1/R2QK2R b KQ -,b8c6 c2c3 f6g4 f3e5 g4e5 d4e5 f7f6 d2f3 f6e5 f3e5,90
rnbqkb1r/1p1p1ppp/2p2n2/p3p3/2B1P3/P1NP4/1PP2PPP/R1BQK1NR b KQkq -,d7d6 f2f4 e5f4 c1f4 f8e7 g1f3 e8h8 e1h1 b7b5 c4a2,44
8/3n4/3k4/1Q3K2/8/8/8/8 b - -,f8e7 g1f3 b7b5 c4a2 d7d6 e1h1 e8h8 c3e2 c8g4 e2g3,Mate
rnbqk2r/pp2bppp/2p2P2/3p4/2BQ4/2N5/PPP2PPP/R1B1K1NR b KQkq -,e7b4 c4d3 b4c3 d4c3 d8f6 c3f6 g7f6 c1e3 b8d7 e1a1,494
rn2k2r/1p2bppp/p7/3bp3/8/1N2BP2/PPP3PP/2KR1B1R b kq -,d5f3 g2f3 e8h8 f1c4 f8c8 c4d5 b8c6 d5e4 a8b8 d1d7,534
r1bqkbnr/pppp2pp/2n2p2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR b KQkq -,g7g6 f2f4 d7d6 a2a4 f8g7 g1f3 c8g4 h2h3 g4f3 d1f3,207
rnbqkb1r/ppp2ppp/8/3p4/3Pn3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f8b4 d1c2 b8c6 a2a3 b4c3 b2c3 e8h8 f1d3 c8f5 e1h1,-95
rn1qkbnr/ppp1pppp/6b1/3p4/2PP4/3BP3/PP3PPP/RNBQK1NR b KQkq -,b8c6 g1f3 e7e6 e1h1 g8f6 b2b3 c6b8 d1c2 g6d3 c2d3,62
rn1q1rk1/ppp1bppp/3p1n2/4p1B1/4P1b1/2NP1N1P/PPP1BPP1/R2QK2R b KQ -,g4f3 e2f3 b8d7 g5e3 d7c5 g2g3 c5e6 c3d5 f6d5 e4d5,33
rn1qkb1r/pbp2ppp/1p2pn2/6B1/2BP4/2N1PN2/PP3PPP/R2QK2R b KQkq -,c7c6 e1h1 f8e7 e3e4 e8h8 f1e1 h7h6 g5f4 e7b4 d1d3,137
rnbqkb1r/1p3ppp/p2p1n2/4pN2/4P1P1/2N5/PPP2P1P/R1BQKB1R b KQkq -,h7h6 h2h4 b8c6 f1g2 g7g6 f5e3 f8g7 h4h5 g6g5 e1h1,79
8/8/8/8/2K5/8/p2Q4/1k6 b - -,g7g6 f5e3 h7h6 h2h4 c8e6 c1d2 b8c6 f1g2 f8g7 h4h5,Mate
8/8/8/6K1/8/2Q5/1p6/2k5 b - -,g7g6 f5e3 h7h6 h2h4 c8e6 c1d2 b8c6 f1g2 f8g7 h4h5,Mate
rnbqkb1r/ppp1nppp/4p3/3pP3/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,a7a6 c4c5 e7f5 f1d3 f8e7 c3e2 b8c6 d3c2 b7b6 c5b6,141
rnbqkb1r/pp3ppp/2p1pn2/1P1p4/P7/5N2/1BPPPPPP/RN1QKB1R b KQkq -,c8d7 e2e3 a7a6 b1a3 f8d6 c2c4 e8h8 f1e2 d8e7 d1b3,-13
rnbq1rk1/ppp2ppp/3p1n2/2b5/2N1P3/2NP4/PPP2PPP/R1BQKB1R b KQ -,c8e6 c4e3 b8c6 g2g3 d6d5 e4d5 e6d5 c3d5 f6d5 f1g2,102
r1bqkb1r/1p3ppp/p1np1n2/2pNp3/4P3/3P1N2/PPP1BPPP/R1BQ1RK1 b kq -,h7h6 d5f6 d8f6 c2c3 c8e6 c1e3 a8d8 f3d2 f8e7 f2f4,44
rnbq1rk1/ppp2ppp/3p1n2/2b5/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQ -,f8e8 c3a4 c5b6 a4b6 a7b6 f1e2 b6b5 h2h3 c7c5 e1h1,227
rnbqkbnr/ppp2p1p/3pp1p1/8/3P1B2/2N1P3/PPP2PPP/R2QKBNR b KQkq -,f8g7 d1d2 g8f6 e3e4 e8h8 g1f3 a7a6 f1d3 b8c6 f4g5,67
rn1qk1nr/pbpp1pbp/1p2p1p1/1B4B1/3PP3/2N2N2/PPP2PPP/R2QK2R b KQkq -,g8f6 e4e5 e8h8 h2h4 c7c5 d4c5 b6c5 d1e2 d7d5 h4h5,706
rn1qkbnr/ppp1pppp/8/3p1b2/1PP5/8/PB1PPPPP/RN1QKBNR b KQkq -,e7e6 e2e3 g8f6 c4d5 e6d5 g1f3 c7c6 b4b5 a7a6 a2a4,-28
