8/6Kp/6p1/5p2/5P1k/8/6P1/8 b - -,d7d5 f1e2 g8e7 e4d5 e6d5 d3d4 e8h8 e1h1 c8f5 f3h4,Mate
rn1qk2r/ppp1bpp1/3p1nb1/4p1pP/2B1P1P1/3P4/PPP2P2/RNBQ1RK1 b kq -,d6d5 e4d5 f6h5 g4h5 g6h5 f2f3 e7c5 g1g2 g5g4 f1h1,-369
8/8/8/8/8/3K4/3p1N2/2k5 b - -,,0
r3r1k1/pp1q1pp1/2pb1pp1/8/3P1B2/5N1b/PPPQ1PP1/R3R1K1 b - -,d7g4 f4g3 d6g3 f2g3 g4g3 a2a4 h3g4 d2f2 g3f2 g1f2,-311
r4rk1/1p1bqppp/4pn2/p1p5/PbQPP3/2N1B1PP/1P3PB1/R2R2K1 b - -,f8d8 d4d5 e6d5 e4d5 f6e8 c3e4 e8d6 e4d6 e7d6 e3f4,78
8/R4pkp/2q3p1/1p1p4/1PrPpP1b/4P2P/3B2PK/3Q4 b - -,c4c2 d1g4 h4f6 g4d1 c2b2 h2g1 c6c8 a7a1 c8c4 d2e1,-179
r2qkb1r/pp1nnppp/2p1p1b1/3pP3/3P1BP1/2N2N1P/PPP1BP2/R2Q1RK1 b kq -,h7h5 f4g3 h5g4 h3g4 c6c5 e2d3 a7a6 c3e2 c5d4 e2d4,-20
8/p1b5/3k1p2/2p3pp/2B1Kp2/2P2P1P/PP4P1/8 b - -,h5h4 c4f7 c7b8 f7g6 d6c6 e4f5 b8e5 f5e6 c6b5 e6d5,21
1b2r1k1/5ppp/2p5/2q5/5P1P/P5P1/1B2R2K/5Q2 b - -,e8e3 e2d2 e3e8 f1d3 b8a7 d3c3 f7f6 c3c5 a7c5 h4h5,2
r4r2/2pqnp1k/1p1p1Q1p/p2PpP2/2P1P3/2P3R1/P3B1PP/R5K1 b - -,e8d8 f1c1 b8a7 c1c5 a7c5 e2c2 c5f8 h2h3 d8a8 c2c6,Mate
4Rbk1/p1p2pp1/7p/3B4/3P4/P1P3PP/1q3PK1/8 b - -,b2b5 e8e5 b5d7 d5f3 d7a4 h3h4 g7g6 h4h5 g6h5 f3h5,-406
r1bq1rk1/pppp1ppp/2n2n2/2bNp3/2B1P3/3P4/PPP1NPPP/R1BQ1RK1 b - -,f6d5 e4d5 c6e7 d3d4 e5d4 e2d4 d7d6 d4b3 c5b6 a2a4,6
6k1/5p1p/R5p1/8/P7/8/r4PPP/5K2 b - -,g8g7 g2g3 g6g5 a6a5 h7h6 g3g4 a2a3 f1g2 g7g6 a5a6,17
8/7p/p7/2kPQ3/4PP2/7P/r4qP1/2R4K b - -,g8g7 g2g3 g6g5 a6a5 h7h6 g3g4 a2a3 f1g2 g7g6 a5a6,Mate
8/p1b2B2/3k1p2/2p3p1/4Kp1p/2P2P1P/PP4P1/8 b - -,c7b8 f7g6 a7a5 g6f7 d6c6 f7e8 c6d6 a2a3 b8c7 e4d3,25
r1b1r1k1/ppp2ppp/2p5/3qP2Q/3P4/8/PPP3PP/R1B2R1K b - -,c6c5 c1e3 c8d7 a1d1 d7c6 d1d2 c5d4 e3d4 a8d8 h5g4,-30
N4knr/pp3ppp/2n5/2b1p3/2p1P1b1/5N2/PPPPK1PP/R1B4R b - -,g8f6 d2d3 c4d3 c2d3 c5d6 c1e3 f8e7 a8b6 a7b6 e3b6,-289
r4rk1/pp2bppp/1qb1pn2/2P3B1/8/3B1N2/PPP1QPPP/3RR1K1 b - -,b6a5 f3e5 a5c5 c2c4 a7a5 h2h3 h7h6 g5f4 f8d8 f4d2,60
rr4k1/3bqpp1/1nn1p2p/3pP3/N2P1P2/2PB4/2QN2PP/R4RK1 b - -,c6d4 c3d4 d7a4 c2c1 b8c8 c1e1 a4c2 a1a8 b6a8 e1c1,-23
r5r1/2pqnQ1k/1p1p3p/p2PpP2/2P1P3/2P3R1/P3B1PP/R5K1 b - -,c6d4 c3d4 d7a4 c2c1 b8c8 c1e1 a4c2 a1a8 b6a8 e1c1,Mate
8/R4pkp/2q3p1/1p1p4/1P1PpPQb/4P2P/2rB2PK/8 b - -,c6f6 g4d1 f6c6 d1g4 h4f6 g4d1 c2b2 h2g1 c6c8 d2e1,-194
rn3rk1/1b3p1p/p3pq1p/3p4/Pb4Q1/3B4/1PP2PPP/R1B2RK1 b - -,g8h8 g4b4 b8c6 b4b7 f8g8 g2g3 e6e5 b7b6 a8e8 b6e3,419
8/p3k3/5p2/b1pB2p1/5p1p/2PK1P1P/PP4P1/8 b - -,e7d6 d3c4 a5d8 d5e4 d8e7 c4b5 d6c7 e4c2 e7d6 c2g6,40
3b4/2p2k2/2Pp2pp/3Pp3/4P1PB/4KN1P/2b5/8 b - -,d8e7 g4g5 h6h5 h4e1 f7e8 e1a5 e8d8 h3h4 c2a4 f3d2,15
r1bqk1nr/pp2bppp/2n1p3/3p4/2pPPB2/2P2N2/PPB2PPP/RN1QK2R b KQkq -,d5e4 c2e4 g8f6 e4c6 b7c6 e1h1 e8h8 b1d2 d8d5 d1a4,25
1b4k1/5ppp/2p5/2q5/5P1P/P5P1/1B2Q2K/8 b - -,,0
rn1qk2r/1p2bppp/p7/3Qpb2/6P1/2N4P/PPP2P2/R1B1KB1R b KQkq -,f5c8 c1e3 b8c6 e1a1 d8d5 c3d5 e7d8 d5b6 d8b6 e3b6,97
r3r1k1/pp1q1pp1/2pb1pp1/8/3P1B2/5N2/PPPQ1PK1/R3R3 b - -,d6f4 d2f4 g6g5 f4g3 g5g4 f3h2 f6f5 c2c3 g7g5 a1d1,127
r1bqnrk1/pp1nppbp/3pP1p1/2p5/2BP1P2/2N2N1P/PPPB2P1/R2QK2R b KQ -,d7b6 e6f7 f8f7 c4f7 g8f7 d4c5 d6c5 d1e2 f7g8 e1a1,298
8/2p5/2Pp1k1p/3Pp1pP/4P1P1/4KN2/8/1b6 b - -,,0
r1b2rk1/pp3ppp/3p4/3Pp1q1/3nP3/3B1N2/PP3PPP/R2QK2R b KQ -,g5g2 f3d4 g2h1 e1d2 h1d1 a1d1 e5d4 f2f4 c8d7 f4f5,-538
8/p1b5/3k1p2/2p3p1/2K1Bp1p/2P2P1P/PP4P1/8 b - -,c7d8 c4b5 a7a5 b5a6 d8c7 a6b7 d6d7 e4g6 d7d6 g6c2,45
8/4kpp1/p3p3/5P2/8/8/qp2R1PK/8 b - -,a2b3 e2e1 a6a5 e1f1 b3c4 h2g1 a5a4 g2g4 c4c2 g4g5,-1658
8/2p2k2/2Pp2pp/3Pp3/4P1PN/4K2P/2b5/8 b - -,,0
rn1q1rk1/pbppbppp/1p2pn2/8/2PPP3/2N2PP1/PP2N1BP/R1BQK2R b KQ -,b8a6 f3f4 f6e8 e1h1 f7f5 e4e5 b7g2 g1g2 c7c6 d4d5,97
r3r1k1/pp3pp1/2pb1pp1/8/3P2q1/5NB1/PPPQ1PK1/R3R3 b - -,d6g3 f2g3 g6g5 e1e8 a8e8 a1e1 e8e1 d2e1 g4d7 e1e4,210
N4knr/pp3ppp/8/2b1p3/2pnP1b1/5N2/PPPP2PP/R1BK3R b - -,d4f3 h2h3 g4h5 d2d3 c5d6 g2g4 h5g6 c1e3 f3d4 h1e1,-424
r2q1rk1/1p1nbppp/4p1n1/1BPpP3/1P6/2Q5/P4PPP/RNB1R1K1 b - -,d7e5 a2a4 b7b6 b1d2 d5d4 c3g3 b6c5 b4c5 h7h5 c1a3,-10
8/pr2r1k1/2R1p1p1/P1p1P3/2P3P1/1P6/2KR4/8 b - -,b7c7 c6c7 e7c7 d2d6 g7h6 d6e6 h6g5 c2d3 g5f4 e6g6,499
1n1r3k/1p1rq3/pQ1pb3/4p1pp/1NP1Pp2/1P1R1P1P/P3B1PK/3R4 b - -,h8g7 h2g1 g5g4 f3g4 h5g4 b4d5 e6d5 c4d5 g4h3 d3h3,81
8/R4pkp/2q2bp1/1p1p4/1P1PpP2/4P2P/1r4PK/3QB3 b - -,c6c4 e1g3 c4c3 d1g1 b2e2 a7a1 c3e3 g1e3 e2e3 a1a5,-359
1R6/8/8/6K1/8/1pp4k/8/8 b - -,b3b2 g5f5 h3g3 b8b3 g3f2 f5e4 f2e2 e4d4 c3c2 b3b2,Mate
r2qrbk1/p2p1ppp/1pn5/2pb2N1/4NPP1/8/PP2Q1BP/R1B2RK1 b - -,c6b4 a2a3 h7h6 a3b4 h6g5 e2d3 d5c4 d3c4 d7d5 e4f6,321
5Q2/6pp/pNpB3k/2P5/1p3pb1/1P6/P3q3/1K6 b - -,e2e1 b1b2 h6g6 f8f4 e1c3 b2b1 g4f5 f4f5 g6f5 b6c4,-1196
N3r3/p2q1kpp/Q1p2pb1/8/3P4/4bP2/PPP3PP/R2K3R b - -,e2d1 b1b2 d1d2 b2b1 d2e1 b1b2 h6g6 f8f4 e1c3 b2b1,Mate
r4rn1/2pq1p1k/1p1p3p/p2PpP2/2P1P2Q/2P4R/P3B1PP/R5K1 b - -,d7e7 h4h5 h7h8 a1b1 f7f6 e2f1 f8f7 h5d1 f7g7 f1e2,190
8/p7/3k1p2/b1p3p1/4Bp1p/2PK1P1P/PP4P1/8 b - -,a5d8 d3c4 d8e7 c4b5 d6c7 b5a6 c7b8 e4c6 e7d6 c6e8,34
rn3rk1/1b3pqp/p3p2p/3p4/PQ6/3B4/1PP2PPP/R1B2RK1 b - -,b7c8 b4h4 h6h5 h4h5 f7f5 c1h6 g7f7 h5g5 f7g6 g5g6,408
r2q1rk1/pp1nbppp/4pnN1/3p4/3P1B2/2N3P1/PP2PPBP/R2Q1RK1 b - -,d7b6 g6f8 e7f8 a1c1 b6c4 c1b1 a8c8 c3a4 b7b5 a4c5,564
8/R4pkp/6p1/8/P7/8/r4PPP/5K2 b - -,g6g5 g2g4 a2a1 f1g2 a1a2 a7a5 g7g6 a5a6 g6g7 a6a7,18
r1bqkb1r/pp3ppp/2p1pn2/8/3P4/5N2/PPPBQPPP/R3KB1R b KQkq -,f8e7 g2g4 f6g4 h1g1 e6e5 d4e5 d8b6 d2c3 e7b4 c3b4,62
3R1bk1/p1p2pp1/7p/3B4/3P4/P1q3PP/5PK1/8 b - -,c7c6 d5e4 c3a5 d8c8 a5a4 e4c6 a4d4 c6f3 g7g6 c8e8,-481
rn1q1rk1/pbppbppp/1p2pn2/8/2PP4/2N1PPP1/PP2N1BP/R1BQ1RK1 b - -,f6e8 e3e4 c7c6 f3f4 f7f5 d1b3 g8h8 c1e3 e8f6 e4e5,78
1r4k1/1nQ3p1/2BpP3/p2Pp1q1/1P3rp1/P4P1P/5RK1/R7 b - -,g4f3 g2h1 g5d8 c7d8 b7d8 c6a4 d8b7 h1h2 a5b4 e6e7,113
r1bqkb1r/1pp1ppp1/p3N2p/3P4/2B5/2P5/P4PPP/R2Q1RK1 b kq -,d8d6 f1e1 h6h5 e6g5 h8h6 g5e4 d6f4 d1d4 h6g6 a1d1,88
8/P5k1/1K6/8/8/8/8/6r1 b - -,g1g5 a7a8q g7f6 a8f3 g5f5 f3g3 f6f7 b6c6 f7e6 g3h3,270
r4rk1/1p1bqppp/4pn2/p7/PbQBP3/2N3PP/1P3PB1/R2R2K1 b - -,f8c8 c4b3 e6e5 d4e3 h7h6 g1h2 c8c7 e3b6 c7c6 b6e3,-24
8/4kpp1/p3p3/5P2/8/8/R5PK/1q6 b - -,a8c8 c4b3 e6e5 d4e3 c8c7 e3g5 b4c3 b2c3 h7h6 b3b6,Mate
8/R4pkp/5bp1/1p1p4/1PqPpPQ1/4P2P/1r4PK/4B3 b - -,c4f1 f4f5 f1e1 f5g6 h7g6 g4e6 e1f2 a7f7 g7h6 e6g4,-465
8/4kp1r/4p1R1/3pPp2/R6P/1P6/P1P5/1K6 b - -,d5d4 g6g8 e7d7 a4d4 d7c6 g8f8 f5f4 d4f4 h7h6 a2a4,865
r2q1rn1/2p2p1k/1p1p3p/p2PpP2/2P1P3/2P3QR/P3B1PP/R5K1 b - -,d8f6 a1f1 g8e7 g3e3 f8h8 f1f3 a8g8 h3h5 g8g5 h5h6,170
2kr3r/pp2bpp1/4qn2/3p3p/1P1N1B2/2PB1Q1P/P4PP1/R5K1 b - -,e6b6 d3f5 d8d7 a2a4 f6e4 a1d1 h8d8 a4a5 b6a6 c3c4,707
r1bq1rk1/2pn1pbp/np1p2p1/p2Pp3/2P1P3/2NNB1P1/PP1Q1PBP/R4RK1 b - -,d7c5 d3c5 a6c5 g1h1 a5a4 f1g1 f7f5 e4f5 c8f5 e3c5,3
rn1qkb1r/pppb1ppp/4pn2/8/2PPN3/3B4/PP3PPP/R1BQK1NR b KQkq -,d7c6 e4f6 d8f6 g1f3 c6f3 g2f3 b8c6 d4d5 c6e5 d3e4,-92
R7/8/Pr4k1/4K3/8/8/8/8 b - -,b6b1 a6a7 b1e1 e5d4 e1d1 d4c3 d1a1 a8g8 g6f5 a7a8q,550
6k1/5ppp/2pb4/2q5/5P1P/P5P1/1B1Q3K/8 b - -,,0
r3k2r/pp1n1ppp/2p1pn2/3p4/1bPP1B2/P3PN2/1P3PPP/1R1K1B1R b kq -,b4e7 c4d5 f6d5 f4g3 h7h5 h2h3 h5h4 g3h2 a8c8 b1c1,35
8/4kpp1/p3p3/5P2/8/8/q5P1/6K1 b - -,b4e7 c4d5 f6d5 f4g3 h7h5 h2h3 h5h4 g3h2 a8c8 b1c1,Mate
N4knr/pp3ppp/8/2b1p3/2pnP1b1/5N2/PPPP2PP/R1B2K1R b - -,d4f3 b2b4 c5d6 g2f3 g4f3 h1g1 f3e4 g1g3 e4c2 g3a3,-276
8/2p5/2Pp1k1p/3Pp1pP/4P1P1/4K3/2b4N/8 b - -,,0
r2q1rk1/1b1nbpp1/p3pn1p/1p6/3P3B/2NB1N2/PP2QPPP/2RR2K1 b - -,f8e8 a2a4 b5a4 c3a4 d8a5 c1a1 a5b4 a4c3 e8d8 a1a4,-24
2rq1rk1/4bppp/1pP1p3/1B1pn3/PP6/2Q5/1B3PPP/RN4K1 b - -,e7f6 c3d2 e5c6 b5a6 c8b8 b1a3 h7h6 a6b5 f6b2 d2b2,-379
r4rn1/2p2p1k/1p1p1q1p/p2PpP2/2P1P3/2P3QR/P3B1PP/5RK1 b - -,g8e7 g3e3 h7g7 h3h5 f8h8 f1f3 h8h7 g2g4 a8h8 f3h3,175
rnb2rk1/pp2ppbp/6p1/2P5/8/2q1BN2/P1PQBPPP/R4RK1 b - -,c3d2 f3d2 g7a1 f1a1 f8d8 a1b1 b8c6 h2h3 a8b8 e2c4,-225
r1bqnrk1/pp1np1bp/3pp1p1/2p3N1/2BP1P2/2N4P/PPPB2P1/R2QK2R b KQ -,d7b8 c4e6 g8h8 d4d5 e8c7 h3h4 c8e6 d5e6 h7h5 g2g4,226
2kr1b1r/pp1n4/q4p1p/4p2P/2p5/4BNP1/PPP1QP2/1K1R3R b - -,a6c6 f3h4 c8b8 h4g6 h8h7 h1h4 d8c8 g6f8 d7f8 f2f4,207
rr4k1/3bqpp1/1nn1p2p/2NpP3/p2P1PP1/2PB4/2QN3P/R4RK1 b - -,d7e8 d2f3 b6c4 d3c4 d5c4 c5e4 a4a3 f4f5 e6f5 g4f5,9
8/2p5/2Pp1k1p/3Pp1pP/b3P1P1/8/3K3N/8 b - -,,0
r4r2/2p1np1k/1p1p1q1p/p2PpP2/2P1P3/2P1Q2R/P3B1PP/5RK1 b - -,f8h8 h3h5 a8g8 h2h4 f6g7 g2g4 f7f6 g1f2 g7f8 g4g5,244
r1bqkb1r/pp3ppp/2p1pn2/8/3P4/8/PPPBQPPP/2KR1BNR b kq -,d8d5 c1b1 f8e7 g1f3 e8h8 h1g1 b7b6 f3e5 c8b7 d2e3,59
r4rk1/pp3ppp/1qb1pB2/2b5/8/3B1N2/PPP1QPPP/3RR1K1 b - -,c6f3 e2f3 g7f6 f3f6 f8d8 e1e4 d8d7 b2b4 c5f2 f6f2,460
4r3/p7/1n1Rp1k1/2p1BpP1/2b2P2/4q3/5QBP/6K1 b - -,e3c1 g2f1 c1f1 f2f1 c4f1 g1f1 b6c4 d6c6 c4e5 f4e5,-408
8/R4pkp/5bp1/1p1p1P2/1P1Pp1Q1/4P2P/1r4PK/4Bq2 b - -,f1e1 f5g6 h7g6 g4e6 e1f2 a7f7 g7h6 e6g4 b2b1 g4f4,-607
r1bqk2r/3nppb1/2pp2p1/pp2P2p/3P4/P1N1BP2/1PPQN1PP/3R1RK1 b kq -,e8h8 e3h6 d6e5 d4e5 d8b6 h6e3 b6a6 e5e6 d7e5 e6f7,24
N4knr/pp3ppp/8/2b1p3/2p1P1b1/5P2/PPPP3P/R1B2K1R b - -,g4f3 h1g1 c5g1 f1g1 f8e7 a8c7 f3e4 b2b3 e7d7 c7b5,-341
r2q1rk1/pp1nbpp1/4pnp1/3p4/3P1B2/2N3P1/PP2PPBP/2RQ1RK1 b - -,d8a5 d1b3 a5b6 b3b6 d7b6 c1c2 f8c8 f1c1 c8c4 e2e3,32
rn1qkb1r/pp2pppp/4bn2/3p4/3P4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,e6d7 f1g2 e7e6 e1h1 f8e7 c1f4 b8c6 f3e5 e8h8 e2e3,19
rn2kbnr/pp2ppp1/1qp5/3pP2p/3P2b1/1QPB4/PP3PPP/RNB1K1NR b KQkq -,b8a6 h2h3 g4d7 b3d1 c6c5 g1f3 c5d4 f3d4 a6b4 d3e2,113
rnbqkb1r/ppp1p1pp/5n2/3p1p2/3P4/2N3PN/PPP1PPBP/R1BQK2R b KQkq -,e7e6 e1h1 c7c6 b2b3 f8d6 c3a4 d8e7 a4b2 b8d7 c2c4,48
6k1/5pp1/2pb3p/2q5/P4P1P/6P1/1B1Q3K/8 b - -,,0
8/R4pkp/6p1/8/P7/8/4KPPP/r7 b - -,g6g5 a7a5 h7h6 g2g4 a1a3 a5a6 a3a2 e2f3 a2a3 f3g2,20
r5r1/2p1np1k/1p1p1q1p/p2PpP1B/2P1P3/2P1Q2R/P5PP/5RK1 b - -,g8g5 h5f7 a5a4 f7e6 a4a3 f1f3 a8a4 e3e2 g5g4 f3e3,297
2kr3r/pp2bpp1/1q3n2/3p1B1p/1P1N1B2/2P2Q1P/P4PP1/R5K1 b - -,d8d7 a2a4 f6e4 a1d1 h8d8 a4a5 b6a6 c3c4 g7g5 c4d5,709
8/R7/5kpp/3p1p2/7P/P3P3/r4PP1/6K1 b - -,f6e5 a7a6 g6g5 a6h6 g5h4 h6h4 a2a1 g1h2 a1a2 h2g3,62
8/p7/1b1k1p2/1Kp3p1/4Bp1p/2P2P1P/PP4P1/8 b - -,d6c7 a2a3 c7b8 b5c6 b8a8 e4g6 a8b8 g6f5 b8a8 f5e4,85
N3r3/p4kpp/Q1p2pb1/8/3q4/4bP2/PPP3PP/R3K2R b - -,d6c7 a2a3 c7b8 b5c6 b8a8 e4g6 a8b8 g6f5 b8a8 f5e4,Mate
8/4kpp1/p3p3/5P2/8/8/5KP1/1q6 b - -,d6c7 a2a3 c7b8 b5c6 b8a8 e4g6 a8b8 g6f5 b8a8 f5e4,Mate
r4rk1/1p1bqppp/5n2/p3p3/PbQ1P3/2N1B1PP/1P3PB1/R2R2K1 b - -,h7h6 g1h2 f8d8 c4b3 d8c8 h2g1 b4c3 b2c3 d7e6 b3a3,-22
r4r2/p1q3pp/5k2/1Bp2p2/4p3/8/PPPR1PPP/R2Q2K1 b - -,g7g6 d2d6 f6g5 d1d2 f5f4 a1d1 f8f5 b5c6 a8d8 d6d8,589
rn3r1k/1b3ppp/p3pq1N/3p3Q/Pb6/3B4/1PP2PPP/R1B2RK1 b - -,g7h6 c1h6 b8d7 h6d2 f6g7 d2b4 f8g8 g2g3 a8e8 b4d6,172
4q1k1/n2nbrpp/2b1B3/2pNP3/p4B1P/P1rP2P1/5P2/R2QR1K1 b - -,a7b5 e6f7 e8f7 e5e6 f7f8 d5c3 b5c3 d1c2 f8f5 e6d7,396
5Q2/6pp/pNpB3k/2P5/1p1q1pb1/1P6/P1K5/8 b - -,d4d1 c2b2 d1d2 b2b1 d2e1 b1b2 h6g6 f8f4 e1c3 b2b1,-1221
2rr2k1/5pqp/R5p1/1pP3Q1/1P1pB2R/3P2P1/b6P/6K1 b - -,a2c4 d3c4 d4d3 a6d6 d8d6 c5d6 g7a1 g1g2 c8c4 e4d3,517
rnbq1rk1/ppp1nppp/3p4/2b1pP2/2B1P3/2NP4/PPP3PP/R1BQK1NR b KQ -,c7c6 c4b3 a7a5 a2a4 d6d5 d1f3 b8d7 g1e2 g8h8 g2g4,54
r1bqk2r/4bppp/p2p1n2/npp1p3/4P3/2PP1N2/PPB2PPP/R1BQKN1R b KQkq -,c8e6 f1g3 a5c6 e1h1 h7h6 f3h4 g7g6 h4f3 d8c7 f1e1,32
8/2p5/2Pp1k1p/3Pp1pP/4P1P1/8/3K4/5bN1 b - -,,0
r3r1k1/pp3pp1/2pb2p1/5p2/3P2q1/6B1/PPPQ1PKN/R3R3 b - -,g4h5 g3d6 g6g5 e1e8 a8e8 a1e1 e8e1 d2e1 a7a6 d6b4,511
3r2k1/5pp1/p2p3p/1pp5/P3Pn2/1PP2PqP/5QP1/3RR1K1 b - -,g4h5 g3d6 g6g5 e1e8 a8e8 a1e1 e8e1 d2e1 a7a6 d6b4,Mate
N4knr/pp3ppp/8/2b1p3/2p1P3/5b2/PPPP3P/R1B2KR1 b - -,c5g1 f1g1 f8e7 a8c7 f3e4 b2b3 e7d7 c7b5 c4b3 a2b3,-335
r1bqk2r/3nppb1/2p3p1/pp2P2p/8/P1N1BP2/1PPQN1PP/3R1RK1 b kq -,b5b4 c3e4 g7e5 e2d4 d8c7 f3f4 e5g7 f4f5 d7e5 a3b4,73
rnbqrbk1/pp3ppp/3p4/2pP1P2/4N1P1/8/PP2Q2P/R1B1KBNR b KQ -,b7b5 c1g5 d8b6 f1g2 c8b7 a1d1 b8d7 g1h3 b5b4 e1h1,160
8/4kpp1/p7/5p2/8/4K3/6P1/1q6 b - -,b7b5 c1g5 d8b6 f1g2 c8b7 a1d1 b8d7 g1h3 b5b4 e1h1,Mate
8/p7/1b3p2/1Kp1k1p1/P3Bp1p/2P2P1P/1P4P1/8 b - -,e5d6 e4g6 d6d5 g6f7 d5d6 f7c4 d6d7 b5a6 d7c8 c4e6,185
r1bqk2r/pp2ppbp/6p1/3np3/3N4/1Q6/PPP1BPPP/RNBR2K1 b kq -,e8h8 d4f3 d8c7 b3d5 c8f5 f3e1 a8d8 d5b3 d8d1 e2d1,462
1r3rk1/pp2q3/2pbp2p/3p2p1/2PPbp2/P4NP1/1P1QPPBP/2R1R1K1 b - -,e7f6 d2c3 b8e8 e1f1 f6f5 c1e1 h6h5 f3d2 e4g2 g1g2,-99
5bk1/p1pR1pp1/7p/3B4/3P4/q5PP/5PK1/8 b - -,f8e7 d5f3 g8f8 d7c7 g7g6 h3h4 a3a5 c7c6 f8g7 c6c8,-486
8/R4pkp/5b2/1p1p1Pp1/1P1Pp3/4P1QP/1r4PK/4Bq2 b - -,b2e2 e1c3 h7h5 a7a1 f1f5 h3h4 f5f3 c3e1 f3e3 g3e3,-521
6k1/2b2pp1/2p4p/2q5/P4P1P/2B3P1/3Q3K/8 b - -,,0
8/R4pkp/6p1/8/P7/4K3/r4PPP/8 b - -,h7h5 h2h4 a2a3 e3f4 a3a2 f4g3 g7f6 a7a5 a2a3 g3f4,20
rn3r1k/1b3p1p/p3pqpN/3p2BQ/Pb6/3B4/1PP2PPP/R4RK1 b - -,f6d4 h5f3 b8d7 c2c3 d4g7 c3b4 d7e5 f3h3 f7f6 g5d2,337
2kr3r/pp1nbpp1/1q6/3Q1B1p/1P1N1B2/2P4P/P4PP1/R5K1 b - -,h8h6 a1e1 e7d6 f4h6 g7h6 d5f7 a7a6 d4e6 d8h8 f7g7,997
rn1q1rk1/p4ppp/2p2n2/6N1/1bB1p1b1/2N5/PPPP1PPP/R1B1QRK1 b - -,b8d7 g5e4 f8e8 f2f3 g4e6 c4e6 e8e6 d2d3 f6d5 e1f2,278
r4q2/2p1n2k/1p1p1pBp/p2PpPr1/2P1P3/2P1QRR1/P5PP/6K1 b - -,e7g6 f5g6 h7g7 e3f2 g5h5 f2e2 h5h4 f3f5 h4f4 g3h3,168
2rr2k1/5pqp/R1B3p1/1pP3Q1/1P1p3R/1b1P2P1/7P/6K1 b - -,b3e6 a6a7 d8f8 c6e4 f8e8 h4f4 h7h6 g5f6 g7f6 f4f6,172
N4knr/pp3ppp/8/4p3/2p1P3/5b2/PPPP3P/R1B3K1 b - -,f8e7 a8c7 g8f6 b2b3 c4b3 a2b3 h8c8 c7b5 f6e4 d2d3,-344
r1bqkbnr/pp1ppppp/8/8/2PpN3/8/PP1PPPPP/R1BQKB1R b KQkq -,d7d5 c4d5 d8d5 f2f3 e7e5 e2e3 f7f5 e4f2 c8e6 e3e4,-40
4rk2/4pp2/R4bpp/3P4/4P3/B4PP1/5P2/6K1 b - -,f8g7 f3f4 f6d4 a6c6 f7f6 c6c7 g7f8 g1g2 h6h5 c7b7,250
2r2rk1/1p1bqppp/5n2/p3p3/Pb2P3/2NQB1PP/1P3PB1/R2R2K1 b - -,h7h6 d1c1 c8c6 d3d1 f8d8 c3d5 f6d5 e4d5 c6c1 a1c1,-19
r2q1rk1/pbppbppp/1pn1pn2/8/2PPP3/2N2PP1/PP2N1BP/R1BQ1RK1 b - -,a7a6 b2b3 b6b5 d4d5 e7c5 g1h1 c6e7 e4e5 f6e8 c3e4,126
8/4kpp1/p7/5p2/4q3/8/3K2P1/8 b - -,a7a6 b2b3 b6b5 d4d5 e7c5 g1h1 c6e7 e4e5 f6e8 c3e4,Mate
N3r3/p4kpp/Q1p2pb1/8/8/4bP2/PPPq2PP/R4K1R b - -,a7a6 b2b3 b6b5 d4d5 e7c5 g1h1 c6e7 e4e5 f6e8 c3e4,Mate
r3kbnr/ppp1qppp/2n5/4P3/3pPBb1/3P1N1P/PPP3P1/RN1QKB1R b KQkq -,g4f3 d1f3 e7c5 f1e2 g8e7 e1h1 e7g6 e5e6 f7e6 f4c7,42
3b4/p7/K2k1p2/P1p3p1/4Bp1p/2P2P1P/1P4P1/8 b - -,d6e5 e4g6 d8c7 g6d3 c7d8 d3e4 d8c7 a6b5 c7d8 b5c5,61
r3r1k1/pp3pp1/2pB2p1/5p1q/3P4/8/PPPQ1PKN/R3R3 b - -,g6g5 e1e8 a8e8 a1e1 f7f6 e1e8 h5e8 d2e3 e8d7 e3b3,507
r3k2r/1p3ppp/p1p2nb1/3p4/Nq2P1P1/nPN2P1P/2PQ2B1/2KR3R b kq -,a3b5 c3b1 b4d2 b1d2 e8h8 c1b2 b5c7 h3h4 b7b5 a4b6,-48
8/pr2r3/4p1pk/P1R1P3/2P3P1/1P6/2KR4/8 b - -,h6g5 a5a6 b7b8 d2d4 e7h7 c5b5 h7h2 c2c3 b8a8 c4c5,514
8/2p5/2Pp1k1p/3Pp1pP/4P1P1/8/3K1N2/5b2 b - -,,0
2rr2k1/R4pqp/2B1b1p1/1pP3Q1/1P1p3R/3P2P1/7P/6K1 b - -,g7f8 c6e4 d8d7 a7d7 e6d7 h4f4 f8e8 g5f6 h7h5 g1f2,169
rn3r1k/1b3p1p/p3pq1B/3p3Q/Pb6/3B4/1PP2PPP/R4RK1 b - -,f8e8 h6f4 h8g8 d3h7 g8f8 f4e5 f6e5 h5e5 f8e7 e5g5,517
r1b5/ppn3pQ/2pk1q1p/7R/2NPr1P1/P7/1P6/2K1R3 b - -,d6e7 h7e4 e7d8 g4g5 f6e6 c4e5 c7d5 g5h6 g7h6 e5c6,451
rnb2rk1/pp2ppbp/6p1/q1P5/8/2P2N2/P1PQBPPP/R1B2RK1 b - -,g7c3 d2h6 c3g7 h6h4 b8c6 c1d2 a5c5 a1b1 g7f6 h4a4,-98
