8/8/2k5/1p1B1p2/1P6/7p/8/7K b - -,b5a5 c3b2 f5g4 b2c2 g4h5 c2d2 a5b6 d2c3 h5d1 c3b4,Mate
r2q1rk1/pb2bppp/1p2pn2/2P5/2P2B2/5NP1/PPQ2PBP/R4RK1 b - -,b6c5 f1d1 d8c8 f3e5 b7g2 g1g2 c8b7 g2g1 a8c8 d1d2,51
rn1q1rk1/pp3pbp/3p1np1/2pP4/2N2Bb1/2N4P/PP2PPP1/R2QKB1R b KQ -,g4c8 c4d6 f6h5 f4h2 f7f5 d1d2 f5f4 d6c8 b8a6 e1a1,159
8/5k1R/3r3p/6p1/3p2P1/3K4/5P2/8 b - -,f7e6 h7h6 e6e5 h6d6 e5f4 d6d4 f4f3 d4a4 f3f2 d3e4,1454
r2r2k1/pp1n1ppp/3b1n2/3p4/1p6/1P1BPN2/PBR2PPP/5RK1 b - -,a8c8 f1c1 c8c2 c1c2 g7g6 h2h3 a7a6 g2g4 h7h5 g4g5,-37
r1b2RQ1/pp5p/4pk2/8/8/2q3P1/K1P2P1P/8 b - -,g7g6 f1c1 g8f8 g2g3 f8e7 h2h4 d7b6 c1d1 a7a5 c2d2,Mate
r1bq1rk1/1ppp1ppp/2n2n2/3Nb1B1/p3PP2/2P5/PP1NQ1PP/R3KB1R b KQ -,e5d6 g5f6 g7f6 e2h5 f6f5 f1d3 f7f6 e4e5 f6e5 d3f5,336
r7/8/8/8/3kb2R/8/1K6/8 b - -,,0
5rk1/pp3rp1/1p1P2qp/2p1P3/8/2P5/PP2Q1PP/3R1R1K b - -,g6e4 e2b5 f7f2 f1g1 f2e2 a2a4 e4e5 a4a5 e5h5 b5c4,83
rnq2rk1/4pp1p/p1p3p1/1PPp4/1P1P4/2NQP3/5PPP/RR4K1 b - -,c6b5 c3d5 a8a7 d5b6 c8c7 d4d5 c7e5 f2f4 e5f6 b1f1,368
8/5k1p/3n1p2/8/p4N2/3pKP2/P1r3PP/3R4 b - -,d3d2 e3d3 c2a2 d1d2 a2d2 d3d2 d6b5 d2d3 a4a3 d3c2,-4
1r3r2/pp1q1p1p/2np1kp1/2p1p3/2P1PP2/2QP2P1/PP2N2P/1R3RK1 b - -,f6e6 f4f5 e6f6 f5g6 f6g6 f1f2 f7f6 b1f1 f8f7 c3e1,127
6k1/1p1Q2pp/p1p4q/3pP3/4p3/1P4RP/1PP3PK/5r2 b - -,,0
8/8/4B3/7P/3K1k2/8/8/8 b - -,f4g5 e6f7 g5f6 f7g6 f6g7 d4e5 g7h6 e5f5 h6g7 f5e6,Mate
r7/4k1Pp/2P1p1p1/p3P3/P1pB2PK/2P5/8/8 b - -,e7f7 c6c7 h7h6 d4a7 a8c8 a7b6 f7g7 b6a5 g7f7 a5b6,-261
2r5/pp2k1p1/2n1pP1p/b6P/6P1/2B2N2/PP2KP2/3R4 b - -,g7f6 c3a5 c6a5 f3h4 c8c2 d1d2 c2d2 e2d2 a5c4 d2c3,2
r1b2rk1/p1q2p2/2p1pNp1/1p2P2p/2p2P1P/P3b1P1/1PQ1P1B1/R4R1K b - -,g8h8 c2c3 c7b6 a1d1 b5b4 a3b4 a7a5 b4b5 a8a7 b5c6,255
r2r2k1/ppp2pp1/7p/4pb2/1P5P/3B2R1/P2KN1P1/nN6 b - -,e5e4 e2f4 e4d3 b1c3 a1c2 f4d5 g8h8 g3f3 f5h7 f3f7,-753
8/2p5/8/p3pk2/5pP1/1N1K4/8/8 b - -,f5g4 b3a5 g4f3 d3d2 e5e4 d2e1 f3g2 a5c4 f4f3 c4e3,-532
8/1r2rk1p/p3p1p1/4R1P1/1p6/8/PPP4P/1K3R2 b - -,f7e8 b2b3 b7b6 f1f6 e8d7 e5a5 d7d6 a2a3 b4a3 b1a2,62
2rkb2R/1R3pp1/pP2p3/3pP1N1/P2P4/3K4/5r2/8 b - -,c8c1 g5f7 f2f7 b7f7 c1d1 d3c3 d1c1 c3d2 c1c4 d2d3,1019
r1bB1rk1/1ppp1ppp/2n5/3nb3/p3PP2/2P5/PP1NQ1PP/R3KB1R b KQ -,e5f4 e4d5 a4a3 b2a3 c6d8 e2e4 f4d6 e1d1 f7f5 e4c2,478
rnbqkb1r/1pp1pppp/p4n2/8/P1B5/4PN2/1P1P1PPP/RNBQK2R b KQkq -,c7c5 b1c3 e7e6 d2d4 f8e7 e1h1 b8c6 d4c5 d8d1 f1d1,19
8/8/8/8/8/kpK5/p7/B7 b - -,,0
r2qkbnr/pp3ppp/2n1p3/3pPb2/5P2/3BQN2/PPP3PP/RNB1K2R b KQkq -,g8h6 e1h1 d8b6 e3b6 a7b6 h2h3 f5d3 c2d3 f8c5 g1h2,-78
r1b1k2r/ppppqppp/2n2n2/4p3/1b2P3/2NP2P1/PPPN1P1P/R1BQKB1R b KQkq -,b4c3 b2c3 d7d5 e4d5 c8g4 f1e2 g4e2 d1e2 f6d5 c1b2,-22
r1bqk2r/pppp1ppp/1b6/3PN3/2B1n3/5P2/PP4PP/RNBQK2R b KQkq -,e4f2 d1e2 e8h8 h1f1 d7d6 f1f2 f8e8 c1f4 b6f2 e1f2,217
8/2p3k1/3b2p1/P2P4/2Q1K3/1r5P/8/8 b - -,b3h3 a5a6 h3a3 c4b5 g7h6 b5b7 h6g5 a6a7 d6c5 d5d6,386
r1b2rk1/1pq1ppbp/p1np1np1/8/2PNP3/2N1B2P/PP1QBPP1/R4RK1 b - -,c6d4 e3d4 c8e6 b2b3 c7a5 d2e3 f6d7 a1d1 g7d4 d1d4,80
r2qkb1r/pppnpppp/5n2/3p1bB1/2PP4/1Q6/PP1NPPPP/R3KBNR b KQkq -,d5c4 b3c4 g7g6 a1c1 c7c6 e2e3 d8b6 f1d3 f5d3 c4d3,-17
8/5k1p/3n1p2/8/p4N2/5P2/3K2PP/8 b - -,d6b5 d2d3 a4a3 d3c2 b5d4 c2b1 f6f5 h2h4 d4e6 f4e2,-6
2q2rk1/Q4ppp/B1bRpn2/2p5/4PB2/6P1/5P1P/6K1 b - -,c8b8 a7b8 f8b8 d6c6 b8a8 f2f3 h7h6 c6c8 a8c8 a6c8,435
8/8/8/5B2/5K2/7k/6N1/8 b - -,,0
2r1r1k1/8/p3p2p/2p1Npp1/2PQ4/P4PB1/2P3PP/1R4K1 b - -,c5d4 g1f1 c8c5 e5d7 c5c4 d7f6 g8f8 f6e8 f8e8 b1b4,367
r1b1k2r/ppp2ppp/2p2q2/8/4P1n1/2NPP3/PPPK2PP/R2Q1B1R b kq -,g4f2 d1f3 f2h1 f3f6 g7f6 f1e2 h1f2 h2h3 h8g8 e2f3,-288
r1bq1r2/1p2ppk1/p2p2p1/3N3n/4P1p1/5P2/PPPQ4/2KR1B1R b - -,e7e6 f3g4 e6d5 g4h5 g6g5 h5h6 g7h8 h1g1 g5g4 d2d4,154
r1b5/3q1pk1/2Np1rp1/p5P1/P3Pn2/2N1Q3/1PP2P1P/3R1RK1 b - -,d7g4 e3g3 f4h3 g1g2 f6f3 g3g4 c8g4 c3e2 a8h8 d1d5,80
1r6/8/8/8/3kb2R/K7/8/8 b - -,,0
8/2p5/8/p3p3/4Kpk1/1N6/8/8 b - -,a5a4 b3a1 f4f3 a1c2 f3f2 c2e3 g4g3 e3f5 g3g2 f5e3,-1021
rn3rk1/1q2pp1p/p1p3p1/1PPp4/1P1P4/2NQP2P/5PP1/RR4K1 b - -,a6b5 a1a8 b7a8 e3e4 e7e6 d3e3 b8d7 b1e1 f8d8 g2g4,53
3kb2R/1R3Np1/pP2p3/3pP3/P2P4/3K4/5r2/2r5 b - -,f2f7 b7f7 c1d1 d3c3 d1c1 c3d2 c1c4 d2d3 c4b4 a4a5,1087
q5k1/5p2/4P3/1p4p1/1Pp5/2b2NK1/8/8 b - -,f2f7 b7f7 c1d1 d3c3 d1c1 c3d2 c1c4 d2d3 c4b4 a4a5,Mate
rnbqkb1r/pp2pppp/1n1p4/8/P1P5/2N5/1P1P1PPP/R1BQKBNR b KQkq -,a7a5 g1f3 g7g6 d2d4 f8g7 f1e2 c8g4 c3b5 b8c6 e1h1,56
4k3/1r2r2p/p3pRp1/4R1P1/1p6/8/PPP4P/1K6 b - -,b7b6 b2b3 e8d7 e5a5 d7d6 b1b2 e7c7 f6f4 b6c6 f4f2,52
r3kb1r/pp1n1ppp/4pn2/2pP4/8/1Q1BPN2/PP3PPP/1qB2RK1 b kq -,b1a2 b3a2 f6d5 d3e4 d7b6 e4d5 e6d5 a2a5 f8e7 a5b5,542
r1b1k2r/1p2bp2/1Qp2qn1/p3p1pp/P1B1P3/2N5/1PPN1PPP/R3R1K1 b kq -,g6f8 c3d1 f8d7 b6e3 d7c5 e3c3 c5e6 c3b3 e6f4 b3b6,-61
8/8/8/5K2/p7/8/P1k5/8 b - -,g6f8 c3d1 f8d7 b6e3 d7c5 e3c3 c5e6 c3b3 e6f4 b3b6,Mate
8/8/4pp2/2k4P/P4P2/3q1PKN/8/8 b - -,c5d4 h3f2 d3f1 f2g4 f1g1 g3h4 g1h1 h4g3 f6f5 g4f2,-908
8/2p3k1/2Qb2p1/P2P4/2p1K3/1r5P/8/8 b - -,g6g5 a5a6 b3a3 c6b7 a3b3 b7a8 b3b1 a6a7 d6c5 a8b8,466
r1b1k2r/pp3p1p/3Np1pn/3pP1q1/3Q2P1/1B6/PP3P2/R4K1R b kq -,e8e7 d6e4 h6g4 d4b4 e7d8 e4g5 g4e5 b4d6 c8d7 d6e5,1317
rnbqkb1r/1pp2ppp/p3pn2/8/P1B5/1P2PN2/3P1PPP/RNBQK2R b KQkq -,b7b6 c1b2 f8b4 e1h1 c8b7 d2d4 e8h8 b1c3 c7c5 a1c1,11
r1b2r2/p1q2pk1/2p1pNp1/1p2P2p/2p1QP1P/P3b1P1/1P2P1B1/R4R1K b - -,c4c3 e4e3 c3b2 a1b1 f8d8 b1b2 c7b6 e3c1 a8b8 h1h2,369
8/1K4P1/8/2kn4/8/8/1p4p1/6R1 b - -,,0
rnbqkb1r/4pp1p/3p2p1/1NpP4/1pB1n3/5N2/PP2QPPP/R1B1K2R b KQkq -,f8g7 e2e4 e8h8 e1h1 b8d7 c1g5 f7f6 g5d2 d7b6 c4e2,216
7r/3rk3/p3p3/Pp1n1p2/1PpP3P/2R4B/3K4/6R1 b - -,d5c3 d2c3 h8h4 h3f1 e7f6 g1g2 h4d4 c3c2 d4d1 f1c4,-730
r3k2r/1pp2ppp/p1n1p3/3p4/P2PQ1b1/2P1PN2/1P2BPPP/R3K2R b KQkq -,d5e4 f3d2 g4e2 e1e2 f7f5 h2h4 e8f7 a4a5 a8d8 d2b3,84
r1bqkb1r/pp2pppp/1nnp4/P7/2P5/2N5/1P1P1PPP/R1BQKBNR b KQkq -,b6d7 d2d4 g7g6 d4d5 c6b4 g1f3 d7c5 a1a4 b4a6 a4a3,78
r1b1kb1r/ppqn1p1p/2n1p3/2ppP1p1/8/2PB1N1P/PP1PQPP1/RNB1R1K1 b kq -,a7a6 d3c2 h7h5 d2d4 g5g4 f3g5 c5d4 c1f4 g4h3 b1d2,-16
r2r2k1/p2qn1bp/1pn1p1p1/3pp3/1PP5/3PP1P1/2Q1NPBP/1RB2RK1 b - -,g8h8 h2h4 a8c8 c2a2 c8c7 c1a3 a7a6 f1c1 b6b5 e2c3,130
r4r2/pbq2pk1/2p1pNp1/1p2P2p/2p2P1P/P3Q1P1/1P2P1B1/R4R1K b - -,c6c5 f4f5 f8h8 f5e6 f7e6 g2b7 c7b7 h1h2 a8f8 f6e4,503
3q1r1k/2nnb1pp/8/3Pp1P1/1pB5/1P2B1N1/rP1Q3P/2KR3R b - -,e7d6 g3e4 d8e7 h1f1 f8f1 d1f1 a2a1 c1c2 a1f1 c4f1,243
8/8/8/8/3B1K1k/3B4/8/8 b - -,e7d6 g3e4 d8e7 h1f1 f8f1 d1f1 a2a1 c1c2 a1f1 c4f1,Mate
r1b2k1r/pp3p1p/3Np1pR/3pP3/5P2/1B3q2/PP3Q2/R4K2 b - -,f3e4 d6e4 d5e4 a1d1 b7b6 f2h4 c8a6 f1g1 g6g5 h4h5,1307
8/2p5/8/4p3/p3Kpk1/8/8/N7 b - -,f4f3 a1c2 f3f2 c2e3 g4g3 e3f1 g3g2 e4d5 a4a3 f1e3,-1245
q5k1/8/4p3/1p4N1/1Pp5/2b3K1/8/8 b - -,f4f3 a1c2 f3f2 c2e3 g4g3 e3f1 g3g2 e4d5 a4a3 f1e3,Mate
r1q2rk1/pb3ppp/1p2pn2/2b1B3/2P4N/6P1/PP1RQPBP/5RK1 b - -,c5e7 h4f3 c8c6 f1d1 a8d8 b2b3 d8d2 d1d2 a7a5 f3e1,15
1n6/1k6/8/Q1K5/8/8/8/8 b - -,c5b4 d2d3 b4e7 b2b3 b7g2 h4g2 c8b7 f1d1 a8d8 g2f4,Mate
8/8/8/8/kpK5/8/pB6/8 b - -,,0
8/8/4pp2/3k3P/P4P2/3q1PK1/5N2/8 b - -,d3f1 f2g4 f1g1 g3h4 d5d4 a4a5 g1h1 h4g3 f6f5 g4e5,-825
2krq3/4R3/1p2pQ2/p2p4/P2P4/2P3P1/1P3PK1/8 b - -,e8a4 e7e6 c8c7 e6b6 a4d7 b6a6 d8b8 a6a7 b8b7 f6a6,866
8/2p3k1/P1Qb2p1/3P4/8/r1pK3P/8/8 b - -,g7f6 c6b7 c3c2 d3c2 a3h3 a6a7 h3h2 c2d3 h2h3 d3c4,574
r3k2r/1pp2ppp/p1n1p3/8/P2Pp1b1/2P1P3/1P1NBPPP/R3K2R b KQkq -,g4e2 e1e2 f7f5 h2h4 e6e5 d4d5 c6e7 g2g4 f5g4 c3c4,72
2kr1r2/p2bq2p/2p3p1/N3p3/2p1Pn2/4QN1P/PPP3P1/2KR2R1 b - -,c4c3 a5c4 d7e6 f3e5 c3b2 c1b1 e6c4 e5c4 f4e6 c4a5,171
rqb1kb1r/pp1p1pp1/2n1p3/1N5p/4P1nP/2N1BQ2/PPP2PP1/2KR1B1R b kq -,c6e5 f3g3 g4e3 g3e3 a7a6 b5d4 e5g4 e3d2 g7g6 c1b1,-62
r1b2r1k/pp2b1pp/2n2p2/4p3/2B3P1/4BN1P/PPP2P2/2KRR3 b - -,f8e8 a2a4 g7g6 c2c3 h8g7 b2b4 e8d8 a4a5 c8d7 c1b2,82
8/1R4k1/4b1p1/2q1pp2/3pP3/3B1RPP/8/6K1 b - -,g7h6 g3g4 f5e4 d3e4 d4d3 g1h2 d3d2 b7b1 c5d4 e4c2,-474
8/8/2k1P3/3r4/4K3/8/8/3R4 b - -,g7f6 b7b5 c5c6 g3g4 e6c8 g4f5 g6f5 g1h2 f5f4 b5a5,Mate
r1bq1rk1/pp3pp1/4pb1p/4N3/3P4/2PB4/PPQ3PP/4RRK1 b - -,a7a6 d3h7 g8h8 f1f6 d8f6 e1f1 f6g5 f1f7 g5e3 g1f1,135
r3k2r/1pp2ppp/p1n1p3/8/P2Pp3/2P1P3/1P1NKPPP/R6R b kq -,f7f5 h1g1 g7g6 b2b4 e6e5 d4d5 c6e7 c3c4 e8f7 a4a5,82
r1bqkbnr/pp1p2pp/2n2p2/1Bp1p3/1P2P3/P4N2/2PP1PPP/RNBQK2R b KQkq -,d7d6 b5c4 g8e7 b1c3 a7a6 a1b1 b7b5 c4a2 c5c4 d2d3,83
8/5k1p/3n1p2/8/p4N2/3K1P2/r5PP/3R4 b - -,,0
r1b1kb1r/ppqn1p2/2n1p3/1BppP1Np/6p1/2P4P/PP1PQPP1/RNB1R1K1 b kq -,f8h6 h3h4 h6g5 h4g5 d7f8 d2d4 f8g6 b1a3 a7a6 b5c6,32
r3k2r/ppp3pp/5n2/3p1q2/8/2P5/PP1QNPPP/R4RK1 b kq -,e8h8 f2f3 a8e8 a1e1 f6d7 e2d4 f5g6 e1e8 f8e8 f1e1,13
4k1nQ/8/rpn3q1/p2pPp1p/3P3P/P7/1PP2PP1/R1B1K2R b KQ -,c6d4 e1f1 a6a8 h1h3 e8d7 e5e6 d4e6 h8e5 g8f6 h3g3,497
r1bqk2r/ppp2pbp/3p1np1/4p1B1/2P1P3/2N2Q2/PPP1NPPP/R3K2R b KQkq -,h7h6 g5h4 g6g5 h4g3 h6h5 a1d1 d8e7 h2h4 g5g4 f3d3,-16
r1bq1rk1/p3bp1p/4p2B/1p1pn3/2pQ4/2N5/PPP3PP/2KR1B1R b - -,e7g5 h6g5 d8g5 c1b1 b5b4 c3a4 e5g4 f1e2 g4e3 h2h4,-249
r1b1k2r/1p2bp2/1Qp2qn1/p3p1p1/P1B1P2p/8/1PPNNPPP/R3R1K1 b kq -,g5g4 a1d1 g6f8 e1f1 f8d7 b6e3 e7c5 e3c3 c5b4 c3e3,-103
r1b1k2r/ppqnbp2/2n1p3/1BppP1Np/6p1/2PP3P/PP2QPP1/RNB1R1K1 b kq -,g4h3 g5h3 d7f8 b5c6 c7c6 c1g5 f8g6 d3d4 c8d7 b1d2,36
2kr4/4R3/1p2Q3/p2p4/q2P4/2P3P1/1P3PK1/8 b - -,d8d7 e7f7 c8c7 e6e5 c7b7 e5e8 d7f7 e8a4 f7e7 a4b5,856
8/5k1p/5p2/5n2/p3KN2/5P2/r5PP/3R4 b - -,f5g7 d1d7 f7f8 d7a7 a4a3 e4d4 a2a1 d4c3 g7f5 a7h7,7
6k1/8/1Np3p1/2Bbb2p/1p4P1/1P4rP/P1P2K2/3R4 b - -,h5g4 b6d5 c6d5 d1d5 g4h3 d5e5 g3g2 f2f1 g2c2 f1g1,225
q5k1/8/4p3/1p2b1N1/1Pp5/8/5K2/8 b - -,h5g4 b6d5 c6d5 d1d5 g4h3 d5e5 g3g2 f2f1 g2c2 f1g1,Mate
r4rk1/pbqnppb1/3p1npp/2p5/P7/2PB1NB1/1PQN1PPP/R4RK1 b - -,f6h5 a1d1 e7e5 c3c4 d7b8 d2e4 b8c6 e4c3 c6d4 f3d4,-277
4rk1r/pp4pp/2p2q2/3p4/1n1Pn3/1BN1Q2P/PP3PP1/4RRK1 b - -,e4d6 e3d2 b4a6 e1e3 f6h6 d2e2 a6c7 e3e8 d6e8 f1e1,136
8/1R6/4bkp1/2q1pp2/3pP3/3B1RPP/6K1/8 b - -,c5c6 b7b5 e6c8 b5a5 c6b6 a5a2 c8b7 g3g4 f5f4 h3h4,-276
2r5/p4pk1/1p4p1/4PP2/PQ1Nn1P1/1P2K3/8/2r5 b - -,a7a5 b4e7 c1e1 e3f4 g6g5 f4f3 g7g8 e5e6 c8c3 f3g2,435
r1bR4/pp5Q/4pk2/8/8/2q3P1/K1P2P1P/8 b - -,,0
8/8/8/5k1B/7P/2K5/8/8 b - -,f5e4 h5g4 e4f4 g4e2 f4e5 c3d3 e5f5 e2h5 f5e5 h5d1,184
8/R5pk/8/5p1p/5P1P/p5P1/6K1/r7 b - -,h7h8 a7a6 h8h7 a6a7 h7g8 g2f3 g8f8 f3g2 g7g6 a7a6,-80
4k3/4n1p1/p2K1p1p/1p1p1P2/2p5/2P5/PPB3PP/8 b - -,h6h5 g2g3 e8f7 a2a3 f7e8 d6c7 e7g8 c2d1 h5h4 g3h4,134
r3k2r/2q1bpp1/pn2p3/4P3/2p4p/P4Q2/1PP1BPPP/R1B1K2R b KQkq -,a8b8 e1h1 e8h8 f3g4 f8c8 f2f4 b6d5 g1h1 g7g6 c2c3,72
r2q1rk1/pp5n/3p1b2/3P4/PP1BPp1p/2N2P1b/3QB1P1/2R2RK1 b - -,h3d7 e2b5 d7c8 f1f2 h7g5 c3e2 a7a6 b5d3 h4h3 g1h1,147
8/8/8/8/3K4/2Q5/k1p5/8 b - -,,0
3k4/4n1p1/p2K1p1p/1p1p1P2/2p5/P1P5/1PB3PP/8 b - -,h6h5 g2g3 d8e8 d6e6 e8d8 e6f7 d5d4 c3d4 e7d5 c2e4,183
r4rk1/2q1bpp1/pn2p3/4P3/2p1Q2p/P7/1PP1BPPP/R1B1K2R b KQ -,a8b8 e1h1 f8c8 a3a4 b6d7 f2f4 a6a5 g2g3 g7g6 g3h4,64
r2r2k1/ppp2pp1/7p/5b2/1P2pN1P/3B2R1/P2K2P1/nN6 b - -,e4d3 f4h5 g7g6 g3f3 a1c2 h5f6 g8g7 f6h5 g7f8 h5g3,-768
4k3/R3n2p/5p2/8/p3KN2/5P2/r5PP/8 b - -,a2a1 f4h5 e8f7 e4f4 a4a3 f4g4 a3a2 h5f4 f7e8 f4e2,5
r1b1k2r/p2qppbp/1pn3p1/1Bp5/3PP3/Q1P2N2/P4PPP/R1B1K2R b KQkq -,e8h8 d4d5 d7g4 e1h1 c6a5 f1e1 c8b7 c1g5 f7f6 g5d2,107
r1bqk2r/ppp1n1bp/3p2n1/3PppNB/2P2P2/2N5/PP4PP/R1BQK2R b KQkq -,e8h8 h5g6 h7g6 c1e3 c8d7 e1h1 g7f6 h2h4 e7c8 d1d2,90
2r5/p4pk1/1p2P1p1/2n2P2/PQ1N2P1/1P2K3/8/2r5 b - -,c8e8 b4d2 c1g1 b3b4 g1g3 d4f3 g6f5 g4f5 c5e6 f5e6,236
r2q1rk1/p1pnppb1/1p3np1/3p1b1p/P2P1B1P/1QP1P2N/1P1N1PP1/R3KB1R b KQ -,f8e8 d2f3 c7c6 h3g5 f6e4 g5e4 f5e4 f4g3 e7e5 f1e2,-48
1r2k2r/pp1bqpp1/4p1n1/3pP3/2pP2B1/P1P3P1/2P1Q1P1/1RB2RK1 b - -,d7c6 e2f3 b8c8 a3a4 c8c7 a4a5 e8d8 g4h5 d8c8 b1a1,92
rnb1kb1r/pp1p1ppp/2p2n2/4q3/2P1PP2/2N5/PP4PP/R1BQKBNR b KQkq -,e5e7 f1d3 d7d5 e4e5 d5c4 d3c4 f6d5 g1f3 d5c3 b2c3,98
r3k2r/1N2n1p1/pR2p3/1p2P1bp/8/7Q/PPP3PP/1K3B1R b kq -,h8f8 b7d6 e8d8 b6b7 a8a7 b7a7 e7c8 d6c8 f8f7 a7f7,1759
r4k1r/ppp1n2p/2nqN3/4p3/3b2Q1/2N5/P4PPP/R1B1R1K1 b - -,d6e6 g4e6 h8g8 c1h6 f8e8 c3e4 g8g6 e4f6 g6f6 e6f6,687
7r/3rk3/p3p3/Pp3p2/1PpP3P/2K4B/8/6R1 b - -,h8h4 h3f1 e7f6 g1g2 h4d4 c3c2 d4d1 f1c4 b5c4 g2h2,-764
4k3/R3n2p/5p2/8/5N2/p2K1P2/r5PP/8 b - -,,0
r2qk2r/ppp2ppp/2n1b3/2n5/2Q5/5N2/PP3PPP/RNB1R1K1 b kq -,d8e7 c4e2 e8a8 b1c3 h8e8 c1g5 f7f6 g5e3 c5d3 e1d1,-197
3q1r1k/2n1b1pp/3p4/2B1p1P1/1pB1P3/1P4N1/rP1Q3P/2KR3R b - -,d8c8 c5b4 c8b7 b4c3 d6d5 c4d5 b7a6 d5c4 c7b5 c4b5,294
8/8/2q1bkp1/1R2pp2/3pP3/3B1RPP/6K1/8 b - -,e6d7 b5d5 d7e6 d5b5 e6c8 b5b2 c6a8 g3g4 f5f4 b2b6,-325
r3kb1r/pp1n1ppp/4pn2/2p5/2BPq3/1Q2PN2/PP1B1PPP/1R3RK1 b kq -,a8d8 f3g5 e4c6 f2f4 h7h6 g5f3 a7a6 f4f5 b7b5 f5e6,174
8/4k1pp/2B5/1PN1np2/1p2p3/4B1P1/1bP1KP1P/3R4 b - -,b2a3 c5a6 a3b2 c6d5 e5d7 b5b6 d7b6 e3b6 h7h5 d5c4,879
rnbqk2r/ppp1bppp/8/3np3/3P4/2N1P3/PP2NPPP/R1BQKB1R b KQkq -,e8h8 c3d5 d8d5 e2c3 d5d6 f1c4 e5d4 e3d4 b8c6 c1e3,-11
r1b1k2r/1p2bp2/1Qp2qn1/p3p1p1/P1B1P2p/1NN5/1PP2PPP/R3R1K1 b kq -,g6f4 b3d2 e7d6 c3d1 f6e7 d1e3 g5g4 d2b3 d6b8 b6c5,-129
2r3k1/7p/1p1p2p1/3P1p2/4p3/1Pr1P3/P1BK2PP/2R5 b - -,f5f4 e3f4 e4e3 d2d1 e3e2 d1e2 c3c2 c1c2 c8c2 e2d3,-618
r1bq1rk1/pp1nppbp/2p3p1/3p4/3P1N2/2N1P3/PPPQ1PPP/2KR1B1R b - -,e7e5 d4e5 d7e5 h2h4 b7b5 h4h5 a8b8 c1b1 f8e8 f1e2,-195
6k1/8/6p1/6p1/4P3/3B2P1/Pbr2P1P/6K1 b - -,c2d2 d3c4 g8g7 g1f1 b2d4 c4e2 d2a2 h2h3 d4e5 e2f3,-372
rn1qkbnr/1pp2ppp/4p3/1p1pP3/1P1P4/2P5/P3QPPP/RNB1K1NR b KQkq -,b7b6 b1a3 c7c6 a3c2 b8d7 h2h4 d8c7 g1f3 h7h5 e1h1,86
r3k2r/pp1nbppp/4pn2/2p5/2BPq3/1Q2PN2/PP1B1PPP/1RR3K1 b kq -,b7b6 d4c5 b6c5 c4d3 e4d5 b3c2 e8h8 e3e4 d5h5 d2f4,132
4k3/4n1p1/p2K1p1p/1p1p1P1P/2p3P1/P1P5/1PB5/8 b - -,e8f7 c2d1 f7e8 a3a4 e8d8 a4b5 a6b5 d6c5 d8c7 d1f3,294
r1b2r1k/p3b1pp/1pn2p2/4p3/2B3P1/2P1BN1P/PP3P2/2KRR3 b - -,c6d8 c4d5 a8b8 f3h4 d8f7 f2f4 c8b7 h4f5 b7d5 d1d5,98
r1b1kn1r/ppq1bp2/2n1p3/1BppP1N1/6Q1/2PP4/PP3PP1/RNB1R1K1 b kq -,f7f5 e5f6 e7f6 f2f4 c8d7 g4f5 f6g5 f5g5,37
r2qkb1r/pp3ppp/2n1pnb1/1B1p4/3P4/2N1B2P/PPPQNPP1/R3K2R b KQkq -,a8c8 e1h1 a7a6 b5d3 c6a5 b2b3 a5c6 e2f4 f8b4 a2a3,-65
rnbq1rk1/pp3ppp/2p1pn2/3p4/1bPP4/1PN2NP1/P2BPPBP/R2QK2R b KQ -,b8d7 e1h1 d8e7 d1c2 a7a5 d2f4 b7b6 a2a3 b4a3 e2e4,29
rnb1kb1r/pp1pqppp/2p2n2/4P3/2P2P2/2N5/PP4PP/R1BQKBNR b KQkq -,d7d6 g1f3 d6e5 f4e5 c8g4 f1e2 f6d7 c1g5 e7e6 f3d4,42
r1bR3Q/pp5p/4pk2/8/8/2q3P1/K1P2P1P/8 b - -,d7d6 g1f3 d6e5 f4e5 c8g4 f1e2 f6d7 c1g5 e7e6 f3d4,Mate
4R3/2p3pp/4pp2/8/2KPk3/6PP/4n3/8 b - -,h7h5 e8e6 e4f3 e6e7 g7g5 g3g4 h5g4 h3g4 e2g3 e7c7,101
r1b2rk1/1pq1ppbp/p2p1np1/8/2PBP3/2N4P/PP1QBPP1/R4RK1 b - -,c8d7 f1d1 d7c6 d2e3 c7b8 a2a4 a6a5 c3d5 c6d5 c4d5,73
5rk1/pp1bb1r1/3p3N/3Pp3/1P2P1qp/P2B2N1/6PP/3RR1K1 b - -,g8h8 h6g4 h4g3 g4e3 g3h2 g1h1 e7g5 e3c4 f8f6 d1a1,-71
r2qkb1r/pppn1ppp/4pn2/3p1bB1/2PP4/1Q2P3/PP1N1PPP/R3KBNR b KQkq -,d5c4 f1c4 d7b6 e3e4 f5g6 e4e5 b6c4 d2c4 d8d5 e5f6,24
rn3rk1/1q2pp1p/2p3p1/1pPp4/1P1PP3/2NQ3P/5PP1/RR4K1 b - -,e7e6 a1a8 b7a8 g2g4 b8d7 d3e3 d7f6 e4e5 f6e4 c3e4,47
4k3/R6p/5pn1/3N4/8/p2K1P2/r5PP/8 b - -,a2g2 d5f6 e8d8 a7a3 g2h2 d3d4 h7h5 a3a6 h2d2 d4e3,2
