6B1/8/1q6/8/1k6/8/1B6/1K6 b - -,f7h5 g4c4 b5b8 f2f5 h7h6 b4b5 h5e8 c4a4 g5d8 f5e5,Mate
r4rk1/pp4pp/3pp1qN/4n3/4PP2/2PP2P1/P5Q1/RN3RK1 b - -,g6h6 f4e5 f8f1 g2f1 h6e3 f1f2 e3c1 f2f1 c1b2 b1d2,-20
2r4k/6p1/p6p/1p6/1P1Q4/P3qP2/6PP/3R1K2 b - -,c8c3 d4e3 c3e3 d1a1 h8h7 f1f2 e3c3 f2g3 g7g5 h2h4,14
4knbR/8/1p4P1/pP1pPp2/P2P1P2/5K2/8/8 b - -,f8e6 h8g8 e8d7 f3e3 d7c7 g8e8 c7d7 e8b8 d7c7 b8g8,9605
r2q1rk1/pp3ppp/3b1n2/1Q1p4/8/8/PPP2PPP/R1B1R1K1 b - -,d8c7 g2g3 c7c2 c1g5 f6g4 g5e3 g4e3 a1c1 c2g6 e1e3,-475
r2q1r2/p4pk1/1p2pbp1/2p5/2PpP3/3B1P1P/PP2Q1P1/R3R2K b - -,f6e5 f3f4 e5f4 e2g4 d8g5 g4g5 f4g5 g2g3 f8h8 h1g2,-254
8/8/8/8/1P2kp2/6pK/8/8 b - -,e6e5 g2g3 f6g5 h1g2 g5e3 e1h1 d8f6 h1h2 f8g8 h3h4,Mate
rn2kbnr/ppp2ppp/2q1p3/8/2NP2b1/5N2/PPPBBPPP/R2QK2R b KQkq -,g4h5 c4e5 c6d6 f3g5 h5g6 d2f4 d6d8 e2h5 g8h6 e1h1,208
r1bqk2r/pp3ppp/2n5/1Nbp1n2/1P1p4/5NP1/P3PPBP/R1BQ1RK1 b kq -,c6b4 f3d4 e8h8 d4b3 c5b6 c1a3 a7a5 b5c3 d5d4 a3b4,-6
rnbqk2r/pp2ppbp/2p2p2/8/3P4/6P1/PPP2PBP/R1BQK1NR b KQkq -,e8h8 g1f3 e7e5 e1h1 c8g4 h2h3 g4h5 d4e5 f6e5 d1e1,77
rn2kb1r/pp3ppp/2p1pn2/q6b/2B4P/2NP1P2/PPPBN1P1/R2QK2R b KQkq -,b8d7 c3d5 a5d8 d5f6 d8f6 d2c3 e6e5 d1d2 h7h6 e1a1,116
r2qr1k1/1b2npp1/pbpp1n1p/1p1Pp3/P1P1P3/5N1P/1PBN1PP1/R1BQR1K1 b - -,b5c4 d5c6 e7c6 d2c4 b6c7 c2b1 a6a5 b2b3 c6b4 c1b2,-59
8/6pk/3N4/8/R6p/8/1PP2b2/1K6 b - -,f2e1 a4e4 e1f2 e4g4 h4h3 d6e4 f2a7 g4g3 h3h2 g3h3,597
