r1bqkb1r/ppp1pppp/2n2n2/8/8/2N2B2/PPPP1PPP/R1BQK1NR b KQkq -,c6d4 c3e2 d4f3 g1f3 b7b6 c2c4 c8b7 d1b3 e7e6 d2d4,-68
rn2kbnr/pp2pppp/2p5/3q1b2/2PPN3/5P2/PP4PP/R1BQKBNR b KQkq -,f5e4 c4d5 e4d5 f1d3 e7e6 g1e2 f8d6 d1c2 g8e7 e1h1,740
rnbqk2r/ppp2ppp/4p3/3p4/2PPnB2/2P2N2/P1Q1PPPP/R3KB1R b KQkq -,e8h8 e2e3 g7g5 f4g3 f7f5 f1d3 b8c6 e1h1 a7a5 a1e1,118
rnbqkbnr/ppp1ppp1/3p3p/8/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq -,c7c6 d2d4 d6d5 b1c3 d5e4 c3e4 c8g4 f1d3 e7e6 c1e3,79
8/8/2k5/8/8/2K1N3/8/6B1 b - -,c6b5 c3d4 b5b6 g1h2 b6a7 h2e5 a7b6 d4d5 b6b7 d5c5,7427
r1bq1rk1/ppp1bppp/2n1pn2/3p2B1/2PP4/2N2NP1/PP2PPBP/R2QK2R b KQ -,d5c4 e1h1 a8b8 e2e4 b7b5 a2a3 c6a5 d1e2 a5b3 a1d1,-48
8/8/k2B4/N7/1K6/8/8/8 b - -,a6b6 d6f4 b6a6 f4c7 a6a7 b4b5 a7a8 c7d6 a8a7 d6c5,7390
8/3k4/8/1KB5/2N5/8/8/8 b - -,d7e6 b5c6 e6f5 c6d5 f5f4 c4e5 f4g3 d5e4 g3g2 e5d3,6992
8/2k5/8/NKB5/8/8/8/8 b - -,c7d7 b5c4 d7e6 c4d4 e6f6 c5d6 f6e6 d6e5 e6f5 a5c4,7621
5k2/5r2/3K4/8/6Q1/8/8/8 b - -,c7d7 b5c4 d7e6 c4d4 e6f6 c5d6 f6e6 d6e5 e6f5 a5c4,Mate
r1bqk2r/ppppbppp/2n1n3/3BP3/3P4/2N2N2/PP3PPP/R1BQK2R b KQkq -,e8h8 d5e4 e6g5 f3g5 e7g5 f2f4 g5h4 g2g3 h4e7 d4d5,294
rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/1PPP4/P1N1PN2/5PPP/R1BQKB1R b KQkq -,f8d6 c4c5 d6c7 f1d3 b8d7 e1h1 f5g4 h2h3 g4h5 d3e2,-7
rnbqkbnr/pp3ppp/4p3/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,g8f6 c4c5 b7b6 b2b4 f8e7 f1d3 a7a5 c1f4 e8h8 a2a3,122
8/8/8/8/1K2k3/8/3Q4/8 b - -,g8f6 c4c5 b7b6 b2b4 f8e7 f1d3 a7a5 c1f4 e8h8 a2a3,Mate
r1bqkb1r/pppp1pp1/2n2n2/4p2p/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,f8b4 e1h1 b4e7 a2a4 d7d6 f3g5 e8h8 h2h3 c6d4 c3e2,187
r1b1kb1r/ppp1nppp/2n5/1B1qp3/2P5/5N2/PP1P1PPP/RNBQ1RK1 b kq -,d5c5 b2b4 c5d6 c4c5 d6f6 d2d4 c8g4 d4e5 f6g6 f1e1,117
r1bqkbnr/ppp2ppp/8/3p4/3QP3/2N5/PPP2PPP/R1B1KB1R b KQkq -,c8e6 e4d5 g8f6 c1g5 f8e7 e1a1 e6d7 f1d3 e8h8 h1e1,216
r1bqkbnr/ppp2ppp/8/8/4Q3/2N5/PPP2PPP/R1B1KB1R b KQkq -,c8e6 e4b7 f8d6 f1b5 e8f8 e1h1 h7h6 f1e1 g8f6 a2a4,266
8/8/8/7R/4k3/8/8/4K3 b - -,c8e6 e4b7 f8d6 f1b5 e8f8 e1h1 h7h6 f1e1 g8f6 a2a4,Mate
