FEN Position,Line of Moves,Evaluation Score
8/6K1/8/8/8/2Q5/3p4/2k5 b - -,a2a4 g8f6 g1h3 g7g6 b1c3 f8g7 e2e4 f5e4 h3g5 e8h8,Mate
rnbqk1nr/pp3ppp/4p3/2ppP3/1b1P4/P1N5/1PP2PPP/R1BQKBNR b KQkq -,a7a6 a3b4 c5d4 c3b5 a6b5 a1a8 b8c6 d1g4 g7g6 g1f3,912
8/6K1/8/8/8/2Q5/3p4/3k4 w - -,h7h6 a3b4 c5d4 c3b5 b8c6 b5d6 e8f8 c1f4 c6b4 g1f3,Mate
rn1qkb1r/pp3ppp/2p1pn2/3p4/2PP1Bb1/1Q2PN2/PP3PPP/RN2KB1R b KQkq -,g4f3 b3b7 f3g2 f1g2 b8d7 e1h1 d8c8 b7c8 a8c8 f1c1,116
r1b2rk1/ppp2ppp/2p5/8/7q/3PK2P/PPP3P1/RNBQ1B1R b - -,f8d8 a2a4 b7b5 e3e2 h4h5 g2g4 c8g4 h3g4 h5h1 e2d2,451
8/8/5K2/8/8/2Q5/3pk3/8 w - -,f8d8 a2a4 b7b5 e3e2 h4h5 g2g4 c8g4 h3g4 h5h1 e2d2,Mate
rnbqkb1r/ppp1pppp/5n2/3P4/8/2N5/PP1PPPPP/R1BQKBNR b KQkq -,c7c5 e2e4 e7e6 f1b5 c8d7 d5e6 f7e6 d1b3 d8b6 g1f3,225
rnbqkb1r/ppp1pppp/8/3n4/8/2N5/PP1PPPPP/R1BQKBNR w KQkq -,g1f3 c7c5 d2d4 d5c3 b2c3 g7g6 e2e4 f8g7 a1b1 e8h8,54
r1bqk2r/ppp2pp1/1bnp1n1p/4p3/2B1P3/2NPBN2/PPPQ1PPP/R3K2R w KQkq -,c3d5 e8h8 a2a4 f6d5 c4d5 b6e3 f2e3 c6b8 a4a5 c7c6,13
8/8/5K2/8/8/8/2Qp4/4k3 w - -,a2a3 e8h8 h2h3 c8e6 e1h1 b6e3 d2e3 e6c4 d3c4 a7a5,Mate
rnbqk1nr/pp3ppp/4p3/b1PpP3/8/P1N5/1PP2PPP/R1BQKBNR b KQkq -,b8c6 b2b4 a5c7 f2f4 f7f6 g1f3 f6e5 f4e5 a7a6 f1d3,210
rnbqkb1r/ppp1pppp/8/3n4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq -,g7g6 g1f3 d5c3 b2c3 c7c5 e2e3 f8g7 f1b5 c8d7 b5e2,44
rn2kbnr/pp1qpppp/8/3p4/8/5N2/PPPP1PPP/RNBQ1RK1 b kq -,b8c6 d2d4 e7e6 f1e1 g8e7 c1f4 e7g6 f4g3 f8d6 b1c3,-16
rnbqk1nr/pp3ppp/4p3/2PpP3/8/P1P5/2P2PPP/R1BQKBNR b KQkq -,h7h6 d1g4 e8f8 g1f3 g8e7 a3a4 d8c7 f1d3 b7b6 e1h1,145
r2qkbnr/pp1n1ppp/3p4/2p1p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,d2d3 g8e7 b1c3 g7g6 f3d2 f8g7 d2c4 d7b6 f2f4 b6c4,98
8/8/5K2/8/8/4Q3/3p4/4k3 b - -,h2h3 f8e7 c2c4 d7b8 a2a3 g8f6 b1c3 a7a5 f3e1 e8h8,Mate
rn2kb1r/pp3ppp/1qp1pn2/3p4/2PP1Bb1/1Q2PN2/PP3PPP/RN2KB1R w KQkq -,c4c5 b6b3 a2b3 g4f3 g2f3 f6h5 f4g3 h5g3 h2g3 e6e5,76
r2qkb1r/pp2pppp/2b4n/2ppP3/5P2/5N2/PPPP2PP/RNBQK2R w KQkq -,e5e6 f7e6 d2d3 g7g6 e1h1 f8g7 b1d2 c5c4 d1e2 h6f5,-102
r1b1kbnr/pp3ppp/1qn1p3/3pP3/3p4/1PP2N2/P4PPP/RNBQKB1R w KQkq -,c1b2 d4c3 b1c3 c8d7 f1e2 f7f6 e5f6 g8f6 e1h1 f8d6,-139
r1bqkb1r/pppnpppp/5n2/3P4/2B5/2N2P2/PPPP2PP/R1BQK1NR w KQkq -,b2b3 d7b6 c1b2 b6d5 d1e2 c7c6 e1a1 e7e6 g2g4 c8d7,40
rnbqkb1r/pp1p1ppp/4pn2/2P5/2P5/8/PP2PPPP/RNBQKBNR w KQkq -,c1e3 d8a5 b1d2 f8c5 e3c5 a5c5 e2e3 e8h8 g1f3 b7b6,20
r2qkb1r/pp1nppp1/2p2n1p/7P/3P1B2/3Q1NN1/PPP2PP1/R3K2R b KQkq -,a7a5 e1a1 e7e6 c1b1 f8e7 g3e4 f6e4 d3e4 d7f6 e4d3,80
rnbqkb1r/pp1p1ppp/4pn2/2P5/1PP5/8/P3PPPP/RNBQKBNR b KQkq -,a7a5 b4b5 f8c5 c1b2 d7d6 e2e3 e6e5 b1c3 b8d7 g1f3,-73
rn2kb1r/pp3ppp/1qp1pn2/2Pp4/3P1Bb1/1Q2PN2/PP3PPP/RN2KB1R b KQkq -,e6e5 c5b6 e5f4 b6a7 a8a7 b3b6 a7a4 b2b3 a4b4 b6c7,875
rnb1k1nr/ppq2ppp/4p3/2PpP3/8/P1P5/2P2PPP/R1BQKBNR w KQkq -,g1f3 b8d7 c3c4 g8e7 c4d5 e6d5 f1d3 d7e5 e1h1 e5d3,33
rnbqkbnr/ppp2ppp/4p3/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq -,e2e4 c7c5 d4d5 g8f6 f1c4 e6d5 c3d5 f6d5 c4d5 f8e7,75
rnbqkb1r/pp1p1ppp/5n2/2p1p3/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R b KQkq -,d8c7 c3b5 c7c6 f3e5 c6e4 d1e2 b8a6 d2d3 e4e2 f1e2,99
8/8/5K2/8/8/4Q3/3p4/3k4 w - -,d8c7 c3b5 c7c6 f3e5 c6e4 d1e2 b8a6 d2d3 e4e2 f1e2,Mate
rnbqk1nr/pp2ppbp/6p1/3p4/2BP4/5N2/PPP2PPP/RNBQ1RK1 w kq -,c4d5 d8d5 b1c3 d5d8 f1e1 g8f6 d4d5 e8h8 c1f4 b8d7,-355
rnbqkb1r/1p1p1ppp/4pn2/p1P5/1PP5/8/P3PPPP/RNBQKBNR w KQkq -,d1a4 b8a6 e2e3 a5b4 g1f3 f8c5 f1e2 e8h8 a2a3 d7d6,-181
r1bqkb1r/pp1p1ppp/2n2n2/2p1p3/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq -,d2d3 a7a6 f1e2 f8e7 e1h1 e8h8 f3e1 d7d6 e1c2 c6d4,8
8/2K5/8/2N2B2/8/8/8/2k5 b - -,c1b2 c5a6 b2b3 c7d6 b3a2 a6b8 a2b2 f5c8 b2a1 d6c5,7390
8/8/8/4K3/8/4Q3/2kp4/8 w - -,c1b2 c5a6 b2b3 c7d6 b3a2 a6b8 a2b2 f5c8 b2a1 d6c5,Mate
r1b1kbnr/pp3ppp/1qn1p3/3pP3/3p4/1PPB1N2/P4PPP/RNBQK2R b KQkq -,d4c3 b1c3 g8e7 e1h1 e7g6 c1b2 c8d7 c3a4 b6d8 g2g3,-110
r1bqkb1r/pp3ppp/2np1n2/2p1p3/2P1P3/2N2N2/PP1PBPPP/R1BQK2R w KQkq -,d2d3 f8e7 a2a3 e8h8 e1h1 f6e8 c3d5 a7a5 c1e3 e8f6,7
8/8/8/4K3/8/8/2kpQ3/8 b - -,a2a4 f8e7 d2d3 h7h6 e1h1 e8h8 c1d2 c8d7 c3d5 a7a5,Mate
8/8/8/4K3/8/8/3pQ3/2k5 w - -,a2a4 f8e7 d2d3 h7h6 e1h1 e8h8 c1d2 c8d7 c3d5 a7a5,Mate
rnbqkbnr/ppp2ppp/4p3/8/2pPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,f8e7 f1c4 c7c5 d4d5 g8f6 c1f4 e6d5 e4d5 e7d6 d1e2,149
r2qkb1r/pp3ppp/2np1n2/2p1p3/2P1P1b1/2NP1N2/PP2BPPP/R1BQK2R w KQkq -,f3g5 g4e2 d1e2 h7h6 g5f3 f8e7 e1h1 d8d7 h2h3 e8h8,40
r1bqk2r/pppp1pp1/1bn2n1p/4p3/2B1P3/2NPBN2/PPP2PPP/R2Q1RK1 b kq -,b6a5 c3d5 d7d6 c2c3 f6d5 c4d5 e8h8 a2a4 c6e7 d5b3,56
rnbqkb1r/pp1ppppp/5n2/2p5/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,f4e3 d7d5 c2c3 b8c6 g1f3 c5d4 c3d4 d8b6 b1c3 b6b2,-109
8/8/8/4K3/2Q5/8/3p4/1k6 w - -,f4e3 d7d5 c2c3 b8c6 g1f3 c5d4 c3d4 d8b6 b1c3 b6b2,Mate
r1bqk2r/pp1n1ppp/2p1pn2/8/PbpP4/2N1PN2/1P2BPPP/R1BQK2R w KQkq -,e1h1 e8h8 e2c4 d8e7 d1c2 h7h6 h2h3 b7b6 e3e4 c8b7,60
r2qkb1r/pp3ppp/2np1n2/2p1p3/2P1P3/2NP1b2/PP2BPPP/R1BQ1RK1 w kq -,a1b1 f3e2 d1e2 f8e7 f2f4 a7a6 a2a4 e8h8 f4f5 h7h6,-452
3K4/3P1k2/8/8/8/8/2r5/4R3 w - -,a1b1 f3e2 d1e2 f8e7 f2f4 a7a6 a2a4 e8h8 f4f5 h7h6,Mate
8/8/8/4K3/8/3Q4/3p4/2k5 w - -,a1b1 f3e2 d1e2 f8e7 f2f4 a7a6 a2a4 e8h8 f4f5 h7h6,Mate
8/8/8/4K3/8/2Q5/3p4/2k5 b - -,a1b1 f3e2 d1e2 f8e7 f2f4 a7a6 a2a4 e8h8 f4f5 h7h6,Mate
r2qkb1r/pp3ppp/2np1n2/2p1p3/2P1P1b1/2NP1N2/PP2BPPP/R1BQ1RK1 b kq -,h7h6 f3e1 g4d7 g1h1 f8e7 f2f4 a7a6 a2a4 a8b8 b2b3,59
r3kb1r/pp1nppp1/2p2n1p/q6P/3P1B2/3Q1NN1/PPP2PP1/R3K2R w KQkq -,f4d2 a5c7 e1a1 e7e6 g3e4 a7a6 f3e5 f6e4 d3e4 d7e5,41
8/8/8/4K3/8/2Q5/3p4/3k4 w - -,d3c3 a5c3 b2c3 c6c5 e1e2 a8c8 h1b1 b7b6 a2a4 e7e6,Mate
8/8/8/8/3K4/2Q5/3pk3/8 w - -,d3c3 a5c3 b2c3 c6c5 e1e2 a8c8 h1b1 b7b6 a2a4 e7e6,Mate
r1b1kb1r/pp1ppp1p/5np1/q3N3/7Q/8/PPP2PPP/RNB1KB1R w KQkq -,c1d2 a5e5 f1e2 e5b2 d2c3 b2c2 h4d4 f8g7 b1a3 c2f5,-263
8/8/8/2N2B2/1K6/8/1k6/8 b - -,c1d2 a5e5 f1e2 e5b2 d2c3 b2c2 h4d4 f8g7 b1a3 c2f5,Mate
rnbqkb1r/ppp2ppp/3ppn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,g2g3 f8e7 f1g2 e8h8 e1h1 a7a5 b1c3 d6d5 b2b3 f6e4,74
r1b1kbnr/pp3ppp/1qn1p3/3pP3/3N4/1PP5/P4PPP/RNBQKB1R b KQkq -,c6e5 c1e3 a7a6 f2f4 e5g6 g2g3 g8f6 f1g2 b6c7 e1h1,-285
r1bq1rk1/bpp2ppp/p1np1n2/4p3/4P3/1BPP1N1P/PP1N1PP1/R1BQ1RK1 b - -,c6e7 f1e1 e7g6 d2f1 b7b5 a2a4 h7h6 f1g3 c8d7 d3d4,44
r3kb1r/pp1nppp1/2p2n1p/q6P/3P4/3Q1NN1/PPPB1PP1/R3K2R b KQkq -,a5b6 e1a1 e7e6 h1e1 f8b4 c2c3 b4e7 f3e5 d7e5 d4e5,85
r1b1kbnr/pp3ppp/1qn1p3/3pP3/3P4/1P3N2/P4PPP/RNBQKB1R b KQkq -,f8b4 c1d2 c6d4 f1b5 d4b5 d2b4 a7a5 b4d2 b5d4 e1h1,-143
r3kb1r/ppqnppp1/2p2n1p/7P/3P4/3Q1NN1/PPPB1PP1/R3K2R w KQkq -,g3e4 e7e6 e1a1 a7a6 c2c4 e8a8 g2g3 f8e7 d2f4 c7a5,54
4k3/7R/8/4PK2/8/8/8/r7 b - -,,0
rnbqkb1r/pp1p1ppp/5n2/2p1p3/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq -,g1e2 b8c6 g2g3 a7a6 d2d3 b7b5 b2b3 d7d6 f1g2 a8b8,37
r1bqkb1r/ppp1pppp/1n3n2/3P4/2BP4/2N2P2/PPP3PP/R1BQK1NR w KQkq -,c4b3 a7a5 a2a3 b6d5 c3d5 f6d5 c2c4 d5f6 g1e2 c7c6,73
7K/8/1Q6/8/8/8/1pk5/8 w - -,c4d3 g7g6 h2h4 f8g7 g1e2 a7a5 a2a3 a5a4 c1g5 f6d5,Mate
rnbqk2r/ppp1ppb1/3p1npp/8/2PPP2B/2N5/PP3PPP/R2QKBNR b KQkq -,b8d7 f2f4 c7c5 e4e5 f6h5 c3d5 h5f4 d5f4 d6e5 d4e5,44
r1bqkbnr/pp1ppppp/2n5/2p5/1P2P3/P7/2PP1PPP/RNBQKBNR b KQkq -,g8f6 b4b5 c6d4 c2c3 d4e6 e4e5 f6d5 d1b3 d5b6 a3a4,-73
4k3/7R/8/4PK2/8/8/8/r7 w - -,f5f6 a1e1 f6e6 e8f8 h7h8 f8g7 h8h3 e1e2 h3g3 g7f8,84
r1bqkb1r/pp3ppp/2np1n2/2p1p3/2P1P3/2NP1N2/PP2BPPP/R1BQK2R b KQkq -,,0
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP1BPPPP/R2QKBNR b KQkq -,e8e7 e2e3 e7e8 a2a3 b4c3 d2c3 b7b6 d1f3 d7d5 c4d5,157
rnbqk2r/pppp1pp1/4pn1p/8/1bPP4/2N5/PP1BPPPP/R2QKBNR w KQkq -,e2e3 e8h8 a2a3 b4c3 d2c3 f6e4 g1e2 b7b6 f2f3 e4c3,39
1k6/8/2K5/8/2P5/8/8/8 b - -,d1c2 c7c5 a2a3 b4c3 d2c3 c5d4 c3d4 e8h8 e2e3 b8c6,Mate
rnbqkb1r/p1pp1ppp/4pn2/1p6/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2 c8b7 e1h1 c7c5 a2a4 b5b4 c2c3 c5d4 c3d4 d7d5,31
rnbqkb1r/pppn1ppp/4p3/3pP3/6Q1/1P6/PBPP1PPP/RN2KBNR b KQkq -,h7h5 g4e2 c7c5 f2f4 b7b5 g1f3 b8c6 e2f2 b5b4 a2a4,-28
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq -,d8a5 d4b3 a5c7 c3d5 f6d5 e4d5 b8d7 c1e3 g7g6 e3d4,100
2k5/8/2K5/8/2P5/8/8/8 w - -,d8a5 d4b3 a5c7 c3d5 f6d5 e4d5 b8d7 c1e3 g7g6 e3d4,Mate
r1bqkb1r/ppp1pppp/5n2/3n4/3P4/1BN2P2/PPP3PP/R1BQK1NR w KQkq -,c3d5 f6d5 c2c4 d5f6 g1e2 e7e6 e2c3 f8e7 c1f4 c7c6,84
r1bqk2r/pppp1pp1/2n1pn1p/8/1bPP4/2N2N2/PP1BPPPP/R2QKB1R w KQkq -,d1c2 b4c3 d2c3 d7d5 e2e3 e8h8 a2a3 b7b6 c4d5 f6d5,89
r1bqkbnr/pp2pppp/2np4/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,d2d4 c5d4 f3d4 d8b6 c2c3 e7e6 e1h1 f8e7 c1e3 b6c7,38
r1bqkb1r/pp2nppp/2n1p3/2ppP3/3P4/N1P2N2/PP3PPP/R1BQKB1R b KQkq -,a7a6 a3c2 e7f5 f1d3 c5c4 d3e2 f8e7 e1h1 e8h8 b2b3,33
r1bqk2r/ppp2pp1/1bnp1n1p/4p3/2B1P3/2NPBN2/PPP2PPP/R2Q1RK1 w kq -,a2a4 e8h8 c3d5 f6d5 c4d5 c6e7 d5b3 e7g6 a4a5 b6e3,16
3r1r2/4k3/R2Q4/8/8/8/8/6K1 b - -,a2a3 e8h8 a3a4 c8e6 e3b6 a7b6 c4e6 f7e6 d3d4 e5d4,Mate
rnbqkbnr/pp1p1ppp/4p3/2p5/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -,d4d5 g8f6 b1c3 e6d5 g1e2 f8e7 g2g3 b8c6 c3d5 f6d5,64
5r2/4k3/R2r4/8/8/8/8/6K1 w - -,a2a3 d7d5 g1f3 g8f6 c2c4 d5c4 f1c4 a7a6 e1h1 b7b5,Mate
3k4/1K6/8/2P5/8/8/8/8 b - -,a2a3 d7d5 g1f3 g8f6 c2c4 d5c4 f1c4 a7a6 e1h1 b7b5,Mate
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N1P3/PP3PPP/R1BQKBNR w KQ -,d1c2 d7d5 a2a3 b4c3 c2c3 b7b6 g1f3 c8b7 b2b3 b8d7,21
rnbqkb1r/1p3ppp/p2p1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQK2R b KQkq -,b8d7 a2a4 f8e7 d1d3 e8h8 a4a5 h7h6 c1e3 b7b5 a5b6,72
3Q4/6k1/6B1/8/8/4K3/8/8 w - -,b8d7 a2a4 f8e7 d1d3 e8h8 a4a5 h7h6 c1e3 b7b5 a5b6,Mate
r1bqkb1r/pp3p1p/2np1np1/2p1p3/2P1P3/2NP1N2/PP2BPPP/R1BQK2R w KQkq -,e1h1 f8g7 f3e1 f6d7 f2f4 e5f4 c1f4 d7e5 d1d2 c8e6,19
r1b1k1nr/pppp1ppp/2n2q2/8/1bB1P3/2N2N2/PP3PPP/R1BQK2R w KQkq -,e1h1 b4c3 b2c3 g8e7 e4e5 c6e5 f3e5 f6e5 f1e1 e5f6,85
3Q1k2/8/6B1/8/8/4K3/8/8 b - -,d1c2 b4c3 b2c3 g8e7 e1h1 d7d6 c1g5 f6g6 g5h4 e8h8,Mate
8/1K1k4/2P5/8/8/8/8/8 b - -,d1c2 b4c3 b2c3 g8e7 e1h1 d7d6 c1g5 f6g6 g5h4 e8h8,Mate
r1bqkb1r/pp3p1p/2np1np1/2p1p3/2P1P3/2NP1N2/PP2BPPP/R1BQ1RK1 b kq -,a8b8 c1d2 f8g7 c3d5 h7h6 a2a3 e8h8 b2b4 b7b6 a1c1,62
r1bqk2r/pp3pbp/2np1np1/2p1p3/2P1P3/2NP1N2/PP2BPPP/R1BQ1RK1 w kq -,f3e1 f6d7 f2f4 e5f4 c1f4 d7e5 d1d2 e8h8 e1c2 c8e6,20
rnbqkbnr/ppp2ppp/4p3/3p4/3P1P2/8/PPP1P1PP/RNBQKBNR w KQkq -,b1d2 g8h6 e2e3 c7c5 d4c5 b8d7 g1f3 d7c5 f3d4 f8e7,-51
r1bqkbnr/pp3pp1/2npp2p/2p3N1/2B1P3/8/PPPP1PPP/RNBQ1RK1 w kq -,d2d4 h6g5 d4d5 e6d5 e4d5 c6e5 c4b5 c8d7 b5d7 e5d7,-659
3r1rk1/ppp1bppp/8/4N3/4n3/8/PPP2PPP/R1B1R1K1 w - -,e5d3 f7f5 f2f3 e7h4 g2g3 e4g3 h2g3 h4g3 e1e3 h7h5,297
r1b1k1nr/pp3ppp/1qn1p3/3pP3/1b1P4/1P3N2/P4PPP/RNBQKB1R w KQkq -,f3d2 b6d4 a2a3 b4d2 c1d2 d4a1 d2c3 a1a2 f1b5 a7a6,-712
r3kb1r/ppqnppp1/2p2n1p/7P/3P4/3Q1NN1/PPPB1PP1/2KR3R b kq -,d7b6 g3e4 e8a8 e4f6 g7f6 c1b1 e7e6 d3e2 h8g8 g2g3,130
2k5/p4p2/6r1/3p4/8/2P5/2PK1P1P/R4B1q w - -,a1e1 h1h2 d2e2 g6e6 e2d1 e6b6 d1e2 b6g6 c3c4 d5c4,-1282
4k3/8/8/8/8/1KP5/8/8 w - -,a1e1 h1h2 d2e2 g6e6 e2d1 e6b6 d1e2 b6g6 c3c4 d5c4,Mate
r1bqk2r/pppp1ppp/2n5/4P3/2B1n3/2P2N2/PPP3PP/R1BQK2R b KQkq -,c6e5 f3e5 d8h4 g2g3 e4g3 c4f7 e8f8 d1d4 h4d4 c3d4,263
3r1rk1/ppp1bppp/8/8/4n3/3N4/PPP2PPP/R1B1R1K1 b - -,e4c5 e1e7 f8e8 e7e8 d8e8 c1e3 c5d3 c2d3 e8d8 d3d4,676
2k5/p4p2/6r1/3p4/8/2P4B/2PK1P1P/R6q b - -,f7f5 a1h1 c8c7 h3f1 g6h6 h2h4 a7a5 h4h5 a5a4 f1e2,730
3r1rk1/ppp1b1pp/8/5p2/4n3/3N1P2/PPP3PP/R1B1R1K1 b - -,d8d4 f3e4 d4e4 c1f4 g7g5 f4e5 g8f7 d3f2 e4e1 a1e1,348
rnbqkbnr/pppp1ppp/4p3/8/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq -,b7b6 e3e4 c8b7 f1d3 c7c5 c2c3 b8c6 g1e2 f8d6 e1h1,25
r2q1rk1/1p1nbppp/p2pbn2/4p3/4P3/1NN1B3/PPPQBPPP/R4RK1 w - -,f2f4 d8c7 f4f5 e6c4 g2g4 d6d5 e4d5 e7b4 d5d6 c7c6,-24
rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq -,g1h3 d5e4 c2c3 c7c5 d4c5 f8c5 d1a4 c8d7 a4c4 c5b6,-99
3r1rk1/ppp3pp/8/2b2p2/4n3/3N1P2/PPP3PP/R1B1R1K1 w - -,e1e3 f5f4 g1f1 f4e3 f1e2 d8d3 e2d3 e4f6 d3e2 f6d5,-667
r1bqk2r/pppp1Npp/2n2n2/4p3/2B1P3/8/PPPP1bPP/RNBQK2R w KQkq -,e1e2 c6d4 e2f1 d8e7 f7h8 d7d5 c4e2 e7f8 c2c3 f6g4,-207
r3kb1r/ppqn1pp1/2p1pn1p/7P/3P4/3Q1NN1/PPPB1PP1/2KR3R w kq -,g3e4 a7a6 f3e5 f6e4 d3e4 d7e5 d4e5 e8a8 d2c3 f8e7,49
rnbqk2r/ppp1bppp/8/3p4/3Pn3/3B1N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 b8c6 b1d2 e4d6 c2c3 c8f5 d2b3 e8h8 c1f4 f5d3,67
r1b1k1nr/pp3ppp/1qn1p3/3pP3/1b1P4/1P3N2/P2B1PPP/RN1QKB1R b KQkq -,c6d4 f1b5 d4b5 d2b4 a7a5 b4d2 b5d4 e1h1 g8e7 d2e3,-146
r1bqkbnr/pp1ppppp/8/2p1n3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR w KQkq -,f3h5 e5c4 h5c5 c4a5 d2d3 a5c6 g1f3 e7e6 c5e3 d7d5,-393
3r1rk1/ppp3pp/8/2n2pB1/8/5P2/PPP3PP/R3R1K1 b - -,d8d7 g5e7 c5a4 e7f8 g8f8 a1d1 d7d1 e1d1 f8e7 d1e1,676
r2q1rk1/1p1nbppp/p2pbn2/4p3/P3P3/1NN1B3/1PPQBPPP/R4RK1 b - -,h7h6 a4a5 a8c8 f2f3 d8c7 f1c1 f8e8 g1h1 c7c6 c1d1,25
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq -,e1h1 a7a5 b1d2 e8h8 h2h3 c5a7 f1e1 c8e6 c4b5 c6e7,27
rnb2rk1/3pppbp/P5p1/q1pn4/4P3/2NB1N2/PP3PPP/R1BQK2R w KQ -,d1b3 d5c3 c1d2 c8a6 d3a6 a5a6 d2c3 b8c6 c3g7 g8g7,-344
rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq -,c2c4 d5d4 g1f3 b8c6 g2g3 e7e5 f3e5 c6e5 f4e5 h7h5,-85
5rk1/ppp3pp/8/2nr1pB1/8/5P2/PPP3PP/R3R1K1 w - -,g5e7 f8e8 c2c4 d5d2 e7c5 e8e1 a1e1 d2b2 e1e8 g8f7,596
r1bq1rk1/bpp2ppp/p1np4/4p3/4P1n1/1BPP1N2/PP1N1PPP/R1BQR1K1 w - -,d1e2 g4f2 e1f1 f2d3 g1h1 d3c1 a1c1 d8e7 e2e1 g7g6,-293
rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,c7c6 c1g5 e7e6 e2e4 f5e4 c3e4 f8b4 e4d2 c6c5 d4c5,75
4r1k1/ppp1B1pp/8/2nr1p2/8/5P2/PPP3PP/R3R1K1 w - -,c2c4 d5d2 e7c5 e8e1 a1e1 d2b2 e1e8 g8f7 e8e7 f7f6,595
rnbqkbnr/ppp3p1/5p2/3pB2p/3P4/4P3/PPP2PPP/RN1QKBNR w KQkq -,g1f3 f6e5 f3e5 b8c6 f1b5 g8e7 e1h1 a7a6 b5a4 c8e6,-207
rnb2rk1/3ppp1p/P5p1/q1pP4/8/2bB1N2/PP3PPP/R1BQK2R w KQ -,e1e2 c3f6 h1e1 c8a6 e2f1 d7d6 c1g5 b8d7 g5f6 d7f6,-191
r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,c2c3 g8f6 b2b4 c5b6 a2a4 a7a5 b4b5 c6e7 b1d2 e8h8,36
r1bq1rk1/bpp2ppp/p1np4/4p3/4P1n1/1BPP1N2/PP1NRPPP/R1BQ2K1 b - -,h7h6 h2h3 g4f6 d2f1 f8e8 f1g3 c8e6 c1e3 a7e3 f2e3,43
r3kb1r/ppqn1pp1/2p1pn1p/7P/3PN3/3Q1N2/PPPB1PP1/2KR3R b kq -,a8c8 f3e5 f6e4 d3e4 d7f6 e4e2 f8d6 c1b1 c6c5 e2b5,76
rn1qkb1r/ppp2ppp/8/3p1b2/3Pn3/3B1N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 f8e7 f3e5 b8d7 b1c3 d7e5 d4e5 e4c3 b2c3 d8d7,48
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2N1PN2/PP2BPPP/R1BQK2R b KQkq -,d8c7 e1h1 f8e7 b2b3 b7b6 c1b2 c8b7 a2a4 a7a5 d1c2,46
rn1qkbnr/ppp1pppp/8/3p1b2/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq -,e2e3 e7e6 b1c3 g8f6 d2d3 c7c5 f3e5 h7h6 c1d2 b8c6,-33
1k6/8/2K5/2N5/8/7B/8/8 w - -,e2e3 e7e6 b1c3 g8f6 d2d3 c7c5 f3e5 h7h6 c1d2 b8c6,Mate
r3kbnr/pppb1ppp/2n2q2/8/5B2/5N2/PPP1PPPP/RNQ1KB1R b KQkq -,d7f5 e2e3 f8d6 f4d6 f6d6 f1e2 g8f6 e1h1 e8a8 f1d1,181
rnb2rk1/3ppp1p/P5p1/q1pP4/8/2bB1N2/PP1B1PPP/R2QK2R b KQ -,b8c6 b2c3 c6d8 c3c4 a5a6 e1h1 d7d6 f1e1 e7e5 d5e6,744
r1bqkb1r/ppp2ppp/5n2/3Pp1N1/2P5/8/PPP2PPP/RNBQK2R b KQkq -,c8f5 b1c3 f8b4 e1h1 e8h8 d1e2 c7c6 d5c6 b7c6 g5e4,62
2kr1b1r/ppqn1pp1/2p1pn1p/7P/3PN3/3Q1N2/PPPB1PP1/2KR3R w - -,g2g3 f6e4 d3e4 f8d6 e4e2 h8e8 c1b1 d7f6 f3e5 c6c5,85
8/p7/1p2b1pp/2p1k3/P2pPpP1/1P1P1K1P/2P3B1/8 b - -,a7a5 f3e2 e6d7 e2d2 f4f3 g2f3 e5f4 f3e2 f4g3 e2f1,-512
